date,open,high,low,close,average,volume,count
1625061600,27.24,27.24,27.09,27.09,27.165,2,2
1625061601,27.06,27.07,27.06,27.06,27.06,1,1
1625061602,27.06,27.07,27.06,27.06,27.06,0,0
1625061603,27.07,27.07,27.07,27.07,27.07,12,1
1625061604,27.06,27.07,27.06,27.06,27.061,10,1
1625061605,27.18,27.3,27.18,27.18,27.26,94,37
1625061606,27.27,27.27,27.27,27.27,27.27,1,1
1625061607,27.27,27.27,27.27,27.27,27.27,0,0
1625061608,27.07,27.07,27.06,27.07,27.067,22,1
1625061609,27.07,27.1,27.07,27.1,27.095,11,2
1625061610,27.1,27.1,27.1,27.1,27.1,0,0
1625061611,27.1,27.1,27.1,27.1,27.1,1,1
1625061612,27.13,27.13,27.13,27.13,27.13,17,1
1625061613,27.13,27.13,27.13,27.13,27.13,0,0
1625061614,27.13,27.13,27.13,27.13,27.13,0,0
1625061615,27.06,27.07,27.06,27.06,27.06,5,4
1625061616,27.06,27.07,27.06,27.06,27.06,0,0
1625061617,27.06,27.07,27.06,27.06,27.06,4,2
1625061618,27.06,27.06,27.06,27.06,27.06,0,0
1625061619,27.06,27.12,27.02,27.03,27.049,13,11
1625061620,27.02,27.02,26.88,26.99,26.952,50,17
1625061621,26.99,26.99,26.86,26.86,26.893,7,6
1625061622,26.87,26.87,26.86,26.87,26.865,26,19
1625061623,26.86,26.86,26.86,26.86,26.86,11,1
1625061624,26.86,26.86,26.74,26.75,26.785,24,10
1625061625,26.74,26.75,26.74,26.75,26.745,4,3
1625061626,26.74,26.75,26.74,26.74,26.741,1,1
1625061627,26.75,26.75,26.74,26.75,26.748,7,5
1625061628,26.74,26.87,26.68,26.87,26.699,50,21
1625061629,26.74,26.79,26.69,26.69,26.728,8,8
1625061630,26.86,26.86,26.85,26.86,26.858,1,1
1625061631,26.77,26.77,26.77,26.77,26.77,2,1
1625061632,26.74,26.74,26.52,26.6,26.631,23,18
1625061633,26.6,26.6,26.6,26.6,26.6,0,0
1625061634,26.64,26.66,26.53,26.53,26.584,20,8
1625061635,26.67,26.67,26.52,26.52,26.552,43,4
1625061636,26.76,26.76,26.76,26.76,26.76,1,1
1625061637,26.54,26.54,26.54,26.54,26.54,9,3
1625061638,26.63,26.63,26.63,26.63,26.63,2,1
1625061639,26.63,26.63,26.54,26.56,26.579,17,6
1625061640,26.53,26.54,26.53,26.53,26.53,2,1
1625061641,26.54,26.63,26.54,26.63,26.567,13,10
1625061642,26.53,26.54,26.53,26.53,26.53,10,1
1625061643,26.54,26.58,26.54,26.58,26.56,2,2
1625061644,26.63,26.63,26.59,26.59,26.61,2,2
1625061645,26.63,26.66,26.63,26.66,26.646,2,2
1625061646,26.65,26.67,26.65,26.66,26.662,11,2
1625061647,26.66,26.67,26.66,26.66,26.66,0,0
1625061648,26.66,26.67,26.66,26.66,26.66,0,0
1625061649,26.66,26.67,26.66,26.66,26.66,0,0
1625061650,26.66,26.67,26.66,26.66,26.66,0,0
1625061651,26.63,26.7,26.63,26.7,26.676,15,3
1625061652,26.68,26.69,26.68,26.68,26.682,1,1
1625061653,26.68,26.69,26.68,26.68,26.68,0,0
1625061654,26.7,26.7,26.69,26.7,26.698,2,1
1625061655,26.7,26.7,26.69,26.7,26.7,0,0
1625061656,26.7,26.7,26.69,26.7,26.7,0,0
1625061657,26.68,26.7,26.68,26.7,26.698,11,5
1625061658,26.7,26.7,26.69,26.7,26.7,0,0
1625061659,26.8,26.88,26.8,26.88,26.816,7,2
1625061660,26.8,26.97,26.8,26.87,26.89,7,6
1625061661,26.97,26.99,26.97,26.99,26.98,2,2
1625061662,26.99,26.99,26.99,26.99,26.99,0,0
1625061663,27.0,27.05,26.9,26.9,27.006,26,5
1625061664,26.9,26.91,26.9,26.9,26.9,0,0
1625061665,27.06,27.06,26.96,26.96,27.01,2,2
1625061666,26.85,26.96,26.85,26.91,26.9,8,4
1625061667,26.87,26.93,26.87,26.87,26.89,3,3
1625061668,26.87,26.87,26.87,26.87,26.87,0,0
1625061669,26.96,26.96,26.95,26.96,26.955,1,1
1625061670,26.96,26.97,26.95,26.96,26.96,8,2
1625061671,26.94,27.0,26.86,26.86,26.939,8,4
1625061672,26.96,26.96,26.95,26.96,26.955,2,1
1625061673,26.96,26.96,26.95,26.96,26.96,0,0
1625061674,26.92,26.93,26.92,26.92,26.92,1,1
1625061675,26.92,26.93,26.92,26.92,26.92,0,0
1625061676,26.92,26.93,26.92,26.92,26.92,0,0
1625061677,26.96,26.97,26.92,26.92,26.932,25,2
1625061678,26.96,26.96,26.92,26.92,26.926,17,8
1625061679,26.99,26.99,26.98,26.99,26.99,1,1
1625061680,26.91,26.91,26.86,26.86,26.864,21,3
1625061681,26.79,26.95,26.79,26.94,26.895,9,8
1625061682,26.73,26.73,26.73,26.73,26.73,9,1
1625061683,26.86,26.86,26.85,26.86,26.855,1,1
1625061684,26.86,26.86,26.85,26.86,26.86,0,0
1625061685,26.94,26.94,26.84,26.85,26.917,4,2
1625061686,26.85,26.85,26.84,26.85,26.85,0,0
1625061687,26.85,26.85,26.84,26.85,26.85,0,0
1625061688,26.85,26.85,26.84,26.85,26.85,0,0
1625061689,26.85,26.85,26.84,26.85,26.85,0,0
1625061690,26.85,26.85,26.84,26.85,26.85,0,0
1625061691,26.85,26.85,26.84,26.85,26.85,0,0
1625061692,26.85,26.85,26.84,26.85,26.85,0,0
1625061693,26.85,26.85,26.84,26.85,26.85,0,0
1625061694,26.82,26.82,26.75,26.82,26.768,17,13
1625061695,26.85,26.85,26.85,26.85,26.85,1,1
1625061696,26.85,26.85,26.85,26.85,26.85,0,0
1625061697,26.85,26.85,26.85,26.85,26.85,0,0
1625061698,26.85,26.85,26.85,26.85,26.85,0,0
1625061699,26.75,26.82,26.73,26.82,26.765,3,3
1625061700,26.82,26.82,26.81,26.82,26.82,0,0
