date,open,high,low,close,average,volume,count
1623312000,24.12,24.59,24.0,24.13,24.15,156,27
1623312005,24.17,24.17,24.15,24.17,24.169,17,4
1623312010,24.17,24.2,24.14,24.2,24.178,27,9
1623312015,24.21,24.21,24.17,24.17,24.193,20,7
1623312020,24.2,24.3,24.17,24.29,24.248,13,7
1623312025,24.29,24.29,24.29,24.29,24.29,0,0
1623312030,24.29,24.38,24.29,24.38,24.358,4,2
1623312035,24.38,24.39,24.38,24.38,24.381,12,5
1623312040,24.41,24.44,24.4,24.44,24.416,18,10
1623312045,24.4,24.44,24.4,24.44,24.405,16,6
1623312050,24.44,24.44,24.44,24.44,24.44,7,2
1623312055,24.44,24.45,24.44,24.44,24.441,36,6
1623312060,24.42,24.44,24.4,24.4,24.432,15,3
1623312065,24.4,24.4,24.38,24.38,24.382,30,8
1623312070,24.2,24.2,23.9,23.9,24.066,26,10
1623312075,23.93,23.93,23.93,23.93,23.93,8,2
1623312080,24.19,24.19,24.0,24.0,24.063,3,3
1623312085,24.0,24.0,24.0,24.0,24.0,0,0
1623312090,24.12,24.12,24.12,24.12,24.12,18,4
1623312095,24.12,24.12,24.12,24.12,24.12,0,0
1623312100,24.12,24.12,24.12,24.12,24.12,5,1
1623312105,24.15,24.16,24.15,24.16,24.155,19,4
1623312110,24.15,24.15,24.15,24.15,24.15,2,1
1623312115,24.17,24.17,24.17,24.17,24.17,3,1
1623312120,24.15,24.2,24.15,24.2,24.173,26,9
1623312125,24.19,24.19,24.19,24.19,24.19,1,1
1623312130,24.19,24.19,24.19,24.19,24.19,0,0
1623312135,24.23,24.23,24.23,24.23,24.23,5,1
1623312140,24.23,24.23,24.22,24.22,24.226,7,3
1623312145,24.22,24.22,24.22,24.22,24.22,1,1
1623312150,24.2,24.2,24.2,24.2,24.2,3,1
1623312155,24.17,24.17,24.17,24.17,24.17,1,1
1623312160,24.17,24.17,24.17,24.17,24.17,6,2
1623312165,24.19,24.19,24.12,24.12,24.14,9,3
1623312170,24.12,24.12,24.12,24.12,24.12,1,1
1623312175,24.16,24.17,24.12,24.12,24.15,7,4
1623312180,24.1,24.1,24.1,24.1,24.1,1,1
1623312185,24.1,24.1,24.1,24.1,24.1,1,1
1623312190,24.16,24.16,24.16,24.16,24.16,1,1
1623312195,24.1,24.1,24.1,24.1,24.1,2,1
1623312200,24.1,24.1,24.1,24.1,24.1,0,0
1623312205,24.01,24.01,24.01,24.01,24.01,1,1
1623312210,24.01,24.01,24.01,24.01,24.01,0,0
1623312215,24.01,24.1,24.01,24.1,24.055,2,2
1623312220,24.1,24.1,24.1,24.1,24.1,0,0
1623312225,24.02,24.02,23.98,23.98,23.982,19,4
1623312230,23.98,24.0,23.98,23.99,23.99,12,5
1623312235,23.98,23.98,23.95,23.95,23.976,21,3
1623312240,23.95,23.95,23.95,23.95,23.95,0,0
1623312245,23.95,23.95,23.95,23.95,23.95,0,0
1623312250,23.96,24.0,23.9,23.9,23.94,13,7
1623312255,23.9,23.9,23.9,23.9,23.9,0,0
1623312260,23.89,23.9,23.89,23.9,23.895,2,2
1623312265,23.88,23.88,23.87,23.87,23.872,4,2
1623312270,23.9,23.9,23.86,23.86,23.884,7,3
1623312275,23.87,23.88,23.86,23.86,23.871,4,3
1623312280,23.86,23.86,23.86,23.86,23.86,0,0
1623312285,23.86,23.86,23.86,23.86,23.86,0,0
1623312290,23.86,23.86,23.86,23.86,23.86,0,0
1623312295,23.86,23.86,23.86,23.86,23.86,0,0
1623312300,23.86,23.86,23.86,23.86,23.86,0,0
1623312305,23.86,23.86,23.86,23.86,23.86,0,0
1623312310,23.86,23.86,23.86,23.86,23.86,0,0
1623312315,23.95,23.95,23.95,23.95,23.95,4,2
1623312320,23.95,23.95,23.95,23.95,23.95,0,0
1623312325,23.95,23.95,23.95,23.95,23.95,0,0
1623312330,23.95,23.95,23.95,23.95,23.95,0,0
1623312335,23.94,23.94,23.9,23.9,23.908,20,7
1623312340,23.9,23.9,23.9,23.9,23.9,0,0
1623312345,23.95,23.95,23.95,23.95,23.95,1,1
1623312350,23.95,23.95,23.95,23.95,23.95,0,0
1623312355,23.97,23.97,23.97,23.97,23.97,3,1
1623312360,23.97,23.97,23.97,23.97,23.97,5,1
1623312365,24.0,24.0,24.0,24.0,24.0,1,1
1623312370,24.0,24.0,23.98,23.98,23.993,3,3
1623312375,24.0,24.0,24.0,24.0,24.0,2,1
1623312380,24.0,24.0,24.0,24.0,24.0,0,0
1623312385,24.0,24.0,24.0,24.0,24.0,0,0
1623312390,24.0,24.0,24.0,24.0,24.0,4,2
1623312395,24.0,24.0,24.0,24.0,24.0,4,2
1623312400,24.0,24.0,24.0,24.0,24.0,0,0
1623312405,24.0,24.0,24.0,24.0,24.0,0,0
1623312410,23.99,23.99,23.98,23.98,23.983,7,2
