date,open,high,low,close,average,volume,count
1626854400,20.26,20.26,20.26,20.26,20.26,10,1
1626854460,20.26,20.26,20.26,20.26,20.26,2,1
1626854520,20.26,20.26,20.26,20.26,20.26,0,0
1626854580,20.26,20.26,20.26,20.26,20.26,0,0
1626854640,20.26,20.26,20.26,20.26,20.26,0,0
1626854700,20.26,20.26,20.26,20.26,20.26,0,0
1626854760,20.26,20.26,20.26,20.26,20.26,0,0
1626854820,20.26,20.26,20.26,20.26,20.26,0,0
1626854880,20.26,20.26,20.26,20.26,20.26,0,0
1626854940,20.26,20.26,20.26,20.26,20.26,0,0
1626855000,20.26,20.26,20.26,20.26,20.26,0,0
1626855060,20.26,20.26,20.26,20.26,20.26,0,0
1626855120,20.26,20.26,20.26,20.26,20.26,0,0
1626855180,20.26,20.26,20.26,20.26,20.26,0,0
1626855240,20.26,20.26,20.26,20.26,20.26,0,0
1626855300,20.26,20.26,20.26,20.26,20.26,0,0
1626855360,20.26,20.26,20.26,20.26,20.26,0,0
1626855420,20.26,20.26,20.26,20.26,20.26,1,1
1626855480,20.26,20.26,20.26,20.26,20.26,0,0
1626855540,20.26,20.26,20.26,20.26,20.26,0,0
1626855600,20.27,20.28,20.27,20.28,20.275,2,2
1626855660,20.28,20.28,20.28,20.28,20.28,0,0
1626855720,20.28,20.28,20.28,20.28,20.28,0,0
1626855780,20.29,20.29,20.29,20.29,20.29,1,1
1626855840,20.29,20.29,20.29,20.29,20.29,0,0
1626855900,20.29,20.29,20.29,20.29,20.29,0,0
1626855960,20.31,20.31,20.31,20.31,20.31,1,1
1626856020,20.31,20.31,20.31,20.31,20.31,0,0
1626856080,20.31,20.31,20.31,20.31,20.31,0,0
1626856140,20.31,20.31,20.31,20.31,20.31,0,0
1626856200,20.31,20.31,20.31,20.31,20.31,0,0
1626856260,20.31,20.31,20.31,20.31,20.31,0,0
1626856320,20.31,20.31,20.31,20.31,20.31,0,0
1626856380,20.31,20.31,20.31,20.31,20.31,0,0
1626856440,20.31,20.31,20.31,20.31,20.31,0,0
1626856500,20.31,20.31,20.31,20.31,20.31,0,0
1626856560,20.31,20.31,20.31,20.31,20.31,0,0
1626856620,20.31,20.31,20.31,20.31,20.31,0,0
1626856680,20.31,20.31,20.31,20.31,20.31,0,0
1626856740,20.31,20.31,20.31,20.31,20.31,0,0
1626856800,20.31,20.31,20.31,20.31,20.31,0,0
1626856860,20.31,20.31,20.31,20.31,20.31,0,0
1626856920,20.31,20.31,20.31,20.31,20.31,0,0
1626856980,20.31,20.31,20.31,20.31,20.31,0,0
1626857040,20.31,20.31,20.31,20.31,20.31,0,0
1626857100,20.31,20.31,20.31,20.31,20.31,0,0
1626857160,20.31,20.31,20.31,20.31,20.31,0,0
1626857220,20.31,20.31,20.31,20.31,20.31,0,0
1626857280,20.31,20.31,20.31,20.31,20.31,0,0
1626857340,20.31,20.31,20.31,20.31,20.31,0,0
1626857400,20.31,20.31,20.31,20.31,20.31,0,0
1626857460,20.31,20.31,20.31,20.31,20.31,0,0
1626857520,20.31,20.31,20.31,20.31,20.31,0,0
1626857580,20.31,20.31,20.31,20.31,20.31,0,0
1626857640,20.31,20.31,20.31,20.31,20.31,0,0
1626857700,20.31,20.31,20.31,20.31,20.31,0,0
1626857760,20.31,20.31,20.31,20.31,20.31,0,0
1626857820,20.31,20.31,20.31,20.31,20.31,0,0
1626857880,20.31,20.31,20.31,20.31,20.31,0,0
1626857940,20.31,20.31,20.31,20.31,20.31,0,0
1626858000,20.31,20.31,20.31,20.31,20.31,0,0
1626858060,20.31,20.31,20.31,20.31,20.31,0,0
1626858120,20.31,20.31,20.31,20.31,20.31,0,0
1626858180,20.31,20.31,20.31,20.31,20.31,0,0
1626858240,20.31,20.31,20.31,20.31,20.31,0,0
1626858300,20.31,20.31,20.31,20.31,20.31,0,0
