date,open,high,low,close,average,volume,count
1623830400,11.3,11.3,11.17,11.17,11.2195,15,9
1623830700,11.2,11.2,11.11,11.11,11.16818,31,6
1623831000,11.11,11.11,11.11,11.11,11.11,0,0
1623831300,11.11,11.11,11.11,11.11,11.11,0,0
1623831600,11.11,11.11,11.11,11.11,11.11,0,0
1623831900,11.04,11.06,11.04,11.05,11.04761,7,5
1623832200,11.05,11.05,11.05,11.05,11.05,5,2
1623832500,11.05,11.05,11.05,11.05,11.05,4,1
1623832800,11.05,11.05,11.05,11.05,11.05,0,0
1623833100,11.04,11.05,11.04,11.05,11.045,2,2
1623833400,11.04,11.04,11.03,11.03,11.03245,7,3
1623833700,11.03,11.03,11.03,11.03,11.03,3,1
1623834000,11.03,11.03,11.03,11.03,11.03,0,0
1623834300,11.0,11.0,11.0,11.0,11.0,3,3
1623834600,11.0,11.02,11.0,11.02,11.00557,3,2
1623834900,11.0,11.0,11.0,11.0,11.0,1,1
1623835200,11.03,11.04,10.97,10.98,10.97696,51,10
1623835500,10.97,10.97,10.82,10.82,10.89584,38,19
1623835800,10.82,10.82,10.81,10.81,10.81625,8,2
1623836100,10.82,10.83,10.82,10.82,10.82328,12,3
1623836400,10.82,10.9,10.82,10.9,10.88578,22,9
1623836700,10.95,10.95,10.95,10.95,10.95,1,1
1623837000,10.98,10.98,10.97,10.98,10.97448,11,6
1623837300,10.95,10.97,10.95,10.97,10.96,3,3
1623837600,10.98,10.98,10.98,10.98,10.98,11,1
1623837900,10.98,10.98,10.98,10.98,10.98,0,0
1623838200,10.98,10.98,10.98,10.98,10.98,1,1
1623838500,10.93,10.93,10.93,10.93,10.93,1,1
1623838800,10.93,10.93,10.93,10.93,10.93,0,0
1623839100,10.93,10.93,10.93,10.93,10.93,1,1
1623839400,10.93,10.94,10.91,10.91,10.9219,35,6
1623839700,10.93,10.93,10.93,10.93,10.93,3,2
1623840000,10.93,10.93,10.93,10.93,10.93,0,0
1623840300,10.95,10.95,10.95,10.95,10.95,11,4
1623840600,10.95,10.98,10.95,10.98,10.95223,13,3
1623840900,10.98,10.98,10.98,10.98,10.98,0,0
1623841200,10.99,11.01,10.91,10.97,10.96705,143,52
1623841500,10.96,10.96,10.93,10.93,10.94976,26,14
1623841800,10.93,10.93,10.87,10.87,10.89283,223,61
1623842100,10.89,10.89,10.87,10.89,10.87926,14,9
1623842400,10.88,10.88,10.86,10.86,10.86731,26,13
1623842700,10.86,10.89,10.86,10.89,10.87968,15,10
1623843000,10.88,10.88,10.82,10.83,10.84337,92,33
1623843300,10.82,10.85,10.78,10.84,10.80524,143,53
1623843600,10.86,10.86,10.83,10.83,10.8494,27,17
1623843900,10.8,10.81,10.8,10.81,10.8051,16,7
1623844200,10.81,10.86,10.81,10.86,10.83946,68,9
1623844500,10.86,10.86,10.81,10.83,10.83379,39,15
1623844800,10.9221,11.02,10.78,10.83,10.88179,1246,165
1623845100,10.84,10.87,10.8299,10.8299,10.85466,85,15
1623845400,10.83,10.94,10.83,10.91,10.87584,277,29
1623845700,10.94,10.97,10.94,10.97,10.96894,133,16
1623846000,10.97,10.97,10.9,10.9,10.95279,75,15
1623846300,10.9,10.91,10.88,10.9,10.89126,79,17
1623846600,10.8812,10.93,10.88,10.88,10.88354,130,19
1623846900,10.9099,10.91,10.88,10.89,10.88605,33,4
1623847200,10.88,10.9,10.88,10.88,10.89481,41,17
1623847500,10.91,10.91,10.88,10.88,10.88701,95,20
1623847800,10.89,10.91,10.79,10.81,10.86092,348,68
