date,open,high,low,close,average,volume,count
1624953660,12.82,13.0,12.8,12.95,12.899,36,23
1624953720,12.89,12.92,12.78,12.92,12.87,16,5
1624953780,12.9,12.9,12.9,12.9,12.9,8,6
1624953840,12.82,12.83,12.82,12.82,12.823,4,4
1624953900,12.83,12.83,12.83,12.83,12.83,1,1
1624953960,12.83,12.83,12.83,12.83,12.83,0,0
1624954020,12.83,12.83,12.83,12.83,12.83,0,0
1624954080,12.83,12.83,12.83,12.83,12.83,0,0
1624954140,12.83,12.83,12.83,12.83,12.83,0,0
1624954200,12.83,12.83,12.83,12.83,12.83,0,0
1624954260,12.87,12.87,12.87,12.87,12.87,1,1
1624954320,12.87,12.87,12.87,12.87,12.87,0,0
1624954380,12.87,12.87,12.87,12.87,12.87,0,0
1624954440,12.84,12.84,12.82,12.82,12.83,3,3
1624954500,12.81,12.81,12.8,12.8,12.807,30,9
1624954560,12.8,12.8,12.8,12.8,12.8,0,0
1624954620,12.8,12.8,12.8,12.8,12.8,0,0
1624954680,12.8,12.8,12.8,12.8,12.8,0,0
1624954740,12.8,12.8,12.8,12.8,12.8,0,0
1624954800,12.8,12.8,12.8,12.8,12.8,0,0
1624954860,12.8,12.8,12.8,12.8,12.8,0,0
1624954920,12.8,12.8,12.8,12.8,12.8,0,0
1624954980,12.81,12.81,12.81,12.81,12.81,3,2
1624955040,12.81,12.81,12.81,12.81,12.81,0,0
1624955100,12.81,12.81,12.81,12.81,12.81,1,1
1624955160,12.81,12.81,12.81,12.81,12.81,0,0
1624955220,12.81,12.81,12.81,12.81,12.81,0,0
1624955280,12.81,12.81,12.81,12.81,12.81,0,0
1624955340,12.81,12.81,12.81,12.81,12.81,0,0
1624955400,12.81,12.81,12.81,12.81,12.81,0,0
1624955460,12.81,12.81,12.81,12.81,12.81,0,0
1624955520,12.81,12.81,12.81,12.81,12.81,0,0
1624955580,12.81,12.81,12.81,12.81,12.81,0,0
1624955640,12.81,12.81,12.81,12.81,12.81,0,0
1624955700,12.81,12.81,12.81,12.81,12.81,0,0
1624955760,12.81,12.81,12.81,12.81,12.81,0,0
1624955820,12.8,12.8,12.8,12.8,12.8,1,1
1624955880,12.8,12.8,12.8,12.8,12.8,0,0
1624955940,12.8,12.8,12.8,12.8,12.8,0,0
1624956000,12.8,12.8,12.8,12.8,12.8,0,0
1624956060,12.82,12.82,12.82,12.82,12.82,4,2
1624956120,12.82,12.82,12.82,12.82,12.82,0,0
1624956180,12.82,12.82,12.82,12.82,12.82,0,0
1624956240,12.82,12.82,12.82,12.82,12.82,0,0
1624956300,12.82,12.82,12.82,12.82,12.82,0,0
1624956360,12.82,12.82,12.82,12.82,12.82,0,0
1624956420,12.82,12.82,12.82,12.82,12.82,0,0
1624956480,12.82,12.82,12.82,12.82,12.82,0,0
1624956540,12.82,12.82,12.82,12.82,12.82,0,0
1624956600,12.81,12.81,12.81,12.81,12.81,1,1
1624956660,12.81,12.81,12.81,12.81,12.81,0,0
1624956720,12.8,12.8,12.79,12.79,12.796,3,2
1624956780,12.78,12.78,12.78,12.78,12.78,7,3
1624956840,12.78,12.78,12.78,12.78,12.78,1,1
1624956900,12.78,12.78,12.78,12.78,12.78,1,1
1624956960,12.78,12.78,12.78,12.78,12.78,2,1
1624957020,12.78,12.78,12.78,12.78,12.78,0,0
1624957080,12.78,12.78,12.78,12.78,12.78,0,0
1624957140,12.78,12.78,12.78,12.78,12.78,0,0
1624957200,12.77,12.77,12.77,12.77,12.77,2,2
1624957260,12.77,12.77,12.77,12.77,12.77,2,1
1624957320,12.77,12.77,12.77,12.77,12.77,1,1
1624957380,12.77,12.77,12.77,12.77,12.77,0,0
1624957440,12.77,12.77,12.77,12.77,12.77,1,1
1624957500,12.77,12.77,12.77,12.77,12.77,3,1
1624957560,12.77,12.77,12.77,12.77,12.77,2,2
1624957620,12.77,12.77,12.77,12.77,12.77,0,0
1624957680,12.77,12.77,12.77,12.77,12.77,0,0
1624957740,12.77,12.77,12.77,12.77,12.77,3,2
1624957800,12.76,12.76,12.76,12.76,12.76,1,1
1624957860,12.76,12.76,12.76,12.76,12.76,0,0
1624957920,12.76,12.76,12.76,12.76,12.76,0,0
1624957980,12.76,12.76,12.76,12.76,12.76,1,1
1624958040,12.75,12.75,12.75,12.75,12.75,1,1
1624958100,12.75,12.75,12.75,12.75,12.75,0,0
1624958160,12.75,12.75,12.75,12.75,12.75,0,0
1624958220,12.74,12.74,12.74,12.74,12.74,1,1
1624958280,12.74,12.74,12.74,12.74,12.74,4,4
1624958340,12.74,12.74,12.74,12.74,12.74,0,0
1624958400,12.74,12.74,12.74,12.74,12.74,0,0
1624958460,12.77,12.77,12.77,12.77,12.77,1,1
1624958520,12.77,12.77,12.77,12.77,12.77,0,0
1624958580,12.77,12.77,12.77,12.77,12.77,0,0
1624958640,12.77,12.79,12.77,12.79,12.78,4,3
1624958700,12.79,12.79,12.79,12.79,12.79,0,0
1624958760,12.79,12.79,12.79,12.79,12.79,0,0
1624958820,12.79,12.79,12.79,12.79,12.79,0,0
1624958880,12.79,12.79,12.79,12.79,12.79,0,0
1624958940,12.79,12.79,12.79,12.79,12.79,0,0
1624959000,12.79,12.79,12.79,12.79,12.79,0,0
1624959060,12.79,12.79,12.79,12.79,12.79,0,0
1624959120,12.79,12.79,12.79,12.79,12.79,0,0
1624959180,12.79,12.79,12.79,12.79,12.79,0,0
1624959240,12.76,12.76,12.76,12.76,12.76,2,1
1624959300,12.76,12.76,12.76,12.76,12.76,1,1
1624959360,12.76,12.76,12.75,12.75,12.758,4,3
1624959420,12.78,12.78,12.78,12.78,12.78,4,2
1624959480,12.78,12.78,12.78,12.78,12.78,0,0
1624959540,12.77,12.78,12.77,12.78,12.778,5,2
1624959600,12.78,12.78,12.78,12.78,12.78,0,0
1624959660,12.78,12.78,12.78,12.78,12.78,0,0
1624959720,12.78,12.78,12.78,12.78,12.78,0,0
1624959780,12.78,12.78,12.78,12.78,12.78,0,0
1624959840,12.78,12.78,12.78,12.78,12.78,0,0
1624959900,12.78,12.78,12.78,12.78,12.78,0,0
1624959960,12.78,12.78,12.78,12.78,12.78,0,0
1624960020,12.78,12.78,12.78,12.78,12.78,0,0
1624960080,12.78,12.78,12.78,12.78,12.78,0,0
1624960140,12.77,12.77,12.76,12.76,12.761,7,4
1624960200,12.76,12.76,12.76,12.76,12.76,0,0
1624960260,12.76,12.76,12.76,12.76,12.76,0,0
1624960320,12.76,12.76,12.76,12.76,12.76,0,0
1624960380,12.78,12.78,12.78,12.78,12.78,1,1
1624960440,12.76,12.76,12.75,12.75,12.753,3,3
1624960500,12.75,12.75,12.75,12.75,12.75,0,0
1624960560,12.75,12.75,12.75,12.75,12.75,0,0
1624960620,12.75,12.75,12.75,12.75,12.75,0,0
1624960680,12.75,12.75,12.75,12.75,12.75,0,0
1624960740,12.75,12.75,12.75,12.75,12.75,0,0
1624960800,12.75,12.75,12.75,12.75,12.75,0,0
1624960860,12.75,12.75,12.75,12.75,12.75,0,0
1624960920,12.75,12.75,12.75,12.75,12.75,0,0
1624960980,12.75,12.75,12.75,12.75,12.75,6,3
1624961040,12.75,12.75,12.75,12.75,12.75,0,0
1624961100,12.75,12.75,12.75,12.75,12.75,1,1
1624961160,12.75,12.75,12.75,12.75,12.75,0,0
1624961220,12.75,12.75,12.75,12.75,12.75,0,0
1624961280,12.75,12.75,12.75,12.75,12.75,0,0
1624961340,12.75,12.75,12.75,12.75,12.75,0,0
1624961400,12.75,12.75,12.75,12.75,12.75,0,0
1624961460,12.75,12.75,12.75,12.75,12.75,0,0
1624961520,12.75,12.75,12.75,12.75,12.75,0,0
