date,open,high,low,close,average,volume,count
1626966000,8.72,8.72,8.71,8.72,8.719,5,1
1626966001,8.71,8.72,8.71,8.71,8.71,1,1
1626966002,8.72,8.72,8.72,8.72,8.72,4,2
1626966003,8.71,8.72,8.71,8.71,8.715,1,1
1626966004,8.71,8.72,8.71,8.71,8.711,126,5
1626966005,8.72,8.72,8.71,8.72,8.718,20,1
1626966006,8.72,8.72,8.71,8.72,8.72,0,0
1626966007,8.71,8.72,8.71,8.71,8.715,1,1
1626966008,8.71,8.72,8.71,8.72,8.715,9,2
1626966009,8.71,8.72,8.71,8.71,8.713,9,3
1626966010,8.71,8.72,8.71,8.71,8.713,2,2
1626966011,8.72,8.72,8.71,8.72,8.72,16,9
1626966012,8.72,8.72,8.71,8.72,8.712,41,6
1626966013,8.72,8.72,8.71,8.72,8.72,2,2
1626966014,8.71,8.72,8.71,8.71,8.715,1,1
1626966015,8.72,8.72,8.71,8.72,8.72,2,2
1626966016,8.71,8.72,8.71,8.71,8.712,1,1
1626966017,8.71,8.72,8.71,8.71,8.715,1,1
1626966018,8.71,8.72,8.71,8.71,8.715,2,2
1626966019,8.71,8.72,8.71,8.71,8.71,0,0
1626966020,8.71,8.71,8.71,8.71,8.71,1,1
1626966021,8.71,8.72,8.71,8.71,8.715,1,1
1626966022,8.71,8.72,8.71,8.71,8.715,1,1
1626966023,8.72,8.72,8.71,8.72,8.72,4,4
1626966024,8.72,8.72,8.71,8.72,8.72,0,0
1626966025,8.72,8.72,8.71,8.71,8.718,6,6
1626966026,8.71,8.72,8.71,8.71,8.715,7,1
1626966027,8.71,8.72,8.71,8.71,8.711,28,10
1626966028,8.72,8.72,8.71,8.71,8.711,8,6
1626966029,8.72,8.72,8.71,8.72,8.714,36,7
1626966030,8.71,8.72,8.71,8.71,8.714,33,3
1626966031,8.71,8.72,8.71,8.71,8.71,0,0
1626966032,8.71,8.72,8.71,8.71,8.715,1,1
1626966033,8.71,8.72,8.69,8.69,8.704,129,42
1626966034,8.7,8.7,8.69,8.7,8.697,10,1
1626966035,8.7,8.7,8.69,8.7,8.697,2,2
1626966036,8.7,8.72,8.7,8.71,8.709,23,22
1626966037,8.71,8.72,8.7,8.7,8.709,6,6
1626966038,8.71,8.71,8.7,8.71,8.705,116,5
1626966039,8.71,8.71,8.7,8.71,8.706,3,3
1626966040,8.71,8.71,8.7,8.71,8.71,0,0
1626966041,8.71,8.71,8.7,8.7,8.706,26,5
1626966042,8.71,8.71,8.7,8.71,8.706,2,2
1626966043,8.71,8.71,8.7,8.71,8.71,2,1
1626966044,8.71,8.71,8.7,8.71,8.705,2,2
1626966045,8.71,8.71,8.7,8.71,8.71,0,0
1626966046,8.71,8.71,8.7,8.71,8.709,4,1
1626966047,8.7,8.71,8.69,8.7,8.701,186,31
1626966048,8.7,8.7,8.69,8.7,8.7,0,0
1626966049,8.7,8.7,8.69,8.7,8.695,1,1
1626966050,8.7,8.7,8.69,8.7,8.7,29,5
1626966051,8.71,8.71,8.71,8.71,8.71,1,1
1626966052,8.71,8.71,8.7,8.71,8.709,7,3
1626966053,8.71,8.72,8.71,8.71,8.711,25,6
1626966054,8.71,8.72,8.71,8.71,8.711,4,2
1626966055,8.71,8.72,8.71,8.71,8.715,2,2
1626966056,8.71,8.72,8.71,8.71,8.713,2,2
