date,open,high,low,close,average,volume,count
1655906400,55.98,55.98,55.95,55.95,55.959,17,5
1655906401,56.0,56.0,55.96,55.97,55.979,4,2
1655906402,55.97,55.97,55.96,55.97,55.97,0,0
1655906403,56.0,56.0,55.99,56.0,55.999,9,7
1655906404,56.0,56.0,56.0,56.0,56.0,6,3
1655906405,56.0,56.0,56.0,56.0,56.0,0,0
1655906406,56.0,56.0,56.0,56.0,56.0,0,0
1655906407,55.98,55.99,55.94,55.99,55.962,36,29
1655906408,55.97,56.0,55.97,56.0,55.979,7,2
1655906409,55.96,55.96,55.95,55.96,55.955,2,1
1655906410,55.97,55.98,55.92,55.97,55.951,36,30
1655906411,55.95,55.97,55.94,55.96,55.958,5,5
1655906412,55.97,56.27,55.97,56.25,56.124,435,129
1655906413,56.24,56.35,56.2,56.35,56.263,71,39
1655906414,56.35,56.39,56.34,56.35,56.36,27,11
1655906415,56.43,56.56,56.33,56.56,56.477,73,32
1655906416,56.5,56.59,56.44,56.53,56.514,26,12
1655906417,56.46,56.5,56.35,56.35,56.434,34,25
1655906418,56.34,56.39,56.3,56.31,56.35,22,14
1655906419,56.4,56.41,56.31,56.39,56.384,13,11
1655906420,56.39,56.39,56.38,56.39,56.385,9,3
1655906421,56.39,56.39,56.38,56.38,56.383,2,2
1655906422,56.41,56.47,56.4,56.41,56.455,13,4
1655906423,56.4,56.41,56.38,56.38,56.397,14,10
1655906424,56.44,56.44,56.41,56.41,56.425,2,2
1655906425,56.44,56.44,56.37,56.4,56.397,15,11
1655906426,56.41,56.42,56.35,56.4,56.368,30,10
1655906427,56.37,56.4,56.37,56.4,56.39,4,3
1655906428,56.44,56.44,56.4,56.4,56.428,8,4
1655906429,56.4,56.4,56.4,56.4,56.4,0,0
1655906430,56.43,56.43,56.37,56.39,56.403,17,14
1655906431,56.43,56.43,56.42,56.43,56.425,10,1
1655906432,56.4,56.43,56.39,56.43,56.421,11,9
1655906433,56.41,56.41,56.39,56.4,56.405,4,2
1655906434,56.4,56.4,56.4,56.4,56.4,10,1
1655906435,56.37,56.43,56.34,56.37,56.382,44,28
1655906436,56.37,56.37,56.34,56.34,56.357,3,3
1655906437,56.36,56.39,56.36,56.39,56.373,20,2
1655906438,56.34,56.34,56.34,56.34,56.34,2,1
1655906439,56.32,56.37,56.32,56.37,56.347,7,4
1655906440,56.4,56.44,56.4,56.42,56.43,10,8
1655906441,56.48,56.51,56.47,56.51,56.479,12,5
1655906442,56.51,56.55,56.49,56.49,56.54,24,7
1655906443,56.52,56.55,56.52,56.55,56.545,13,3
1655906444,56.5,56.57,56.49,56.55,56.536,7,5
1655906445,56.57,56.57,56.51,56.54,56.537,37,14
1655906446,56.54,56.56,56.47,56.48,56.508,24,19
1655906447,56.46,56.47,56.44,56.47,56.456,3,3
1655906448,56.47,56.54,56.47,56.54,56.496,6,5
1655906449,56.52,56.52,56.51,56.52,56.517,6,5
1655906450,56.5,56.51,56.49,56.51,56.5,5,3
1655906451,56.51,56.57,56.51,56.57,56.53,3,3
1655906452,56.51,56.51,56.51,56.51,56.51,2,1
1655906453,56.54,56.56,56.53,56.56,56.54,5,2
1655906454,56.56,56.56,56.55,56.56,56.56,4,1
1655906455,56.56,56.56,56.5,56.5,56.545,28,5
1655906456,56.51,56.54,56.49,56.49,56.513,15,12
1655906457,56.49,56.53,56.49,56.53,56.509,12,4
1655906458,56.55,56.55,56.53,56.53,56.533,6,2
1655906459,56.53,56.53,56.53,56.53,56.53,0,0
1655906460,56.55,56.55,56.55,56.55,56.55,1,1
1655906461,56.53,56.53,56.53,56.53,56.53,2,2
1655906462,56.55,56.57,56.54,56.55,56.553,19,10
1655906463,56.55,56.55,56.46,56.5,56.508,23,19
1655906464,56.5,56.52,56.45,56.46,56.472,40,11
1655906465,56.46,56.47,56.46,56.46,56.46,0,0
1655906466,56.49,56.49,56.49,56.49,56.49,1,1
1655906467,56.48,56.49,56.47,56.49,56.479,4,2
1655906468,56.53,56.53,56.48,56.48,56.518,5,5
1655906469,56.48,56.48,56.48,56.48,56.48,0,0
1655906470,56.53,56.53,56.52,56.53,56.527,3,1
1655906471,56.45,56.5,56.45,56.5,56.483,3,3
1655906472,56.55,56.55,56.46,56.46,56.481,13,4
1655906473,56.51,56.53,56.51,56.53,56.52,2,2
1655906474,56.46,56.56,56.46,56.55,56.479,10,3
1655906475,56.55,56.55,56.55,56.55,56.55,0,0
1655906476,56.55,56.55,56.55,56.55,56.55,0,0
1655906477,56.47,56.51,56.45,56.45,56.456,34,34
1655906478,56.45,56.45,56.3,56.3,56.375,10,9
1655906479,56.42,56.42,56.42,56.42,56.42,1,1
1655906480,56.42,56.42,56.41,56.42,56.415,1,1
1655906481,56.42,56.42,56.41,56.42,56.42,0,0
1655906482,56.5,56.5,56.5,56.5,56.5,4,1
1655906483,56.33,56.41,56.32,56.41,56.328,12,3
1655906484,56.33,56.33,56.2,56.25,56.291,27,25
1655906485,56.3,56.31,56.28,56.28,56.3,7,6
1655906486,56.22,56.23,56.22,56.22,56.22,1,1
1655906487,56.2,56.26,56.12,56.12,56.202,21,13
1655906488,56.11,56.12,56.06,56.06,56.092,31,26
1655906489,56.16,56.16,56.05,56.06,56.097,5,4
1655906490,56.06,56.13,56.05,56.13,56.087,19,9
1655906491,56.07,56.13,56.06,56.12,56.086,14,5
1655906492,56.18,56.18,56.18,56.18,56.18,1,1
1655906493,56.16,56.16,56.16,56.16,56.16,3,3
1655906494,56.11,56.15,56.11,56.15,56.13,2,2
1655906495,56.13,56.13,56.12,56.13,56.125,1,1
1655906496,56.15,56.15,56.15,56.15,56.15,2,2
1655906497,56.19,56.19,56.14,56.14,56.157,3,2
1655906498,56.14,56.15,56.14,56.14,56.14,0,0
1655906499,56.13,56.14,56.13,56.13,56.133,4,4
1655906500,56.13,56.13,56.13,56.13,56.13,0,0
1655906501,56.2,56.2,56.19,56.2,56.2,2,2
1655906502,56.16,56.16,56.16,56.16,56.16,2,1
1655906503,56.16,56.16,56.16,56.16,56.16,0,0
1655906504,56.16,56.16,56.16,56.16,56.16,0,0
1655906505,56.16,56.16,56.16,56.16,56.16,0,0
1655906506,56.16,56.16,56.16,56.16,56.16,0,0
1655906507,56.19,56.2,56.19,56.2,56.196,13,3
1655906508,56.2,56.2,56.19,56.2,56.2,0,0
1655906509,56.2,56.2,56.19,56.2,56.2,0,0
1655906510,56.2,56.24,56.2,56.21,56.23,29,8
1655906511,56.28,56.31,56.27,56.31,56.3,12,5
1655906512,56.29,56.29,56.29,56.29,56.29,2,2
1655906513,56.33,56.33,56.29,56.29,56.317,3,3
1655906514,56.32,56.35,56.32,56.32,56.332,9,7
1655906515,56.47,56.48,56.44,56.45,56.452,9,3
1655906516,56.39,56.39,56.39,56.39,56.39,1,1
1655906517,56.34,56.34,56.32,56.33,56.33,2,2
1655906518,56.4,56.4,56.4,56.4,56.4,2,2
1655906519,56.4,56.4,56.4,56.4,56.4,0,0
1655906520,56.33,56.33,56.31,56.31,56.319,18,17
1655906521,56.37,56.37,56.26,56.29,56.295,19,17
1655906522,56.34,56.34,56.3,56.31,56.33,3,2
1655906523,56.25,56.25,56.25,56.25,56.25,1,1
1655906524,56.2,56.2,56.2,56.2,56.2,1,1
1655906525,56.2,56.24,56.16,56.16,56.199,12,7
1655906526,56.18,56.18,56.15,56.16,56.158,9,2
