date,open,high,low,close,average,volume,count
1656403200,56.25,56.77,56.25,56.77,56.524,8,6
1656403500,56.67,56.67,56.65,56.65,56.662,4,3
1656403800,56.6,56.6,56.53,56.53,56.58,7,4
1656404100,56.53,56.53,56.53,56.53,56.53,0,0
1656404400,56.53,56.53,56.53,56.53,56.53,0,0
1656404700,56.47,56.47,56.47,56.47,56.47,4,3
1656405000,56.42,56.42,56.42,56.42,56.42,1,1
1656405300,56.42,56.42,56.42,56.42,56.42,0,0
1656405600,56.44,56.44,56.44,56.44,56.44,1,1
1656405900,56.48,56.76,56.48,56.6,56.569,19,15
1656406200,56.64,56.77,56.64,56.77,56.722,21,9
1656406500,56.91,57.15,56.91,57.15,56.979,11,9
1656406800,57.14,57.2,57.08,57.12,57.152,24,13
1656407100,57.2,57.33,57.2,57.33,57.265,13,4
1656407400,57.5,57.5,57.34,57.34,57.373,14,11
1656407700,57.28,57.28,57.18,57.24,57.221,18,8
1656408000,57.21,57.21,57.17,57.17,57.183,10,6
1656408300,57.11,57.12,57.03,57.03,57.066,7,5
1656408600,57.02,57.06,57.01,57.06,57.02,11,7
1656408900,57.05,57.05,57.0,57.0,57.029,7,5
1656409200,56.8,56.8,56.8,56.8,56.8,4,2
1656409500,56.87,56.95,56.87,56.95,56.923,3,2
1656409800,56.95,56.95,56.95,56.95,56.95,0,0
1656410100,57.0,57.0,56.97,56.98,56.988,4,3
1656410400,56.98,56.98,56.98,56.98,56.98,2,2
1656410700,56.98,56.98,56.98,56.98,56.98,0,0
1656411000,56.98,56.98,56.98,56.98,56.98,0,0
1656411300,57.02,57.16,57.02,57.13,57.122,23,9
1656411600,57.02,57.02,57.02,57.02,57.02,3,3
1656411900,57.01,57.01,56.95,56.95,56.983,4,3
1656412200,56.9,56.9,56.84,56.85,56.854,5,4
1656412500,56.75,56.75,56.71,56.71,56.742,12,5
1656412800,56.71,56.71,56.71,56.71,56.71,0,0
1656413100,56.8,56.83,56.8,56.83,56.818,9,7
1656413400,56.9,57.46,56.88,57.1,57.15,11,7
1656413700,57.1,57.1,57.1,57.1,57.1,0,0
1656414000,57.1,57.1,56.7,56.7,56.799,61,35
1656414300,56.59,56.62,56.59,56.62,56.608,10,8
1656414600,56.59,56.59,56.59,56.59,56.59,1,1
1656414900,56.6,56.6,56.6,56.6,56.6,3,3
1656415200,56.54,56.54,56.41,56.42,56.488,70,41
1656415500,56.43,56.6,56.36,56.52,56.494,16,11
1656415800,56.59,56.9,56.59,56.89,56.8,32,16
1656416100,56.84,57.02,56.84,56.97,56.981,75,38
1656416400,56.95,56.98,56.75,56.97,56.931,13,10
1656416700,56.82,56.82,56.82,56.82,56.82,1,1
1656417000,56.78,56.79,56.78,56.79,56.785,2,2
1656417300,56.87,56.88,56.72,56.77,56.802,27,18
1656417600,56.55,56.98,56.45,56.76,56.782,76,25
1656417900,56.76,56.76,56.46,56.5,56.557,29,12
1656418200,56.69,56.72,56.55,56.7,56.683,20,10
1656418500,56.7,56.84,56.52,56.52,56.615,115,43
1656418800,56.51,56.55,56.4,56.51,56.486,83,39
1656419100,56.51,56.51,56.32,56.38,56.451,34,15
1656419400,56.43,56.43,56.39,56.4,56.401,30,24
1656419700,56.34,56.5,56.32,56.5,56.394,69,22
1656420000,56.59,56.61,56.59,56.61,56.6,6,3
1656420300,56.63,56.63,56.35,56.36,56.436,19,13
1656420600,56.36,56.5,56.31,56.31,56.42,30,12
1656420900,56.32,56.32,56.0,56.2,56.202,27,18
1656421200,56.16,56.3,56.15,56.15,56.195,12,9
1656421500,56.35,56.35,56.29,56.3,56.315,16,10
1656421800,56.34,56.34,56.28,56.3,56.316,46,16
1656422100,56.35,56.4,56.35,56.4,56.365,15,7
1656422400,56.36,56.36,56.36,56.36,56.36,2,2
1656422700,56.39,56.4,56.3,56.3,56.38,8,7
1656423000,56.26,57.2,55.75,55.95,56.401,3491,1209
1656423300,56.0,56.5,55.52,56.04,56.097,1591,654
1656423600,56.08,56.84,55.9,56.69,56.507,1660,788
1656423900,56.74,56.74,55.96,56.55,56.267,994,512
1656424200,56.63,57.25,56.43,57.04,56.966,1976,686
1656424500,57.02,57.1,56.26,56.5,56.627,1130,450
1656424800,56.45,57.0,56.0,56.19,56.423,1066,535
1656425100,56.19,56.22,55.42,55.76,55.712,1395,595
1656425400,55.74,56.09,55.6,55.81,55.807,1233,589
1656425700,55.78,56.04,55.58,55.65,55.794,908,378
1656426000,55.65,55.68,55.06,55.33,55.317,1232,631
1656426300,55.29,55.64,55.16,55.22,55.345,709,327
1656426600,55.18,55.19,54.58,54.89,54.837,1621,800
1656426900,54.89,55.24,54.85,55.05,55.042,536,271
1656427200,55.05,55.08,54.65,54.96,54.871,553,282
1656427500,54.94,54.98,54.5,54.7,54.677,578,258
1656427800,54.69,54.84,54.24,54.29,54.416,708,435
1656428100,54.28,54.75,54.27,54.62,54.557,523,319
1656428400,54.61,54.61,54.2,54.25,54.333,1540,798
1656428700,54.25,54.31,53.83,53.94,54.123,1224,682
1656429000,53.94,54.07,53.73,53.8,53.854,843,428
1656429300,53.77,53.81,53.33,53.33,53.542,1196,542
1656429600,53.33,53.37,52.8,52.83,53.054,1434,617
1656429900,52.8,52.97,52.68,52.72,52.819,1667,712
1656430200,52.69,53.4,52.69,53.32,53.113,1212,443
1656430500,53.29,53.46,52.93,52.97,53.179,622,316
1656430800,52.97,52.98,52.56,52.72,52.755,1542,608
1656431100,52.72,52.93,52.64,52.77,52.789,719,263
1656431400,52.77,52.8,52.33,52.45,52.462,1267,278
1656431700,52.4,52.7,52.3,52.59,52.516,640,292
1656432000,52.56,52.7,52.3,52.33,52.514,689,322
1656432300,52.33,52.81,52.32,52.73,52.586,558,281
1656432600,52.76,52.97,52.61,52.62,52.832,742,335
1656432900,52.6,52.74,52.32,52.74,52.506,584,286
1656433200,52.72,52.89,52.6,52.6,52.772,505,214
1656433500,52.58,52.77,52.54,52.77,52.633,548,233
1656433800,52.76,52.76,52.43,52.43,52.596,550,218
1656434100,52.42,52.89,52.41,52.87,52.662,630,240
1656434400,52.88,53.38,52.84,53.28,53.138,927,417
1656434700,53.28,53.37,52.99,53.06,53.227,561,319
1656435000,53.06,53.08,52.82,52.83,52.981,613,256
1656435300,52.85,53.17,52.83,53.1,53.032,522,243
1656435600,53.09,53.16,52.86,52.9,53.025,341,192
1656435900,52.96,52.96,52.52,52.55,52.653,503,237
1656436200,52.51,52.56,52.17,52.22,52.362,645,368
1656436500,52.22,52.45,52.21,52.26,52.326,375,227
1656436800,52.25,52.29,52.0,52.14,52.17,614,314
1656437100,52.14,52.34,51.98,52.25,52.098,854,312
1656437400,52.24,52.37,52.18,52.2,52.251,510,248
1656437700,52.22,52.25,52.0,52.01,52.111,342,216
1656438000,52.0,52.33,51.89,52.04,52.077,762,415
1656438300,52.05,52.11,51.87,52.03,51.99,593,301
1656438600,52.04,52.17,51.9,51.93,52.053,460,250
1656438900,51.93,51.93,51.64,51.72,51.775,547,298
1656439200,51.68,51.72,51.5,51.5,51.593,941,419
1656439500,51.51,51.56,51.27,51.3,51.42,936,477
1656439800,51.28,51.44,50.94,50.97,51.104,1347,714
1656440100,50.96,50.99,50.67,50.69,50.857,1538,693
1656440400,50.67,50.83,50.56,50.78,50.664,1082,430
1656440700,50.77,51.2,50.64,51.2,50.923,618,307
1656441000,51.21,51.22,50.92,50.95,51.034,790,279
1656441300,50.95,50.97,50.69,50.89,50.782,676,305
1656441600,50.88,51.1,50.83,51.1,50.942,408,271
1656441900,51.1,51.48,51.08,51.31,51.344,723,301
1656442200,51.3,51.41,51.16,51.34,51.255,384,190
1656442500,51.35,51.41,51.0,51.02,51.134,646,309
1656442800,51.02,51.24,50.88,50.91,51.026,602,309
1656443100,50.88,50.92,50.33,50.6,50.49,1904,933
1656443400,50.6,50.7,50.46,50.66,50.562,595,381
1656443700,50.67,50.93,50.61,50.92,50.764,624,399
1656444000,50.93,51.14,50.82,51.09,50.974,662,316
1656444300,51.09,51.14,50.85,51.12,51.003,688,408
1656444600,51.11,51.34,50.99,51.14,51.19,950,577
1656444900,51.13,51.23,51.04,51.12,51.117,782,542
1656445200,51.13,51.16,50.92,50.98,50.984,1055,585
1656445500,50.97,51.09,50.75,50.83,50.899,1005,665
1656445800,50.79,51.19,50.77,51.16,50.98,1357,912
1656446100,51.15,51.33,51.09,51.18,51.186,3117,1555
1656446400,51.12,51.44,50.9,51.11,51.176,2135,31
1656446700,51.11,51.11,51.07,51.07,51.08,5,5
1656447000,51.12,51.12,51.12,51.12,51.12,2,1
1656447300,51.1,51.1,51.0,51.0,51.063,11,7
1656447600,51.06,51.11,51.06,51.09,51.09,4,4
1656447900,51.09,51.11,51.0,51.11,51.063,23,10
1656448200,51.0,51.0,50.97,50.97,50.991,7,3
1656448500,51.18,51.18,51.18,51.18,51.18,78,1
1656448800,51.04,51.07,50.9,50.9,50.993,15,9
1656449100,51.04,51.07,51.04,51.07,51.061,4,3
1656449400,51.08,51.08,51.04,51.04,51.053,3,2
1656449700,50.9,50.91,50.9,50.9,50.9,8,2
1656450000,50.93,50.93,50.93,50.93,50.93,1,1
1656450300,51.03,51.04,50.92,51.0,50.998,12,6
1656450600,51.0,51.04,51.0,51.04,51.015,11,5
1656450900,50.92,50.92,50.92,50.92,50.92,4,1
1656451200,50.95,51.03,50.93,51.03,50.955,11,5
1656451500,51.03,51.03,51.03,51.03,51.03,0,0
1656451800,51.03,51.03,51.03,51.03,51.03,0,0
1656452100,50.99,51.0,50.99,51.0,50.998,5,2
1656452400,51.0,51.04,51.0,51.04,51.002,25,6
1656452700,51.02,51.02,51.02,51.02,51.02,28,1
1656453000,51.02,51.02,51.02,51.02,51.02,0,0
1656453300,51.02,51.02,51.02,51.02,51.02,0,0
1656453600,51.01,51.01,51.01,51.01,51.01,1,1
1656453900,51.01,51.03,51.01,51.03,51.013,5,3
1656454200,51.03,51.03,51.03,51.03,51.03,0,0
1656454500,51.0,51.0,51.0,51.0,51.0,3,2
1656454800,51.06,51.06,51.06,51.06,51.06,3,2
1656455100,51.0,51.0,51.0,51.0,51.0,6,2
1656455400,51.0,51.0,50.98,50.98,50.991,5,3
1656455700,50.97,50.97,50.94,50.94,50.961,9,4
1656456000,50.97,51.0,50.97,51.0,50.982,5,3
1656456300,51.0,51.0,50.94,50.94,50.97,7,5
1656456600,50.97,51.01,50.94,50.94,50.947,33,4
1656456900,50.94,51.0,50.94,51.0,50.945,12,5
1656457200,51.0,51.0,50.92,50.92,50.967,25,3
1656457500,50.99,50.99,50.99,50.99,50.99,10,2
1656457800,50.99,51.0,50.99,51.0,50.991,11,11
1656458100,51.0,51.0,51.0,51.0,51.0,2,1
1656458400,50.99,50.99,50.99,50.99,50.99,10,10
1656458700,50.99,50.99,50.9,50.9,50.96,3,3
1656459000,50.9,50.9,50.9,50.9,50.9,1,1
1656459300,50.9,50.9,50.9,50.9,50.9,0,0
1656459600,50.94,50.97,50.94,50.97,50.957,3,3
1656459900,50.95,50.97,50.95,50.97,50.967,7,3
1656460200,50.9,50.9,50.9,50.9,50.9,6,2
1656460500,50.86,50.96,50.86,50.96,50.9,4,2
1656489600,50.96,51.3,50.86,51.12,51.139,15,7
1656489900,51.48,51.5,51.39,51.5,51.457,23,8
1656490200,51.51,51.51,51.25,51.25,51.443,10,5
1656490500,51.03,51.18,51.03,51.18,51.147,9,6
1656490800,51.18,51.18,51.18,51.18,51.18,1,1
1656491100,51.22,51.25,51.22,51.25,51.235,2,2
1656491400,51.2,51.25,51.2,51.25,51.231,3,3
1656491700,51.24,51.25,51.24,51.25,51.245,2,2
1656492000,51.18,51.24,51.15,51.24,51.165,36,15
1656492300,51.17,51.2,51.15,51.2,51.17,32,18
1656492600,51.19,51.19,51.19,51.19,51.19,1,1
1656492900,51.15,51.15,51.04,51.04,51.147,69,31
1656493200,51.13,51.13,51.13,51.13,51.13,1,1
1656493500,51.13,51.14,51.13,51.14,51.137,24,12
1656493800,51.1,51.1,51.01,51.01,51.083,6,3
1656494100,51.01,51.01,51.01,51.01,51.01,0,0
1656494400,51.01,51.01,51.01,51.01,51.01,0,0
1656494700,51.15,51.15,51.15,51.15,51.15,1,1
1656495000,51.15,51.15,51.15,51.15,51.15,0,0
1656495300,51.15,51.15,51.15,51.15,51.15,0,0
1656495600,51.02,51.02,51.01,51.01,51.013,3,3
1656495900,51.04,51.04,51.0,51.0,51.02,2,2
1656496200,51.02,51.02,51.02,51.02,51.02,3,3
1656496500,51.02,51.02,50.71,50.71,50.853,46,33
1656496800,50.53,50.54,50.5,50.53,50.518,10,5
1656497100,50.7,50.73,50.64,50.73,50.682,20,10
1656497400,50.74,50.74,50.74,50.74,50.74,1,1
1656497700,50.74,50.74,50.74,50.74,50.74,0,0
1656498000,50.74,50.74,50.74,50.74,50.74,0,0
1656498300,50.74,50.74,50.74,50.74,50.74,0,0
1656498600,50.74,50.74,50.74,50.74,50.74,0,0
1656498900,50.74,50.74,50.74,50.74,50.74,0,0
1656499200,50.88,50.88,50.87,50.87,50.875,5,2
1656499500,50.88,50.88,50.63,50.63,50.759,7,4
1656499800,50.62,50.62,50.37,50.37,50.468,9,8
1656500100,50.47,50.5,50.47,50.5,50.487,7,6
1656500400,50.6,50.6,50.43,50.49,50.536,8,5
1656500700,50.45,50.54,50.43,50.43,50.455,6,5
1656501000,50.4,50.4,50.26,50.36,50.369,40,17
1656501300,50.25,50.26,50.16,50.16,50.248,20,20
1656501600,50.15,50.2,50.14,50.19,50.184,36,24
1656501900,50.19,50.2,50.15,50.2,50.184,44,21
1656502200,50.2,50.2,50.16,50.2,50.194,38,17
1656502500,50.32,50.32,50.22,50.29,50.292,17,11
1656502800,50.29,50.3,50.28,50.28,50.288,6,5
1656503100,50.22,50.26,50.16,50.16,50.199,39,31
1656503400,50.11,50.18,50.08,50.18,50.109,24,15
1656503700,50.2,50.45,50.18,50.45,50.277,24,10
1656504000,50.6,52.23,50.09,50.61,50.401,124,41
1656504300,50.69,50.81,50.61,50.61,50.733,69,28
1656504600,50.5,50.6,50.45,50.6,50.533,9,7
1656504900,50.58,50.8,50.58,50.7,50.7,53,14
1656505200,50.69,50.75,50.68,50.68,50.699,69,36
1656505500,50.68,50.68,50.5,50.5,50.538,14,10
1656505800,50.68,50.68,50.49,50.53,50.588,48,32
1656506100,50.57,50.57,50.37,50.46,50.465,53,31
1656506400,50.34,51.18,50.2,50.59,50.37,56,15
1656506700,50.33,50.51,50.33,50.51,50.426,5,5
1656507000,50.55,50.55,50.36,50.36,50.446,22,10
1656507300,50.41,50.41,50.37,50.37,50.391,6,5
1656507600,50.38,50.38,50.38,50.38,50.38,2,1
1656507900,50.4,50.6,50.4,50.6,50.509,24,15
1656508200,50.59,50.63,50.59,50.6,50.607,16,12
1656508500,50.59,50.64,50.5,50.61,50.589,44,18
1656508800,50.69,50.69,50.56,50.58,50.658,20,10
1656509100,50.5,50.5,50.3,50.34,50.432,28,12
1656509400,50.32,50.5,48.99,49.55,49.697,4463,1833
1656509700,49.54,50.1,49.15,49.69,49.678,1754,846
1656510000,49.68,49.78,49.06,49.13,49.393,1508,710
1656510300,49.11,49.58,48.91,49.52,49.146,1891,992
1656510600,49.49,51.35,49.39,51.07,50.575,2582,1098
1656510900,51.11,51.13,50.38,50.53,50.769,1345,674
1656511200,50.51,51.37,50.19,51.16,50.929,1689,733
1656511500,51.15,51.26,50.58,50.76,50.954,851,400
1656511800,50.79,51.07,50.51,50.6,50.725,1678,858
1656512100,50.59,50.78,49.85,49.88,50.304,1506,785
1656512400,49.87,50.22,49.57,50.05,49.821,795,426
1656512700,50.03,50.69,49.95,50.28,50.336,527,273
1656513000,50.29,50.89,50.27,50.53,50.612,864,447
