date,open,high,low,close,average,volume,count
1660032000,97.9,97.9,97.9,97.9,97.9,1,1
1660032005,97.9,97.9,97.9,97.9,97.9,0,0
1660032010,97.9,97.9,97.9,97.9,97.9,0,0
1660032015,97.9,97.9,97.9,97.9,97.9,0,0
1660032020,97.9,97.9,97.9,97.9,97.9,0,0
1660032025,97.9,97.9,97.9,97.9,97.9,0,0
1660032030,97.9,97.9,97.9,97.9,97.9,0,0
1660032035,97.9,97.9,97.9,97.9,97.9,0,0
1660032040,98.1,98.1,98.1,98.1,98.1,4,1
1660032045,98.1,98.1,98.1,98.1,98.1,0,0
1660032050,98.1,98.1,98.1,98.1,98.1,0,0
1660032055,98.1,98.1,98.1,98.1,98.1,0,0
1660032060,98.1,98.1,98.1,98.1,98.1,0,0
1660032065,98.1,98.1,98.1,98.1,98.1,0,0
1660032070,98.52,98.52,98.52,98.52,98.52,1,1
1660032075,98.52,98.52,98.52,98.52,98.52,0,0
1660032080,98.52,98.52,98.52,98.52,98.52,0,0
1660032085,98.52,98.52,98.52,98.52,98.52,0,0
1660032090,98.52,98.52,98.52,98.52,98.52,0,0
1660032095,98.52,98.52,98.52,98.52,98.52,0,0
1660032100,98.52,98.52,98.52,98.52,98.52,0,0
1660032105,98.52,98.52,98.52,98.52,98.52,0,0
1660032110,98.52,98.52,98.52,98.52,98.52,0,0
1660032115,98.52,98.52,98.52,98.52,98.52,0,0
1660032120,98.52,98.52,98.52,98.52,98.52,0,0
1660032125,98.67,98.67,98.67,98.67,98.67,1,1
1660032130,98.67,98.67,98.67,98.67,98.67,0,0
1660032135,98.67,98.67,98.67,98.67,98.67,0,0
1660032140,98.67,98.67,98.67,98.67,98.67,0,0
1660032145,98.67,98.67,98.67,98.67,98.67,0,0
1660032150,98.67,98.67,98.67,98.67,98.67,0,0
1660032155,98.67,98.67,98.67,98.67,98.67,0,0
1660032160,98.67,98.67,98.67,98.67,98.67,0,0
1660032165,98.67,98.67,98.67,98.67,98.67,0,0
1660032170,98.67,98.67,98.67,98.67,98.67,0,0
1660032175,98.78,98.78,98.78,98.78,98.78,1,1
1660032180,98.73,98.73,98.73,98.73,98.73,1,1
1660032185,98.73,98.73,98.73,98.73,98.73,0,0
1660032190,98.73,98.73,98.73,98.73,98.73,0,0
1660032195,98.73,98.73,98.73,98.73,98.73,0,0
1660032200,98.73,98.73,98.73,98.73,98.73,0,0
1660032205,98.73,98.73,98.73,98.73,98.73,0,0
1660032210,98.73,98.73,98.73,98.73,98.73,0,0
1660032215,98.73,98.73,98.73,98.73,98.73,0,0
1660032220,98.73,98.73,98.73,98.73,98.73,0,0
1660032225,98.73,98.73,98.73,98.73,98.73,0,0
1660032230,98.73,98.73,98.73,98.73,98.73,0,0
1660032235,98.73,98.73,98.73,98.73,98.73,0,0
1660032240,98.73,98.73,98.73,98.73,98.73,0,0
1660032245,98.73,98.73,98.73,98.73,98.73,0,0
1660032250,98.73,98.73,98.73,98.73,98.73,0,0
1660032255,98.73,98.73,98.73,98.73,98.73,0,0
1660032260,98.73,98.73,98.73,98.73,98.73,0,0
1660032265,98.73,98.73,98.73,98.73,98.73,0,0
1660032270,98.73,98.73,98.73,98.73,98.73,0,0
1660032275,98.72,98.72,98.72,98.72,98.72,1,1
1660032280,98.72,98.72,98.72,98.72,98.72,0,0
1660032285,98.72,98.72,98.72,98.72,98.72,0,0
1660032290,98.72,98.72,98.72,98.72,98.72,0,0
1660032295,98.72,98.72,98.72,98.72,98.72,0,0
1660032300,98.72,98.72,98.72,98.72,98.72,0,0
1660032305,98.72,98.72,98.72,98.72,98.72,0,0
1660032310,98.72,98.72,98.72,98.72,98.72,0,0
1660032315,98.72,98.72,98.72,98.72,98.72,0,0
1660032320,98.72,98.72,98.72,98.72,98.72,0,0
1660032325,98.72,98.72,98.72,98.72,98.72,0,0
1660032330,98.72,98.72,98.72,98.72,98.72,0,0
1660032335,98.72,98.72,98.72,98.72,98.72,0,0
1660032340,98.72,98.72,98.72,98.72,98.72,0,0
1660032345,98.72,98.72,98.72,98.72,98.72,0,0
1660032350,98.72,98.72,98.72,98.72,98.72,0,0
1660032355,98.72,98.72,98.72,98.72,98.72,0,0
1660032360,98.72,98.72,98.72,98.72,98.72,0,0
1660032365,98.72,98.72,98.72,98.72,98.72,0,0
1660032370,98.72,98.72,98.72,98.72,98.72,0,0
1660032375,98.72,98.72,98.72,98.72,98.72,0,0
1660032380,98.72,98.72,98.72,98.72,98.72,0,0
1660032385,98.72,98.72,98.72,98.72,98.72,0,0
1660032390,98.72,98.72,98.72,98.72,98.72,0,0
1660032395,98.72,98.72,98.72,98.72,98.72,0,0
1660032400,98.72,98.72,98.72,98.72,98.72,0,0
1660032405,98.72,98.72,98.72,98.72,98.72,0,0
1660032410,98.72,98.72,98.72,98.72,98.72,0,0
1660032415,98.72,98.72,98.72,98.72,98.72,0,0
1660032420,98.72,98.72,98.72,98.72,98.72,0,0
1660032425,98.72,98.72,98.72,98.72,98.72,0,0
1660032430,98.72,98.72,98.72,98.72,98.72,0,0
1660032435,98.72,98.72,98.72,98.72,98.72,0,0
1660032440,98.72,98.72,98.72,98.72,98.72,0,0
1660032445,98.72,98.72,98.72,98.72,98.72,0,0
1660032450,98.72,98.72,98.72,98.72,98.72,0,0
1660032455,98.72,98.72,98.72,98.72,98.72,0,0
1660032460,98.72,98.72,98.72,98.72,98.72,0,0
1660032465,98.72,98.72,98.72,98.72,98.72,0,0
1660032470,98.72,98.72,98.72,98.72,98.72,0,0
1660032475,98.72,98.72,98.72,98.72,98.72,0,0
1660032480,98.72,98.72,98.72,98.72,98.72,0,0
1660032485,98.72,98.72,98.72,98.72,98.72,0,0
1660032490,98.72,98.72,98.72,98.72,98.72,0,0
1660032495,98.72,98.72,98.72,98.72,98.72,0,0
1660032500,98.72,98.72,98.72,98.72,98.72,0,0
1660032505,98.72,98.72,98.72,98.72,98.72,0,0
1660032510,98.72,98.72,98.72,98.72,98.72,0,0
1660032515,98.72,98.72,98.72,98.72,98.72,0,0
1660032520,98.72,98.72,98.72,98.72,98.72,0,0
1660032525,98.72,98.72,98.72,98.72,98.72,0,0
1660032530,98.72,98.72,98.72,98.72,98.72,0,0
1660032535,98.72,98.72,98.72,98.72,98.72,0,0
1660032540,98.72,98.72,98.72,98.72,98.72,0,0
1660032545,98.72,98.72,98.72,98.72,98.72,0,0
1660032550,98.72,98.72,98.72,98.72,98.72,0,0
1660032555,98.72,98.72,98.72,98.72,98.72,0,0
1660032560,98.72,98.72,98.72,98.72,98.72,0,0
1660032565,98.72,98.72,98.72,98.72,98.72,0,0
