date,open,high,low,close,average,volume,count
1623767400,35.85,35.85,35.84,35.84,35.849,10,5
1623767401,35.83,35.83,35.8,35.8,35.815,2,2
1623767402,35.8,35.8,35.8,35.8,35.8,0,0
1623767403,35.86,35.88,35.86,35.88,35.865,29,11
1623767404,35.88,35.9,35.88,35.9,35.887,4,4
1623767405,35.9,35.9,35.9,35.9,35.9,5,1
1623767406,35.89,35.9,35.89,35.89,35.891,1,1
1623767407,35.89,35.9,35.89,35.89,35.89,0,0
1623767408,35.89,35.9,35.89,35.89,35.89,0,0
1623767409,35.9,35.9,35.9,35.9,35.9,19,4
1623767410,35.9,35.9,35.9,35.9,35.9,0,0
1623767411,35.88,35.9,35.88,35.9,35.897,7,3
1623767412,35.89,35.89,35.86,35.86,35.885,15,5
1623767413,35.86,35.86,35.86,35.86,35.86,0,0
1623767414,35.86,35.86,35.86,35.86,35.86,0,0
1623767415,35.86,35.86,35.86,35.86,35.86,0,0
1623767416,35.89,35.89,35.87,35.87,35.876,6,2
1623767417,35.86,35.86,35.86,35.86,35.86,5,1
1623767418,35.9,35.9,35.9,35.9,35.9,5,1
1623767419,35.9,35.9,35.9,35.9,35.9,0,0
1623767420,35.89,35.89,35.89,35.89,35.89,1,1
1623767421,35.89,35.89,35.89,35.89,35.89,0,0
1623767422,35.9,35.9,35.88,35.88,35.888,2,2
1623767423,35.88,35.88,35.88,35.88,35.88,19,2
1623767424,35.9,35.9,35.89,35.9,35.9,7,2
1623767425,35.9,35.93,35.89,35.93,35.907,70,18
1623767426,35.9,35.93,35.89,35.89,35.9,8,6
1623767427,35.9,35.9,35.89,35.9,35.895,1,1
1623767428,35.9,35.9,35.89,35.9,35.9,0,0
1623767429,35.94,35.94,35.91,35.91,35.933,13,8
1623767430,35.95,35.95,35.95,35.95,35.95,5,1
1623767431,35.9,35.9,35.9,35.9,35.9,1,1
1623767432,35.9,35.9,35.9,35.9,35.9,0,0
1623767433,35.9,35.9,35.9,35.9,35.9,0,0
1623767434,35.9,35.9,35.9,35.9,35.9,0,0
1623767435,35.9,35.9,35.9,35.9,35.9,2,1
1623767436,35.91,35.91,35.91,35.91,35.91,1,1
1623767437,35.9,35.9,35.81,35.81,35.872,10,9
1623767438,35.81,35.81,35.81,35.81,35.81,0,0
1623767439,35.84,35.88,35.83,35.88,35.846,66,9
1623767440,35.83,35.83,35.82,35.83,35.828,3,1
1623767441,35.88,35.88,35.88,35.88,35.88,3,1
1623767442,35.88,35.88,35.88,35.88,35.88,0,0
1623767443,35.88,35.88,35.88,35.88,35.88,0,0
1623767444,35.84,35.86,35.84,35.86,35.851,8,2
1623767445,35.86,35.86,35.85,35.86,35.86,0,0
1623767446,35.86,35.86,35.85,35.86,35.86,0,0
1623767447,35.89,35.94,35.87,35.94,35.905,4,3
1623767448,35.89,35.89,35.83,35.83,35.849,35,9
1623767449,35.89,35.92,35.89,35.92,35.908,3,2
1623767450,35.89,35.9,35.89,35.89,35.892,30,1
1623767451,35.89,35.89,35.88,35.89,35.885,15,1
1623767452,35.89,35.89,35.88,35.89,35.885,2,1
1623767453,35.89,35.89,35.89,35.89,35.89,1,1
1623767454,35.89,35.89,35.89,35.89,35.89,0,0
1623767455,35.89,35.89,35.89,35.89,35.89,0,0
1623767456,35.87,35.87,35.87,35.87,35.87,2,2
1623767457,35.87,35.87,35.87,35.87,35.87,0,0
1623767458,35.87,35.87,35.87,35.87,35.87,0,0
1623767459,35.87,35.87,35.86,35.87,35.865,1,1
1623767460,35.9,35.9,35.9,35.9,35.9,1,1
1623767461,35.9,35.9,35.9,35.9,35.9,0,0
1623767462,35.9,35.9,35.9,35.9,35.9,0,0
1623767463,35.9,35.9,35.9,35.9,35.9,0,0
1623767464,35.9,35.9,35.9,35.9,35.9,0,0
1623767465,35.9,35.9,35.9,35.9,35.9,0,0
1623767466,35.9,35.9,35.9,35.9,35.9,2,1
1623767467,35.89,35.9,35.89,35.9,35.897,3,2
1623767468,35.89,35.89,35.88,35.89,35.885,2,1
1623767469,35.87,35.87,35.87,35.87,35.87,4,1
1623767470,35.87,35.87,35.87,35.87,35.87,0,0
1623767471,35.87,35.87,35.87,35.87,35.87,0,0
1623767472,35.87,35.87,35.87,35.87,35.87,0,0
1623767473,35.87,35.88,35.87,35.88,35.873,9,5
1623767474,35.88,35.88,35.88,35.88,35.88,0,0
1623767475,35.88,35.89,35.88,35.89,35.882,39,12
1623767476,35.89,35.89,35.88,35.89,35.89,0,0
1623767477,35.89,35.89,35.88,35.89,35.89,0,0
1623767478,35.89,35.89,35.88,35.89,35.886,7,4
1623767479,35.89,35.89,35.89,35.89,35.89,0,0
1623767480,35.89,35.89,35.89,35.89,35.89,0,0
1623767481,35.9,35.91,35.89,35.9,35.902,35,20
1623767482,35.92,35.92,35.91,35.92,35.917,1,1
1623767483,35.91,35.92,35.89,35.89,35.902,33,9
1623767484,35.89,35.89,35.89,35.89,35.89,0,0
1623767485,35.89,35.89,35.89,35.89,35.89,0,0
1623767486,35.91,35.92,35.91,35.91,35.912,5,1
1623767487,35.89,35.9,35.89,35.89,35.89,6,3
1623767488,35.89,35.89,35.84,35.84,35.865,42,9
1623767489,35.83,35.83,35.75,35.75,35.797,39,12
1623767490,35.76,35.76,35.75,35.75,35.751,8,5
1623767491,35.75,35.77,35.74,35.76,35.751,113,29
1623767492,35.74,35.74,35.74,35.74,35.74,1,1
1623767493,35.74,35.74,35.74,35.74,35.74,0,0
1623767494,35.74,35.74,35.74,35.74,35.74,0,0
1623767495,35.74,35.74,35.74,35.74,35.74,3,3
1623767496,35.74,35.74,35.74,35.74,35.74,0,0
1623767497,35.74,35.75,35.74,35.75,35.747,15,8
1623767498,35.73,35.73,35.72,35.73,35.725,3,3
1623767499,35.73,35.73,35.72,35.73,35.725,1,1
1623767500,35.73,35.73,35.7,35.72,35.719,52,30
1623767501,35.71,35.73,35.71,35.73,35.714,8,2
1623767502,35.72,35.72,35.72,35.72,35.72,8,1
1623767503,35.72,35.72,35.72,35.72,35.72,0,0
1623767504,35.72,35.72,35.71,35.72,35.719,2,2
1623767505,35.74,35.74,35.74,35.74,35.74,2,2
1623767506,35.74,35.74,35.74,35.74,35.74,0,0
1623767507,35.75,35.77,35.74,35.77,35.756,14,8
1623767508,35.77,35.77,35.77,35.77,35.77,0,0
1623767509,35.75,35.75,35.75,35.75,35.75,1,1
1623767510,35.75,35.75,35.75,35.75,35.75,0,0
1623767511,35.75,35.75,35.75,35.75,35.75,0,0
1623767512,35.74,35.74,35.74,35.74,35.74,3,1
1623767513,35.74,35.74,35.74,35.74,35.74,0,0
1623767514,35.79,35.79,35.78,35.79,35.79,1,1
1623767515,35.79,35.79,35.78,35.79,35.79,0,0
1623767516,35.79,35.79,35.78,35.79,35.79,0,0
1623767517,35.77,35.77,35.77,35.77,35.77,2,1
1623767518,35.77,35.77,35.77,35.77,35.77,0,0
1623767519,35.77,35.77,35.77,35.77,35.77,0,0
1623767520,35.75,35.75,35.75,35.75,35.75,2,1
1623767521,35.75,35.75,35.75,35.75,35.75,0,0
1623767522,35.75,35.75,35.75,35.75,35.75,0,0
1623767523,35.75,35.75,35.75,35.75,35.75,0,0
1623767524,35.73,35.74,35.73,35.73,35.732,4,1
1623767525,35.73,35.74,35.73,35.73,35.73,0,0
1623767526,35.76,35.76,35.76,35.76,35.76,1,1
1623767527,35.76,35.76,35.76,35.76,35.76,0,0
1623767528,35.76,35.76,35.76,35.76,35.76,0,0
1623767529,35.76,35.76,35.76,35.76,35.76,0,0
1623767530,35.76,35.76,35.76,35.76,35.76,0,0
1623767531,35.74,35.76,35.73,35.75,35.747,8,5
1623767532,35.75,35.76,35.75,35.75,35.75,0,0
