date,open,high,low,close,average,volume,count
1629283500,26.81,26.81,26.81,26.81,26.81,1,1
1629284400,26.81,26.81,26.81,26.81,26.81,1,1
1629285300,26.81,26.81,26.81,26.81,26.81,0,0
1629286200,26.81,26.81,26.81,26.81,26.81,0,0
1629287100,26.81,26.81,26.81,26.81,26.81,0,0
1629288000,26.63,26.85,26.5,26.5,26.652,7,5
1629288900,26.5,26.5,26.5,26.5,26.5,0,0
1629289800,26.5,26.5,26.5,26.5,26.5,0,0
1629290700,26.75,26.75,26.75,26.75,26.75,1,1
1629291600,26.78,26.79,26.78,26.78,26.78,2,2
1629292500,26.76,26.76,26.76,26.76,26.76,1,1
1629293400,26.69,26.85,26.5,26.5,26.671,707,201
1629294300,26.47,26.5,26.25,26.48,26.349,717,330
1629295200,26.49,26.49,26.13,26.45,26.269,737,327
1629296100,26.42,26.47,26.28,26.37,26.382,277,161
1629297000,26.36,26.51,26.35,26.51,26.424,443,192
1629297900,26.5,26.69,26.46,26.67,26.581,209,137
1629298800,26.66,26.75,26.61,26.65,26.696,298,138
1629299700,26.65,26.7,26.61,26.64,26.655,170,114
1629300600,26.65,26.69,26.52,26.56,26.576,180,110
1629301500,26.54,26.62,26.48,26.56,26.531,306,139
1629302400,26.54,26.63,26.54,26.61,26.606,121,90
1629303300,26.59,26.66,26.58,26.61,26.607,106,73
1629304200,26.64,26.72,26.63,26.68,26.678,74,60
1629305100,26.67,26.76,26.66,26.67,26.718,159,81
1629306000,26.67,26.77,26.67,26.71,26.725,241,125
1629306900,26.71,26.73,26.65,26.67,26.69,128,79
1629307800,26.67,26.67,26.62,26.62,26.648,150,103
1629308700,26.65,26.7,26.63,26.66,26.66,269,102
1629309600,26.67,26.91,26.64,26.71,26.823,385,200
1629310500,26.72,26.89,26.64,26.85,26.774,208,143
1629311400,26.85,26.9,26.8,26.81,26.842,174,88
1629312300,26.81,26.81,26.72,26.72,26.774,157,124
1629313200,26.7,26.71,26.55,26.58,26.628,321,232
1629314100,26.58,26.61,26.36,26.4,26.475,1314,558
1629315000,26.4,26.42,26.3,26.32,26.35,578,340
1629315900,26.32,26.34,26.2,26.28,26.268,1324,859
1629316800,26.28,26.3,26.28,26.3,26.28,264,4
1629317700,26.28,26.38,26.28,26.38,26.328,9,2
1629318600,26.36,26.4,26.28,26.3,26.328,20,8
1629319500,26.34,26.34,26.34,26.34,26.34,1,1
1629320400,26.34,26.34,26.34,26.34,26.34,0,0
1629321300,26.34,26.34,26.34,26.34,26.34,0,0
1629322200,26.31,26.31,26.31,26.31,26.31,4,2
1629323100,26.31,26.31,26.25,26.3,26.269,7,4
1629324000,26.21,26.21,26.21,26.21,26.21,1,1
1629324900,26.21,26.21,26.21,26.21,26.21,9,1
1629325800,26.21,26.21,26.21,26.21,26.21,1,1
1629326700,26.21,26.21,26.21,26.21,26.21,0,0
1629327600,26.21,26.21,26.21,26.21,26.21,0,0
1629328500,26.21,26.21,26.21,26.21,26.21,0,0
1629329400,26.21,26.21,26.21,26.21,26.21,0,0
1629330300,26.31,26.31,26.2,26.2,26.269,2,2
1629361800,26.02,26.03,26.02,26.03,26.025,3,2
1629362700,26.0,26.0,26.0,26.0,26.0,15,6
1629363600,26.0,26.0,26.0,26.0,26.0,0,0
1629364500,26.0,26.0,26.0,26.0,26.0,0,0
1629365400,26.0,26.0,26.0,26.0,26.0,0,0
1629366300,26.0,26.0,26.0,26.0,26.0,0,0
1629367200,25.98,25.98,25.98,25.98,25.98,1,1
1629368100,25.81,25.81,25.81,25.81,25.81,1,1
