date,open,high,low,close,average,volume,count
1656340200,43.82,43.82,43.82,43.82,43.82,1,1
1656340201,43.82,43.82,43.82,43.82,43.82,0,0
1656340202,43.82,43.82,43.81,43.81,43.813,2,2
1656340203,43.81,43.81,43.81,43.81,43.81,0,0
1656340204,43.81,43.81,43.81,43.81,43.81,0,0
1656340205,43.82,43.82,43.81,43.82,43.819,7,5
1656340206,43.84,43.84,43.83,43.83,43.83,16,16
1656340207,43.83,43.84,43.83,43.84,43.836,6,2
1656340208,43.84,43.84,43.83,43.84,43.84,0,0
1656340209,43.83,43.84,43.82,43.84,43.83,9,9
1656340210,43.83,43.83,43.83,43.83,43.83,2,2
1656340211,43.83,43.83,43.82,43.83,43.825,1,1
1656340212,43.82,43.82,43.82,43.82,43.82,1,1
1656340213,43.82,43.82,43.82,43.82,43.82,0,0
1656340214,43.82,43.82,43.82,43.82,43.82,0,0
1656340215,43.82,43.82,43.81,43.82,43.817,3,3
1656340216,43.82,43.82,43.82,43.82,43.82,2,2
1656340217,43.82,43.82,43.82,43.82,43.82,0,0
1656340218,43.83,43.83,43.82,43.82,43.827,8,3
1656340219,43.83,43.85,43.82,43.84,43.834,20,16
1656340220,43.84,43.85,43.84,43.84,43.84,0,0
1656340221,43.84,43.85,43.84,43.84,43.84,0,0
1656340222,43.84,43.85,43.84,43.85,43.848,2,2
1656340223,43.85,43.85,43.85,43.85,43.85,0,0
1656340224,43.86,43.86,43.85,43.86,43.858,4,2
1656340225,43.86,43.86,43.86,43.86,43.86,14,12
1656340226,43.86,43.86,43.86,43.86,43.86,0,0
1656340227,43.86,43.86,43.86,43.86,43.86,0,0
1656340228,43.86,43.86,43.86,43.86,43.86,0,0
1656340229,43.86,43.87,43.86,43.86,43.861,5,1
1656340230,43.87,43.87,43.87,43.87,43.87,2,2
1656340231,43.87,43.87,43.87,43.87,43.87,1,1
1656340232,43.87,43.87,43.87,43.87,43.87,0,0
1656340233,43.87,43.87,43.87,43.87,43.87,0,0
1656340234,43.88,43.88,43.87,43.87,43.874,2,2
1656340235,43.87,43.87,43.87,43.87,43.87,3,3
1656340236,43.87,43.87,43.87,43.87,43.87,0,0
1656340237,43.87,43.87,43.87,43.87,43.87,3,3
1656340238,43.87,43.87,43.87,43.87,43.87,0,0
1656340239,43.87,43.87,43.86,43.87,43.865,1,1
1656340240,43.87,43.87,43.86,43.87,43.87,0,0
1656340241,43.87,43.88,43.86,43.88,43.872,7,6
1656340242,43.88,43.88,43.87,43.88,43.87,0,0
1656340243,43.87,43.87,43.87,43.87,43.87,2,2
1656340244,43.87,43.87,43.86,43.87,43.865,1,1
1656340245,43.87,43.87,43.86,43.87,43.867,3,3
1656340246,43.87,43.87,43.86,43.87,43.87,0,0
1656340247,43.87,43.87,43.86,43.87,43.87,0,0
1656340248,43.86,43.86,43.86,43.86,43.86,1,1
1656340249,43.86,43.86,43.86,43.86,43.86,0,0
1656340250,43.87,43.87,43.86,43.87,43.868,2,1
1656340251,43.87,43.87,43.86,43.87,43.869,3,2
1656340252,43.87,43.87,43.86,43.87,43.87,0,0
1656340253,43.86,43.86,43.86,43.86,43.86,33,5
1656340254,43.86,43.86,43.86,43.86,43.86,0,0
1656340255,43.86,43.87,43.86,43.87,43.862,3,3
1656340256,43.87,43.87,43.86,43.87,43.87,0,0
