date,open,high,low,close,average,volume,count
1625666400,2.08,2.09,2.08,2.085,2.08648,127,10
1625666401,2.089,2.09,2.08,2.08,2.08688,162,11
1625666402,2.0899,2.09,2.08,2.085,2.08629,81,6
1625666403,2.0801,2.09,2.08,2.088,2.08384,94,12
1625666404,2.09,2.09,2.08,2.0895,2.08939,67,13
1625666405,2.089,2.09,2.085,2.0899,2.08914,82,15
1625666406,2.0814,2.09,2.0814,2.09,2.0897,71,6
1625666407,2.0811,2.09,2.08,2.0887,2.08793,127,17
1625666408,2.09,2.09,2.085,2.085,2.08997,472,30
1625666409,2.09,2.09,2.08,2.08,2.08421,124,15
1625666410,2.09,2.09,2.08,2.09,2.08912,195,23
1625666411,2.09,2.09,2.085,2.09,2.08951,61,16
1625666412,2.09,2.09,2.0886,2.0886,2.08953,22,4
1625666413,2.09,2.09,2.0897,2.09,2.08992,182,28
1625666414,2.09,2.09,2.08,2.088,2.08548,114,27
1625666415,2.09,2.09,2.08,2.085,2.08478,44,14
1625666416,2.085,2.09,2.082,2.085,2.08716,607,55
1625666417,2.0889,2.09,2.08,2.09,2.08571,112,23
1625666418,2.085,2.0899,2.08,2.08,2.08121,490,112
1625666419,2.0795,2.08,2.07,2.08,2.07286,357,37
1625666420,2.075,2.0766,2.06,2.06,2.06473,893,112
1625666421,2.06,2.07,2.06,2.065,2.06433,80,11
1625666422,2.07,2.07,2.06,2.07,2.06223,255,20
1625666423,2.06,2.07,2.06,2.06,2.0687,48,5
1625666424,2.06,2.07,2.06,2.065,2.06465,391,48
1625666425,2.065,2.065,2.06,2.0602,2.06063,160,10
1625666426,2.0687,2.0699,2.06,2.0699,2.06475,27,7
1625666427,2.06,2.07,2.06,2.065,2.0613,448,25
1625666428,2.06,2.07,2.05,2.0602,2.06001,817,112
1625666429,2.0694,2.0694,2.06,2.06,2.06614,189,26
1625666430,2.061,2.062,2.06,2.06,2.06073,114,23
1625666431,2.06,2.0679,2.05,2.06,2.05893,123,21
1625666432,2.06,2.0691,2.0501,2.06,2.05899,86,6
1625666433,2.06,2.0696,2.053,2.0598,2.06375,304,25
1625666434,2.053,2.06,2.0521,2.0599,2.05929,141,27
1625666435,2.06,2.06,2.0506,2.055,2.05773,213,20
1625666436,2.06,2.06,2.0515,2.06,2.05747,52,10
1625666437,2.06,2.06,2.05,2.06,2.0534,17,8
1625666438,2.06,2.06,2.055,2.055,2.05615,60,18
1625666439,2.055,2.06,2.05,2.055,2.05431,772,78
1625666440,2.0513,2.06,2.05,2.06,2.05315,4,3
1625666441,2.055,2.059,2.055,2.055,2.05833,36,3
1625666442,2.055,2.055,2.055,2.055,2.055,0,0
1625666443,2.055,2.06,2.05,2.0555,2.05549,55,8
1625666444,2.055,2.055,2.05,2.05,2.05084,29,8
1625666445,2.051,2.055,2.05,2.055,2.0517,38,7
1625666446,2.053,2.0586,2.03,2.0308,2.04221,1263,176
1625666447,2.03,2.0399,2.03,2.0302,2.031,266,33
1625666448,2.0304,2.04,2.03,2.03,2.03519,207,24
1625666449,2.035,2.0399,2.03,2.0399,2.03123,268,31
1625666450,2.03,2.04,2.03,2.035,2.03109,70,13
1625666451,2.035,2.0379,2.03,2.0379,2.03038,77,16
1625666452,2.03,2.035,2.03,2.03,2.03004,258,24
1625666453,2.03,2.04,2.03,2.0301,2.03159,248,23
1625666454,2.035,2.035,2.03,2.03,2.03005,254,15
1625666455,2.03,2.03,2.026,2.0289,2.02985,159,26
1625666456,2.02,2.03,2.02,2.02,2.02129,169,33
1625666457,2.02,2.0298,2.02,2.02,2.02168,154,26
1625666458,2.03,2.03,2.02,2.025,2.02181,328,25
1625666459,2.025,2.03,2.02,2.025,2.02068,294,38
1625666460,2.03,2.03,2.02,2.0201,2.02469,600,20
1625666461,2.02,2.0299,2.02,2.0201,2.02425,134,16
1625666462,2.02,2.0299,2.02,2.0201,2.02393,202,29
1625666463,2.02,2.025,2.02,2.02,2.0212,332,42
1625666464,2.025,2.025,2.01,2.02,2.01358,418,72
1625666465,2.0112,2.02,2.01,2.01,2.01199,789,34
1625666466,2.01,2.02,2.01,2.0113,2.01791,562,106
1625666467,2.01,2.02,2.01,2.015,2.01648,459,35
1625666468,2.02,2.02,2.01,2.02,2.01713,42,13
1625666469,2.02,2.02,2.01,2.01,2.01171,609,15
1625666470,2.02,2.02,2.01,2.02,2.01213,297,37
1625666471,2.015,2.02,2.01,2.01,2.01245,303,59
1625666472,2.015,2.02,2.01,2.02,2.01831,381,56
1625666473,2.0165,2.03,2.01,2.025,2.0241,577,165
1625666474,2.02,2.03,2.02,2.0274,2.02402,139,8
1625666475,2.0212,2.0293,2.02,2.02,2.02582,122,11
1625666476,2.025,2.0289,2.02,2.02,2.02509,33,16
1625666477,2.0288,2.03,2.02,2.03,2.02109,116,11
1625666478,2.025,2.03,2.02,2.02,2.02422,100,17
1625666479,2.025,2.03,2.02,2.025,2.02776,72,28
1625666480,2.02,2.0201,2.02,2.0201,2.02002,71,5
1625666481,2.025,2.03,2.0201,2.03,2.02718,120,36
1625666482,2.02,2.03,2.02,2.03,2.02764,40,11
1625666483,2.028,2.03,2.022,2.022,2.02663,72,20
1625666484,2.025,2.03,2.025,2.0291,2.02722,299,23
1625666485,2.03,2.03,2.02,2.03,2.02917,434,36
1625666486,2.025,2.03,2.02,2.02,2.02715,126,15
1625666487,2.0292,2.03,2.02,2.02,2.02656,312,20
1625666488,2.02,2.03,2.02,2.0299,2.0278,196,41
1625666489,2.03,2.03,2.025,2.0298,2.02587,252,9
1625666490,2.023,2.03,2.02,2.0299,2.02286,50,11
1625666491,2.03,2.03,2.025,2.025,2.02934,57,20
1625666492,2.022,2.03,2.02,2.03,2.02555,61,9
1625666493,2.025,2.03,2.02,2.025,2.02745,172,21
1625666494,2.025,2.03,2.0221,2.0221,2.02836,32,8
1625666495,2.025,2.03,2.025,2.025,2.02592,15,5
1625666496,2.02,2.03,2.02,2.02,2.02519,709,9
1625666497,2.025,2.025,2.025,2.025,2.025,5,4
1625666498,2.025,2.03,2.025,2.025,2.02817,117,11
1625666499,2.025,2.0285,2.0201,2.025,2.02473,10,5
1625666500,2.0201,2.03,2.02,2.02,2.02444,13,10
1625666501,2.025,2.03,2.025,2.0297,2.02719,18,3
1625666502,2.025,2.03,2.0212,2.03,2.02709,718,52
1625666503,2.029,2.0295,2.0201,2.0201,2.0285,126,5
1625666504,2.025,2.03,2.025,2.025,2.02553,65,14
1625666505,2.0201,2.0299,2.02,2.02,2.02122,792,135
1625666506,2.02,2.02,2.01,2.02,2.01249,2231,159
1625666507,2.0115,2.02,1.98,1.985,2.00012,6279,709
1625666508,1.985,1.99,1.98,1.99,1.98066,262,52
1625666509,1.985,1.99,1.98,1.98,1.98333,130,17
1625666510,1.9812,1.99,1.98,1.9889,1.98578,296,28
1625666511,1.9894,1.99,1.985,1.9899,1.98922,273,13
1625666512,1.985,1.99,1.98,1.988,1.98466,495,31
1625666513,1.9801,1.99,1.98,1.99,1.98621,643,49
1625666514,1.99,2.0,1.99,2.0,1.99436,411,37
1625666515,1.9983,2.0,1.99,2.0,1.99932,246,24
1625666516,1.995,2.0,1.9911,2.0,1.99822,223,17
1625666517,1.99,2.0,1.99,1.995,1.99498,115,12
1625666518,1.99,2.0,1.99,1.995,1.99079,414,17
1625666519,1.995,2.0,1.99,1.995,1.9922,184,21
1625666520,1.995,2.0,1.99,1.9911,1.99542,83,39
1625666521,1.9914,2.0,1.99,1.99,1.99788,263,11
1625666522,1.995,2.0,1.99,2.0,1.99466,105,23
1625666523,1.9905,2.0,1.99,2.0,1.99849,646,37
1625666524,1.99,2.0,1.99,1.99,1.99076,103,9
1625666525,1.995,2.0,1.9901,1.9901,1.99666,206,6
1625666526,1.995,1.9993,1.99,1.9911,1.99239,271,10
1625666527,1.9906,2.0,1.99,1.995,1.99265,258,15
1625666528,1.9988,2.0,1.9905,2.0,1.99213,133,7
1625666529,1.9911,2.0,1.9911,1.995,1.99527,20,7
1625666530,1.995,1.9999,1.99,1.995,1.99125,30,6
1625666531,1.9901,1.9986,1.99,1.9982,1.99104,114,7
1625666532,1.99,2.0,1.99,1.99,1.99321,218,38
1625666533,1.99,2.0,1.99,1.99,1.99168,535,100
1625666534,1.99,2.0,1.9801,1.9901,1.99374,789,83
1625666535,1.991,1.991,1.985,1.99,1.98976,417,15
1625666536,1.98,1.9994,1.98,1.9911,1.98978,182,23
1625666537,2.0,2.0,1.99,2.0,1.99533,144,30
1625666538,2.0,2.0,1.99,1.9903,1.99502,579,37
1625666539,1.99,2.0,1.98,1.99,1.98337,125,19
1625666540,1.9801,2.0,1.98,1.99,1.98916,299,24
