date,open,high,low,close,average,volume,count
1657119600,68.77,68.77,68.77,68.77,68.77,0,0
1657119601,68.77,68.77,68.77,68.77,68.77,0,0
1657119602,68.8,68.8,68.76,68.76,68.785,15,6
1657119603,68.76,68.76,68.76,68.76,68.76,0,0
1657119604,68.76,68.76,68.76,68.76,68.76,0,0
1657119605,68.72,68.72,68.72,68.72,68.72,1,1
1657119606,68.72,68.72,68.72,68.72,68.72,0,0
1657119607,68.73,68.73,68.73,68.73,68.73,20,1
1657119608,68.74,68.74,68.74,68.74,68.74,1,1
1657119609,68.8,68.81,68.8,68.81,68.804,7,7
1657119610,68.81,68.81,68.8,68.81,68.81,0,0
1657119611,68.81,68.81,68.8,68.81,68.81,0,0
1657119612,68.81,68.81,68.8,68.81,68.81,0,0
1657119613,68.82,68.82,68.81,68.81,68.813,3,3
1657119614,68.81,68.81,68.81,68.81,68.81,0,0
1657119615,68.81,68.81,68.81,68.81,68.81,0,0
1657119616,68.84,68.84,68.84,68.84,68.84,3,3
1657119617,68.84,68.84,68.84,68.84,68.84,0,0
1657119618,68.84,68.84,68.84,68.84,68.84,0,0
1657119619,68.84,68.84,68.84,68.84,68.84,0,0
1657119620,68.84,68.84,68.84,68.84,68.84,0,0
1657119621,68.81,68.81,68.81,68.81,68.81,20,1
1657119622,68.83,68.83,68.82,68.82,68.827,3,3
1657119623,68.82,68.83,68.81,68.82,68.825,29,6
1657119624,68.77,68.83,68.76,68.77,68.793,5,4
1657119625,68.77,68.77,68.76,68.77,68.76,0,0
1657119626,68.77,68.77,68.76,68.77,68.76,0,0
1657119627,68.77,68.77,68.76,68.77,68.76,0,0
1657119628,68.77,68.77,68.76,68.77,68.76,0,0
1657119629,68.77,68.77,68.76,68.77,68.76,0,0
1657119630,68.77,68.77,68.76,68.77,68.76,0,0
1657119631,68.77,68.77,68.76,68.77,68.76,0,0
1657119632,68.77,68.77,68.76,68.77,68.76,0,0
1657119633,68.8,68.8,68.8,68.8,68.8,1,1
1657119634,68.8,68.8,68.8,68.8,68.8,0,0
1657119635,68.8,68.8,68.8,68.8,68.8,0,0
1657119636,68.83,68.85,68.83,68.85,68.834,5,5
1657119637,68.85,68.85,68.85,68.85,68.85,2,1
1657119638,68.85,68.85,68.85,68.85,68.85,0,0
1657119639,68.85,68.85,68.85,68.85,68.85,1,1
1657119640,68.82,68.82,68.82,68.82,68.82,2,2
