date,open,high,low,close,average,volume,count
1625238000,15.58,15.58,15.57,15.58,15.575,5,1
1625238001,15.57,15.58,15.57,15.57,15.571,1,1
1625238002,15.58,15.58,15.57,15.58,15.575,9,1
1625238003,15.58,15.58,15.57,15.57,15.576,10,4
1625238004,15.57,15.58,15.57,15.57,15.57,0,0
1625238005,15.58,15.58,15.57,15.58,15.575,2,2
1625238006,15.58,15.58,15.57,15.57,15.575,13,7
1625238007,15.57,15.57,15.57,15.57,15.57,1,1
1625238008,15.57,15.58,15.57,15.57,15.57,4,2
1625238009,15.57,15.58,15.57,15.57,15.57,1,1
1625238010,15.58,15.58,15.57,15.58,15.574,16,4
1625238011,15.58,15.58,15.57,15.58,15.575,11,6
1625238012,15.57,15.58,15.57,15.57,15.578,63,6
1625238013,15.57,15.58,15.57,15.57,15.57,12,7
1625238014,15.57,15.58,15.57,15.57,15.57,9,1
1625238015,15.57,15.58,15.57,15.57,15.57,0,0
1625238016,15.58,15.58,15.57,15.58,15.573,5,3
1625238017,15.58,15.58,15.57,15.58,15.58,0,0
1625238018,15.58,15.58,15.57,15.58,15.58,0,0
1625238019,15.58,15.58,15.57,15.57,15.577,5,5
1625238020,15.57,15.58,15.57,15.57,15.57,0,0
1625238021,15.57,15.57,15.57,15.57,15.57,56,17
1625238022,15.56,15.57,15.56,15.56,15.561,8,6
1625238023,15.57,15.57,15.56,15.57,15.562,8,3
1625238024,15.56,15.57,15.56,15.56,15.56,79,6
1625238025,15.57,15.57,15.56,15.56,15.561,44,6
1625238026,15.57,15.57,15.56,15.57,15.566,3,3
1625238027,15.57,15.57,15.56,15.56,15.561,10,2
1625238028,15.56,15.56,15.56,15.56,15.56,21,17
1625238029,15.56,15.56,15.56,15.56,15.56,0,0
1625238030,15.56,15.56,15.55,15.56,15.555,1,1
1625238031,15.56,15.56,15.55,15.56,15.56,0,0
1625238032,15.55,15.56,15.55,15.55,15.553,2,1
1625238033,15.56,15.56,15.55,15.55,15.559,62,18
1625238034,15.55,15.56,15.55,15.56,15.553,2,2
1625238035,15.56,15.56,15.55,15.56,15.556,15,3
1625238036,15.56,15.56,15.55,15.55,15.556,26,6
1625238037,15.56,15.56,15.55,15.56,15.557,10,1
1625238038,15.56,15.56,15.55,15.56,15.56,0,0
1625238039,15.55,15.56,15.55,15.56,15.557,17,13
1625238040,15.56,15.56,15.55,15.56,15.56,0,0
1625238041,15.56,15.56,15.55,15.56,15.56,0,0
1625238042,15.55,15.56,15.55,15.55,15.55,1,1
1625238043,15.55,15.56,15.55,15.55,15.55,0,0
1625238044,15.56,15.56,15.55,15.55,15.552,10,6
1625238045,15.55,15.55,15.55,15.55,15.55,1,1
1625238046,15.55,15.55,15.55,15.55,15.55,0,0
1625238047,15.56,15.56,15.55,15.56,15.552,18,10
1625238048,15.55,15.55,15.53,15.53,15.543,47,33
1625238049,15.55,15.55,15.55,15.55,15.55,1,1
1625238050,15.55,15.55,15.55,15.55,15.55,0,0
1625238051,15.53,15.54,15.53,15.53,15.531,15,7
1625238052,15.53,15.53,15.53,15.53,15.53,0,0
1625238053,15.53,15.54,15.53,15.53,15.53,24,11
1625238054,15.54,15.54,15.53,15.54,15.535,13,1
1625238055,15.54,15.54,15.53,15.54,15.537,14,8
1625238056,15.54,15.54,15.53,15.54,15.535,10,4
1625238057,15.54,15.54,15.53,15.54,15.54,0,0
1625238058,15.54,15.54,15.53,15.54,15.535,20,1
1625238059,15.54,15.54,15.53,15.54,15.538,4,3
1625238060,15.54,15.54,15.53,15.54,15.54,0,0
1625238061,15.54,15.54,15.53,15.54,15.54,50,1
1625238062,15.54,15.54,15.53,15.54,15.54,0,0
1625238063,15.54,15.54,15.53,15.54,15.54,0,0
1625238064,15.54,15.54,15.53,15.54,15.531,23,16
1625238065,15.54,15.54,15.53,15.53,15.531,9,6
1625238066,15.54,15.54,15.53,15.54,15.537,7,2
1625238067,15.53,15.54,15.53,15.54,15.533,2,2
1625238068,15.53,15.54,15.53,15.54,15.534,26,20
1625238069,15.54,15.54,15.52,15.53,15.528,28,11
1625238070,15.53,15.53,15.52,15.52,15.523,2,2
1625238071,15.53,15.53,15.51,15.52,15.512,49,17
1625238072,15.52,15.52,15.51,15.52,15.52,0,0
1625238073,15.51,15.51,15.51,15.51,15.51,1,1
1625238074,15.51,15.51,15.51,15.51,15.51,0,0
1625238075,15.51,15.51,15.51,15.51,15.51,7,5
1625238076,15.51,15.51,15.51,15.51,15.51,0,0
1625238077,15.52,15.52,15.51,15.52,15.52,3,2
1625238078,15.52,15.52,15.52,15.52,15.52,0,0
1625238079,15.51,15.51,15.5,15.51,15.509,5,4
1625238080,15.51,15.51,15.5,15.5,15.508,16,7
1625238081,15.51,15.51,15.5,15.51,15.506,76,15
1625238082,15.51,15.51,15.5,15.51,15.508,46,11
1625238083,15.51,15.51,15.5,15.51,15.508,22,15
1625238084,15.51,15.51,15.5,15.5,15.501,11,3
1625238085,15.51,15.51,15.5,15.51,15.506,14,10
1625238086,15.51,15.51,15.5,15.51,15.505,39,2
1625238087,15.5,15.51,15.5,15.51,15.504,7,4
1625238088,15.5,15.51,15.5,15.5,15.503,11,8
1625238089,15.51,15.51,15.5,15.51,15.507,10,5
1625238090,15.5,15.51,15.5,15.5,15.5,1,1
1625238091,15.5,15.51,15.5,15.5,15.5,2,1
1625238092,15.5,15.51,15.5,15.5,15.5,5,3
1625238093,15.5,15.51,15.5,15.5,15.5,1,1
1625238094,15.5,15.5,15.5,15.5,15.5,2,1
1625238095,15.5,15.51,15.5,15.51,15.5,123,29
1625238096,15.51,15.51,15.5,15.51,15.51,0,0
1625238097,15.51,15.51,15.5,15.51,15.51,0,0
1625238098,15.5,15.51,15.5,15.51,15.5,45,5
1625238099,15.51,15.51,15.5,15.51,15.505,4,3
1625238100,15.5,15.5,15.5,15.5,15.5,2,2
1625238101,15.51,15.51,15.5,15.51,15.505,1,1
1625238102,15.5,15.5,15.5,15.5,15.5,1,1
1625238103,15.5,15.5,15.5,15.5,15.5,0,0
1625238104,15.5,15.5,15.5,15.5,15.5,0,0
1625238105,15.5,15.51,15.5,15.5,15.5,222,37
1625238106,15.51,15.51,15.5,15.51,15.506,7,2
1625238107,15.5,15.5,15.5,15.5,15.5,9,4
1625238108,15.5,15.5,15.49,15.5,15.499,159,66
1625238109,15.5,15.5,15.49,15.49,15.494,2,2
1625238110,15.5,15.5,15.49,15.5,15.495,1,1
1625238111,15.5,15.5,15.49,15.5,15.5,0,0
1625238112,15.49,15.49,15.49,15.49,15.49,2,2
1625238113,15.5,15.5,15.48,15.48,15.487,27,15
1625238114,15.48,15.49,15.47,15.48,15.476,48,19
