date,open,high,low,close,average,volume,count
1627545600,9.17,9.19,9.05,9.12,9.133,25,12
1627545605,9.14,9.15,9.14,9.15,9.141,16,2
1627545610,9.2,9.2,9.2,9.2,9.2,1,1
1627545615,9.2,9.2,9.2,9.2,9.2,0,0
1627545620,9.2,9.2,9.2,9.2,9.2,0,0
1627545625,9.2,9.2,9.2,9.2,9.2,0,0
1627545630,9.2,9.2,9.2,9.2,9.2,1,1
1627545635,9.2,9.29,9.2,9.29,9.245,58,6
1627545640,9.29,9.29,9.29,9.29,9.29,0,0
1627545645,9.28,9.28,9.28,9.28,9.28,2,2
1627545650,9.28,9.28,9.28,9.28,9.28,0,0
1627545655,9.28,9.28,9.28,9.28,9.28,2,1
1627545660,9.28,9.28,9.28,9.28,9.28,2,1
1627545665,9.28,9.28,9.28,9.28,9.28,0,0
1627545670,9.28,9.29,9.27,9.29,9.273,41,5
1627545675,9.3,9.35,9.3,9.35,9.33,8,4
1627545680,9.29,9.33,9.29,9.33,9.294,109,3
1627545685,9.34,9.36,9.34,9.36,9.349,17,8
1627545690,9.36,9.36,9.36,9.36,9.36,0,0
1627545695,9.38,9.38,9.35,9.35,9.368,31,6
1627545700,9.38,9.38,9.38,9.38,9.38,20,1
1627545705,9.38,9.39,9.38,9.39,9.383,12,5
1627545710,9.39,9.39,9.39,9.39,9.39,0,0
1627545715,9.39,9.4,9.39,9.39,9.392,4,4
1627545720,9.39,9.4,9.39,9.4,9.394,13,9
1627545725,9.39,9.42,9.39,9.42,9.402,22,6
1627545730,9.4,9.4,9.4,9.4,9.4,1,1
1627545735,9.44,9.44,9.44,9.44,9.44,3,1
1627545740,9.42,9.42,9.4,9.42,9.416,11,4
1627545745,9.42,9.42,9.42,9.42,9.42,0,0
1627545750,9.43,9.43,9.4,9.4,9.416,11,4
1627545755,9.41,9.42,9.41,9.42,9.412,16,4
1627545760,9.42,9.43,9.4,9.4,9.417,47,11
1627545765,9.4,9.4,9.4,9.4,9.4,1,1
1627545770,9.41,9.41,9.41,9.41,9.41,4,3
1627545775,9.4,9.4,9.4,9.4,9.4,6,5
