date,open,high,low,close,average,volume,count
1628256600,52.83,52.83,52.59,52.77,52.596,2060,62
1628256601,52.79,52.79,52.52,52.64,52.664,166,60
1628256602,52.6,52.71,52.52,52.71,52.581,61,31
1628256603,52.71,52.94,52.6,52.6,52.704,176,82
1628256604,52.74,52.84,52.57,52.72,52.737,27,15
1628256605,52.72,52.85,52.56,52.77,52.749,48,13
1628256606,52.73,52.79,52.62,52.79,52.695,74,28
1628256607,52.74,52.77,52.73,52.77,52.752,2,2
1628256608,52.77,52.77,52.69,52.76,52.758,10,3
1628256609,52.77,52.77,52.7,52.7,52.738,5,3
1628256610,52.79,52.84,52.79,52.84,52.817,47,19
1628256611,52.85,52.88,52.85,52.88,52.853,15,7
1628256612,52.88,52.95,52.88,52.93,52.926,51,25
1628256613,52.95,53.0,52.85,53.0,52.994,276,59
1628256614,53.0,53.17,52.85,53.11,53.017,131,76
1628256615,53.05,53.2,52.98,53.17,53.111,181,52
1628256616,53.2,53.2,53.06,53.12,53.131,25,9
1628256617,53.2,53.2,53.01,53.08,53.132,73,24
1628256618,53.09,53.17,53.05,53.14,53.128,73,18
1628256619,53.16,53.17,53.1,53.1,53.136,61,41
1628256620,53.15,53.16,53.09,53.1,53.132,37,24
1628256621,53.13,53.2,53.09,53.09,53.162,130,74
1628256622,53.09,53.13,53.0,53.0,53.038,112,76
1628256623,53.06,53.15,52.89,52.9,52.985,80,51
1628256624,52.94,52.97,52.83,52.88,52.893,53,39
1628256625,52.86,53.01,52.84,52.85,52.883,137,53
1628256626,52.96,52.96,52.84,52.84,52.896,23,12
1628256627,52.83,52.91,52.79,52.83,52.82,81,25
1628256628,52.81,52.84,52.75,52.76,52.781,24,8
1628256629,52.84,52.84,52.74,52.79,52.755,31,13
1628256630,52.78,52.83,52.72,52.83,52.776,23,7
1628256631,52.75,52.76,52.75,52.76,52.754,5,2
1628256632,52.7,52.72,52.53,52.59,52.643,99,32
1628256633,52.53,52.64,52.51,52.57,52.526,78,30
1628256634,52.51,52.61,52.31,52.38,52.458,219,87
1628256635,52.39,52.47,52.31,52.43,52.402,179,30
1628256636,52.39,52.48,52.32,52.47,52.406,61,33
1628256637,52.43,52.46,52.31,52.45,52.36,96,19
1628256638,52.46,52.46,52.31,52.31,52.355,40,27
1628256639,52.31,52.4,52.0,52.19,52.14,477,215
1628256640,52.28,52.37,52.15,52.19,52.307,77,38
1628256641,52.3,52.37,52.27,52.27,52.281,32,10
1628256642,52.37,52.43,52.34,52.43,52.361,36,7
1628256643,52.15,52.44,52.15,52.35,52.299,24,11
1628256644,52.41,52.44,52.28,52.29,52.379,12,12
1628256645,52.44,52.44,52.27,52.29,52.371,28,13
1628256646,52.39,52.56,52.38,52.56,52.5,155,81
1628256647,52.48,52.56,52.48,52.56,52.553,141,104
1628256648,52.56,52.75,52.54,52.69,52.623,104,45
1628256649,52.75,52.86,52.73,52.73,52.775,20,13
1628256650,52.88,52.88,52.72,52.84,52.805,24,16
1628256651,52.89,52.89,52.72,52.72,52.788,52,22
1628256652,52.88,52.89,52.81,52.89,52.868,12,11
1628256653,52.84,52.89,52.83,52.88,52.872,47,12
1628256654,52.8,52.88,52.76,52.88,52.812,15,8
1628256655,52.8,52.9,52.8,52.86,52.843,40,32
1628256656,52.81,52.87,52.77,52.77,52.805,25,20
1628256657,52.77,52.83,52.77,52.81,52.8,40,18
1628256658,52.82,52.82,52.77,52.81,52.791,17,8
1628256659,52.85,52.91,52.85,52.88,52.867,19,10
1628256660,52.9,53.07,52.87,53.07,53.018,33,14
1628256661,53.07,53.07,52.98,53.02,53.013,21,4
1628256662,53.04,53.09,52.98,53.09,53.056,66,43
1628256663,53.06,53.1,52.96,53.1,53.027,120,62
1628256664,53.06,53.09,53.0,53.04,53.035,37,22
1628256665,53.08,53.08,52.96,53.01,53.019,27,17
1628256666,53.06,53.25,52.99,53.25,53.157,329,101
1628256667,53.18,53.25,53.13,53.2,53.191,109,41
1628256668,53.22,53.34,53.13,53.34,53.256,113,50
1628256669,53.26,53.53,53.21,53.49,53.428,513,147
1628256670,53.46,53.59,53.42,53.47,53.522,224,87
1628256671,53.4,53.49,53.31,53.44,53.424,187,34
1628256672,53.49,53.49,53.34,53.34,53.412,107,31
1628256673,53.49,53.49,53.41,53.45,53.455,124,30
1628256674,53.45,53.49,53.42,53.45,53.455,25,11
1628256675,53.45,53.49,53.35,53.36,53.433,79,25
1628256676,53.41,53.45,53.36,53.36,53.396,52,14
1628256677,53.45,53.45,53.37,53.37,53.418,80,14
1628256678,53.43,53.44,53.29,53.35,53.353,64,36
1628256679,53.35,53.46,53.33,53.45,53.398,22,10
1628256680,53.44,53.46,53.4,53.45,53.435,30,14
1628256681,53.41,53.57,53.35,53.53,53.426,209,86
1628256682,53.47,53.56,53.35,53.4,53.449,80,52
1628256683,53.54,53.56,53.37,53.45,53.46,28,17
1628256684,53.4,53.5,53.37,53.41,53.394,45,14
1628256685,53.43,53.54,53.41,53.51,53.479,137,26
1628256686,53.5,53.59,53.5,53.53,53.534,142,48
1628256687,53.53,53.59,53.53,53.59,53.563,29,9
1628256688,53.59,53.66,53.53,53.65,53.574,115,35
1628256689,53.53,53.66,53.52,53.52,53.598,83,36
1628256690,53.56,53.6,53.48,53.56,53.542,53,24
1628256691,53.54,53.62,53.48,53.62,53.577,76,27
1628256692,53.56,53.61,53.41,53.49,53.481,138,67
1628256693,53.49,53.49,53.29,53.33,53.377,69,31
1628256694,53.28,53.37,53.2,53.23,53.272,80,63
1628256695,53.37,53.37,53.27,53.33,53.306,18,7
1628256696,53.28,53.33,53.23,53.33,53.286,13,8
1628256697,53.24,53.33,53.22,53.33,53.271,8,6
1628256698,53.33,53.42,53.32,53.42,53.344,41,26
1628256699,53.37,53.44,53.37,53.4,53.392,29,5
1628256700,53.44,53.44,53.35,53.44,53.436,76,12
1628256701,53.43,53.6,53.4,53.6,53.49,59,26
1628256702,53.57,53.6,53.53,53.58,53.595,66,16
1628256703,53.57,53.6,53.46,53.6,53.51,37,18
1628256704,53.51,53.59,53.48,53.54,53.52,36,10
1628256705,53.56,53.59,53.5,53.55,53.533,19,8
1628256706,53.55,53.6,53.52,53.55,53.553,10,8
1628256707,53.55,53.6,53.51,53.6,53.55,54,35
1628256708,53.5,53.55,53.35,53.44,53.423,127,62
1628256709,53.37,53.45,53.37,53.41,53.418,10,5
1628256710,53.37,53.38,53.26,53.26,53.335,30,21
1628256711,53.26,53.32,53.26,53.27,53.278,34,10
1628256712,53.25,53.31,53.23,53.31,53.253,8,5
1628256713,53.31,53.36,53.27,53.32,53.324,31,17
1628256714,53.32,53.41,53.28,53.28,53.334,7,5
1628256715,53.35,53.41,53.33,53.41,53.358,23,5
1628256716,53.28,53.41,53.28,53.34,53.362,38,22
1628256717,53.3,53.38,53.3,53.3,53.333,28,12
1628256718,53.3,53.37,53.3,53.32,53.335,15,6
1628256719,53.31,53.36,53.27,53.28,53.331,8,4
1628256720,53.32,53.38,53.27,53.33,53.345,69,44
1628256721,53.4,53.41,53.33,53.4,53.387,94,26
1628256722,53.34,53.39,53.28,53.39,53.338,34,12
1628256723,53.39,53.57,53.39,53.49,53.48,64,26
1628256724,53.58,53.66,53.54,53.54,53.605,167,53
1628256725,53.59,53.66,53.55,53.62,53.614,120,26
1628256726,53.65,53.71,53.6,53.71,53.678,122,68
1628256727,53.66,53.72,53.62,53.66,53.684,166,21
1628256728,53.68,53.79,53.68,53.73,53.733,278,98
1628256729,53.71,53.74,53.65,53.65,53.712,113,48
1628256730,53.68,53.74,53.64,53.68,53.691,117,68
1628256731,53.69,53.7,53.63,53.63,53.677,150,35
1628256732,53.65,53.7,53.62,53.64,53.645,131,57
1628256733,53.63,53.7,53.55,53.61,53.635,146,64
1628256734,53.56,53.63,53.4,53.51,53.488,112,75
1628256735,53.46,53.52,53.4,53.48,53.488,82,19
1628256736,53.5,53.5,53.33,53.4,53.428,54,19
1628256737,53.32,53.42,53.32,53.37,53.355,88,17
1628256738,53.37,53.4,53.32,53.39,53.367,65,21
1628256739,53.39,53.42,53.35,53.4,53.395,99,61
1628256740,53.4,53.41,53.33,53.41,53.384,22,18
1628256741,53.41,53.41,53.32,53.39,53.358,38,26
1628256742,53.31,53.4,53.3,53.35,53.332,40,22
1628256743,53.35,53.37,53.3,53.36,53.335,61,17
1628256744,53.33,53.36,53.23,53.26,53.278,108,38
1628256745,53.27,53.31,53.22,53.27,53.253,39,21
1628256746,53.23,53.3,53.22,53.22,53.227,13,11
1628256747,53.21,53.23,53.05,53.06,53.148,70,49
1628256748,53.12,53.18,52.87,52.87,52.98,183,62
