date,open,high,low,close,average,volume,count
1629964980,16.57,16.57,16.57,16.57,16.57,1,1
1629965040,16.57,16.57,16.57,16.57,16.57,0,0
1629965100,16.75,16.75,16.75,16.75,16.75,1,1
1629965160,16.75,16.75,16.75,16.75,16.75,0,0
1629965220,16.51,16.51,16.51,16.51,16.51,1,1
1629965280,16.51,16.51,16.51,16.51,16.51,0,0
1629965340,16.51,16.51,16.51,16.51,16.51,0,0
1629965400,16.51,16.51,16.51,16.51,16.51,0,0
1629965460,16.51,16.51,16.51,16.51,16.51,0,0
1629965520,16.51,16.51,16.51,16.51,16.51,0,0
1629965580,16.51,16.51,16.51,16.51,16.51,0,0
1629965640,16.51,16.51,16.51,16.51,16.51,0,0
1629965700,16.51,16.51,16.51,16.51,16.51,0,0
1629965760,16.51,16.51,16.51,16.51,16.51,0,0
1629965820,16.51,16.51,16.51,16.51,16.51,0,0
1629965880,17.19,17.2,16.99,17.0,17.102,6,4
1629965940,17.0,17.0,17.0,17.0,17.0,0,0
1629966000,17.0,17.0,17.0,17.0,17.0,0,0
1629966060,17.0,17.0,17.0,17.0,17.0,0,0
1629966120,17.15,17.15,17.15,17.15,17.15,2,1
1629966180,17.15,17.15,17.15,17.15,17.15,0,0
1629966240,17.15,17.15,17.15,17.15,17.15,0,0
1629966300,17.15,17.15,17.15,17.15,17.15,0,0
1629966360,17.15,17.15,17.15,17.15,17.15,0,0
1629966420,17.15,17.15,17.15,17.15,17.15,0,0
1629966480,17.15,17.15,17.15,17.15,17.15,5,2
1629966540,17.15,17.15,17.15,17.15,17.15,0,0
1629966600,17.1,17.1,17.01,17.01,17.016,45,3
1629966660,17.01,17.01,17.01,17.01,17.01,0,0
1629966720,17.01,17.01,17.01,17.01,17.01,0,0
1629966780,17.01,17.01,17.01,17.01,17.01,0,0
1629966840,17.01,17.01,17.01,17.01,17.01,0,0
1629966900,17.01,17.01,17.01,17.01,17.01,0,0
1629966960,17.01,17.01,17.01,17.01,17.01,0,0
1629967020,17.01,17.01,17.01,17.01,17.01,0,0
1629967080,17.01,17.01,17.01,17.01,17.01,0,0
1629967140,16.9,16.9,16.9,16.9,16.9,4,1
1629967200,16.9,16.9,16.9,16.9,16.9,0,0
1629967260,16.78,16.78,16.78,16.78,16.78,1,1
1629967320,16.78,16.78,16.78,16.78,16.78,0,0
1629967380,16.78,16.78,16.78,16.78,16.78,0,0
1629967440,16.78,16.78,16.78,16.78,16.78,0,0
1629967500,16.78,16.78,16.78,16.78,16.78,0,0
1629967560,16.78,16.78,16.78,16.78,16.78,0,0
1629967620,16.78,16.78,16.78,16.78,16.78,0,0
1629967680,16.78,16.78,16.78,16.78,16.78,0,0
1629967740,16.78,16.78,16.78,16.78,16.78,0,0
