date,open,high,low,close,average,volume,count
1624890600,46.22,46.22,46.22,46.22,46.22,0,0
1624890601,46.22,46.22,46.22,46.22,46.22,0,0
1624890602,46.22,46.22,46.22,46.22,46.22,0,0
1624890603,46.22,46.22,46.22,46.22,46.22,0,0
1624890604,46.22,46.22,46.22,46.22,46.22,0,0
1624890605,46.22,46.22,46.22,46.22,46.22,0,0
1624890606,46.18,46.27,46.15,46.27,46.211,14,10
1624890607,46.27,46.27,46.26,46.27,46.27,0,0
1624890608,46.27,46.27,46.26,46.27,46.27,0,0
1624890609,46.27,46.27,46.26,46.27,46.27,0,0
1624890610,46.17,46.17,46.17,46.17,46.17,1,1
1624890611,46.17,46.17,46.17,46.17,46.17,0,0
1624890612,46.17,46.17,46.17,46.17,46.17,0,0
1624890613,46.17,46.17,46.17,46.17,46.17,0,0
1624890614,46.17,46.17,46.17,46.17,46.17,0,0
1624890615,46.26,46.26,46.25,46.26,46.26,20,1
1624890616,46.26,46.26,46.25,46.26,46.26,0,0
1624890617,46.12,46.13,46.12,46.13,46.125,2,2
1624890618,46.14,46.14,46.13,46.14,46.135,10,1
1624890619,46.14,46.14,46.13,46.14,46.14,0,0
1624890620,46.14,46.14,46.13,46.14,46.14,0,0
1624890621,46.14,46.14,46.13,46.14,46.14,0,0
1624890622,46.14,46.14,46.13,46.14,46.14,0,0
1624890623,46.14,46.14,46.13,46.14,46.14,0,0
1624890624,46.14,46.14,46.13,46.14,46.14,0,0
1624890625,46.16,46.18,46.16,46.18,46.166,5,5
1624890626,46.18,46.18,46.18,46.18,46.18,0,0
1624890627,46.18,46.18,46.18,46.18,46.18,0,0
1624890628,46.18,46.18,46.18,46.18,46.18,0,0
1624890629,46.18,46.18,46.18,46.18,46.18,0,0
1624890630,46.18,46.18,46.18,46.18,46.18,0,0
1624890631,46.18,46.18,46.18,46.18,46.18,0,0
1624890632,46.18,46.18,46.18,46.18,46.18,0,0
1624890633,46.16,46.24,46.16,46.17,46.185,18,9
1624890634,46.2,46.2,46.2,46.2,46.2,1,1
1624890635,46.16,46.16,46.16,46.16,46.16,2,1
1624890636,46.16,46.16,46.16,46.16,46.16,0,0
1624890637,46.16,46.16,46.16,46.16,46.16,0,0
1624890638,46.16,46.16,46.16,46.16,46.16,0,0
1624890639,46.16,46.16,46.16,46.16,46.16,0,0
1624890640,46.16,46.16,46.16,46.16,46.16,0,0
1624890641,46.16,46.16,46.16,46.16,46.16,0,0
1624890642,46.16,46.16,46.16,46.16,46.16,0,0
1624890643,46.17,46.17,46.17,46.17,46.17,1,1
1624890644,46.24,46.25,46.22,46.22,46.236,4,4
1624890645,46.26,46.3,46.26,46.27,46.27,14,6
1624890646,46.35,46.35,46.34,46.35,46.35,3,1
1624890647,46.35,46.35,46.34,46.35,46.35,0,0
1624890648,46.35,46.35,46.34,46.35,46.35,0,0
1624890649,46.32,46.32,46.31,46.32,46.315,10,1
1624890650,46.33,46.33,46.32,46.33,46.329,1,1
1624890651,46.33,46.33,46.32,46.33,46.33,0,0
1624890652,46.27,46.28,46.26,46.26,46.266,5,3
1624890653,46.26,46.26,46.26,46.26,46.26,0,0
1624890654,46.26,46.26,46.26,46.26,46.26,0,0
1624890655,46.26,46.26,46.26,46.26,46.26,0,0
1624890656,46.19,46.19,46.19,46.19,46.19,2,2
1624890657,46.19,46.19,46.19,46.19,46.19,0,0
1624890658,46.19,46.19,46.19,46.19,46.19,0,0
1624890659,46.19,46.19,46.19,46.19,46.19,0,0
1624890660,46.25,46.26,46.25,46.25,46.254,2,1
1624890661,46.19,46.19,46.18,46.19,46.186,10,1
1624890662,46.19,46.19,46.18,46.19,46.19,0,0
1624890663,46.19,46.19,46.18,46.19,46.19,0,0
1624890664,46.23,46.23,46.22,46.23,46.225,2,1
1624890665,46.23,46.23,46.22,46.23,46.23,0,0
1624890666,46.23,46.23,46.22,46.23,46.23,0,0
1624890667,46.23,46.23,46.22,46.23,46.23,0,0
1624890668,46.23,46.23,46.22,46.23,46.23,0,0
1624890669,46.23,46.23,46.22,46.23,46.23,0,0
1624890670,46.23,46.23,46.22,46.23,46.23,0,0
1624890671,46.23,46.23,46.22,46.23,46.23,0,0
1624890672,46.23,46.23,46.22,46.23,46.23,0,0
