date,open,high,low,close,average,volume,count
1630414440,4.65,4.65,4.65,4.65,4.65,1,1
1630414500,4.65,4.65,4.65,4.65,4.65,0,0
1630414560,4.65,4.65,4.65,4.65,4.65,0,0
1630414620,4.65,4.65,4.65,4.65,4.65,0,0
1630414680,4.65,4.65,4.65,4.65,4.65,0,0
1630414740,4.66,4.66,4.66,4.66,4.66,25,1
1630414800,4.67,4.67,4.67,4.67,4.67,5,1
1630414860,4.67,4.67,4.67,4.67,4.67,0,0
1630414920,4.67,4.67,4.67,4.67,4.67,0,0
1630414980,4.67,4.67,4.67,4.67,4.67,0,0
1630415040,4.68,4.68,4.68,4.68,4.68,7,1
1630415100,4.68,4.68,4.68,4.68,4.68,0,0
1630415160,4.68,4.68,4.68,4.68,4.68,0,0
1630415220,4.68,4.68,4.68,4.68,4.68,0,0
1630415280,4.68,4.68,4.68,4.68,4.68,0,0
1630415340,4.68,4.68,4.68,4.68,4.68,0,0
1630415400,4.68,4.68,4.68,4.68,4.68,0,0
1630415460,4.68,4.68,4.68,4.68,4.68,0,0
1630415520,4.68,4.68,4.68,4.68,4.68,0,0
1630415580,4.68,4.68,4.68,4.68,4.68,0,0
1630415640,4.68,4.68,4.68,4.68,4.68,0,0
1630415700,4.68,4.68,4.68,4.68,4.68,0,0
1630415760,4.6769,4.68,4.6769,4.68,4.67943,7,3
1630415820,4.6797,4.68,4.6797,4.68,4.67979,7,2
1630415880,4.68,4.68,4.68,4.68,4.68,0,0
1630415940,4.68,4.68,4.68,4.68,4.68,0,0
1630416000,4.68,4.68,4.68,4.68,4.68,0,0
1630416060,4.68,4.68,4.68,4.68,4.68,0,0
1630416120,4.68,4.68,4.68,4.68,4.68,0,0
1630416180,4.68,4.68,4.68,4.68,4.68,0,0
1630416240,4.68,4.68,4.68,4.68,4.68,0,0
1630416300,4.68,4.68,4.68,4.68,4.68,0,0
1630416360,4.68,4.68,4.68,4.68,4.68,0,0
1630416420,4.68,4.68,4.68,4.68,4.68,0,0
1630416480,4.68,4.68,4.68,4.68,4.68,0,0
1630416540,4.68,4.68,4.68,4.68,4.68,0,0
1630416600,4.59,4.6858,4.58,4.66,4.65935,155,6
1630416660,4.64,4.64,4.64,4.64,4.64,10,1
1630416720,4.665,4.665,4.59,4.59,4.61067,12,3
1630416780,4.5961,4.64,4.5961,4.64,4.60387,13,3
1630416840,4.6101,4.6101,4.6101,4.6101,4.6101,40,1
1630416900,4.6326,4.6326,4.6326,4.6326,4.6326,5,1
1630416960,4.669,4.669,4.6453,4.6499,4.6526,10,4
1630417020,4.67,4.68,4.67,4.67,4.67154,13,5
1630417080,4.66,4.66,4.66,4.66,4.66,10,1
