date,open,high,low,close,average,volume,count
1627916400,5.86,5.8668,5.85,5.85,5.85421,190,35
1627916401,5.855,5.855,5.81,5.82,5.83157,330,63
1627916402,5.81,5.82,5.8,5.8001,5.80315,345,64
1627916403,5.8038,5.83,5.8,5.8299,5.80725,194,49
1627916404,5.8062,5.83,5.8,5.8016,5.81252,186,70
1627916405,5.8,5.8279,5.8,5.8,5.80677,207,28
1627916406,5.81,5.82,5.8,5.82,5.80928,77,23
1627916407,5.8064,5.82,5.78,5.7958,5.78815,358,51
1627916408,5.7999,5.7999,5.64,5.64,5.7275,776,184
1627916409,5.65,5.68,5.63,5.66,5.65148,527,137
1627916410,5.67,5.8,5.64,5.72,5.70823,550,146
1627916411,5.72,5.73,5.69,5.7,5.70771,190,32
1627916412,5.71,5.73,5.69,5.7299,5.71489,186,33
1627916413,5.72,5.73,5.6901,5.705,5.71532,59,29
1627916414,5.692,5.71,5.66,5.675,5.68376,198,47
1627916415,5.6775,5.72,5.6775,5.7,5.69812,82,27
1627916416,5.695,5.71,5.69,5.7,5.70001,145,39
1627916417,5.6914,5.71,5.6701,5.68,5.69289,193,21
1627916418,5.675,5.7,5.66,5.68,5.67932,72,26
1627916419,5.6616,5.68,5.66,5.66,5.67035,37,17
1627916420,5.6664,5.68,5.66,5.66,5.67124,50,8
1627916421,5.6686,5.67,5.66,5.66,5.66253,18,11
1627916422,5.66,5.66,5.61,5.61,5.62808,249,95
1627916423,5.61,5.63,5.58,5.6101,5.602,304,95
1627916424,5.61,5.6596,5.56,5.62,5.6028,464,185
1627916425,5.64,5.66,5.61,5.625,5.6315,241,47
1627916426,5.6201,5.6394,5.61,5.62,5.62479,102,13
1627916427,5.62,5.633,5.61,5.633,5.62515,21,9
1627916428,5.63,5.64,5.6201,5.6201,5.63346,133,24
1627916429,5.62,5.63,5.6,5.6,5.61993,167,32
1627916430,5.62,5.62,5.6,5.6,5.61116,79,18
1627916431,5.62,5.62,5.53,5.5611,5.56611,659,125
1627916432,5.55,5.55,5.53,5.54,5.53662,191,54
1627916433,5.53,5.64,5.53,5.64,5.59359,423,84
1627916434,5.6399,5.6399,5.38,5.38,5.47442,1451,239
1627916435,5.41,5.43,5.31,5.4199,5.36588,598,115
1627916436,5.42,5.43,5.4,5.43,5.41705,489,91
1627916437,5.42,5.48,5.41,5.43,5.45297,348,57
1627916438,5.45,5.4699,5.34,5.3884,5.3894,761,147
1627916439,5.3689,5.425,5.3446,5.425,5.38994,423,51
1627916440,5.44,5.44,5.3501,5.375,5.39593,326,65
1627916441,5.38,5.4,5.36,5.37,5.37679,391,115
1627916442,5.36,5.38,5.36,5.37,5.36971,190,42
1627916443,5.365,5.37,5.34,5.3403,5.35721,300,61
1627916444,5.3597,5.37,5.34,5.34,5.35697,358,66
1627916445,5.335,5.3499,5.24,5.25,5.29521,500,133
1627916446,5.25,5.34,5.22,5.322,5.27579,250,69
1627916447,5.32,5.35,5.29,5.32,5.31384,473,98
1627916448,5.31,5.3387,5.2901,5.33,5.31118,239,46
1627916449,5.32,5.3292,5.295,5.31,5.31194,191,29
1627916450,5.305,5.33,5.3,5.31,5.31984,196,61
1627916451,5.32,5.3299,5.3,5.3199,5.3207,202,36
1627916452,5.3192,5.32,5.3,5.32,5.30959,425,71
1627916453,5.32,5.34,5.3179,5.3399,5.33329,254,54
1627916454,5.35,5.37,5.35,5.365,5.36312,294,71
1627916455,5.37,5.38,5.36,5.3615,5.36728,234,62
1627916456,5.369,5.37,5.34,5.37,5.35364,183,48
1627916457,5.3427,5.37,5.34,5.3645,5.36016,24,15
1627916458,5.37,5.37,5.35,5.355,5.36317,173,48
1627916459,5.35,5.36,5.32,5.3264,5.33677,232,49
1627916460,5.3399,5.35,5.3392,5.35,5.3479,41,16
1627916461,5.34,5.36,5.3382,5.346,5.35762,403,44
1627916462,5.3599,5.38,5.34,5.375,5.36847,276,69
1627916463,5.37,5.39,5.37,5.3799,5.37772,221,43
1627916464,5.38,5.4,5.35,5.3609,5.3782,545,82
1627916465,5.36,5.39,5.33,5.35,5.35782,350,113
1627916466,5.37,5.37,5.34,5.36,5.35518,60,20
1627916467,5.36,5.38,5.3597,5.372,5.36531,127,31
1627916468,5.375,5.39,5.37,5.3701,5.37776,175,26
1627916469,5.38,5.38,5.36,5.365,5.37137,75,16
1627916470,5.37,5.37,5.34,5.3569,5.35617,133,30
1627916471,5.35,5.37,5.3455,5.35,5.35829,104,27
1627916472,5.36,5.36,5.35,5.35,5.35771,85,14
1627916473,5.36,5.36,5.32,5.3399,5.34679,153,44
1627916474,5.34,5.34,5.3,5.3,5.3176,275,109
1627916475,5.31,5.31,5.25,5.255,5.27048,213,58
1627916476,5.26,5.29,5.26,5.2717,5.27685,257,117
1627916477,5.27,5.2836,5.25,5.27,5.26449,252,66
1627916478,5.27,5.29,5.25,5.28,5.27354,207,66
1627916479,5.28,5.29,5.27,5.27,5.28786,137,24
1627916480,5.28,5.29,5.28,5.2807,5.28527,47,12
1627916481,5.285,5.29,5.27,5.2705,5.28247,91,35
1627916482,5.28,5.3,5.27,5.2957,5.28771,124,42
1627916483,5.3,5.31,5.29,5.2917,5.29982,198,93
1627916484,5.293,5.295,5.28,5.28,5.29133,84,27
1627916485,5.28,5.31,5.28,5.285,5.29618,134,53
1627916486,5.29,5.31,5.2899,5.2972,5.29734,22,7
1627916487,5.3001,5.32,5.28,5.28,5.30237,129,44
1627916488,5.31,5.34,5.3,5.32,5.31772,101,28
1627916489,5.31,5.3238,5.2999,5.315,5.30481,102,24
1627916490,5.33,5.33,5.3,5.3,5.31061,85,20
1627916491,5.3,5.3407,5.2946,5.3407,5.32096,85,41
1627916492,5.33,5.33,5.3075,5.32,5.31999,33,12
1627916493,5.32,5.33,5.31,5.325,5.32395,31,8
1627916494,5.32,5.34,5.3101,5.3289,5.32016,47,15
1627916495,5.32,5.33,5.3101,5.3101,5.31644,100,11
1627916496,5.3299,5.33,5.316,5.316,5.32862,20,5
1627916497,5.33,5.33,5.32,5.33,5.32543,31,9
1627916498,5.33,5.33,5.31,5.33,5.32384,127,50
1627916499,5.33,5.33,5.327,5.33,5.32889,27,15
1627916500,5.325,5.33,5.31,5.33,5.32593,121,35
1627916501,5.33,5.33,5.3285,5.33,5.32964,42,7
1627916502,5.33,5.35,5.32,5.3406,5.33459,197,41
1627916503,5.35,5.35,5.3482,5.35,5.34933,21,15
1627916504,5.34,5.3402,5.32,5.3317,5.33297,160,51
1627916505,5.34,5.34,5.31,5.315,5.32369,71,22
1627916506,5.323,5.33,5.31,5.32,5.32265,36,9
1627916507,5.31,5.3187,5.3,5.3187,5.30659,32,7
1627916508,5.301,5.3035,5.3,5.3001,5.30171,15,9
1627916509,5.31,5.31,5.3,5.3,5.30157,89,29
1627916510,5.3,5.3,5.28,5.2867,5.29244,133,34
1627916511,5.2999,5.2999,5.28,5.29,5.28882,49,8
1627916512,5.29,5.3,5.2816,5.2816,5.29514,42,16
1627916513,5.299,5.3,5.29,5.29,5.29769,13,3
1627916514,5.28,5.3,5.28,5.29,5.28562,36,11
1627916515,5.2999,5.3,5.28,5.3,5.29924,59,6
1627916516,5.3,5.3,5.28,5.28,5.29746,79,7
1627916517,5.292,5.2986,5.292,5.2986,5.2975,6,2
1627916518,5.2977,5.2977,5.2977,5.2977,5.2977,1,1
1627916519,5.2999,5.3,5.28,5.29,5.28983,30,11
1627916520,5.28,5.31,5.25,5.2662,5.27791,381,100
1627916521,5.25,5.3,5.25,5.27,5.27268,75,23
1627916522,5.2706,5.285,5.25,5.275,5.27035,215,20
1627916523,5.27,5.28,5.27,5.27,5.27707,23,6
1627916524,5.28,5.28,5.2609,5.27,5.27317,8,5
1627916525,5.2781,5.2781,5.261,5.261,5.26996,2,2
1627916526,5.2612,5.29,5.26,5.285,5.27508,18,9
1627916527,5.29,5.3197,5.2872,5.3197,5.29596,77,20
1627916528,5.32,5.32,5.3,5.3184,5.3104,128,28
1627916529,5.31,5.32,5.29,5.291,5.30548,26,11
1627916530,5.2976,5.3,5.295,5.2993,5.2979,5,4
1627916531,5.3,5.3038,5.3,5.3014,5.3015,6,4
1627916532,5.307,5.3088,5.29,5.3088,5.30258,50,18
1627916533,5.3095,5.31,5.29,5.31,5.30432,8,6
1627916534,5.3,5.3,5.2712,5.29,5.28921,169,47
1627916535,5.28,5.3,5.27,5.285,5.28305,112,20
1627916536,5.285,5.285,5.27,5.27,5.27883,30,12
1627916537,5.27,5.3,5.27,5.27,5.28086,74,25
1627916538,5.28,5.3,5.28,5.3,5.29025,54,19
1627916539,5.2999,5.2999,5.28,5.28,5.29228,53,17
1627916540,5.2985,5.2985,5.27,5.27,5.27481,85,26
1627916541,5.26,5.28,5.26,5.26,5.2696,51,9
1627916542,5.26,5.2799,5.25,5.25,5.26673,109,17
1627916543,5.26,5.26,5.22,5.23,5.23804,290,50
1627916544,5.23,5.24,5.18,5.185,5.20026,984,110
1627916545,5.1875,5.23,5.17,5.2,5.20066,167,68
1627916546,5.23,5.25,5.21,5.2204,5.22914,131,52
1627916547,5.25,5.28,5.25,5.26,5.26653,79,18
1627916548,5.26,5.26,5.23,5.2499,5.24405,102,24
1627916549,5.23,5.25,5.23,5.2314,5.23752,32,6
1627916550,5.249,5.27,5.24,5.245,5.25808,91,27
1627916551,5.26,5.28,5.2599,5.28,5.26477,98,42
1627916552,5.26,5.27,5.25,5.257,5.25899,69,21
1627916553,5.269,5.27,5.25,5.26,5.25993,22,10
1627916554,5.27,5.27,5.25,5.26,5.26055,75,10
1627916555,5.27,5.27,5.26,5.27,5.26798,5,5
1627916556,5.27,5.27,5.26,5.26,5.26479,20,13
1627916557,5.265,5.2699,5.25,5.25,5.26047,11,5
1627916558,5.255,5.26,5.255,5.26,5.25813,3,3
1627916559,5.2502,5.27,5.25,5.25,5.25846,38,20
1627916560,5.268,5.27,5.265,5.27,5.26825,4,4
1627916561,5.2699,5.2699,5.265,5.2699,5.26897,63,4
1627916562,5.26,5.26,5.26,5.26,5.26,10,1
1627916563,5.26,5.2684,5.25,5.2684,5.26015,13,6
1627916564,5.2699,5.2699,5.25,5.25,5.26016,98,16
1627916565,5.24,5.25,5.23,5.24,5.24075,30,14
1627916566,5.2478,5.25,5.22,5.22,5.23667,26,8
1627916567,5.23,5.25,5.22,5.25,5.2394,38,9
1627916568,5.23,5.255,5.23,5.24,5.24421,18,12
1627916569,5.25,5.25,5.23,5.2382,5.23459,43,13
1627916570,5.24,5.24,5.2216,5.2396,5.23832,12,6
1627916571,5.233,5.24,5.233,5.24,5.23462,13,3
1627916572,5.248,5.248,5.2416,5.248,5.24343,7,3
1627916573,5.25,5.26,5.2401,5.2401,5.24726,19,9
1627916574,5.2401,5.26,5.24,5.26,5.25505,110,34
1627916575,5.26,5.26,5.255,5.2598,5.25858,55,8
1627916576,5.26,5.26,5.2514,5.2598,5.25844,16,8
1627916577,5.25,5.26,5.25,5.26,5.25741,10,7
1627916578,5.26,5.27,5.26,5.27,5.26755,26,4
1627916579,5.27,5.27,5.2682,5.27,5.26933,26,13
1627916580,5.27,5.28,5.2652,5.28,5.27351,15,13
1627916581,5.28,5.29,5.2725,5.276,5.28209,102,29
1627916582,5.29,5.3,5.28,5.2982,5.29181,208,58
1627916583,5.2901,5.32,5.2901,5.3195,5.30827,430,61
1627916584,5.305,5.33,5.3001,5.3209,5.31757,171,54
1627916585,5.33,5.3391,5.32,5.3201,5.32501,181,71
1627916586,5.315,5.33,5.29,5.31,5.30943,93,24
1627916587,5.29,5.294,5.28,5.29,5.28833,32,13
1627916588,5.29,5.31,5.29,5.29,5.29522,28,13
1627916589,5.31,5.32,5.3065,5.316,5.31419,202,74
1627916590,5.3209,5.33,5.31,5.318,5.32089,117,21
1627916591,5.3,5.3099,5.29,5.29,5.29826,113,53
1627916592,5.2915,5.3,5.29,5.3,5.29262,59,7
1627916593,5.295,5.31,5.295,5.31,5.30778,102,24
1627916594,5.31,5.32,5.3008,5.31,5.31533,152,43
1627916595,5.31,5.3216,5.31,5.3216,5.31906,7,4
1627916596,5.33,5.33,5.3082,5.32,5.3153,46,27
1627916597,5.31,5.31,5.3,5.305,5.3026,102,28
1627916598,5.3,5.3,5.29,5.29,5.29455,68,10
1627916599,5.3,5.3,5.29,5.3,5.29879,66,25
1627916600,5.29,5.29,5.29,5.29,5.29,11,3
1627916601,5.31,5.31,5.2802,5.2802,5.28839,172,14
1627916602,5.2999,5.2999,5.28,5.2999,5.2861,28,8
1627916603,5.2872,5.2872,5.27,5.28,5.27534,133,41
1627916604,5.28,5.29,5.275,5.29,5.27948,24,8
1627916605,5.2894,5.2894,5.2701,5.28,5.28209,66,3
1627916606,5.28,5.28,5.27,5.27,5.27297,14,7
1627916607,5.29,5.29,5.27,5.29,5.28161,14,7
1627916608,5.27,5.28,5.27,5.28,5.2736,13,9
1627916609,5.275,5.275,5.26,5.27,5.26795,41,22
1627916610,5.262,5.2633,5.2507,5.2507,5.25816,96,33
1627916611,5.265,5.2687,5.25,5.25,5.25938,24,11
1627916612,5.252,5.2652,5.25,5.26,5.25796,66,9
1627916613,5.251,5.251,5.25,5.25,5.25019,34,19
1627916614,5.27,5.27,5.26,5.26,5.26788,91,44
1627916615,5.25,5.2657,5.25,5.25,5.25343,53,8
1627916616,5.2513,5.26,5.25,5.25,5.25153,15,3
1627916617,5.27,5.27,5.26,5.26,5.2675,4,2
1627916618,5.26,5.2608,5.25,5.25,5.25893,32,11
1627916619,5.263,5.27,5.26,5.2699,5.2687,91,39
1627916620,5.28,5.28,5.2699,5.27,5.27477,38,14
1627916621,5.2704,5.28,5.2623,5.27,5.27157,79,43
1627916622,5.28,5.28,5.27,5.27,5.27176,5,2
1627916623,5.26,5.28,5.26,5.28,5.27,10,2
1627916624,5.2764,5.28,5.2764,5.28,5.27723,13,3
1627916625,5.2792,5.28,5.27,5.27,5.27422,18,4
1627916626,5.28,5.2809,5.27,5.27,5.27869,22,5
1627916627,5.27,5.2725,5.261,5.2685,5.26418,26,6
1627916628,5.27,5.29,5.27,5.285,5.27982,29,8
1627916629,5.29,5.3,5.2899,5.2998,5.29292,88,47
1627916630,5.3,5.3087,5.291,5.3087,5.3022,99,18
1627916631,5.3097,5.31,5.305,5.305,5.30958,31,7
1627916632,5.31,5.31,5.3009,5.3059,5.30602,32,6
1627916633,5.31,5.31,5.3,5.3,5.30908,134,28
1627916634,5.31,5.3111,5.3097,5.31,5.30998,39,16
1627916635,5.305,5.3099,5.29,5.2992,5.29955,54,27
1627916636,5.2955,5.2955,5.29,5.29,5.2944,20,3
1627916637,5.2907,5.2907,5.28,5.29,5.28436,65,33
1627916638,5.29,5.2983,5.28,5.28,5.28887,20,6
1627916639,5.28,5.2893,5.28,5.28,5.2862,15,6
1627916640,5.29,5.3,5.29,5.3,5.29151,33,7
1627916641,5.3,5.3,5.3,5.3,5.3,19,2
1627916642,5.3,5.31,5.29,5.295,5.30043,188,56
1627916643,5.3,5.32,5.3,5.3001,5.30261,81,6
1627916644,5.32,5.32,5.3,5.3,5.30455,28,8
1627916645,5.3,5.32,5.29,5.29,5.3134,19,8
1627916646,5.3199,5.3199,5.305,5.305,5.3066,28,2
1627916647,5.31,5.32,5.31,5.315,5.31109,36,7
1627916648,5.315,5.3191,5.31,5.31,5.31651,72,5
1627916649,5.32,5.32,5.28,5.2802,5.29567,184,61
1627916650,5.29,5.29,5.28,5.28,5.28014,73,5
1627916651,5.2808,5.281,5.28,5.28,5.28013,188,18
1627916652,5.27,5.2717,5.26,5.26,5.26645,74,31
1627916653,5.26,5.27,5.25,5.27,5.25772,162,47
1627916654,5.26,5.27,5.25,5.2535,5.25424,121,37
1627916655,5.2506,5.255,5.2,5.23,5.22511,356,81
1627916656,5.21,5.23,5.2,5.21,5.21223,169,53
1627916657,5.21,5.23,5.2,5.2235,5.21427,125,17
1627916658,5.2235,5.23,5.2,5.2005,5.21663,110,17
1627916659,5.2185,5.23,5.2,5.2201,5.22003,25,11
1627916660,5.23,5.25,5.23,5.23,5.23471,17,9
1627916661,5.23,5.27,5.23,5.255,5.24175,52,19
1627916662,5.24,5.255,5.24,5.245,5.2422,41,3
1627916663,5.25,5.25,5.2201,5.2201,5.23422,146,10
1627916664,5.24,5.25,5.233,5.25,5.24267,26,7
1627916665,5.24,5.24,5.22,5.235,5.22197,45,10
1627916666,5.2459,5.2465,5.22,5.2465,5.24304,8,3
1627916667,5.235,5.26,5.23,5.23,5.24861,33,17
1627916668,5.2599,5.2599,5.23,5.2461,5.23948,15,7
1627916669,5.25,5.25,5.23,5.23,5.24556,9,4
1627916670,5.24,5.24,5.23,5.23,5.23667,3,2
1627916671,5.2395,5.2395,5.2395,5.2395,5.2395,1,1
1627916672,5.2301,5.2301,5.2301,5.2301,5.2301,1,1
1627916673,5.24,5.26,5.2399,5.25,5.25149,107,35
1627916674,5.255,5.27,5.2424,5.2668,5.25897,38,7
1627916675,5.263,5.27,5.26,5.26,5.26333,15,4
1627916676,5.27,5.27,5.22,5.23,5.24414,118,38
1627916677,5.235,5.248,5.23,5.248,5.24126,31,9
1627916678,5.2499,5.25,5.22,5.22,5.24427,25,4
1627916679,5.2349,5.2421,5.23,5.23,5.23925,69,5
1627916680,5.25,5.25,5.2499,5.25,5.25,63,6
1627916681,5.26,5.26,5.26,5.26,5.26,15,7
1627916682,5.25,5.27,5.25,5.27,5.26365,86,28
1627916683,5.27,5.27,5.27,5.27,5.27,1,1
1627916684,5.2601,5.27,5.26,5.27,5.26559,20,6
1627916685,5.26,5.27,5.26,5.27,5.26462,25,11
1627916686,5.27,5.28,5.2558,5.2558,5.26573,156,24
1627916687,5.2558,5.2558,5.2558,5.2558,5.2558,0,0
1627916688,5.255,5.26,5.24,5.26,5.25476,55,15
1627916689,5.25,5.25,5.2317,5.2423,5.23849,8,3
1627916690,5.25,5.28,5.24,5.2607,5.25892,57,22
1627916691,5.26,5.26,5.25,5.26,5.25333,27,4
1627916692,5.2508,5.2676,5.2508,5.2676,5.25638,27,4
1627916693,5.27,5.27,5.27,5.27,5.27,13,1
1627916694,5.269,5.269,5.24,5.25,5.25501,69,17
1627916695,5.23,5.23,5.23,5.23,5.23,12,2
1627916696,5.2599,5.2599,5.245,5.245,5.25139,35,3
1627916697,5.24,5.24,5.2371,5.2371,5.23866,13,2
1627916698,5.24,5.26,5.24,5.26,5.24913,20,7
1627916699,5.25,5.2599,5.25,5.2599,5.25076,12,4
1627916700,5.24,5.25,5.23,5.24,5.238,30,11
1627916701,5.235,5.24,5.235,5.2386,5.23615,14,5
1627916702,5.24,5.245,5.23,5.23,5.24032,35,12
1627916703,5.24,5.24,5.24,5.24,5.24,5,1
1627916704,5.2404,5.25,5.24,5.25,5.24809,28,9
1627916705,5.24,5.2499,5.24,5.24,5.24674,66,5
1627916706,5.24,5.24,5.24,5.24,5.24,10,3
1627916707,5.2375,5.2375,5.2,5.2101,5.21911,195,48
1627916708,5.22,5.22,5.2,5.2083,5.20617,261,33
1627916709,5.219,5.2199,5.2,5.2001,5.21074,31,13
1627916710,5.2181,5.22,5.2,5.21,5.21216,16,7
1627916711,5.22,5.23,5.21,5.2198,5.21784,14,8
1627916712,5.23,5.23,5.22,5.22,5.22158,6,5
1627916713,5.23,5.24,5.22,5.22,5.23407,33,9
1627916714,5.22,5.2283,5.22,5.2283,5.22052,16,4
1627916715,5.22,5.221,5.22,5.22,5.22013,7,5
1627916716,5.22,5.2202,5.22,5.22,5.22001,18,5
1627916717,5.225,5.24,5.22,5.2284,5.22763,32,13
1627916718,5.21,5.2277,5.21,5.2185,5.21456,54,8
1627916719,5.215,5.2186,5.21,5.21,5.21251,15,10
1627916720,5.2109,5.2195,5.2109,5.2195,5.21262,5,2
1627916721,5.22,5.26,5.22,5.2558,5.25083,197,31
1627916722,5.245,5.26,5.23,5.2301,5.24344,228,55
1627916723,5.231,5.231,5.231,5.231,5.231,1,1
1627916724,5.25,5.25,5.24,5.24,5.24833,12,2
1627916725,5.24,5.24,5.24,5.24,5.24,0,0
1627916726,5.2315,5.2315,5.2315,5.2315,5.2315,1,1
1627916727,5.235,5.235,5.217,5.217,5.22553,15,5
1627916728,5.22,5.24,5.215,5.23,5.22996,106,40
1627916729,5.2301,5.2396,5.22,5.2389,5.22785,99,28
1627916730,5.24,5.24,5.23,5.2359,5.23419,4,3
1627916731,5.24,5.24,5.23,5.23,5.23665,7,3
