date,open,high,low,close,average,volume,count
1626102000,14.59,14.59,14.58,14.59,14.585,2,2
1626102001,14.59,14.59,14.58,14.58,14.589,29,10
1626102002,14.58,14.58,14.58,14.58,14.58,0,0
1626102003,14.58,14.59,14.58,14.58,14.584,6,1
1626102004,14.59,14.59,14.58,14.59,14.59,55,18
1626102005,14.59,14.6,14.59,14.6,14.59,229,48
1626102006,14.6,14.6,14.59,14.59,14.599,101,2
1626102007,14.59,14.6,14.59,14.59,14.59,0,0
1626102008,14.59,14.6,14.59,14.59,14.59,0,0
1626102009,14.59,14.59,14.59,14.59,14.59,2,1
1626102010,14.6,14.6,14.59,14.6,14.595,3,1
1626102011,14.6,14.6,14.59,14.6,14.595,1,1
1626102012,14.6,14.6,14.59,14.6,14.599,320,1
1626102013,14.59,14.6,14.59,14.59,14.592,10,1
1626102014,14.6,14.6,14.59,14.6,14.598,2,1
1626102015,14.59,14.6,14.59,14.6,14.592,31,2
1626102016,14.59,14.6,14.59,14.59,14.592,35,1
1626102017,14.59,14.6,14.59,14.59,14.59,0,0
1626102018,14.6,14.6,14.59,14.59,14.595,2,2
1626102019,14.59,14.59,14.59,14.59,14.59,0,0
1626102020,14.59,14.6,14.59,14.59,14.591,12,5
1626102021,14.59,14.6,14.59,14.59,14.59,0,0
1626102022,14.6,14.6,14.59,14.6,14.595,10,2
1626102023,14.6,14.6,14.59,14.6,14.6,0,0
1626102024,14.6,14.6,14.59,14.6,14.6,0,0
1626102025,14.59,14.59,14.59,14.59,14.59,1,1
1626102026,14.6,14.6,14.59,14.6,14.595,1,1
1626102027,14.6,14.6,14.59,14.6,14.595,2,2
1626102028,14.59,14.6,14.59,14.59,14.59,102,26
1626102029,14.59,14.59,14.58,14.58,14.59,264,79
1626102030,14.58,14.58,14.58,14.58,14.58,0,0
1626102031,14.58,14.59,14.58,14.58,14.582,1,1
1626102032,14.59,14.59,14.58,14.59,14.589,11,2
1626102033,14.59,14.59,14.58,14.59,14.59,0,0
1626102034,14.59,14.59,14.58,14.59,14.59,0,0
