date,open,high,low,close,average,volume,count
1623225600,12.22,12.27,12.16,12.16,12.25714,14,6
1623225900,12.17,12.17,12.1,12.11,12.1105,36,10
1623226200,12.11,12.17,12.08,12.15,12.12982,44,15
1623226500,12.15,12.15,12.15,12.15,12.15,2,2
1623226800,12.15,12.15,12.14,12.15,12.14593,12,8
1623227100,12.16,12.17,12.15,12.15,12.1546,10,6
1623227400,12.15,12.15,12.15,12.15,12.15,0,0
1623227700,12.19,12.19,12.16,12.16,12.16727,11,5
1623228000,12.16,12.18,12.16,12.18,12.16307,9,7
1623228300,12.18,12.18,12.18,12.18,12.18,0,0
1623228600,12.17,12.18,12.16,12.18,12.16821,8,5
1623228900,12.16,12.16,12.16,12.16,12.16,2,1
1623229200,12.16,12.16,12.16,12.16,12.16,1,1
1623229500,12.16,12.18,12.16,12.18,12.17057,2,2
1623229800,12.17,12.17,12.16,12.16,12.166,5,4
1623230100,12.17,12.17,12.16,12.16,12.16219,22,6
1623230400,12.17,12.17,12.14,12.14,12.14818,23,14
1623230700,12.14,12.14,12.14,12.14,12.14,3,1
1623231000,12.13,12.13,12.13,12.13,12.13,2,2
1623231300,12.11,12.11,12.08,12.1,12.09893,13,8
1623231600,12.1,12.11,12.07,12.11,12.09229,7,6
1623231900,12.07,12.19,12.05,12.18,12.12421,13,10
1623232200,12.16,12.16,12.15,12.15,12.15389,2,2
1623232500,12.1,12.15,12.1,12.15,12.10847,11,4
1623232800,12.13,12.13,12.11,12.11,12.12095,2,2
1623233100,12.13,12.13,12.12,12.12,12.1287,11,3
1623233400,12.13,12.14,12.13,12.14,12.13028,35,6
1623233700,12.14,12.14,12.14,12.14,12.14,0,0
1623234000,12.13,12.13,12.13,12.13,12.13,2,1
1623234300,12.14,12.14,12.14,12.14,12.14,9,4
1623234600,12.17,12.3,12.17,12.29,12.24812,29,15
1623234900,12.3,12.3,12.3,12.3,12.3,5,3
1623235200,12.32,12.32,12.29,12.29,12.31,3,3
1623235500,12.31,12.32,12.31,12.31,12.31865,14,7
1623235800,12.3,12.32,12.3,12.3,12.312,5,4
1623236100,12.35,12.35,12.35,12.35,12.35,3,3
1623236400,12.35,12.4,12.34,12.4,12.36631,157,49
1623236700,12.43,12.44,12.41,12.41,12.41619,60,18
1623237000,12.37,12.37,12.33,12.33,12.34886,40,19
1623237300,12.33,12.33,12.3,12.3,12.31709,37,9
1623237600,12.3,12.31,12.3,12.31,12.30229,17,7
1623237900,12.3,12.35,12.3,12.35,12.32314,45,23
1623238200,12.35,12.35,12.17,12.17,12.28812,211,57
1623238500,12.16,12.4,12.14,12.35,12.28686,242,74
1623238800,12.34,12.52,12.34,12.44,12.486,1031,92
1623239100,12.44,12.44,12.39,12.39,12.41202,41,16
1623239400,12.399,12.399,12.3,12.3,12.32766,69,16
1623239700,12.3,12.33,12.3,12.33,12.31,3,2
1623240000,12.35,12.5,12.16,12.39,12.37071,811,134
1623240300,12.38,12.47,12.37,12.47,12.41094,146,49
1623240600,12.45,12.48,12.42,12.44,12.44756,233,39
1623240900,12.44,12.45,12.4,12.4,12.4261,92,28
1623241200,12.4,12.5,12.4,12.42,12.46283,109,54
1623241500,12.44,12.44,12.39,12.39,12.41593,181,34
1623241800,12.39,12.39,12.34,12.39,12.37589,62,11
1623242100,12.36,12.4,12.36,12.39,12.36396,125,13
1623242400,12.395,12.4,12.36,12.36,12.37911,64,24
1623242700,12.36,12.4,12.3599,12.38,12.37314,45,18
1623243000,12.36,12.38,12.34,12.34,12.35931,15,11
1623243300,12.3599,12.36,12.33,12.35,12.34621,89,28
1623243600,12.35,12.35,12.33,12.35,12.33346,143,35
1623243900,12.35,12.35,12.33,12.34,12.33721,177,33
1623244200,12.34,12.34,12.33,12.34,12.33498,124,31
1623244500,12.35,12.36,12.34,12.34,12.34788,123,26
1623244800,12.35,12.4,12.34,12.39,12.38608,212,51
1623245100,12.4,12.48,12.4,12.42,12.43123,405,107
1623245400,12.42,12.45,11.95,12.11,12.23022,12997,3035
1623245700,12.1251,12.22,12.06,12.14,12.15252,6146,1941
1623246000,12.14,12.17,11.93,11.955,12.01592,6811,1962
1623246300,11.96,12.05,11.76,11.81,11.90838,8042,2420
1623246600,11.7901,11.8,11.635,11.692,11.70916,9134,2980
1623246900,11.7,11.96,11.7,11.875,11.84939,6343,2078
1623247200,11.8709,12.01,11.8,11.925,11.90679,5161,1777
1623247500,11.93,12.0799,11.88,12.0701,11.99856,5777,1746
1623247800,12.079,12.08,11.9,11.9113,11.96702,3552,1306
1623248100,11.91,11.93,11.79,11.84,11.86286,4220,1406
1623248400,11.85,12.04,11.83,11.995,11.95922,3209,1241
1623248700,12.0,12.04,11.94,12.03,11.99555,1474,567
1623249000,12.03,12.08,11.97,12.0791,12.03011,2952,1035
1623249300,12.08,12.129,12.06,12.125,12.08608,4817,1265
1623249600,12.125,12.165,12.1,12.162,12.13169,3619,1101
1623249900,12.17,12.17,11.91,11.92,12.0317,3373,1092
1623250200,11.93,12.07,11.9262,12.0501,12.00532,3385,940
1623250500,12.0516,12.08,11.98,11.98,12.03753,1475,496
1623250800,11.98,12.02,11.96,12.02,11.98919,1245,476
1623251100,12.01,12.04,11.93,11.975,11.97229,1662,573
1623251400,11.9713,11.98,11.88,11.885,11.92467,1736,579
1623251700,11.885,11.91,11.8,11.85,11.84122,3489,1247
1623252000,11.855,11.89,11.8,11.8245,11.85125,2173,771
1623252300,11.825,11.855,11.8,11.84,11.82383,1441,485
1623252600,11.84,11.89,11.8,11.87,11.8556,1840,653
1623252900,11.8605,11.87,11.81,11.81,11.83976,1319,396
1623253200,11.81,11.82,11.76,11.77,11.78342,2720,934
1623253500,11.7781,11.85,11.7781,11.8188,11.82638,1136,559
1623253800,11.8113,11.83,11.64,11.645,11.711,3537,1150
1623254100,11.64,11.6999,11.61,11.6808,11.65375,2585,918
1623254400,11.6801,11.72,11.67,11.7001,11.69608,1368,533
1623254700,11.705,11.73,11.69,11.7,11.70908,1555,527
1623255000,11.695,11.805,11.695,11.805,11.76301,1326,533
