date,open,high,low,close,average,volume,count
1631631600,6.9,6.9099,6.9,6.9,6.90347,96,27
1631631601,6.9,6.9099,6.9,6.905,6.90659,75,12
1631631602,6.9,6.92,6.9,6.9199,6.91319,441,99
1631631603,6.92,6.93,6.915,6.93,6.9287,579,52
1631631604,6.93,6.94,6.925,6.9318,6.93211,201,57
1631631605,6.935,6.95,6.935,6.94,6.9445,1181,259
1631631606,6.9397,6.94,6.9309,6.9388,6.93515,145,42
1631631607,6.9392,6.94,6.9209,6.925,6.93143,339,65
1631631608,6.93,6.93,6.9201,6.9288,6.92711,20,7
1631631609,6.925,6.93,6.92,6.92,6.92708,195,14
1631631610,6.925,6.93,6.92,6.9285,6.92257,43,13
1631631611,6.92,6.93,6.92,6.925,6.92512,56,12
1631631612,6.9222,6.93,6.92,6.9292,6.92452,210,20
1631631613,6.9213,6.93,6.921,6.921,6.92745,30,11
1631631614,6.93,6.94,6.92,6.9322,6.93412,247,57
1631631615,6.94,6.955,6.94,6.95,6.94816,1091,103
1631631616,6.95,6.95,6.92,6.9291,6.93262,454,68
1631631617,6.9248,6.93,6.92,6.92,6.92491,111,15
1631631618,6.93,6.93,6.9201,6.9299,6.92819,71,11
1631631619,6.925,6.9299,6.925,6.925,6.92955,33,4
1631631620,6.9285,6.94,6.92,6.93,6.93243,163,38
1631631621,6.938,6.94,6.9321,6.9321,6.93828,22,8
1631631622,6.94,6.94,6.9301,6.9315,6.93666,157,4
1631631623,6.94,6.94,6.9399,6.9399,6.93991,77,6
1631631624,6.94,6.95,6.93,6.945,6.94183,140,30
1631631625,6.95,6.95,6.9401,6.9497,6.94696,42,16
1631631626,6.941,6.9499,6.941,6.945,6.94761,26,7
1631631627,6.94,6.95,6.94,6.942,6.94132,62,32
1631631628,6.94,6.94,6.93,6.9399,6.93789,67,12
1631631629,6.93,6.935,6.93,6.935,6.93139,61,6
1631631630,6.9394,6.94,6.9339,6.94,6.93824,24,6
1631631631,6.935,6.94,6.932,6.9392,6.9371,28,7
1631631632,6.935,6.9392,6.93,6.9391,6.93616,12,5
1631631633,6.9389,6.94,6.9301,6.935,6.93705,228,29
1631631634,6.93,6.935,6.93,6.9302,6.93427,39,6
1631631635,6.94,6.94,6.9314,6.9314,6.93926,204,5
1631631636,6.935,6.9399,6.935,6.935,6.93576,8,4
1631631637,6.935,6.935,6.9323,6.9323,6.93464,7,2
1631631638,6.9309,6.94,6.9309,6.94,6.93859,248,40
1631631639,6.945,6.95,6.94,6.95,6.94918,166,23
1631631640,6.9414,6.95,6.9401,6.95,6.94952,173,35
1631631641,6.9543,6.96,6.9543,6.957,6.95933,88,16
1631631642,6.9501,6.96,6.95,6.96,6.95353,69,14
1631631643,6.9525,6.958,6.95,6.9503,6.95049,97,7
1631631644,6.9599,6.96,6.945,6.9519,6.95029,804,143
1631631645,6.95,6.955,6.945,6.9501,6.95008,768,116
1631631646,6.9568,6.96,6.9518,6.9556,6.9546,29,7
1631631647,6.96,6.97,6.96,6.965,6.96214,490,64
1631631648,6.9681,6.97,6.9601,6.9689,6.96833,61,8
1631631649,6.9601,6.97,6.9601,6.9687,6.96746,67,9
1631631650,6.9657,6.97,6.965,6.9699,6.9688,208,20
1631631651,6.97,6.97,6.965,6.9699,6.96915,13,4
1631631652,6.96,6.97,6.945,6.955,6.95458,1289,286
1631631653,6.96,6.96,6.95,6.955,6.95729,40,11
1631631654,6.955,6.96,6.94,6.955,6.94995,872,145
1631631655,6.9526,6.9699,6.9526,6.9627,6.96025,130,22
1631631656,6.9637,6.97,6.96,6.9613,6.96199,134,11
