date,open,high,low,close,average,volume,count
1625564700,26.71,26.71,26.71,26.71,26.71,1,1
1625565600,26.71,26.71,26.71,26.71,26.71,0,0
1625566500,26.71,26.71,26.71,26.71,26.71,0,0
1625567400,26.71,26.71,26.71,26.71,26.71,0,0
1625568300,26.71,26.71,26.71,26.71,26.71,0,0
1625569200,26.71,26.71,26.71,26.71,26.71,0,0
1625570100,26.71,26.71,26.71,26.71,26.71,0,0
1625571000,26.71,26.71,26.71,26.71,26.71,0,0
1625571900,26.71,26.71,26.71,26.71,26.71,0,0
1625572800,26.71,26.71,26.71,26.71,26.71,0,0
1625573700,26.71,26.71,26.71,26.71,26.71,0,0
1625574600,27.3,27.3,27.3,27.3,27.3,1,1
1625575500,27.3,27.3,27.3,27.3,27.3,0,0
1625576400,26.93,26.93,26.93,26.93,26.93,9,2
1625577300,26.92,26.98,26.88,26.98,26.9,7,4
1625578200,26.98,27.1,26.14,26.2,26.554,235,106
1625579100,26.16,26.21,25.97,25.97,26.113,93,72
1625580000,26.01,26.03,25.77,25.95,25.943,125,82
1625580900,25.93,26.1,25.8,25.89,25.964,290,135
1625581800,25.89,25.89,25.5,25.63,25.636,290,179
1625582700,25.6,25.73,25.49,25.59,25.59,311,213
1625583600,25.58,25.64,25.5,25.53,25.559,101,76
1625584500,25.53,25.55,25.31,25.48,25.42,364,137
1625585400,25.46,25.55,25.41,25.45,25.481,339,162
1625586300,25.45,25.46,25.36,25.41,25.416,104,54
1625587200,25.41,25.41,25.25,25.29,25.315,183,126
1625588100,25.32,25.35,24.91,24.95,25.103,481,284
1625589000,24.95,24.96,24.81,24.87,24.887,211,145
1625589900,24.87,24.87,24.61,24.71,24.72,695,348
1625590800,24.74,24.76,24.61,24.63,24.71,142,101
1625591700,24.64,24.82,24.61,24.76,24.728,288,162
1625592600,24.77,25.14,24.7,25.13,24.958,246,174
1625593500,25.12,25.22,25.05,25.15,25.128,144,114
1625594400,25.15,25.2,25.09,25.09,25.152,86,82
1625595300,25.11,25.17,25.09,25.1,25.127,76,59
1625596200,25.1,25.11,25.05,25.08,25.082,52,44
1625597100,25.06,25.08,24.95,25.04,25.023,69,57
1625598000,25.05,25.11,25.04,25.07,25.084,58,50
1625598900,25.08,25.08,24.87,25.0,24.979,159,123
1625599800,25.01,25.23,24.98,25.18,25.12,722,229
1625600700,25.19,25.22,25.06,25.06,25.145,510,393
1625601600,25.06,25.06,25.06,25.06,25.06,776,13
1625602500,25.06,25.06,25.06,25.06,25.06,0,0
1625603400,25.06,25.06,25.06,25.06,25.06,0,0
1625604300,25.06,25.06,25.06,25.06,25.06,0,0
1625605200,25.06,25.06,25.06,25.06,25.06,0,0
1625606100,25.06,25.06,25.06,25.06,25.06,0,0
1625607000,25.09,25.09,25.09,25.09,25.09,1,1
1625607900,25.09,25.09,25.09,25.09,25.09,0,0
1625608800,25.09,25.09,25.09,25.09,25.09,0,0
1625609700,25.09,25.09,25.09,25.09,25.09,0,0
1625610600,25.09,25.09,25.09,25.09,25.09,0,0
1625611500,25.09,25.09,25.09,25.09,25.09,0,0
1625612400,25.09,25.09,25.09,25.09,25.09,0,0
1625613300,25.09,25.09,25.09,25.09,25.09,0,0
1625614200,25.09,25.09,25.09,25.09,25.09,0,0
1625615100,25.09,25.09,25.09,25.09,25.09,0,0
1625664600,25.16,25.67,25.08,25.24,25.217,126,37
1625665500,25.06,25.22,24.95,25.02,25.072,101,60
1625666400,24.96,25.07,24.82,25.07,24.884,44,37
1625667300,25.04,25.2,25.02,25.11,25.106,131,99
1625668200,25.15,25.17,24.73,24.73,24.95,87,65
1625669100,24.75,24.89,24.74,24.75,24.815,57,33
