date,open,high,low,close,average,volume,count
20210119,43.0,44.46,42.93,44.02,43.955,7650,3567
20210120,44.35,45.14,44.05,44.65,44.748,4047,2493
20210121,44.91,45.22,44.06,44.62,44.606,3481,1771
20210122,44.26,47.96,44.16,47.13,46.797,6190,3542
20210125,47.75,49.59,46.87,49.59,48.571,6576,2913
20210126,49.78,50.65,48.41,48.99,49.271,8311,3443
20210127,47.91,50.71,46.71,50.45,49.225,6591,3573
20210128,50.45,51.38,48.0,48.0,49.613,7873,3705
20210129,50.8,50.8,48.0,48.2,49.021,4771,3196
20210201,49.77,49.77,47.51,49.62,48.961,4265,2335
20210202,49.88,50.5,48.85,49.32,49.522,3074,1950
20210203,49.21,49.99,47.71,49.44,49.095,4530,2522
20210204,49.69,50.75,49.6,50.48,50.296,2045,1203
20210205,50.85,52.32,49.95,52.26,51.793,3232,2052
20210208,52.52,54.69,52.23,53.43,53.619,4549,2452
20210209,53.13,54.09,51.9,52.37,52.996,3044,1710
20210210,53.5,53.88,50.5,53.58,52.857,4110,2377
20210211,53.6,55.73,53.56,54.6,54.646,6065,3151
20210212,55.0,57.21,54.37,55.72,55.904,4242,2517
20210216,55.84,55.86,52.88,53.15,53.801,4310,2537
20210217,52.89,53.88,51.54,53.0,52.762,4375,2730
20210218,53.61,53.61,51.82,52.35,52.487,4967,1689
20210219,52.43,53.58,51.84,52.06,52.275,5133,1956
20210222,51.67,52.54,50.7,51.64,51.578,3636,2276
20210223,50.63,51.81,49.16,51.27,50.476,5160,2908
20210224,51.26,53.1,50.38,53.01,52.255,2825,1607
20210225,52.84,54.25,49.77,49.86,51.349,5691,3468
20210226,50.34,50.56,48.78,50.03,49.879,4723,2754
20210301,51.03,52.03,39.6,40.1,46.655,5158,2589
20210302,39.79,39.86,33.84,38.49,36.459,97774,42996
20210303,39.15,39.15,34.3,34.33,35.311,24828,15704
20210304,34.5,34.96,33.21,33.73,33.87,12347,7241
20210305,33.13,35.67,33.13,35.5,34.608,9309,5771
20210308,35.66,35.74,33.1,33.37,33.857,8382,5214
20210309,33.8,34.89,33.4,33.77,34.039,7598,4403
20210310,34.0,34.95,33.3,34.39,33.796,6226,3888
20210311,34.23,35.4,33.94,35.2,34.944,6822,3442
20210312,34.62,35.24,34.28,35.24,34.994,4839,1704
20210315,34.71,35.62,33.72,33.75,34.395,8678,4527
20210316,34.3,34.75,33.31,33.6,33.83,8549,4091
20210317,33.37,34.1,32.55,34.1,33.28,9416,5343
20210318,33.65,34.59,32.6,34.0,33.142,6007,3125
20210319,34.76,34.77,32.02,34.0,33.522,17171,5658
20210322,33.35,35.35,33.29,34.03,34.343,5771,3377
20210323,33.83,34.34,32.43,32.45,32.993,5375,2352
20210324,32.5,32.97,31.1,31.4,31.966,6671,3809
20210325,31.46,31.8,30.77,30.96,31.28,9703,4990
20210326,31.71,31.96,30.81,31.91,31.439,3442,2181
20210329,31.32,32.15,30.96,31.15,31.217,5025,1770
20210330,30.99,32.15,30.88,31.11,31.591,7132,3982
20210331,32.1,35.7,31.76,34.6,34.238,11059,5801
20210401,34.75,36.13,34.25,35.68,35.538,7238,4249
20210405,35.51,36.06,34.64,35.63,35.384,3959,2368
20210406,35.32,35.8,23.76,24.85,27.584,15372,5670
20210407,25.98,27.06,19.71,19.9,21.376,182840,73737
20210408,19.57,20.09,18.64,18.91,19.034,64625,26537
20210409,18.52,18.98,18.12,18.68,18.517,37092,13790
20210412,18.9,20.25,18.41,19.6,19.582,33302,12765
20210413,19.74,19.89,18.8,19.4,19.261,18575,8439
20210414,19.49,20.07,19.12,19.47,19.586,14774,7615
20210415,19.46,19.99,19.1,19.25,19.435,15179,8645
20210416,19.0,20.0,18.91,19.85,19.744,35726,10638
20210419,19.84,19.84,18.87,19.0,19.217,14279,6404
