date,open,high,low,close,average,volume,count
1629469800,57.82,57.82,57.81,57.82,57.82,9,2
1629469801,57.82,57.82,57.82,57.82,57.82,0,0
1629469802,57.68,57.68,57.68,57.68,57.68,2,1
1629469803,57.68,57.68,57.68,57.68,57.68,0,0
1629469804,57.77,57.77,57.77,57.77,57.77,11,2
1629469805,57.72,57.73,57.72,57.72,57.72,7,3
1629469806,57.72,57.72,57.72,57.72,57.72,2,2
1629469807,57.72,57.72,57.72,57.72,57.72,0,0
1629469808,57.72,57.72,57.72,57.72,57.72,0,0
1629469809,57.79,57.79,57.78,57.79,57.79,3,1
1629469810,57.79,57.87,57.79,57.87,57.825,19,7
1629469811,57.87,57.87,57.87,57.87,57.87,0,0
1629469812,57.87,57.87,57.87,57.87,57.87,0,0
1629469813,57.87,57.87,57.87,57.87,57.87,1,1
1629469814,57.85,57.85,57.83,57.84,57.846,4,2
1629469815,57.83,57.97,57.83,57.91,57.904,14,4
1629469816,57.98,57.98,57.9,57.98,57.951,13,5
1629469817,57.98,57.98,57.98,57.98,57.98,0,0
1629469818,57.98,57.98,57.98,57.98,57.98,0,0
1629469819,57.98,57.98,57.98,57.98,57.98,0,0
1629469820,57.98,57.98,57.98,57.98,57.98,0,0
1629469821,57.94,57.94,57.94,57.94,57.94,1,1
1629469822,57.95,57.95,57.83,57.83,57.884,8,4
1629469823,57.83,57.83,57.83,57.83,57.83,0,0
1629469824,57.83,57.83,57.83,57.83,57.83,0,0
1629469825,57.83,57.83,57.83,57.83,57.83,0,0
1629469826,57.83,57.83,57.83,57.83,57.83,0,0
1629469827,57.83,57.83,57.83,57.83,57.83,0,0
1629469828,57.85,57.86,57.85,57.85,57.852,2,1
1629469829,57.89,57.89,57.89,57.89,57.89,5,1
1629469830,57.89,57.89,57.89,57.89,57.89,0,0
1629469831,57.89,57.89,57.89,57.89,57.89,0,0
1629469832,57.91,57.95,57.91,57.95,57.928,19,8
1629469833,57.95,57.95,57.95,57.95,57.95,0,0
1629469834,57.97,57.98,57.9,57.9,57.922,21,3
1629469835,57.94,57.94,57.91,57.91,57.915,12,4
1629469836,57.95,57.96,57.95,57.96,57.954,2,2
1629469837,57.95,57.98,57.95,57.95,57.97,23,12
1629469838,57.95,57.95,57.95,57.95,57.95,0,0
1629469839,57.99,57.99,57.98,57.99,57.99,2,1
1629469840,57.96,57.96,57.95,57.96,57.958,4,1
1629469841,57.99,58.07,57.99,58.04,58.037,44,17
1629469842,58.06,58.13,58.02,58.13,58.063,37,16
1629469843,58.11,58.13,58.11,58.13,58.111,16,3
1629469844,58.13,58.17,58.09,58.17,58.131,4,4
1629469845,58.13,58.16,58.12,58.12,58.131,12,5
1629469846,58.16,58.16,58.12,58.13,58.139,31,3
1629469847,58.12,58.16,58.12,58.16,58.154,21,4
1629469848,58.13,58.17,58.1,58.13,58.128,10,5
1629469849,58.12,58.12,58.11,58.12,58.118,1,1
1629469850,58.13,58.13,58.12,58.13,58.127,10,1
1629469851,58.1,58.17,58.09,58.16,58.12,20,15
1629469852,58.1,58.21,58.1,58.21,58.151,12,7
1629469853,58.16,58.16,58.15,58.15,58.154,3,3
1629469854,58.2,58.21,58.15,58.21,58.182,40,4
1629469855,58.18,58.22,58.15,58.18,58.187,30,17
1629469856,58.2,58.3,58.2,58.24,58.235,32,15
1629469857,58.34,58.34,58.22,58.34,58.281,17,8
