date,open,high,low,close,average,volume,count
1627901700,48.55,48.55,48.55,48.55,48.55,1,1
1627902000,48.55,48.55,48.55,48.55,48.55,0,0
1627902300,48.55,48.55,48.55,48.55,48.55,0,0
1627902600,48.55,48.55,48.55,48.55,48.55,0,0
1627902900,48.55,48.55,48.55,48.55,48.55,0,0
1627903200,48.55,48.55,48.55,48.55,48.55,0,0
1627903500,48.55,48.55,48.55,48.55,48.55,0,0
1627903800,48.55,48.55,48.55,48.55,48.55,0,0
1627904100,48.55,48.55,48.55,48.55,48.55,0,0
1627904400,48.55,48.55,48.55,48.55,48.55,0,0
1627904700,48.55,48.55,48.55,48.55,48.55,0,0
1627905000,48.55,48.55,48.55,48.55,48.55,0,0
1627905300,48.55,48.55,48.55,48.55,48.55,0,0
1627905600,48.55,48.55,48.11,48.11,48.317,4,2
1627905900,48.11,48.11,48.11,48.11,48.11,0,0
1627906200,48.85,48.85,48.85,48.85,48.85,1,1
1627906500,48.85,48.85,48.85,48.85,48.85,0,0
1627906800,48.85,48.85,48.85,48.85,48.85,0,0
1627907100,48.5,48.5,48.5,48.5,48.5,11,2
1627907400,48.5,48.5,48.5,48.5,48.5,0,0
1627907700,48.5,48.5,48.5,48.5,48.5,0,0
1627908000,48.5,48.5,48.49,48.5,48.5,5,2
1627908300,48.5,48.5,48.5,48.5,48.5,0,0
1627908600,48.42,48.42,48.42,48.42,48.42,3,3
1627908900,48.5,48.5,48.5,48.5,48.5,2,1
1627909200,48.5,48.5,48.5,48.5,48.5,0,0
1627909500,48.5,48.5,48.49,48.5,48.5,10,2
1627909800,48.5,48.5,48.5,48.5,48.5,0,0
1627910100,48.4,48.6,48.4,48.6,48.471,2,2
1627910400,48.5,48.61,48.5,48.6,48.509,11,3
1627910700,48.44,48.45,48.44,48.45,48.448,6,2
1627911000,48.44,48.44,47.39,47.76,47.962,763,216
1627911300,47.69,47.79,47.4,47.69,47.576,362,231
1627911600,47.69,47.83,47.28,47.42,47.516,393,291
1627911900,47.36,47.55,47.24,47.37,47.385,580,340
1627912200,47.39,47.4,46.83,46.88,47.009,926,604
1627912500,46.9,47.52,46.9,47.42,47.172,447,315
1627912800,47.42,47.82,47.39,47.7,47.652,572,380
1627913100,47.72,47.78,47.39,47.54,47.578,515,384
1627913400,47.54,47.78,47.49,47.63,47.622,374,255
1627913700,47.61,47.64,47.17,47.26,47.39,374,272
1627914000,47.26,47.31,47.1,47.14,47.213,345,210
1627914300,47.13,47.28,47.11,47.17,47.195,333,212
1627914600,47.16,47.32,47.04,47.19,47.157,219,157
1627914900,47.18,47.44,47.17,47.43,47.321,358,235
1627915200,47.43,47.59,47.23,47.59,47.397,504,373
1627915500,47.59,47.99,47.59,47.87,47.816,821,573
1627915800,47.84,48.03,47.79,47.98,47.931,289,174
1627916100,47.95,48.05,47.86,48.04,47.973,273,190
1627916400,48.04,48.14,47.93,48.13,48.056,291,217
1627916700,48.11,48.27,48.06,48.2,48.161,433,235
1627917000,48.16,48.21,48.08,48.21,48.148,178,133
1627917300,48.2,48.52,48.14,48.43,48.32,519,256
1627917600,48.44,48.57,48.42,48.51,48.485,307,223
1627917900,48.51,48.55,48.41,48.54,48.47,270,165
1627918200,48.54,48.63,48.32,48.59,48.494,394,256
1627918500,48.6,48.63,48.4,48.57,48.528,371,234
1627918800,48.59,48.69,48.52,48.66,48.601,169,94
1627919100,48.66,48.78,48.6,48.78,48.682,220,152
1627919400,48.79,48.82,48.65,48.72,48.748,243,144
1627919700,48.72,48.78,48.63,48.66,48.687,189,121
1627920000,48.67,48.69,48.36,48.4,48.473,226,148
1627920300,48.4,48.4,48.05,48.07,48.227,330,207
1627920600,48.05,48.35,48.02,48.28,48.21,249,189
1627920900,48.26,48.34,48.21,48.29,48.252,311,182
1627921200,48.28,48.42,48.13,48.32,48.233,322,215
1627921500,48.35,48.37,48.28,48.34,48.329,91,81
1627921800,48.33,48.52,48.3,48.44,48.416,243,177
1627922100,48.43,48.51,48.36,48.44,48.423,106,74
1627922400,48.46,48.58,48.46,48.55,48.508,90,69
1627922700,48.53,48.58,48.47,48.56,48.525,138,107
1627923000,48.54,48.63,48.49,48.6,48.571,138,105
1627923300,48.61,48.64,48.55,48.61,48.586,155,117
1627923600,48.61,48.73,48.53,48.72,48.623,192,132
1627923900,48.73,48.75,48.57,48.63,48.662,161,102
1627924200,48.65,48.78,48.65,48.71,48.7,188,93
1627924500,48.7,48.75,48.6,48.67,48.671,144,101
1627924800,48.67,48.68,48.52,48.53,48.572,106,81
1627925100,48.51,48.56,48.49,48.5,48.525,112,94
1627925400,48.5,48.74,48.5,48.74,48.56,153,92
1627925700,48.71,48.77,48.63,48.69,48.69,135,87
1627926000,48.68,48.69,48.55,48.58,48.633,137,96
1627926300,48.59,48.78,48.56,48.78,48.678,128,100
1627926600,48.77,48.83,48.6,48.6,48.751,219,135
1627926900,48.58,48.68,48.54,48.57,48.601,197,142
1627927200,48.57,48.57,48.44,48.44,48.515,174,144
