date,open,high,low,close,average,volume,count
1628865000,28.96,28.97,28.96,28.96,28.964,6,4
1628865001,28.95,28.97,28.95,28.96,28.965,10,5
1628865002,28.98,28.98,28.97,28.98,28.98,3,1
1628865003,28.96,28.98,28.96,28.97,28.976,7,3
1628865004,28.97,28.97,28.97,28.97,28.97,0,0
1628865005,28.97,28.97,28.97,28.97,28.97,0,0
1628865006,28.98,28.98,28.96,28.96,28.976,8,6
1628865007,28.95,28.96,28.95,28.95,28.95,30,1
1628865008,28.95,28.96,28.95,28.95,28.95,0,0
1628865009,28.95,28.96,28.95,28.95,28.95,0,0
1628865010,28.95,28.96,28.95,28.95,28.95,0,0
1628865011,28.97,28.97,28.96,28.96,28.964,2,2
1628865012,28.96,28.96,28.96,28.96,28.96,0,0
1628865013,28.96,28.96,28.96,28.96,28.96,0,0
1628865014,28.95,28.95,28.92,28.92,28.924,24,5
1628865015,28.92,28.92,28.92,28.92,28.92,0,0
1628865016,28.93,28.93,28.91,28.91,28.917,5,2
1628865017,28.93,28.94,28.92,28.92,28.931,3,3
1628865018,28.92,28.92,28.92,28.92,28.92,0,0
1628865019,28.92,28.92,28.92,28.92,28.92,0,0
1628865020,28.91,28.93,28.91,28.92,28.912,10,6
1628865021,28.92,28.92,28.92,28.92,28.92,2,2
1628865022,28.91,28.92,28.91,28.91,28.911,46,5
1628865023,28.94,28.94,28.93,28.94,28.94,9,5
1628865024,28.95,28.97,28.93,28.96,28.953,8,5
1628865025,28.92,28.93,28.92,28.92,28.92,2,1
1628865026,28.92,28.94,28.92,28.94,28.939,67,4
1628865027,28.94,28.96,28.94,28.96,28.941,51,2
1628865028,28.96,28.96,28.96,28.96,28.96,125,1
1628865029,28.96,28.96,28.91,28.91,28.929,45,12
1628865030,28.93,28.93,28.92,28.93,28.93,21,6
1628865031,28.9,28.9,28.9,28.9,28.9,32,13
1628865032,28.89,28.89,28.89,28.89,28.89,10,2
1628865033,28.89,28.9,28.89,28.89,28.893,8,3
1628865034,28.89,28.89,28.88,28.88,28.887,3,3
1628865035,28.88,28.9,28.88,28.9,28.887,2,2
1628865036,28.9,28.9,28.89,28.9,28.9,5,1
1628865037,28.9,28.9,28.88,28.89,28.884,22,11
1628865038,28.88,28.91,28.88,28.91,28.903,79,40
1628865039,28.92,28.93,28.91,28.93,28.921,8,4
1628865040,28.94,28.94,28.91,28.91,28.927,17,6
1628865041,28.91,28.91,28.91,28.91,28.91,0,0
1628865042,28.91,28.91,28.91,28.91,28.91,0,0
1628865043,28.91,28.91,28.91,28.91,28.91,0,0
1628865044,28.91,28.91,28.91,28.91,28.91,0,0
1628865045,28.92,28.94,28.91,28.92,28.92,22,7
1628865046,28.92,28.92,28.91,28.92,28.92,0,0
1628865047,28.91,28.91,28.91,28.91,28.91,7,5
1628865048,28.91,28.92,28.9,28.91,28.909,3,3
1628865049,28.91,28.91,28.91,28.91,28.91,0,0
1628865050,28.92,28.93,28.92,28.92,28.92,1,1
1628865051,28.92,28.93,28.92,28.92,28.92,0,0
1628865052,28.92,28.93,28.92,28.92,28.92,0,0
1628865053,28.92,28.93,28.92,28.92,28.92,0,0
1628865054,28.9,28.9,28.87,28.87,28.874,8,3
1628865055,28.87,28.87,28.87,28.87,28.87,0,0
1628865056,28.89,28.89,28.89,28.89,28.89,2,2
1628865057,28.9,28.9,28.89,28.9,28.895,1,1
1628865058,28.9,28.9,28.89,28.9,28.9,0,0
1628865059,28.91,28.91,28.91,28.91,28.91,2,1
1628865060,28.91,28.91,28.91,28.91,28.91,0,0
1628865061,28.91,28.91,28.91,28.91,28.91,0,0
1628865062,28.88,28.88,28.88,28.88,28.88,1,1
1628865063,28.91,28.92,28.91,28.91,28.91,32,7
1628865064,28.91,28.91,28.91,28.91,28.91,0,0
1628865065,28.91,28.91,28.91,28.91,28.91,0,0
1628865066,28.91,28.93,28.9,28.91,28.91,27,7
1628865067,28.91,28.91,28.91,28.91,28.91,1,1
1628865068,28.91,28.91,28.9,28.91,28.909,1,1
1628865069,28.91,28.91,28.9,28.91,28.91,0,0
1628865070,28.91,28.91,28.9,28.91,28.91,0,0
1628865071,28.94,28.94,28.92,28.92,28.927,6,6
1628865072,28.92,28.92,28.92,28.92,28.92,0,0
1628865073,28.92,28.92,28.92,28.92,28.92,6,5
1628865074,28.92,28.92,28.91,28.92,28.915,2,1
1628865075,28.91,28.91,28.9,28.9,28.908,6,6
1628865076,28.92,28.92,28.89,28.9,28.908,11,4
1628865077,28.9,28.93,28.9,28.91,28.925,61,5
1628865078,28.93,28.93,28.93,28.93,28.93,8,4
1628865079,28.94,28.94,28.91,28.91,28.939,21,5
1628865080,28.91,28.91,28.91,28.91,28.91,0,0
1628865081,28.93,28.93,28.93,28.93,28.93,10,1
1628865082,28.93,28.93,28.93,28.93,28.93,0,0
1628865083,28.93,28.94,28.93,28.93,28.935,2,1
1628865084,28.91,28.91,28.91,28.91,28.91,3,3
1628865085,28.91,28.91,28.91,28.91,28.91,0,0
1628865086,28.92,28.92,28.92,28.92,28.92,2,2
1628865087,28.92,28.92,28.92,28.92,28.92,0,0
1628865088,28.92,28.94,28.92,28.94,28.923,6,2
1628865089,28.94,28.94,28.93,28.94,28.935,5,1
1628865090,28.94,28.94,28.93,28.94,28.94,0,0
1628865091,28.94,28.94,28.93,28.94,28.94,0,0
1628865092,28.94,28.94,28.93,28.94,28.94,0,0
1628865093,28.94,28.95,28.94,28.95,28.948,3,3
1628865094,28.95,28.95,28.95,28.95,28.95,3,1
1628865095,28.94,28.98,28.94,28.98,28.966,23,7
1628865096,28.96,28.96,28.96,28.96,28.96,6,2
1628865097,28.95,28.95,28.95,28.95,28.95,5,1
1628865098,28.95,28.95,28.95,28.95,28.95,2,1
1628865099,28.95,28.95,28.95,28.95,28.95,0,0
1628865100,28.95,28.95,28.95,28.95,28.95,0,0
1628865101,28.97,28.97,28.97,28.97,28.97,2,2
1628865102,28.97,28.97,28.97,28.97,28.97,0,0
1628865103,28.97,28.97,28.97,28.97,28.97,0,0
1628865104,28.97,28.97,28.97,28.97,28.97,0,0
1628865105,28.96,28.96,28.96,28.96,28.96,1,1
1628865106,28.96,28.96,28.96,28.96,28.96,0,0
1628865107,28.98,28.98,28.96,28.96,28.977,6,2
1628865108,28.96,28.97,28.96,28.96,28.965,1,1
1628865109,28.98,28.98,28.97,28.98,28.98,1,1
1628865110,28.98,28.98,28.97,28.98,28.98,0,0
1628865111,28.96,28.97,28.95,28.95,28.954,43,11
1628865112,28.97,28.97,28.96,28.97,28.966,3,2
1628865113,28.95,28.97,28.95,28.95,28.962,5,3
1628865114,28.95,28.95,28.95,28.95,28.95,0,0
1628865115,28.95,28.95,28.95,28.95,28.95,0,0
1628865116,28.95,28.95,28.95,28.95,28.95,0,0
1628865117,28.95,28.95,28.95,28.95,28.95,0,0
1628865118,28.95,28.96,28.95,28.96,28.955,55,2
1628865119,28.97,28.97,28.97,28.97,28.97,1,1
1628865120,28.97,28.97,28.97,28.97,28.97,0,0
1628865121,28.97,28.97,28.97,28.97,28.97,0,0
1628865122,28.96,28.96,28.96,28.96,28.96,1,1
1628865123,28.96,28.96,28.96,28.96,28.96,0,0
1628865124,28.97,28.97,28.97,28.97,28.97,1,1
1628865125,28.97,28.97,28.97,28.97,28.97,0,0
1628865126,28.96,28.97,28.96,28.96,28.962,5,5
1628865127,28.96,28.96,28.96,28.96,28.96,0,0
1628865128,28.96,28.96,28.96,28.96,28.96,0,0
1628865129,28.97,28.97,28.96,28.97,28.969,1,1
