date,open,high,low,close,average,volume,count
20210216,47.0,47.28,42.35,45.4,44.287,111667,36808
20210217,45.95,46.3,43.0,46.1,45.082,107815,35268
20210218,45.9,45.9,41.69,42.7,43.375,100995,35336
20210219,42.56,44.64,42.2,43.2,43.218,89684,26867
20210222,42.8,42.85,36.7,38.95,41.066,100239,33515
20210223,39.0,39.64,32.77,38.6,36.063,160658,58141
20210224,38.01,40.68,36.21,40.18,38.329,86510,28243
20210225,39.6,40.8,32.0,33.27,36.846,108853,35491
20210226,34.7,36.66,32.6,35.25,34.919,88825,29540
20210301,36.01,39.7,36.01,39.6,37.807,67576,23009
20210302,39.0,45.0,37.8,38.9,41.46,230055,82788
20210303,39.0,40.7,33.43,34.72,35.731,245187,88065
20210304,34.84,35.55,27.4,30.13,30.79,265468,98713
20210305,32.0,32.4,26.13,30.25,29.143,168144,64737
20210308,28.5,31.17,26.56,26.95,28.689,103562,40673
20210309,27.85,29.74,27.56,29.3,28.901,91433,29542
20210310,29.0,32.0,28.99,30.24,30.779,101083,35631
20210311,31.1,34.14,30.51,33.8,32.75,99464,33851
20210312,32.0,33.24,30.71,31.85,32.25,62512,24176
20210315,31.75,34.35,31.26,33.83,33.31,89385,28788
20210316,33.62,34.79,31.39,31.89,32.981,72286,26732
20210317,31.0,32.47,29.4,32.0,31.11,76246,28321
20210318,31.86,31.86,29.8,30.0,30.825,40670,18170
20210319,30.23,32.27,28.81,31.22,31.151,89584,26937
20210322,31.23,32.14,30.59,31.5,31.517,40548,13829
20210323,31.15,31.5,29.13,29.92,30.034,65015,25362
20210324,29.91,30.58,26.7,26.92,28.356,61867,24234
20210325,27.0,27.88,25.12,26.26,25.927,84973,36128
20210326,26.75,26.88,20.69,22.68,22.308,291077,101313
20210329,21.7,23.18,20.7,21.3,21.377,179295,67931
20210330,21.18,22.78,20.38,22.03,21.592,172219,63755
20210331,22.15,23.79,21.24,22.65,22.152,144307,49363
20210401,23.0,24.01,22.22,22.6,22.929,173164,60872
20210405,22.75,23.33,21.17,21.62,21.672,143518,49123
20210406,21.6,23.19,20.9,22.23,22.1,183130,64777
20210407,22.25,22.78,20.61,20.85,21.54,144746,47315
20210408,21.0,22.48,20.26,22.28,21.014,116219,36439
20210409,22.29,25.35,21.38,23.2,23.716,997978,269826
20210412,23.5,23.5,20.85,21.26,21.624,225351,69104
20210413,21.49,21.84,20.7,21.11,21.161,109287,33943
20210414,21.24,22.18,20.87,21.1,21.496,126440,32854
20210415,21.0,21.36,19.1,19.25,19.906,168732,50997
20210416,19.49,19.63,18.33,19.0,18.999,115663,36148
20210419,18.86,19.51,17.41,19.32,18.371,154246,45740
20210420,19.43,19.65,17.75,18.05,18.409,102343,30814
20210421,18.19,20.24,17.59,19.95,18.868,117892,37800
20210422,20.18,21.53,19.65,20.3,20.644,184360,51660
20210423,20.6,21.14,20.25,20.6,20.646,74737,22637
20210426,20.66,22.31,20.61,21.83,21.701,89507,25650
20210427,21.83,22.63,21.16,21.99,22.035,78112,24252
20210428,22.11,22.43,21.28,21.84,21.832,49884,14876
20210429,21.97,22.5,20.23,20.4,20.924,100080,31237
20210430,20.27,20.93,19.93,20.1,20.306,53849,17129
20210503,20.16,20.49,19.51,19.67,19.976,92062,26925
20210504,19.76,19.76,18.2,18.8,18.672,79346,26039
20210505,18.95,19.15,17.8,17.87,18.476,66639,19855
20210506,18.0,18.0,16.57,17.38,17.133,93191,30550
20210507,17.99,18.55,17.18,17.39,17.78,73581,23119
20210510,17.25,17.45,16.02,16.12,16.648,75721,24373
20210511,16.01,22.67,14.25,21.66,18.651,298724,92564
20210512,21.6,21.94,18.85,19.15,19.999,527439,154071
20210513,19.15,19.6,17.61,18.35,18.556,195395,52408
20210514,18.27,20.89,18.27,20.5,20.261,185150,55205
20210517,20.37,22.0,19.72,20.33,20.685,123515,36782
20210518,20.59,22.28,20.51,21.3,21.609,127229,36543
20210519,20.81,21.39,20.17,20.43,20.596,107516,34072
20210520,20.52,21.29,20.15,20.61,20.684,74425,21631
20210521,20.65,21.1,20.22,20.23,20.583,67155,20321
20210524,20.31,21.85,20.05,21.7,20.969,102755,29579
20210525,21.8,22.41,20.62,21.03,21.304,100923,30040
20210526,21.09,24.69,21.09,24.09,23.384,241912,71224
20210527,23.79,25.73,23.11,25.49,24.439,190390,56678
20210528,25.59,26.49,23.7,23.7,24.731,151765,48030
20210601,23.79,24.75,23.61,24.29,24.221,87186,27242
20210602,24.69,28.66,23.95,28.29,27.156,225631,80977
20210603,28.29,29.0,26.3,27.07,27.335,110448,42063
20210604,27.15,28.65,26.76,27.02,27.526,79997,27811
20210607,27.02,31.44,27.02,30.56,29.93,191871,64838
20210608,30.52,31.66,29.17,30.1,30.404,114155,39370
20210609,30.1,30.77,28.51,28.55,29.454,67377,23152
20210610,28.55,29.62,27.15,27.93,28.132,74523,26520
20210611,27.93,30.75,27.93,29.95,29.739,102558,32093
20210614,29.95,30.5,28.83,29.54,29.625,60467,22034
20210615,29.56,29.8,27.53,27.79,28.238,67066,23278
20210616,27.52,30.5,27.08,28.75,28.146,69766,23062
20210617,29.58,30.63,28.45,29.65,29.829,93790,28832
20210618,29.65,30.19,28.31,29.01,29.212,107777,23705
20210621,29.0,32.43,28.2,31.8,31.034,175133,52279
20210622,31.4,33.7,31.2,32.03,32.368,156478,52812
20210623,32.16,33.66,31.21,32.9,32.701,129447,39137
20210624,32.75,33.28,31.84,32.43,32.525,70109,26052
20210625,32.6,35.09,32.49,34.11,34.262,300273,57151
20210628,34.11,34.44,32.78,33.6,33.499,83872,29693
20210629,33.8,34.1,31.68,32.02,32.721,78160,24324
20210630,32.0,32.63,30.43,32.15,31.681,62011,21153
20210701,32.15,32.78,30.65,30.75,31.388,50140,17584
20210702,30.79,31.23,29.12,29.72,29.885,77024,24561
20210706,29.61,30.0,28.34,29.1,29.133,55527,20879
20210707,29.51,29.53,27.2,27.39,28.023,70245,23643
20210708,27.14,29.08,25.75,29.05,28.088,95693,30179
20210709,29.05,29.84,28.42,28.75,28.903,43327,15142
20210712,29.0,29.22,27.55,28.75,28.222,34631,12308
20210713,28.6,29.8,27.26,27.38,28.386,50217,17106
20210714,27.41,28.16,25.5,25.51,26.382,62412,21273
20210715,25.7,28.44,24.6,27.12,25.87,63263,21307
20210716,27.15,28.0,25.53,25.9,26.454,91465,28818
20210719,25.26,26.48,24.52,25.95,25.557,52407,18374
20210720,26.04,26.8,24.83,26.55,25.896,36945,14052
20210721,26.99,27.7,26.12,27.7,26.951,41156,14401
20210722,27.69,28.26,25.98,26.46,26.638,42031,13690
20210723,26.45,27.18,25.59,26.69,26.389,51031,19192
20210726,26.64,27.21,26.03,26.86,26.624,30332,12138
20210727,26.75,26.95,24.76,25.63,25.558,56472,21758
20210728,25.63,27.97,25.63,27.6,27.167,39292,14096
20210729,27.79,28.45,26.35,26.45,27.5,41578,14111
20210730,26.48,27.17,25.7,26.04,26.369,33727,11154
20210802,26.1,26.76,25.75,26.22,26.27,24965,10041
20210803,25.94,26.42,25.13,25.86,25.683,24158,9195
20210804,25.71,26.02,24.81,25.13,25.237,38353,14929
20210805,24.9,26.68,24.9,26.68,26.049,31710,12050
20210806,26.48,26.85,25.25,25.85,26.273,25360,9196
20210809,26.32,28.41,26.01,27.9,27.876,60370,24007
20210810,27.75,32.74,27.26,32.1,29.526,116660,40743
20210811,32.1,33.68,30.21,31.46,31.724,322519,102699
20210812,31.41,32.52,31.06,31.47,31.833,70430,25577
20210813,31.44,31.44,28.38,28.77,29.16,103988,37825
