date,open,high,low,close,average,volume,count
1626422500,136.0,136.0,136.0,136.0,136.0,1,1
1626422505,136.98,136.99,136.98,136.99,136.985,2,2
1626422510,136.0,136.0,136.0,136.0,136.0,2,1
1626422515,136.0,136.0,136.0,136.0,136.0,2,1
1626422520,136.0,136.0,136.0,136.0,136.0,0,0
1626422525,136.0,136.0,136.0,136.0,136.0,0,0
1626422530,136.0,136.0,136.0,136.0,136.0,4,1
1626422535,136.0,136.0,136.0,136.0,136.0,0,0
1626422540,136.0,136.0,136.0,136.0,136.0,0,0
1626422545,136.01,136.01,136.01,136.01,136.01,1,1
1626422550,136.01,136.01,136.01,136.01,136.01,0,0
1626422555,136.01,136.01,136.01,136.01,136.01,0,0
1626422560,136.01,136.01,136.01,136.01,136.01,0,0
1626422565,136.84,136.84,136.84,136.84,136.84,1,1
1626422570,136.84,136.84,136.84,136.84,136.84,0,0
1626422575,136.84,136.84,136.84,136.84,136.84,0,0
1626422580,136.84,136.84,136.84,136.84,136.84,0,0
1626422585,136.84,136.84,136.84,136.84,136.84,0,0
1626422590,136.84,136.84,136.84,136.84,136.84,0,0
1626422595,136.84,136.84,136.84,136.84,136.84,0,0
1626422600,136.84,136.84,136.84,136.84,136.84,0,0
1626422605,136.4,136.4,136.4,136.4,136.4,1,1
1626422610,136.4,136.4,136.4,136.4,136.4,0,0
1626422615,136.4,136.4,136.4,136.4,136.4,0,0
1626422620,136.4,136.4,136.4,136.4,136.4,0,0
1626422625,136.4,136.4,136.4,136.4,136.4,0,0
1626422630,136.4,136.4,136.4,136.4,136.4,0,0
1626422635,136.4,136.4,136.4,136.4,136.4,0,0
1626422640,136.4,136.4,136.4,136.4,136.4,0,0
1626422645,136.4,136.4,136.4,136.4,136.4,0,0
1626422650,136.79,136.79,136.79,136.79,136.79,1,1
1626422655,136.79,136.79,136.79,136.79,136.79,0,0
1626422660,136.79,136.79,136.79,136.79,136.79,0,0
1626422665,136.79,136.79,136.79,136.79,136.79,0,0
1626422670,136.79,136.79,136.79,136.79,136.79,0,0
