date,open,high,low,close,average,volume,count
1647439200,32.49,32.5,32.44,32.47,32.479,50,23
1647439201,32.5,32.5,32.5,32.5,32.5,1,1
1647439202,32.49,32.5,32.49,32.5,32.491,12,7
1647439203,32.51,32.54,32.49,32.54,32.519,10,8
1647439204,32.54,32.54,32.53,32.54,32.54,0,0
1647439205,32.56,32.58,32.55,32.58,32.562,36,16
1647439206,32.58,32.58,32.58,32.58,32.58,9,5
1647439207,32.58,32.58,32.58,32.58,32.58,0,0
1647439208,32.58,32.59,32.57,32.59,32.58,55,10
1647439209,32.59,32.59,32.59,32.59,32.59,0,0
1647439210,32.59,32.59,32.59,32.59,32.59,0,0
1647439211,32.58,32.6,32.57,32.6,32.597,10,4
1647439212,32.6,32.6,32.6,32.6,32.6,22,8
1647439213,32.59,32.59,32.59,32.59,32.59,1,1
1647439214,32.65,32.66,32.63,32.66,32.648,9,9
1647439215,32.67,32.67,32.67,32.67,32.67,10,4
1647439216,32.67,32.67,32.61,32.62,32.652,48,14
1647439217,32.61,32.65,32.61,32.65,32.637,3,3
1647439218,32.65,32.65,32.65,32.65,32.65,0,0
1647439219,32.65,32.65,32.65,32.65,32.65,0,0
1647439220,32.66,32.66,32.65,32.66,32.659,13,13
1647439221,32.65,32.68,32.65,32.68,32.667,13,11
1647439222,32.66,32.68,32.66,32.68,32.676,28,9
1647439223,32.68,32.68,32.67,32.68,32.679,2,1
1647439224,32.67,32.67,32.67,32.67,32.67,3,2
1647439225,32.66,32.66,32.65,32.66,32.655,1,1
1647439226,32.63,32.63,32.55,32.61,32.601,27,26
1647439227,32.59,32.6,32.59,32.6,32.598,2,2
1647439228,32.6,32.6,32.6,32.6,32.6,0,0
1647439229,32.62,32.63,32.62,32.62,32.623,3,1
1647439230,32.63,32.63,32.63,32.63,32.63,3,3
1647439231,32.63,32.67,32.63,32.67,32.638,5,5
1647439232,32.66,32.68,32.65,32.65,32.666,7,6
1647439233,32.65,32.66,32.65,32.66,32.655,2,2
1647439234,32.66,32.67,32.61,32.61,32.629,17,4
1647439235,32.65,32.65,32.64,32.65,32.649,10,1
1647439236,32.65,32.66,32.65,32.66,32.654,8,6
1647439237,32.67,32.68,32.67,32.67,32.672,1,1
1647439238,32.66,32.66,32.66,32.66,32.66,1,1
1647439239,32.68,32.68,32.68,32.68,32.68,2,2
1647439240,32.68,32.69,32.67,32.67,32.688,18,8
1647439241,32.67,32.67,32.67,32.67,32.67,3,1
1647439242,32.67,32.67,32.67,32.67,32.67,0,0
1647439243,32.67,32.67,32.67,32.67,32.67,0,0
1647439244,32.67,32.67,32.67,32.67,32.67,0,0
1647439245,32.64,32.67,32.64,32.66,32.643,23,4
1647439246,32.68,32.68,32.68,32.68,32.68,2,2
1647439247,32.68,32.69,32.66,32.66,32.675,49,22
1647439248,32.67,32.67,32.67,32.67,32.67,3,3
1647439249,32.67,32.68,32.67,32.67,32.673,3,3
1647439250,32.69,32.69,32.69,32.69,32.69,2,1
1647439251,32.69,32.69,32.69,32.69,32.69,0,0
1647439252,32.69,32.69,32.69,32.69,32.69,2,2
1647439253,32.7,32.7,32.67,32.67,32.681,7,7
1647439254,32.68,32.79,32.68,32.76,32.742,28,27
1647439255,32.76,32.76,32.76,32.76,32.76,0,0
1647439256,32.8,32.8,32.78,32.78,32.793,10,8
1647439257,32.8,32.8,32.8,32.8,32.8,9,7
1647439258,32.84,32.84,32.83,32.84,32.838,6,3
1647439259,32.82,32.82,32.81,32.82,32.815,6,2
1647439260,32.84,32.84,32.84,32.84,32.84,11,2
1647439261,32.83,32.86,32.79,32.85,32.846,17,7
1647439262,32.86,32.95,32.84,32.95,32.909,69,31
1647439263,32.94,32.95,32.93,32.93,32.937,8,6
1647439264,32.93,32.94,32.93,32.93,32.93,0,0
1647439265,32.93,32.95,32.92,32.95,32.928,9,2
1647439266,32.96,32.96,32.95,32.96,32.958,1,1
1647439267,32.9,32.9,32.86,32.88,32.888,19,11
1647439268,32.88,32.88,32.88,32.88,32.88,2,2
1647439269,32.88,32.88,32.88,32.88,32.88,0,0
1647439270,32.87,32.87,32.83,32.84,32.849,16,9
1647439271,32.86,32.86,32.81,32.82,32.844,21,13
1647439272,32.82,32.85,32.82,32.85,32.847,9,5
1647439273,32.85,32.86,32.85,32.86,32.859,18,7
1647439274,32.86,32.86,32.86,32.86,32.86,0,0
1647439275,32.86,32.86,32.84,32.84,32.858,13,4
1647439276,32.84,32.86,32.84,32.86,32.845,15,15
1647439277,32.94,32.94,32.89,32.89,32.91,5,5
1647439278,32.88,32.88,32.85,32.85,32.867,6,6
1647439279,32.85,32.85,32.85,32.85,32.85,0,0
1647439280,32.85,32.85,32.85,32.85,32.85,0,0
1647439281,32.87,32.87,32.84,32.84,32.851,18,11
1647439282,32.84,32.84,32.84,32.84,32.84,0,0
1647439283,32.84,32.85,32.84,32.85,32.846,8,8
1647439284,32.85,32.85,32.85,32.85,32.85,1,1
1647439285,32.85,32.86,32.84,32.84,32.843,11,9
1647439286,32.84,32.88,32.84,32.84,32.869,64,13
1647439287,32.86,32.86,32.84,32.84,32.856,4,4
1647439288,32.84,32.85,32.84,32.84,32.842,9,9
1647439289,32.84,32.85,32.8,32.84,32.84,62,31
1647439290,32.84,32.85,32.84,32.84,32.843,10,2
1647439291,32.84,32.88,32.84,32.85,32.85,22,19
1647439292,32.84,32.85,32.84,32.85,32.847,3,3
1647439293,32.88,32.93,32.88,32.93,32.892,10,6
1647439294,32.92,32.92,32.91,32.91,32.912,5,5
1647439295,32.91,32.91,32.91,32.91,32.91,0,0
1647439296,32.9,32.9,32.9,32.9,32.9,2,2
1647439297,32.91,32.94,32.91,32.91,32.916,11,11
1647439298,32.89,32.89,32.89,32.89,32.89,2,2
1647439299,32.9,32.9,32.9,32.9,32.9,3,1
1647439300,32.9,32.9,32.9,32.9,32.9,0,0
1647439301,32.9,32.9,32.9,32.9,32.9,0,0
1647439302,32.9,32.9,32.9,32.9,32.9,0,0
1647439303,32.9,32.92,32.9,32.92,32.911,6,5
1647439304,32.89,32.89,32.87,32.87,32.879,4,3
1647439305,32.86,32.91,32.86,32.91,32.872,6,5
1647439306,32.91,32.91,32.9,32.91,32.91,0,0
1647439307,32.86,32.86,32.85,32.86,32.858,1,1
1647439308,32.86,32.86,32.86,32.86,32.86,1,1
1647439309,32.88,32.88,32.88,32.88,32.88,4,3
1647439310,32.88,32.88,32.88,32.88,32.88,0,0
1647439311,32.85,32.85,32.84,32.84,32.843,3,2
1647439312,32.8,32.82,32.73,32.73,32.788,23,6
1647439313,32.73,32.73,32.73,32.73,32.73,0,0
1647439314,32.73,32.73,32.73,32.73,32.73,0,0
1647439315,32.73,32.73,32.73,32.73,32.73,0,0
1647439316,32.73,32.73,32.73,32.73,32.73,0,0
1647439317,32.73,32.73,32.72,32.73,32.728,2,2
1647439318,32.71,32.73,32.71,32.73,32.722,7,6
1647439319,32.73,32.73,32.73,32.73,32.73,0,0
1647439320,32.72,32.74,32.72,32.73,32.73,6,5
1647439321,32.7,32.75,32.67,32.74,32.713,46,35
1647439322,32.76,32.76,32.76,32.76,32.76,4,3
1647439323,32.77,32.8,32.75,32.75,32.772,24,14
1647439324,32.75,32.75,32.75,32.75,32.75,0,0
1647439325,32.75,32.75,32.75,32.75,32.75,0,0
1647439326,32.79,32.79,32.78,32.79,32.788,1,1
1647439327,32.79,32.79,32.78,32.79,32.79,0,0
1647439328,32.78,32.81,32.78,32.81,32.789,6,5
1647439329,32.76,32.83,32.76,32.83,32.781,5,2
1647439330,32.75,32.75,32.74,32.74,32.745,2,2
1647439331,32.79,32.79,32.79,32.79,32.79,1,1
1647439332,32.79,32.79,32.79,32.79,32.79,0,0
1647439333,32.79,32.79,32.79,32.79,32.79,0,0
1647439334,32.74,32.75,32.74,32.74,32.74,5,1
1647439335,32.76,32.79,32.76,32.79,32.78,5,5
1647439336,32.79,32.79,32.79,32.79,32.79,0,0
1647439337,32.8,32.8,32.8,32.8,32.8,7,5
1647439338,32.81,32.81,32.78,32.79,32.803,3,3
1647439339,32.81,32.83,32.78,32.82,32.806,6,6
1647439340,32.82,32.82,32.78,32.78,32.792,5,4
1647439341,32.82,32.82,32.82,32.82,32.82,1,1
1647439342,32.82,32.82,32.82,32.82,32.82,0,0
1647439343,32.83,32.85,32.83,32.85,32.839,3,3
1647439344,32.85,32.85,32.85,32.85,32.85,0,0
1647439345,32.85,32.85,32.85,32.85,32.85,0,0
1647439346,32.85,32.85,32.85,32.85,32.85,0,0
1647439347,32.86,32.86,32.86,32.86,32.86,3,2
1647439348,32.86,32.86,32.86,32.86,32.86,0,0
1647439349,32.86,32.86,32.86,32.86,32.86,0,0
1647439350,32.84,32.84,32.83,32.84,32.84,1,1
1647439351,32.81,32.81,32.81,32.81,32.81,1,1
1647439352,32.8,32.81,32.79,32.81,32.798,5,3
1647439353,32.79,32.8,32.73,32.73,32.777,16,9
1647439354,32.73,32.73,32.73,32.73,32.73,0,0
1647439355,32.7,32.75,32.7,32.75,32.719,21,17
1647439356,32.75,32.75,32.75,32.75,32.75,0,0
1647439357,32.75,32.75,32.75,32.75,32.75,0,0
1647439358,32.75,32.75,32.75,32.75,32.75,0,0
1647439359,32.73,32.77,32.73,32.74,32.751,13,8
1647439360,32.74,32.74,32.74,32.74,32.74,0,0
1647439361,32.74,32.74,32.74,32.74,32.74,0,0
1647439362,32.73,32.75,32.71,32.75,32.729,9,7
1647439363,32.75,32.75,32.75,32.75,32.75,1,1
1647439364,32.74,32.79,32.74,32.79,32.773,4,4
1647439365,32.79,32.79,32.79,32.79,32.79,0,0
1647439366,32.78,32.79,32.78,32.78,32.781,1,1
1647439367,32.78,32.79,32.78,32.78,32.78,0,0
1647439368,32.78,32.79,32.78,32.78,32.78,0,0
1647439369,32.75,32.76,32.75,32.76,32.751,8,8
1647439370,32.76,32.76,32.76,32.76,32.76,0,0
1647439371,32.77,32.77,32.77,32.77,32.77,2,2
1647439372,32.77,32.77,32.77,32.77,32.77,0,0
1647439373,32.75,32.75,32.73,32.73,32.737,9,5
1647439374,32.73,32.74,32.73,32.73,32.73,0,0
1647439375,32.73,32.73,32.73,32.73,32.73,2,2
1647439376,32.72,32.75,32.72,32.75,32.732,3,3
1647439377,32.71,32.71,32.7,32.7,32.7,76,10
1647439378,32.69,32.69,32.65,32.66,32.684,72,9
1647439379,32.66,32.66,32.5,32.55,32.551,31,14
1647439380,32.56,32.57,32.56,32.56,32.564,2,1
1647439381,32.5,32.5,32.5,32.5,32.5,1,1
1647439382,32.51,32.52,32.51,32.51,32.511,5,2
1647439383,32.52,32.63,32.52,32.63,32.596,17,16
