date,open,high,low,close,average,volume,count
1637938800,17.05,17.05,17.05,17.05,17.05,0,0
1637938801,17.05,17.05,17.05,17.05,17.05,6,6
1637938802,17.05,17.05,17.04,17.05,17.048,1,1
1637938803,17.05,17.05,17.04,17.05,17.045,1,1
1637938804,17.05,17.05,17.05,17.05,17.05,1,1
1637938805,17.05,17.05,17.04,17.05,17.047,38,21
1637938806,17.05,17.05,17.04,17.05,17.05,3,1
1637938807,17.05,17.07,17.04,17.05,17.058,298,65
1637938808,17.05,17.05,17.04,17.05,17.048,5,1
1637938809,17.05,17.05,17.04,17.05,17.045,1,1
1637938810,17.05,17.05,17.04,17.05,17.045,4,2
1637938811,17.05,17.05,17.04,17.05,17.045,4,4
1637938812,17.05,17.05,17.04,17.05,17.048,2,2
1637938813,17.05,17.05,17.05,17.05,17.05,0,0
1637938814,17.05,17.05,17.04,17.05,17.046,7,3
1637938815,17.05,17.05,17.04,17.05,17.05,0,0
1637938816,17.05,17.05,17.04,17.05,17.05,0,0
1637938817,17.05,17.05,17.04,17.05,17.044,7,5
1637938818,17.05,17.05,17.04,17.05,17.049,3,1
1637938819,17.05,17.05,17.04,17.05,17.045,1,1
1637938820,17.05,17.05,17.04,17.05,17.05,0,0
1637938821,17.05,17.05,17.04,17.05,17.047,1,1
1637938822,17.05,17.06,17.05,17.05,17.05,45,30
1637938823,17.05,17.05,17.04,17.05,17.05,9,9
1637938824,17.05,17.06,17.05,17.05,17.055,1,1
1637938825,17.05,17.06,17.05,17.05,17.051,32,13
1637938826,17.05,17.05,17.04,17.05,17.045,1,1
1637938827,17.05,17.05,17.04,17.04,17.041,42,12
1637938828,17.04,17.04,17.04,17.04,17.04,0,0
1637938829,17.04,17.04,17.04,17.04,17.04,0,0
1637938830,17.05,17.05,17.04,17.05,17.045,8,5
1637938831,17.05,17.06,17.05,17.05,17.053,235,106
1637938832,17.05,17.05,17.05,17.05,17.05,0,0
1637938833,17.05,17.06,17.05,17.05,17.054,7,6
1637938834,17.05,17.06,17.05,17.05,17.053,4,4
1637938835,17.05,17.05,17.05,17.05,17.05,0,0
1637938836,17.05,17.05,17.05,17.05,17.05,0,0
1637938837,17.06,17.06,17.05,17.05,17.06,71,56
1637938838,17.06,17.06,17.06,17.06,17.06,1,1
1637938839,17.06,17.06,17.05,17.05,17.053,7,3
1637938840,17.06,17.06,17.05,17.06,17.059,2,2
1637938841,17.06,17.06,17.05,17.06,17.06,0,0
1637938842,17.06,17.06,17.05,17.05,17.052,71,19
1637938843,17.05,17.05,17.04,17.05,17.048,3,1
1637938844,17.05,17.05,17.04,17.05,17.05,46,24
1637938845,17.05,17.05,17.04,17.05,17.05,0,0
1637938846,17.04,17.06,17.04,17.06,17.052,134,70
1637938847,17.05,17.05,17.05,17.05,17.05,1,1
1637938848,17.05,17.05,17.04,17.05,17.05,4,3
1637938849,17.05,17.07,17.05,17.06,17.058,97,62
1637938850,17.06,17.08,17.06,17.08,17.071,24,19
1637938851,17.09,17.09,17.09,17.09,17.09,1,1
1637938852,17.09,17.09,17.09,17.09,17.09,0,0
1637938853,17.09,17.09,17.08,17.09,17.089,70,52
1637938854,17.09,17.09,17.08,17.09,17.09,0,0
1637938855,17.1,17.11,17.1,17.11,17.107,3,2
1637938856,17.11,17.11,17.11,17.11,17.11,1,1
1637938857,17.11,17.11,17.11,17.11,17.11,1,1
1637938858,17.11,17.11,17.11,17.11,17.11,0,0
1637938859,17.11,17.11,17.11,17.11,17.11,0,0
1637938860,17.11,17.11,17.11,17.11,17.11,0,0
1637938861,17.11,17.11,17.1,17.1,17.103,7,3
1637938862,17.1,17.1,17.1,17.1,17.1,0,0
1637938863,17.11,17.12,17.1,17.11,17.109,55,35
1637938864,17.11,17.11,17.1,17.11,17.108,1,1
1637938865,17.11,17.13,17.11,17.13,17.117,25,23
1637938866,17.13,17.13,17.12,17.13,17.13,0,0
1637938867,17.13,17.13,17.12,17.13,17.125,1,1
1637938868,17.13,17.13,17.11,17.11,17.121,38,33
1637938869,17.11,17.11,17.11,17.11,17.11,1,1
1637938870,17.11,17.11,17.11,17.11,17.11,2,2
1637938871,17.11,17.11,17.1,17.11,17.107,5,1
1637938872,17.1,17.11,17.1,17.1,17.106,9,5
1637938873,17.1,17.1,17.1,17.1,17.1,0,0
1637938874,17.1,17.1,17.1,17.1,17.1,0,0
1637938875,17.1,17.1,17.09,17.09,17.097,18,18
1637938876,17.09,17.1,17.09,17.09,17.09,0,0
1637938877,17.09,17.1,17.09,17.09,17.09,0,0
1637938878,17.08,17.09,17.07,17.09,17.081,4,4
1637938879,17.09,17.09,17.09,17.09,17.09,0,0
1637938880,17.09,17.09,17.09,17.09,17.09,0,0
1637938881,17.07,17.08,17.07,17.07,17.075,10,5
1637938882,17.07,17.08,17.07,17.07,17.075,31,2
1637938883,17.07,17.08,17.07,17.07,17.071,25,19
1637938884,17.07,17.07,17.07,17.07,17.07,0,0
1637938885,17.07,17.07,17.07,17.07,17.07,0,0
1637938886,17.07,17.07,17.07,17.07,17.07,0,0
1637938887,17.07,17.07,17.07,17.07,17.07,0,0
1637938888,17.07,17.07,17.07,17.07,17.07,0,0
1637938889,17.07,17.07,17.07,17.07,17.07,0,0
1637938890,17.09,17.09,17.08,17.09,17.09,4,1
1637938891,17.09,17.09,17.08,17.09,17.09,0,0
1637938892,17.08,17.09,17.08,17.08,17.081,1,1
1637938893,17.09,17.09,17.08,17.09,17.085,1,1
1637938894,17.08,17.08,17.06,17.06,17.067,17,12
1637938895,17.05,17.06,17.05,17.05,17.055,1,1
1637938896,17.05,17.06,17.05,17.05,17.055,2,2
1637938897,17.05,17.06,17.05,17.05,17.05,0,0
1637938898,17.05,17.06,17.05,17.05,17.055,2,2
1637938899,17.05,17.06,17.05,17.05,17.05,0,0
1637938900,17.05,17.06,17.05,17.05,17.05,0,0
1637938901,17.05,17.06,17.05,17.05,17.05,0,0
1637938902,17.05,17.06,17.05,17.05,17.05,0,0
1637938903,17.05,17.06,17.05,17.05,17.05,0,0
1637938904,17.05,17.06,17.05,17.06,17.06,18,2
1637938905,17.06,17.06,17.06,17.06,17.06,5,1
1637938906,17.06,17.06,17.06,17.06,17.06,0,0
1637938907,17.06,17.06,17.06,17.06,17.06,0,0
1637938908,17.06,17.06,17.06,17.06,17.06,0,0
1637938909,17.06,17.06,17.06,17.06,17.06,0,0
1637938910,17.05,17.06,17.05,17.05,17.05,111,28
1637938911,17.05,17.05,17.04,17.05,17.045,10,3
1637938912,17.05,17.05,17.04,17.05,17.044,13,3
1637938913,17.04,17.05,17.04,17.04,17.043,13,1
1637938914,17.05,17.05,17.04,17.05,17.05,10,3
1637938915,17.05,17.05,17.05,17.05,17.05,0,0
1637938916,17.05,17.05,17.04,17.05,17.045,1,1
1637938917,17.05,17.05,17.04,17.05,17.05,0,0
1637938918,17.05,17.05,17.04,17.05,17.05,0,0
1637938919,17.05,17.05,17.04,17.05,17.047,5,4
1637938920,17.05,17.05,17.04,17.05,17.043,8,5
1637938921,17.05,17.05,17.04,17.05,17.05,0,0
1637938922,17.04,17.05,17.04,17.04,17.04,10,1
1637938923,17.04,17.04,17.04,17.04,17.04,19,13
1637938924,17.04,17.04,17.04,17.04,17.04,0,0
1637938925,17.04,17.04,17.03,17.03,17.031,4,4
1637938926,17.03,17.03,17.03,17.03,17.03,0,0
1637938927,17.03,17.03,17.03,17.03,17.03,0,0
1637938928,17.03,17.03,17.02,17.03,17.025,3,3
1637938929,17.03,17.03,17.02,17.03,17.025,3,2
1637938930,17.03,17.03,17.02,17.03,17.03,0,0
1637938931,17.03,17.03,17.02,17.03,17.03,0,0
1637938932,17.03,17.03,17.02,17.03,17.03,0,0
1637938933,17.03,17.03,17.02,17.03,17.03,0,0
1637938934,17.02,17.02,17.02,17.02,17.02,12,7
1637938935,17.02,17.02,17.02,17.02,17.02,1,1
1637938936,17.03,17.03,17.02,17.03,17.03,152,3
1637938937,17.03,17.03,17.02,17.03,17.025,1,1
1637938938,17.03,17.03,17.02,17.03,17.025,3,1
1637938939,17.03,17.03,17.02,17.03,17.03,0,0
1637938940,17.03,17.03,17.02,17.03,17.025,2,2
1637938941,17.03,17.04,17.02,17.04,17.029,136,61
1637938942,17.04,17.04,17.04,17.04,17.04,1,1
1637938943,17.04,17.04,17.04,17.04,17.04,0,0
1637938944,17.04,17.05,17.04,17.05,17.044,13,12
1637938945,17.05,17.06,17.05,17.05,17.052,2,1
1637938946,17.05,17.06,17.05,17.05,17.055,2,2
1637938947,17.05,17.06,17.05,17.05,17.055,1,1
1637938948,17.05,17.06,17.05,17.05,17.055,2,1
1637938949,17.05,17.06,17.05,17.05,17.05,0,0
1637938950,17.05,17.06,17.05,17.05,17.05,0,0
1637938951,17.06,17.06,17.05,17.05,17.056,8,4
1637938952,17.05,17.05,17.05,17.05,17.05,0,0
1637938953,17.05,17.06,17.05,17.05,17.055,1,1
1637938954,17.05,17.06,17.05,17.05,17.055,4,2
1637938955,17.05,17.06,17.05,17.05,17.05,0,0
1637938956,17.06,17.06,17.05,17.05,17.059,6,3
1637938957,17.05,17.06,17.05,17.05,17.05,0,0
1637938958,17.05,17.06,17.05,17.05,17.05,0,0
1637938959,17.05,17.06,17.03,17.03,17.042,22,21
1637938960,17.03,17.03,17.03,17.03,17.03,0,0
1637938961,17.02,17.02,17.01,17.02,17.016,28,9
1637938962,17.02,17.02,17.01,17.02,17.015,1,1
1637938963,17.02,17.02,17.01,17.02,17.02,0,0
1637938964,17.02,17.02,17.01,17.01,17.011,14,7
1637938965,17.01,17.01,17.01,17.01,17.01,0,0
1637938966,17.0,17.01,17.0,17.0,17.004,1,1
1637938967,17.01,17.01,17.0,17.01,17.009,20,3
1637938968,17.01,17.01,17.0,17.01,17.01,0,0
1637938969,17.01,17.01,17.0,17.01,17.01,2,2
1637938970,17.01,17.01,17.0,17.01,17.007,17,2
1637938971,17.01,17.01,17.0,17.01,17.009,3,2
1637938972,17.01,17.01,17.01,17.01,17.01,0,0
1637938973,17.01,17.01,17.01,17.01,17.01,0,0
1637938974,17.01,17.01,17.01,17.01,17.01,0,0
1637938975,17.01,17.02,17.01,17.02,17.01,41,18
1637938976,17.02,17.02,17.01,17.02,17.02,0,0
1637938977,17.02,17.02,17.01,17.02,17.02,0,0
1637938978,17.02,17.02,17.0,17.01,17.009,9,8
1637938979,17.01,17.01,17.01,17.01,17.01,0,0
1637938980,17.01,17.01,17.01,17.01,17.01,0,0
1637938981,17.01,17.01,17.01,17.01,17.01,0,0
1637938982,17.01,17.01,17.01,17.01,17.01,0,0
1637938983,17.0,17.0,16.99,17.0,17.0,39,16
1637938984,17.0,17.0,17.0,17.0,17.0,10,2
1637938985,17.0,17.0,17.0,17.0,17.0,1,1
1637938986,17.0,17.0,16.99,16.99,16.996,14,5
1637938987,17.0,17.0,16.99,16.99,16.995,2,2
1637938988,17.0,17.0,16.99,17.0,16.995,1,1
1637938989,17.0,17.0,16.99,17.0,17.0,0,0
1637938990,17.0,17.0,16.99,17.0,16.995,1,1
1637938991,17.0,17.0,16.99,17.0,17.0,0,0
1637938992,17.0,17.0,16.99,17.0,17.0,0,0
1637938993,17.0,17.0,17.0,17.0,17.0,54,25
1637938994,17.0,17.0,17.0,17.0,17.0,0,0
1637938995,17.01,17.01,17.0,17.01,17.005,5,1
1637938996,17.01,17.01,17.01,17.01,17.01,7,1
1637938997,17.01,17.01,17.01,17.01,17.01,0,0
1637938998,17.01,17.01,17.0,17.01,17.005,17,1
1637938999,17.01,17.02,17.0,17.02,17.011,62,37
1637939000,17.02,17.02,17.02,17.02,17.02,0,0
1637939001,17.02,17.02,17.02,17.02,17.02,0,0
1637939002,17.02,17.02,17.01,17.02,17.017,11,2
1637939003,17.02,17.02,17.01,17.01,17.013,6,6
1637939004,17.01,17.01,17.01,17.01,17.01,0,0
1637939005,17.02,17.02,17.02,17.02,17.02,13,3
1637939006,17.02,17.02,17.02,17.02,17.02,0,0
1637939007,17.02,17.02,17.02,17.02,17.02,0,0
1637939008,17.02,17.02,17.01,17.02,17.015,5,1
1637939009,17.02,17.02,17.01,17.02,17.015,10,1
1637939010,17.01,17.02,17.01,17.02,17.014,2,2
1637939011,17.02,17.03,17.02,17.03,17.022,45,27
1637939012,17.04,17.04,17.03,17.04,17.036,6,2
1637939013,17.04,17.04,17.03,17.03,17.033,23,20
1637939014,17.03,17.03,17.03,17.03,17.03,0,0
1637939015,17.03,17.03,17.03,17.03,17.03,2,1
1637939016,17.03,17.03,17.03,17.03,17.03,0,0
1637939017,17.03,17.03,17.03,17.03,17.03,0,0
1637939018,17.03,17.04,17.03,17.03,17.031,19,18
1637939019,17.03,17.03,17.03,17.03,17.03,0,0
1637939020,17.03,17.03,17.03,17.03,17.03,0,0
1637939021,17.03,17.03,17.02,17.03,17.029,8,5
1637939022,17.03,17.03,17.02,17.03,17.03,0,0
1637939023,17.03,17.03,17.02,17.03,17.025,4,2
1637939024,17.03,17.03,17.02,17.03,17.03,0,0
1637939025,17.03,17.03,17.02,17.03,17.03,0,0
1637939026,17.03,17.03,17.02,17.03,17.03,0,0
1637939027,17.03,17.03,17.02,17.03,17.03,0,0
1637939028,17.03,17.03,17.02,17.03,17.025,1,1
1637939029,17.03,17.03,17.02,17.03,17.03,0,0
1637939030,17.03,17.03,17.02,17.03,17.029,6,5
1637939031,17.03,17.03,17.02,17.03,17.03,0,0
1637939032,17.03,17.03,17.02,17.03,17.03,0,0
1637939033,17.03,17.03,17.02,17.03,17.03,0,0
1637939034,17.03,17.03,17.02,17.03,17.03,2,1
1637939035,17.03,17.03,17.02,17.03,17.03,0,0
1637939036,17.03,17.03,17.02,17.03,17.03,0,0
1637939037,17.03,17.03,17.02,17.03,17.03,4,1
1637939038,17.03,17.04,17.02,17.03,17.03,38,16
1637939039,17.03,17.04,17.03,17.04,17.033,3,2
1637939040,17.03,17.03,17.01,17.01,17.018,18,13
1637939041,17.01,17.01,17.01,17.01,17.01,0,0
1637939042,17.01,17.01,17.01,17.01,17.01,0,0
1637939043,17.01,17.01,17.0,17.01,17.002,71,24
1637939044,17.01,17.01,17.01,17.01,17.01,0,0
1637939045,17.01,17.02,17.01,17.02,17.012,36,5
1637939046,17.02,17.02,17.02,17.02,17.02,0,0
1637939047,17.03,17.03,17.03,17.03,17.03,1,1
1637939048,17.03,17.03,17.03,17.03,17.03,0,0
1637939049,17.03,17.03,17.02,17.03,17.025,11,2
1637939050,17.03,17.03,17.03,17.03,17.03,0,0
1637939051,17.03,17.03,17.03,17.03,17.03,0,0
1637939052,17.03,17.03,17.02,17.02,17.025,25,7
1637939053,17.02,17.02,17.02,17.02,17.02,0,0
1637939054,17.02,17.02,17.02,17.02,17.02,0,0
1637939055,17.02,17.02,17.02,17.02,17.02,0,0
1637939056,17.02,17.02,17.01,17.02,17.015,2,2
1637939057,17.01,17.02,17.01,17.01,17.014,1,1
1637939058,17.01,17.02,17.01,17.01,17.01,0,0
1637939059,17.02,17.02,17.01,17.02,17.015,1,1
1637939060,17.02,17.02,17.01,17.02,17.02,0,0
1637939061,17.02,17.02,17.01,17.02,17.02,0,0
1637939062,17.02,17.02,17.01,17.02,17.02,0,0
1637939063,17.02,17.02,17.01,17.02,17.02,0,0
1637939064,17.02,17.02,17.01,17.02,17.02,0,0
1637939065,17.02,17.02,17.01,17.02,17.02,0,0
1637939066,17.02,17.04,17.02,17.03,17.024,32,27
1637939067,17.03,17.03,17.03,17.03,17.03,0,0
1637939068,17.03,17.03,17.03,17.03,17.03,0,0
1637939069,17.02,17.03,17.02,17.02,17.02,3,1
1637939070,17.02,17.03,17.02,17.02,17.02,0,0
1637939071,17.02,17.03,17.02,17.02,17.02,0,0
1637939072,17.03,17.03,17.02,17.03,17.028,23,15
1637939073,17.04,17.04,17.04,17.04,17.04,1,1
1637939074,17.04,17.04,17.04,17.04,17.04,1,1
1637939075,17.04,17.04,17.04,17.04,17.04,0,0
1637939076,17.03,17.03,17.02,17.03,17.029,4,4
1637939077,17.03,17.03,17.02,17.03,17.03,0,0
1637939078,17.03,17.03,17.02,17.02,17.022,12,9
1637939079,17.02,17.03,17.01,17.03,17.025,19,10
1637939080,17.02,17.03,17.02,17.02,17.022,5,1
1637939081,17.02,17.02,17.01,17.02,17.019,5,5
1637939082,17.02,17.02,17.01,17.02,17.015,16,3
1637939083,17.01,17.01,17.0,17.0,17.001,70,27
1637939084,17.01,17.01,17.0,17.01,17.005,2,2
1637939085,17.01,17.01,17.0,17.01,17.01,0,0
1637939086,17.0,17.01,17.0,17.0,17.003,5,1
1637939087,17.0,17.01,17.0,17.0,17.0,0,0
1637939088,17.01,17.01,17.01,17.01,17.01,2,2
1637939089,17.0,17.01,17.0,17.0,17.005,3,1
1637939090,17.0,17.01,17.0,17.0,17.0,0,0
1637939091,17.0,17.01,17.0,17.0,17.0,0,0
1637939092,17.0,17.01,17.0,17.0,17.0,0,0
1637939093,17.0,17.01,17.0,17.0,17.0,0,0
1637939094,17.0,17.01,17.0,17.0,17.0,0,0
1637939095,17.0,17.01,17.0,17.0,17.0,0,0
1637939096,17.0,17.0,17.0,17.0,17.0,2,2
1637939097,17.0,17.01,16.99,17.0,17.0,11,7
1637939098,17.0,17.0,16.99,17.0,17.0,0,0
1637939099,17.0,17.0,16.99,17.0,17.0,0,0
1637939100,16.99,16.99,16.98,16.98,16.989,14,7
1637939101,16.98,16.99,16.98,16.98,16.98,0,0
1637939102,16.98,16.99,16.98,16.98,16.98,0,0
1637939103,16.98,16.99,16.98,16.98,16.98,0,0
1637939104,16.98,16.99,16.98,16.98,16.98,0,0
1637939105,16.98,16.99,16.98,16.99,16.988,94,12
1637939106,17.0,17.0,16.99,17.0,16.996,4,2
1637939107,17.0,17.0,16.98,16.99,16.982,147,25
1637939108,16.99,16.99,16.98,16.99,16.989,3,1
1637939109,16.98,16.99,16.98,16.98,16.985,1,1
1637939110,16.98,16.99,16.98,16.98,16.98,0,0
1637939111,16.98,16.99,16.98,16.98,16.98,0,0
1637939112,16.98,16.99,16.98,16.98,16.985,2,2
1637939113,16.99,17.02,16.99,17.02,17.0,101,62
1637939114,17.02,17.02,17.01,17.02,17.017,2,2
1637939115,17.02,17.02,17.01,17.01,17.012,10,8
1637939116,17.01,17.02,17.01,17.01,17.011,5,1
1637939117,17.02,17.03,17.02,17.03,17.022,6,3
1637939118,17.03,17.03,17.03,17.03,17.03,0,0
1637939119,17.03,17.03,17.02,17.03,17.029,2,1
1637939120,17.02,17.03,17.02,17.02,17.02,2,1
1637939121,17.02,17.03,17.02,17.02,17.02,0,0
1637939122,17.03,17.04,17.03,17.04,17.038,11,11
1637939123,17.04,17.04,17.04,17.04,17.04,0,0
1637939124,17.04,17.05,17.04,17.04,17.044,8,6
1637939125,17.05,17.05,17.05,17.05,17.05,1,1
1637939126,17.05,17.06,17.05,17.05,17.059,53,3
1637939127,17.05,17.06,17.05,17.05,17.05,0,0
1637939128,17.06,17.06,17.06,17.06,17.06,15,5
1637939129,17.06,17.06,17.06,17.06,17.06,1,1
1637939130,17.06,17.06,17.06,17.06,17.06,0,0
1637939131,17.06,17.06,17.05,17.06,17.059,5,1
1637939132,17.06,17.06,17.05,17.06,17.06,0,0
1637939133,17.06,17.06,17.06,17.06,17.06,3,3
1637939134,17.06,17.06,17.06,17.06,17.06,1,1
1637939135,17.06,17.06,17.05,17.06,17.06,1,1
1637939136,17.06,17.06,17.05,17.06,17.06,0,0
1637939137,17.06,17.06,17.05,17.06,17.06,0,0
1637939138,17.06,17.06,17.05,17.06,17.058,2,1
1637939139,17.06,17.06,17.05,17.05,17.052,30,23
1637939140,17.04,17.05,17.04,17.04,17.041,8,8
1637939141,17.04,17.04,17.04,17.04,17.04,0,0
1637939142,17.04,17.04,17.03,17.04,17.039,10,6
1637939143,17.04,17.04,17.04,17.04,17.04,0,0
1637939144,17.04,17.04,17.04,17.04,17.04,0,0
1637939145,17.05,17.05,17.05,17.05,17.05,8,8
1637939146,17.05,17.05,17.05,17.05,17.05,0,0
1637939147,17.05,17.05,17.05,17.05,17.05,0,0
1637939148,17.05,17.05,17.05,17.05,17.05,0,0
1637939149,17.05,17.05,17.05,17.05,17.05,0,0
1637939150,17.05,17.05,17.05,17.05,17.05,1,1
1637939151,17.05,17.05,17.05,17.05,17.05,0,0
1637939152,17.05,17.05,17.05,17.05,17.05,0,0
1637939153,17.05,17.05,17.05,17.05,17.05,0,0
1637939154,17.05,17.05,17.05,17.05,17.05,0,0
1637939155,17.05,17.06,17.05,17.05,17.055,7,2
1637939156,17.05,17.05,17.05,17.05,17.05,2,2
1637939157,17.05,17.05,17.05,17.05,17.05,0,0
1637939158,17.05,17.06,17.05,17.05,17.055,1,1
1637939159,17.05,17.05,17.02,17.03,17.037,27,25
1637939160,17.03,17.03,17.02,17.03,17.03,9,7
1637939161,17.03,17.03,17.03,17.03,17.03,0,0
1637939162,17.03,17.03,17.03,17.03,17.03,0,0
1637939163,17.04,17.04,17.03,17.04,17.035,3,1
1637939164,17.04,17.04,17.03,17.04,17.04,0,0
1637939165,17.03,17.03,17.02,17.03,17.025,1,1
1637939166,17.02,17.02,17.02,17.02,17.02,2,2
1637939167,17.01,17.01,17.0,17.01,17.01,30,27
1637939168,17.01,17.01,17.0,17.01,17.005,5,4
1637939169,17.01,17.01,17.0,17.01,17.01,0,0
1637939170,17.0,17.0,17.0,17.0,17.0,1,1
1637939171,17.0,17.0,17.0,17.0,17.0,0,0
1637939172,17.0,17.0,17.0,17.0,17.0,0,0
1637939173,17.0,17.0,17.0,17.0,17.0,1,1
1637939174,17.0,17.0,17.0,17.0,17.0,0,0
1637939175,17.0,17.0,17.0,17.0,17.0,0,0
1637939176,17.01,17.01,17.0,17.01,17.005,8,7
1637939177,17.01,17.01,17.0,17.01,17.01,0,0
1637939178,17.01,17.01,17.01,17.01,17.01,2,2
1637939179,17.01,17.01,17.0,17.01,17.01,6,1
1637939180,17.01,17.01,17.0,17.01,17.01,0,0
1637939181,17.01,17.01,17.0,17.01,17.01,0,0
1637939182,17.01,17.01,17.0,17.01,17.005,1,1
1637939183,17.01,17.01,17.0,17.01,17.008,3,2
1637939184,17.01,17.02,17.0,17.02,17.011,45,22
1637939185,17.02,17.02,17.02,17.02,17.02,0,0
1637939186,17.02,17.02,17.02,17.02,17.02,0,0
1637939187,17.02,17.02,17.02,17.02,17.02,1,1
1637939188,17.02,17.02,17.02,17.02,17.02,1,1
1637939189,17.02,17.02,17.02,17.02,17.02,1,1
1637939190,17.03,17.03,17.03,17.03,17.03,1,1
1637939191,17.03,17.03,17.03,17.03,17.03,0,0
1637939192,17.03,17.03,17.03,17.03,17.03,1,1
1637939193,17.03,17.03,17.03,17.03,17.03,0,0
1637939194,17.03,17.03,17.02,17.03,17.025,1,1
1637939195,17.03,17.03,17.02,17.03,17.025,5,1
1637939196,17.03,17.03,17.02,17.03,17.03,0,0
1637939197,17.03,17.03,17.02,17.03,17.03,0,0
1637939198,17.03,17.03,17.02,17.03,17.03,0,0
1637939199,17.02,17.03,17.02,17.03,17.022,5,5
1637939200,17.03,17.03,17.02,17.03,17.03,0,0
1637939201,17.02,17.03,17.02,17.02,17.02,1,1
1637939202,17.02,17.03,17.02,17.02,17.02,0,0
1637939203,17.02,17.03,17.02,17.02,17.02,0,0
1637939204,17.03,17.03,17.02,17.03,17.025,4,1
1637939205,17.03,17.03,17.02,17.03,17.03,0,0
1637939206,17.03,17.03,17.02,17.03,17.03,0,0
1637939207,17.03,17.03,17.02,17.02,17.021,5,5
1637939208,17.02,17.02,17.01,17.02,17.02,1,1
1637939209,17.02,17.02,17.01,17.02,17.02,0,0
1637939210,17.02,17.02,17.01,17.02,17.02,0,0
1637939211,17.02,17.02,17.01,17.02,17.015,1,1
1637939212,17.02,17.02,17.01,17.02,17.02,0,0
1637939213,17.02,17.02,17.01,17.02,17.02,0,0
1637939214,17.02,17.02,17.01,17.02,17.02,0,0
1637939215,17.02,17.02,17.01,17.02,17.02,0,0
1637939216,17.02,17.02,17.01,17.02,17.015,6,2
1637939217,17.01,17.02,17.01,17.01,17.01,16,12
1637939218,17.01,17.01,17.01,17.01,17.01,0,0
1637939219,17.02,17.02,17.01,17.02,17.015,1,1
1637939220,17.02,17.02,17.01,17.02,17.02,0,0
1637939221,17.02,17.02,17.01,17.02,17.02,0,0
1637939222,17.02,17.02,17.01,17.02,17.02,0,0
1637939223,17.02,17.02,17.01,17.02,17.015,1,1
1637939224,17.02,17.02,17.01,17.02,17.02,0,0
1637939225,17.02,17.02,17.02,17.02,17.02,4,3
1637939226,17.02,17.02,17.02,17.02,17.02,0,0
1637939227,17.02,17.03,17.02,17.03,17.021,43,22
1637939228,17.03,17.03,17.02,17.03,17.025,2,2
1637939229,17.03,17.04,17.02,17.04,17.034,13,10
1637939230,17.04,17.04,17.04,17.04,17.04,0,0
1637939231,17.03,17.04,17.02,17.03,17.031,10,6
1637939232,17.03,17.04,17.03,17.03,17.03,0,0
1637939233,17.04,17.04,17.03,17.04,17.035,1,1
1637939234,17.04,17.04,17.03,17.04,17.035,1,1
1637939235,17.04,17.04,17.03,17.04,17.04,0,0
1637939236,17.04,17.04,17.04,17.04,17.04,1,1
1637939237,17.04,17.04,17.02,17.02,17.028,10,9
1637939238,17.02,17.02,17.02,17.02,17.02,0,0
1637939239,17.02,17.02,17.02,17.02,17.02,1,1
1637939240,17.02,17.03,17.02,17.02,17.021,27,21
1637939241,17.02,17.02,17.02,17.02,17.02,0,0
1637939242,17.02,17.02,17.02,17.02,17.02,0,0
1637939243,17.02,17.02,17.01,17.02,17.015,2,2
