date,open,high,low,close,average,volume,count
1624626000,7.96,7.96,7.96,7.96,7.96,0,0
1624626001,7.96,7.96,7.96,7.96,7.96,0,0
1624626002,7.96,7.96,7.96,7.96,7.96,4,3
1624626003,7.96,7.96,7.96,7.96,7.96,0,0
1624626004,7.96,7.96,7.96,7.96,7.96,0,0
1624626005,7.96,7.96,7.96,7.96,7.96,0,0
1624626006,7.96,7.96,7.96,7.96,7.96,0,0
1624626007,7.95,7.95,7.95,7.95,7.95,1,1
1624626008,7.95,7.95,7.95,7.95,7.95,1,1
1624626009,7.95,7.95,7.95,7.95,7.95,0,0
1624626010,7.95,7.95,7.95,7.95,7.95,0,0
1624626011,7.95,7.95,7.95,7.95,7.95,2,2
1624626012,7.95,7.95,7.95,7.95,7.95,1,1
1624626013,7.95,7.95,7.95,7.95,7.95,1,1
1624626014,7.95,7.95,7.95,7.95,7.95,2,1
1624626015,7.95,7.95,7.95,7.95,7.95,0,0
1624626016,7.95,7.95,7.95,7.95,7.95,0,0
1624626017,7.95,7.95,7.95,7.95,7.95,0,0
1624626018,7.96,7.96,7.96,7.96,7.96,1,1
1624626019,7.96,7.96,7.96,7.96,7.96,0,0
1624626020,7.95,7.95,7.93,7.93,7.939,7,3
1624626021,7.93,7.93,7.93,7.93,7.93,0,0
1624626022,7.93,7.93,7.93,7.93,7.93,0,0
1624626023,7.93,7.93,7.93,7.93,7.93,1,1
1624626024,7.93,7.93,7.93,7.93,7.93,3,1
1624626025,7.93,7.93,7.93,7.93,7.93,0,0
1624626026,7.93,7.93,7.93,7.93,7.93,0,0
1624626027,7.93,7.93,7.93,7.93,7.93,35,2
1624626028,7.94,7.95,7.94,7.95,7.943,4,4
1624626029,7.95,7.95,7.95,7.95,7.95,0,0
1624626030,7.95,7.95,7.95,7.95,7.95,0,0
1624626031,7.94,7.94,7.93,7.93,7.935,4,4
1624626032,7.93,7.93,7.93,7.93,7.93,0,0
1624626033,7.93,7.93,7.93,7.93,7.93,0,0
1624626034,7.93,7.93,7.93,7.93,7.93,0,0
1624626035,7.93,7.93,7.92,7.92,7.929,8,7
1624626036,7.94,7.94,7.94,7.94,7.94,4,1
1624626037,7.94,7.95,7.94,7.95,7.944,8,8
1624626038,7.95,7.95,7.95,7.95,7.95,0,0
1624626039,7.95,7.95,7.95,7.95,7.95,0,0
1624626040,7.95,7.95,7.95,7.95,7.95,0,0
1624626041,7.95,7.95,7.95,7.95,7.95,0,0
1624626042,7.93,7.93,7.9,7.9,7.911,79,32
1624626043,7.9,7.9,7.9,7.9,7.9,0,0
1624626044,7.9,7.9,7.9,7.9,7.9,0,0
1624626045,7.93,7.93,7.92,7.93,7.93,1,1
1624626046,7.9,7.9,7.9,7.9,7.9,1,1
1624626047,7.9,7.9,7.9,7.9,7.9,0,0
1624626048,7.9,7.9,7.9,7.9,7.9,0,0
1624626049,7.93,7.93,7.93,7.93,7.93,1,1
1624626050,7.93,7.93,7.93,7.93,7.93,0,0
1624626051,7.93,7.93,7.93,7.93,7.93,0,0
1624626052,7.93,7.93,7.93,7.93,7.93,0,0
1624626053,7.93,7.93,7.93,7.93,7.93,1,1
1624626054,7.93,7.93,7.92,7.93,7.929,3,3
1624626055,7.93,7.93,7.93,7.93,7.93,0,0
1624626056,7.93,7.93,7.93,7.93,7.93,2,1
1624626057,7.93,7.93,7.93,7.93,7.93,0,0
1624626058,7.93,7.93,7.93,7.93,7.93,0,0
1624626059,7.9,7.91,7.9,7.91,7.901,53,12
1624626060,7.9,7.9,7.9,7.9,7.9,1,1
1624626061,7.9,7.9,7.9,7.9,7.9,11,4
1624626062,7.9,7.9,7.9,7.9,7.9,4,2
1624626063,7.9,7.9,7.9,7.9,7.9,0,0
1624626064,7.9,7.9,7.9,7.9,7.9,0,0
1624626065,7.9,7.9,7.9,7.9,7.9,0,0
1624626066,7.89,7.89,7.89,7.89,7.89,3,1
1624626067,7.89,7.89,7.89,7.89,7.89,1,1
1624626068,7.88,7.88,7.88,7.88,7.88,6,2
1624626069,7.88,7.88,7.88,7.88,7.88,0,0
1624626070,7.88,7.88,7.88,7.88,7.88,0,0
1624626071,7.88,7.88,7.88,7.88,7.88,0,0
1624626072,7.88,7.88,7.87,7.87,7.877,6,3
1624626073,7.89,7.89,7.89,7.89,7.89,1,1
1624626074,7.89,7.89,7.89,7.89,7.89,0,0
1624626075,7.89,7.89,7.89,7.89,7.89,0,0
1624626076,7.89,7.89,7.89,7.89,7.89,0,0
1624626077,7.88,7.88,7.88,7.88,7.88,6,2
1624626078,7.88,7.88,7.88,7.88,7.88,0,0
1624626079,7.87,7.87,7.87,7.87,7.87,1,1
1624626080,7.87,7.87,7.87,7.87,7.87,0,0
1624626081,7.86,7.86,7.86,7.86,7.86,1,1
1624626082,7.87,7.93,7.87,7.9,7.898,24,13
1624626083,7.9,7.9,7.9,7.9,7.9,0,0
1624626084,7.92,7.92,7.85,7.85,7.877,28,10
1624626085,7.85,7.85,7.85,7.85,7.85,0,0
1624626086,7.85,7.85,7.85,7.85,7.85,0,0
1624626087,7.85,7.86,7.85,7.85,7.85,9,6
1624626088,7.87,7.87,7.87,7.87,7.87,2,2
1624626089,7.87,7.87,7.87,7.87,7.87,5,3
1624626090,7.87,7.87,7.85,7.87,7.866,7,3
1624626091,7.87,7.87,7.87,7.87,7.87,0,0
1624626092,7.87,7.87,7.87,7.87,7.87,2,1
1624626093,7.88,7.88,7.88,7.88,7.88,8,2
1624626094,7.88,7.88,7.88,7.88,7.88,5,1
1624626095,7.88,7.88,7.88,7.88,7.88,0,0
1624626096,7.88,7.88,7.88,7.88,7.88,0,0
1624626097,7.88,7.88,7.88,7.88,7.88,1,1
1624626098,7.88,7.88,7.87,7.87,7.874,5,4
1624626099,7.88,7.88,7.88,7.88,7.88,4,2
1624626100,7.88,7.88,7.88,7.88,7.88,0,0
1624626101,7.88,7.88,7.88,7.88,7.88,0,0
1624626102,7.88,7.88,7.88,7.88,7.88,0,0
1624626103,7.88,7.88,7.88,7.88,7.88,0,0
1624626104,7.87,7.87,7.87,7.87,7.87,9,2
1624626105,7.87,7.87,7.87,7.87,7.87,5,2
1624626106,7.87,7.87,7.87,7.87,7.87,0,0
1624626107,7.87,7.87,7.87,7.87,7.87,1,1
1624626108,7.85,7.85,7.85,7.85,7.85,1,1
1624626109,7.85,7.85,7.85,7.85,7.85,1,1
1624626110,7.85,7.85,7.85,7.85,7.85,0,0
1624626111,7.87,7.87,7.87,7.87,7.87,5,1
1624626112,7.85,7.85,7.85,7.85,7.85,1,1
1624626113,7.85,7.85,7.85,7.85,7.85,0,0
