date,open,high,low,close,average,volume,count
1647510300,12.73,12.73,12.73,12.73,12.73,1,1
1647511200,12.73,12.73,12.73,12.73,12.73,0,0
1647512100,12.73,12.73,12.73,12.73,12.73,0,0
1647513000,12.73,12.73,12.73,12.73,12.73,0,0
1647513900,12.73,12.73,12.73,12.73,12.73,0,0
1647514800,12.7,12.7,12.7,12.7,12.7,1,1
1647515700,12.72,12.72,12.72,12.72,12.72,1,1
1647516600,12.64,12.64,12.64,12.64,12.64,1,1
1647517500,12.63,12.63,12.55,12.56,12.609,15,12
1647518400,12.71,12.71,12.54,12.57,12.629,194,45
1647519300,12.57,12.57,12.5,12.5,12.518,46,20
1647520200,12.51,12.53,12.5,12.51,12.516,107,40
1647521100,12.51,12.54,12.51,12.54,12.52,22,18
1647522000,12.52,12.59,12.52,12.59,12.536,31,13
1647522900,12.56,12.62,12.52,12.62,12.559,130,45
1647523800,12.61,12.98,12.45,12.96,12.765,12304,4757
1647524700,12.96,13.06,12.67,13.02,12.896,9566,4247
1647525600,13.03,13.05,12.81,12.85,12.947,8814,4209
1647526500,12.84,13.21,12.71,13.2,13.042,11293,4712
1647527400,13.2,13.24,13.09,13.22,13.17,7349,3732
1647528300,13.22,13.23,13.02,13.08,13.126,6936,3436
1647529200,13.07,13.3,13.01,13.3,13.158,7487,3394
1647530100,13.3,13.52,13.3,13.38,13.425,12329,4725
1647531000,13.38,13.55,13.37,13.48,13.476,5751,2869
1647531900,13.48,13.59,13.36,13.48,13.487,6169,2944
1647532800,13.48,13.55,13.45,13.54,13.512,4930,2380
1647533700,13.54,13.62,13.51,13.54,13.567,5128,2310
1647534600,13.54,13.62,13.47,13.59,13.535,4381,2199
1647535500,13.6,13.65,13.57,13.62,13.607,4185,1950
1647536400,13.62,13.64,13.47,13.48,13.549,3402,1953
1647537300,13.47,13.61,13.47,13.57,13.558,3427,1715
1647538200,13.58,13.61,13.53,13.58,13.572,3056,1616
1647539100,13.58,13.71,13.57,13.67,13.664,4655,2263
1647540000,13.66,13.69,13.61,13.63,13.653,4008,1991
1647540900,13.62,13.66,13.56,13.57,13.615,3830,1989
1647541800,13.58,13.59,13.52,13.54,13.558,3368,1743
1647542700,13.54,13.57,13.51,13.56,13.536,2744,1553
1647543600,13.57,13.65,13.55,13.59,13.598,4459,2341
1647544500,13.59,13.64,13.57,13.61,13.601,3707,2022
1647545400,13.61,13.62,13.44,13.51,13.514,5461,2745
1647546300,13.51,13.53,13.35,13.39,13.42,16684,7461
1647547200,13.39,13.43,13.26,13.26,13.39,86557,33
1647548100,13.36,13.36,13.27,13.3,13.305,24,8
1647549000,13.26,13.3,13.25,13.27,13.267,54,13
1647549900,13.28,13.35,13.28,13.35,13.308,60,9
1647550800,13.35,13.35,13.3,13.3,13.338,23,9
1647551700,13.32,13.35,13.32,13.35,13.323,10,5
1647552600,13.33,13.35,13.32,13.35,13.341,7,4
1647553500,13.35,13.35,13.34,13.35,13.342,19,10
1647554400,13.35,13.36,13.35,13.36,13.351,36,5
1647555300,13.36,13.36,13.36,13.36,13.36,0,0
1647556200,13.32,13.36,13.32,13.36,13.335,8,3
1647557100,13.32,13.32,13.32,13.32,13.32,1,1
1647558000,13.32,13.33,13.3,13.3,13.319,56,6
1647558900,13.25,13.25,13.2,13.2,13.244,76,6
1647559800,13.21,13.21,13.21,13.21,13.21,3,2
1647560700,13.21,13.3,13.21,13.22,13.239,12,6
1647601200,13.23,13.23,13.23,13.23,13.23,1,1
1647602100,13.26,13.27,13.26,13.27,13.267,3,3
1647603000,13.27,13.27,13.23,13.24,13.255,18,10
1647603900,13.25,13.25,13.25,13.25,13.25,2,2
1647604800,13.23,13.27,13.21,13.25,13.243,140,20
1647605700,13.26,13.26,13.26,13.26,13.26,38,1
1647606600,13.25,13.25,13.23,13.24,13.243,7,3
1647607500,13.24,13.26,13.22,13.24,13.24,55,16
1647608400,13.26,13.28,13.22,13.22,13.237,39,20
1647609300,13.22,13.34,13.19,13.34,13.233,193,68
1647610200,13.33,13.7,13.31,13.69,13.504,7486,2840
1647611100,13.69,13.86,13.68,13.84,13.799,7668,3169
1647612000,13.84,13.95,13.71,13.71,13.862,7077,2969
1647612900,13.71,13.72,13.4,13.46,13.5,13872,5230
1647613800,13.46,13.48,13.21,13.3,13.297,8453,3440
1647614700,13.29,13.41,13.27,13.41,13.363,6281,2570
1647615600,13.41,13.5,13.31,13.45,13.406,6034,2295
1647616500,13.44,13.5,13.41,13.48,13.462,5285,2336
1647617400,13.47,13.65,13.47,13.63,13.574,6222,2348
1647618300,13.63,13.72,13.6,13.69,13.668,4152,1636
1647619200,13.69,13.74,13.64,13.69,13.695,3391,1413
1647620100,13.69,13.72,13.66,13.69,13.69,2860,1224
1647621000,13.69,13.8,13.68,13.76,13.738,3522,1546
1647621900,13.75,13.78,13.7,13.76,13.739,2736,1175
1647622800,13.76,13.77,13.64,13.66,13.718,2970,1232
1647623700,13.66,13.69,13.59,13.63,13.639,2957,1290
1647624600,13.63,13.76,13.61,13.7,13.695,3263,1258
1647625500,13.7,13.74,13.66,13.73,13.713,1964,1060
1647626400,13.72,13.72,13.58,13.63,13.644,2409,1163
1647627300,13.63,13.68,13.57,13.6,13.627,2218,1079
1647628200,13.59,13.67,13.54,13.61,13.598,3318,1572
1647629100,13.61,13.63,13.56,13.61,13.589,2558,1271
1647630000,13.61,13.65,13.52,13.54,13.578,3875,1765
1647630900,13.54,13.55,13.49,13.52,13.516,3006,1330
1647631800,13.52,13.57,13.4,13.43,13.483,6531,3056
1647632700,13.43,13.55,13.39,13.43,13.468,22941,9884
1647633600,13.43,13.46,13.38,13.4,13.44,99985,40
1647634500,13.43,13.43,13.38,13.43,13.414,152,25
1647635400,13.43,13.44,13.42,13.43,13.421,118,12
1647636300,13.43,13.45,13.42,13.45,13.433,63,18
1647637200,13.45,13.49,13.42,13.45,13.437,132,13
1647638100,13.45,13.48,13.45,13.48,13.452,17,8
1647639000,13.45,13.49,13.45,13.48,13.476,90,13
1647639900,13.48,13.48,13.45,13.48,13.478,64,6
1647640800,13.45,13.48,13.43,13.44,13.446,25,6
1647641700,13.43,13.47,13.42,13.47,13.442,57,10
1647642600,13.49,13.5,13.42,13.43,13.44,20,4
1647643500,13.42,13.48,13.42,13.48,13.451,13,7
1647644400,13.48,13.48,13.48,13.48,13.48,0,0
1647645300,13.46,13.46,13.45,13.45,13.459,13,4
1647646200,13.42,13.45,13.42,13.45,13.443,16,4
1647647100,13.48,13.48,13.42,13.48,13.479,51,4
1647857700,13.27,13.27,13.25,13.25,13.261,6,5
1647858600,13.25,13.25,13.25,13.25,13.25,0,0
1647859500,13.25,13.25,13.25,13.25,13.25,0,0
1647860400,13.35,13.42,13.35,13.42,13.372,23,4
1647861300,13.48,13.49,13.48,13.48,13.481,14,8
1647862200,13.48,13.48,13.48,13.48,13.48,1,1
1647863100,13.48,13.48,13.48,13.48,13.48,5,1
1647864000,13.53,13.53,13.31,13.48,13.462,193,41
1647864900,13.46,13.52,13.46,13.48,13.486,12,9
1647865800,13.44,13.44,13.4,13.4,13.435,30,12
1647866700,13.41,13.43,13.39,13.39,13.404,105,17
1647867600,13.39,13.5,13.3,13.49,13.396,171,45
1647868500,13.49,13.49,13.18,13.26,13.31,330,105
1647869400,13.27,13.3,12.85,13.17,13.059,14452,4579
1647870300,13.17,13.19,12.77,12.94,12.92,7304,3053
1647871200,12.93,12.94,12.76,12.88,12.844,5889,2572
1647872100,12.89,12.89,12.52,12.56,12.658,9465,4660
1647873000,12.56,12.79,12.51,12.74,12.667,6407,3443
1647873900,12.74,12.9,12.73,12.88,12.814,5372,2526
1647874800,12.88,12.92,12.79,12.92,12.865,3876,2150
1647875700,12.91,13.09,12.91,13.04,12.987,4495,2035
1647876600,13.04,13.07,12.86,13.0,12.994,3323,1702
1647877500,12.99,13.13,12.98,13.12,13.039,4442,1892
1647878400,13.12,13.12,12.92,13.06,13.006,2427,1394
1647879300,13.05,13.17,12.99,13.12,13.09,3491,1404
1647880200,13.12,13.12,12.84,13.01,12.948,4185,2080
1647881100,13.01,13.04,12.82,12.84,12.909,3683,1738
1647882000,12.83,12.92,12.82,12.84,12.856,1976,1237
1647882900,12.84,12.92,12.77,12.88,12.832,2325,1456
1647883800,12.86,12.93,12.79,12.82,12.857,2286,1460
1647884700,12.81,12.89,12.8,12.88,12.851,1675,984
1647885600,12.88,12.89,12.79,12.85,12.846,2291,1173
1647886500,12.85,13.01,12.79,12.98,12.888,5380,1807
1647887400,12.98,13.02,12.92,12.98,12.967,2176,1205
1647888300,12.98,13.01,12.85,12.89,12.932,1894,1129
1647889200,12.88,13.08,12.87,13.06,12.97,3502,1639
1647890100,13.06,13.14,12.99,13.13,13.082,6009,2724
1647891000,13.13,13.18,13.06,13.07,13.13,6201,3084
1647891900,13.07,13.15,13.04,13.07,13.103,17085,7268
1647892800,13.08,13.15,13.05,13.06,13.05,88614,24
