date,open,high,low,close,average,volume,count
1631718000,8.69,8.69,8.68,8.69,8.689,97,39
1631718001,8.7,8.7,8.69,8.7,8.695,10,1
1631718002,8.7,8.7,8.69,8.7,8.7,0,0
1631718003,8.7,8.7,8.69,8.7,8.695,2,1
1631718004,8.7,8.7,8.69,8.7,8.7,0,0
1631718005,8.7,8.7,8.69,8.7,8.7,0,0
1631718006,8.7,8.7,8.69,8.7,8.699,1,1
1631718007,8.7,8.7,8.69,8.7,8.7,0,0
1631718008,8.7,8.7,8.69,8.7,8.7,0,0
1631718009,8.7,8.7,8.69,8.7,8.7,0,0
1631718010,8.7,8.7,8.69,8.7,8.697,10,1
1631718011,8.7,8.7,8.7,8.7,8.7,3,2
1631718012,8.7,8.7,8.7,8.7,8.7,0,0
1631718013,8.7,8.7,8.7,8.7,8.7,0,0
1631718014,8.7,8.7,8.69,8.7,8.7,3,1
1631718015,8.7,8.7,8.69,8.7,8.7,98,14
1631718016,8.71,8.71,8.7,8.71,8.706,3,2
1631718017,8.71,8.71,8.7,8.71,8.705,12,3
1631718018,8.71,8.71,8.71,8.71,8.71,20,2
1631718019,8.71,8.71,8.71,8.71,8.71,0,0
1631718020,8.71,8.71,8.71,8.71,8.71,0,0
1631718021,8.71,8.71,8.71,8.71,8.71,0,0
1631718022,8.71,8.71,8.71,8.71,8.71,0,0
1631718023,8.71,8.71,8.71,8.71,8.71,0,0
1631718024,8.7,8.71,8.7,8.71,8.702,3,3
1631718025,8.71,8.71,8.7,8.71,8.709,2,2
1631718026,8.71,8.71,8.7,8.71,8.71,0,0
1631718027,8.71,8.71,8.7,8.71,8.71,0,0
1631718028,8.71,8.71,8.7,8.71,8.71,0,0
1631718029,8.71,8.71,8.7,8.71,8.709,2,1
1631718030,8.7,8.71,8.7,8.71,8.704,24,2
1631718031,8.71,8.71,8.7,8.71,8.71,0,0
1631718032,8.71,8.71,8.7,8.71,8.71,0,0
1631718033,8.71,8.71,8.7,8.71,8.71,0,0
1631718034,8.7,8.71,8.7,8.7,8.703,1,1
1631718035,8.71,8.71,8.7,8.71,8.706,11,2
1631718036,8.71,8.71,8.7,8.71,8.71,0,0
1631718037,8.71,8.71,8.7,8.7,8.701,43,21
1631718038,8.7,8.7,8.7,8.7,8.7,0,0
1631718039,8.7,8.7,8.7,8.7,8.7,0,0
1631718040,8.7,8.7,8.7,8.7,8.7,0,0
1631718041,8.7,8.7,8.7,8.7,8.7,0,0
1631718042,8.7,8.7,8.7,8.7,8.7,0,0
1631718043,8.69,8.69,8.67,8.67,8.681,154,37
1631718044,8.68,8.68,8.67,8.67,8.673,3,3
1631718045,8.68,8.68,8.67,8.68,8.675,1,1
1631718046,8.68,8.68,8.67,8.68,8.68,0,0
1631718047,8.68,8.68,8.67,8.68,8.68,0,0
1631718048,8.68,8.68,8.67,8.68,8.68,0,0
1631718049,8.68,8.68,8.67,8.68,8.68,0,0
1631718050,8.67,8.68,8.67,8.67,8.671,11,4
1631718051,8.67,8.67,8.67,8.67,8.67,0,0
1631718052,8.67,8.67,8.67,8.67,8.67,0,0
1631718053,8.67,8.67,8.67,8.67,8.67,0,0
1631718054,8.67,8.67,8.66,8.66,8.664,106,39
1631718055,8.66,8.66,8.66,8.66,8.66,0,0
1631718056,8.66,8.66,8.66,8.66,8.66,0,0
1631718057,8.66,8.66,8.66,8.66,8.66,0,0
1631718058,8.66,8.66,8.66,8.66,8.66,1,1
