date,open,high,low,close,average,volume,count
1634824800,16.43,16.43,16.43,16.43,16.43,0,0
1634824801,16.42,16.42,16.39,16.4,16.40379,12,6
1634824802,16.3764,16.4,16.3715,16.4,16.38338,21,8
1634824803,16.34,16.365,16.3301,16.3301,16.33466,13,3
1634824804,16.3932,16.3932,16.3932,16.3932,16.3932,1,1
1634824805,16.335,16.3939,16.335,16.3515,16.36735,14,6
1634824806,16.3986,16.48,16.3862,16.48,16.40459,83,23
1634824807,16.435,16.48,16.3972,16.44,16.44808,41,14
1634824808,16.44,16.49,16.39,16.48,16.466,18,8
1634824809,16.44,16.44,16.4,16.4,16.4375,16,2
1634824810,16.4,16.4,16.4,16.4,16.4,22,4
1634824811,16.3901,16.3901,16.39,16.39,16.39009,19,3
1634824812,16.39,16.4,16.39,16.3901,16.39562,28,5
1634824813,16.4,16.4,16.4,16.4,16.4,10,2
1634824814,16.4,16.465,16.4,16.465,16.44875,20,3
1634824815,16.465,16.465,16.465,16.465,16.465,0,0
1634824816,16.44,16.49,16.44,16.49,16.47908,11,5
1634824817,16.45,16.4892,16.45,16.4892,16.46103,8,2
1634824818,16.4895,16.4895,16.4895,16.4895,16.4895,3,1
1634824819,16.46,16.46,16.46,16.46,16.46,19,2
1634824820,16.44,16.4855,16.44,16.4855,16.44758,6,2
1634824821,16.4753,16.4753,16.07,16.28,16.20297,546,108
1634824822,16.43,16.43,16.1301,16.1489,16.20524,64,13
1634824823,16.15,16.41,16.14,16.14,16.1652,87,27
1634824824,16.14,16.14,16.0,16.0212,16.02371,436,73
1634824825,16.0,16.0637,16.0,16.0,16.00209,129,23
1634824826,16.0,16.0,15.81,15.81,15.9202,298,70
1634824827,15.81,15.9499,15.78,15.8229,15.82195,129,25
1634824828,15.77,15.9999,15.77,15.77,15.81664,93,16
1634824829,15.76,15.81,15.72,15.75,15.75337,314,36
1634824830,15.75,15.81,15.62,15.77,15.72508,120,37
1634824831,15.7239,15.7699,15.66,15.7205,15.7093,161,29
1634824832,15.7104,15.7641,15.7,15.7,15.71884,27,13
1634824833,15.71,15.71,15.7,15.7093,15.7037,26,11
1634824834,15.71,15.78,15.7,15.7413,15.72161,57,27
1634824835,15.76,15.81,15.7157,15.73,15.76636,91,28
1634824836,15.73,15.81,15.7208,15.76,15.74475,32,17
1634824837,15.7201,15.84,15.53,15.6951,15.67469,244,84
1634824838,15.65,15.7105,15.62,15.62,15.68619,22,11
1634824839,15.67,15.67,15.6099,15.67,15.62919,32,9
1634824840,15.6,15.7,15.6,15.62,15.66504,31,9
1634824841,15.66,15.6999,15.58,15.6101,15.61836,14,7
1634824842,15.655,15.7,15.61,15.6566,15.63728,57,16
1634824843,15.61,15.68,15.61,15.655,15.65429,62,16
1634824844,15.6201,15.66,15.5932,15.6554,15.6195,31,8
1634824845,15.6101,15.7,15.6101,15.6405,15.68636,77,24
1634824846,15.67,15.7099,15.67,15.7089,15.69927,30,16
1634824847,15.71,15.71,15.7,15.705,15.70296,31,14
1634824848,15.705,15.705,15.7,15.7,15.70165,9,5
1634824849,15.7086,15.76,15.7,15.7,15.72994,28,8
1634824850,15.724,15.76,15.71,15.76,15.72576,33,3
1634824851,15.7599,15.8874,15.7266,15.8874,15.77093,47,17
1634824852,15.8884,15.8884,15.8,15.8306,15.86727,60,7
1634824853,15.8,15.8,15.77,15.79,15.77386,19,7
1634824854,15.8,15.81,15.77,15.8094,15.79682,21,12
1634824855,15.8,15.8101,15.8,15.8101,15.80935,19,7
1634824856,15.88,15.88,15.88,15.88,15.88,6,4
1634824857,15.85,15.89,15.85,15.8896,15.88658,38,3
1634824858,15.88,15.88,15.81,15.81,15.85217,4,4
1634824859,15.89,15.89,15.81,15.81,15.86463,32,9
1634824860,15.889,15.889,15.81,15.85,15.87322,40,6
1634824861,15.88,15.88,15.855,15.855,15.87401,13,2
1634824862,15.8201,15.855,15.8201,15.855,15.82685,6,2
1634824863,15.8501,15.852,15.85,15.852,15.85022,9,4
1634824864,15.8799,15.97,15.8301,15.86,15.90928,68,25
1634824865,15.845,15.97,15.8438,15.97,15.88123,16,12
1634824866,15.9751,15.98,15.89,15.975,15.91925,23,13
1634824867,15.9176,15.92,15.85,15.92,15.89047,22,13
1634824868,15.83,15.8725,15.83,15.87,15.8546,12,4
1634824869,15.89,15.91,15.89,15.9,15.90019,20,7
1634824870,15.835,15.87,15.835,15.87,15.84667,3,2
1634824871,15.86,15.86,15.86,15.86,15.86,2,2
1634824872,15.84,15.84,15.779,15.779,15.81214,52,18
1634824873,15.7154,15.7973,15.71,15.7973,15.75095,15,6
1634824874,15.7212,15.7212,15.71,15.71,15.71485,2,2
1634824875,15.7492,15.8301,15.7178,15.8301,15.76123,14,5
1634824876,15.79,15.8358,15.7104,15.7113,15.77772,30,13
1634824877,15.755,15.7999,15.71,15.7957,15.73778,33,7
1634824878,15.71,15.7101,15.71,15.71,15.71004,15,9
1634824879,15.7918,15.7918,15.77,15.77,15.77545,4,2
1634824880,15.77,15.77,15.77,15.77,15.77,1,1
1634824881,15.8,15.8,15.72,15.726,15.74978,7,3
1634824882,15.72,15.76,15.72,15.76,15.73241,15,4
1634824883,15.76,15.76,15.71,15.73,15.7341,12,7
1634824884,15.7014,15.71,15.7014,15.71,15.70881,17,2
1634824885,15.79,15.86,15.73,15.73,15.80673,64,28
1634824886,15.76,15.76,15.76,15.76,15.76,1,1
1634824887,15.8,15.82,15.79,15.79,15.80528,16,10
1634824888,15.8,15.8,15.76,15.76,15.78,2,2
1634824889,15.8,15.81,15.75,15.75,15.791,26,4
1634824890,15.75,15.75,15.75,15.75,15.75,0,0
1634824891,15.73,15.77,15.73,15.77,15.74825,6,4
1634824892,15.7688,15.7688,15.7688,15.7688,15.7688,1,1
1634824893,15.77,15.77,15.77,15.77,15.77,1,1
1634824894,15.79,15.79,15.77,15.77,15.775,4,2
1634824895,15.79,15.8,15.79,15.795,15.79685,31,5
1634824896,15.8,15.8,15.79,15.79,15.79298,8,7
1634824897,15.7564,15.7788,15.75,15.75,15.75512,45,10
1634824898,15.75,15.7628,15.7,15.7,15.73245,35,15
1634824899,15.7004,15.76,15.7004,15.76,15.7153,4,3
1634824900,15.7,15.744,15.7,15.744,15.71346,9,4
1634824901,15.7843,15.7843,15.7843,15.7843,15.7843,1,1
1634824902,15.71,15.71,15.7,15.71,15.70627,3,3
1634824903,15.77,15.7983,15.7489,15.7933,15.78508,17,5
1634824904,15.7933,15.7933,15.7933,15.7933,15.7933,0,0
1634824905,15.7501,15.7501,15.7501,15.7501,15.7501,2,2
1634824906,15.75,15.75,15.7,15.7061,15.71016,17,11
1634824907,15.7001,15.7092,15.7001,15.7001,15.70127,7,3
1634824908,15.7062,15.76,15.7062,15.76,15.72172,5,3
1634824909,15.77,15.77,15.7,15.7699,15.70343,81,20
1634824910,15.735,15.735,15.7207,15.7207,15.72836,2,2
1634824911,15.77,15.77,15.7539,15.7539,15.76787,15,3
1634824912,15.7539,15.7539,15.7539,15.7539,15.7539,0,0
1634824913,15.72,15.72,15.72,15.72,15.72,10,1
