date,open,high,low,close,average,volume,count
1629982800,9.09,9.09,9.09,9.09,9.09,1,1
1629982801,9.09,9.09,9.09,9.09,9.09,0,0
1629982802,9.09,9.09,9.09,9.09,9.09,0,0
1629982803,9.09,9.09,9.09,9.09,9.09,0,0
1629982804,9.08,9.08,9.08,9.08,9.08,2,1
1629982805,9.08,9.08,9.08,9.08,9.08,0,0
1629982806,9.08,9.08,9.08,9.08,9.08,0,0
1629982807,9.08,9.08,9.08,9.08,9.08,0,0
1629982808,9.08,9.08,9.08,9.08,9.08,0,0
1629982809,9.09,9.09,9.09,9.09,9.09,9,2
1629982810,9.09,9.09,9.09,9.09,9.09,0,0
1629982811,9.09,9.09,9.09,9.09,9.09,0,0
1629982812,9.09,9.09,9.09,9.09,9.09,0,0
1629982813,9.09,9.09,9.09,9.09,9.09,0,0
1629982814,9.09,9.09,9.09,9.09,9.09,0,0
1629982815,9.09,9.09,9.09,9.09,9.09,0,0
1629982816,9.09,9.09,9.09,9.09,9.09,0,0
1629982817,9.1,9.1,9.1,9.1,9.1,7,3
1629982818,9.1,9.1,9.1,9.1,9.1,0,0
1629982819,9.1,9.1,9.1,9.1,9.1,0,0
1629982820,9.1,9.1,9.1,9.1,9.1,0,0
1629982821,9.1,9.1,9.1,9.1,9.1,0,0
1629982822,9.1,9.1,9.1,9.1,9.1,0,0
1629982823,9.1,9.1,9.1,9.1,9.1,0,0
1629982824,9.11,9.11,9.11,9.11,9.11,1,1
1629982825,9.11,9.11,9.11,9.11,9.11,0,0
1629982826,9.11,9.11,9.11,9.11,9.11,0,0
1629982827,9.115,9.115,9.115,9.115,9.115,2,1
1629982828,9.115,9.115,9.115,9.115,9.115,0,0
1629982829,9.115,9.115,9.115,9.115,9.115,0,0
1629982830,9.115,9.115,9.115,9.115,9.115,0,0
1629982831,9.11,9.11,9.11,9.11,9.11,8,1
1629982832,9.11,9.11,9.11,9.11,9.11,0,0
1629982833,9.11,9.11,9.11,9.11,9.11,10,2
1629982834,9.11,9.11,9.11,9.11,9.11,0,0
1629982835,9.11,9.11,9.11,9.11,9.11,0,0
1629982836,9.11,9.11,9.11,9.11,9.11,0,0
1629982837,9.11,9.11,9.11,9.11,9.11,0,0
1629982838,9.11,9.11,9.11,9.11,9.11,0,0
1629982839,9.11,9.11,9.11,9.11,9.11,10,1
1629982840,9.11,9.11,9.11,9.11,9.11,0,0
1629982841,9.11,9.11,9.11,9.11,9.11,1,1
1629982842,9.11,9.11,9.11,9.11,9.11,0,0
1629982843,9.11,9.11,9.11,9.11,9.11,0,0
1629982844,9.11,9.11,9.11,9.11,9.11,0,0
1629982845,9.12,9.12,9.12,9.12,9.12,2,1
1629982846,9.12,9.12,9.12,9.12,9.12,0,0
1629982847,9.12,9.12,9.12,9.12,9.12,0,0
1629982848,9.12,9.12,9.12,9.12,9.12,0,0
1629982849,9.12,9.12,9.12,9.12,9.12,0,0
1629982850,9.12,9.12,9.12,9.12,9.12,0,0
1629982851,9.12,9.12,9.12,9.12,9.12,0,0
1629982852,9.12,9.12,9.12,9.12,9.12,0,0
1629982853,9.12,9.12,9.12,9.12,9.12,0,0
1629982854,9.12,9.12,9.12,9.12,9.12,8,1
1629982855,9.12,9.12,9.12,9.12,9.12,0,0
1629982856,9.12,9.13,9.12,9.13,9.12136,7,3
1629982857,9.13,9.13,9.13,9.13,9.13,0,0
1629982858,9.13,9.13,9.13,9.13,9.13,0,0
1629982859,9.13,9.13,9.13,9.13,9.13,4,1
