date,open,high,low,close,average,volume,count
1629965505,8.39,8.39,8.39,8.39,8.39,1,1
1629965510,8.39,8.39,8.39,8.39,8.39,0,0
1629965515,8.39,8.39,8.39,8.39,8.39,0,0
1629965520,8.39,8.39,8.39,8.39,8.39,0,0
1629965525,8.39,8.39,8.39,8.39,8.39,0,0
1629965530,8.39,8.39,8.39,8.39,8.39,0,0
1629965535,8.39,8.39,8.39,8.39,8.39,0,0
1629965540,8.39,8.39,8.39,8.39,8.39,0,0
1629965545,8.39,8.39,8.39,8.39,8.39,0,0
1629965550,8.39,8.39,8.39,8.39,8.39,0,0
1629965555,8.39,8.39,8.39,8.39,8.39,0,0
1629965560,8.39,8.39,8.39,8.39,8.39,0,0
1629965565,8.39,8.39,8.39,8.39,8.39,0,0
1629965570,8.39,8.39,8.39,8.39,8.39,0,0
1629965575,8.39,8.39,8.39,8.39,8.39,0,0
1629965580,8.39,8.39,8.39,8.39,8.39,0,0
1629965585,8.39,8.39,8.39,8.39,8.39,0,0
1629965590,8.39,8.39,8.39,8.39,8.39,0,0
1629965595,8.39,8.39,8.39,8.39,8.39,0,0
1629965600,8.39,8.39,8.39,8.39,8.39,0,0
1629965605,8.39,8.39,8.39,8.39,8.39,0,0
1629965610,8.39,8.39,8.39,8.39,8.39,0,0
1629965615,8.39,8.39,8.39,8.39,8.39,0,0
1629965620,8.39,8.39,8.39,8.39,8.39,0,0
1629965625,8.39,8.39,8.39,8.39,8.39,0,0
1629965630,8.39,8.39,8.39,8.39,8.39,0,0
1629965635,8.39,8.39,8.39,8.39,8.39,0,0
1629965640,8.39,8.39,8.39,8.39,8.39,0,0
1629965645,8.39,8.39,8.39,8.39,8.39,0,0
1629965650,8.39,8.39,8.39,8.39,8.39,0,0
1629965655,8.39,8.39,8.39,8.39,8.39,0,0
1629965660,8.39,8.39,8.39,8.39,8.39,0,0
1629965665,8.39,8.39,8.39,8.39,8.39,0,0
1629965670,8.39,8.39,8.39,8.39,8.39,0,0
1629965675,8.39,8.39,8.39,8.39,8.39,0,0
1629965680,8.39,8.39,8.39,8.39,8.39,0,0
1629965685,8.39,8.39,8.39,8.39,8.39,0,0
1629965690,8.39,8.39,8.39,8.39,8.39,0,0
1629965695,8.39,8.39,8.39,8.39,8.39,0,0
1629965700,8.39,8.39,8.39,8.39,8.39,0,0
1629965705,8.39,8.39,8.39,8.39,8.39,0,0
1629965710,8.39,8.39,8.39,8.39,8.39,0,0
1629965715,8.39,8.39,8.39,8.39,8.39,0,0
1629965720,8.39,8.39,8.39,8.39,8.39,0,0
1629965725,8.39,8.39,8.39,8.39,8.39,0,0
1629965730,8.39,8.39,8.39,8.39,8.39,0,0
1629965735,8.39,8.39,8.39,8.39,8.39,0,0
1629965740,8.39,8.39,8.39,8.39,8.39,0,0
1629965745,8.39,8.39,8.39,8.39,8.39,0,0
1629965750,8.39,8.39,8.39,8.39,8.39,0,0
1629965755,8.39,8.39,8.39,8.39,8.39,0,0
1629965760,8.39,8.39,8.39,8.39,8.39,0,0
1629965765,8.39,8.39,8.39,8.39,8.39,0,0
