date,open,high,low,close,average,volume,count
20210126,55.2,56.2,54.58,55.36,55.457,277372,121115
20210127,55.41,55.41,53.0,53.45,53.947,410452,177809
20210128,53.3,57.4,52.7,55.55,56.343,439395,196827
20210129,55.57,57.16,54.55,55.35,56.049,329399,149257
20210201,55.5,57.39,55.3,56.69,56.641,237756,107032
20210202,56.8,58.35,56.8,58.0,57.728,206955,96864
20210203,57.97,58.33,57.38,57.55,57.77,181294,77039
20210204,57.7,58.98,57.19,58.69,58.358,253131,90414
20210205,58.81,59.08,58.1,58.2,58.352,201280,73499
20210208,58.27,59.47,57.95,59.25,58.883,312430,88941
20210209,59.11,59.31,57.93,58.85,58.819,235552,101805
20210210,58.8,59.42,58.12,58.65,58.751,145625,71156
20210211,58.8,60.99,58.8,60.82,60.18,240626,109148
20210212,60.2,62.51,60.1,62.0,61.647,227584,107254
20210216,62.01,62.87,61.7,62.3,62.433,219168,101691
20210217,62.16,62.44,61.21,62.0,61.781,171967,77275
20210218,61.44,61.98,60.46,61.79,61.499,158633,82382
20210219,61.5,63.26,61.48,63.06,62.758,249171,103571
20210222,62.6,62.84,60.66,60.75,61.388,287065,119328
20210223,60.67,61.5,59.17,60.98,60.368,238757,131683
20210224,60.91,63.7,60.0,63.15,62.216,217913,107467
20210225,62.55,63.54,59.59,59.8,61.234,321069,165610
20210226,59.91,61.69,59.6,60.7,60.839,338263,143365
20210301,61.13,63.08,61.05,62.99,62.695,253887,117476
20210302,61.82,63.14,61.01,61.5,61.908,207748,100095
20210303,61.49,61.52,59.5,59.89,60.417,253382,127129
20210304,59.59,60.24,57.9,58.0,58.925,340128,197904
20210305,58.0,61.18,57.75,61.0,59.896,340178,187941
20210308,60.04,61.7,59.13,60.02,60.513,285453,137088
20210309,60.18,63.17,60.18,62.59,62.443,321584,143218
20210310,62.35,64.12,62.01,62.2,62.823,235076,125856
20210311,63.12,64.09,62.32,63.55,63.3,271176,123474
20210312,62.51,63.3,62.24,62.85,62.739,172749,89530
20210315,62.85,63.96,62.48,63.6,63.278,184686,77236
20210316,63.81,65.74,63.79,64.9,65.045,259708,120005
20210317,64.8,66.29,63.71,65.99,65.282,288913,129373
20210318,65.48,65.82,63.62,63.83,64.468,263362,120718
20210319,63.88,64.99,62.92,63.65,63.976,462373,128256
20210322,64.38,66.38,63.76,66.04,65.434,292139,123406
