date,open,high,low,close,average,volume,count
1639405800,50.85,50.88,50.81,50.88,50.811,2881,59
1639405801,50.88,50.89,50.86,50.89,50.884,32,20
1639405802,50.89,50.89,50.88,50.88,50.882,43,21
1639405803,50.9,50.98,50.89,50.89,50.928,230,108
1639405804,50.88,50.91,50.88,50.91,50.896,47,27
1639405805,50.93,50.94,50.91,50.92,50.921,34,20
1639405806,50.93,50.96,50.92,50.96,50.94,24,10
1639405807,50.97,50.98,50.93,50.94,50.963,3,3
1639405808,50.98,50.98,50.95,50.96,50.969,27,23
1639405809,50.95,50.98,50.93,50.93,50.944,40,29
1639405810,50.93,50.95,50.93,50.94,50.941,28,20
1639405811,50.94,50.94,50.94,50.94,50.94,0,0
1639405812,50.95,50.95,50.93,50.94,50.941,6,5
1639405813,50.94,50.97,50.94,50.96,50.947,41,23
1639405814,50.97,50.97,50.96,50.96,50.967,3,3
1639405815,50.97,50.98,50.95,50.97,50.969,24,20
1639405816,50.97,50.97,50.92,50.92,50.949,47,26
1639405817,50.93,50.93,50.92,50.93,50.921,33,24
1639405818,50.91,50.91,50.88,50.88,50.898,13,13
1639405819,50.87,50.87,50.86,50.86,50.865,2,2
1639405820,50.87,50.89,50.87,50.89,50.875,15,13
1639405821,50.91,50.91,50.91,50.91,50.91,2,1
1639405822,50.91,50.93,50.91,50.93,50.927,15,7
1639405823,50.94,50.96,50.94,50.96,50.945,14,12
1639405824,50.97,50.97,50.96,50.97,50.966,10,8
1639405825,50.94,50.94,50.94,50.94,50.94,3,3
1639405826,50.94,50.94,50.94,50.94,50.94,0,0
1639405827,50.94,50.94,50.94,50.94,50.94,0,0
1639405828,50.95,50.95,50.94,50.95,50.945,1,1
1639405829,50.94,50.95,50.94,50.95,50.946,2,2
1639405830,50.95,50.97,50.95,50.96,50.956,66,16
1639405831,50.95,50.95,50.95,50.95,50.95,1,1
1639405832,50.95,50.95,50.95,50.95,50.95,0,0
1639405833,50.95,50.95,50.95,50.95,50.95,9,7
1639405834,50.95,50.95,50.95,50.95,50.95,1,1
1639405835,50.94,50.96,50.94,50.95,50.945,99,50
1639405836,50.97,50.99,50.97,50.99,50.981,59,24
1639405837,50.99,51.01,50.99,51.01,51.0,215,64
1639405838,51.02,51.02,51.0,51.01,51.011,5,5
1639405839,51.01,51.01,51.01,51.01,51.01,0,0
1639405840,51.0,51.01,50.99,51.0,50.998,50,21
1639405841,50.99,50.99,50.99,50.99,50.99,3,3
1639405842,50.98,51.0,50.98,50.99,50.985,44,10
1639405843,50.98,50.98,50.92,50.93,50.948,69,31
1639405844,50.91,50.92,50.9,50.9,50.906,18,10
1639405845,50.89,50.91,50.89,50.91,50.904,18,8
1639405846,50.92,50.92,50.91,50.91,50.918,16,8
1639405847,50.9,50.9,50.88,50.88,50.891,8,5
1639405848,50.86,50.86,50.82,50.82,50.847,55,32
1639405849,50.83,50.84,50.8,50.82,50.82,14,7
