date,open,high,low,close,average,volume,count
1627048800,9.45,9.46,9.45,9.46,9.451,7,5
1627048801,9.46,9.46,9.45,9.46,9.459,6,2
1627048802,9.46,9.46,9.45,9.46,9.46,0,0
1627048803,9.45,9.45,9.41,9.41,9.428,17,11
1627048804,9.41,9.42,9.41,9.41,9.41,2,1
1627048805,9.41,9.41,9.21,9.22,9.269,223,79
1627048806,9.25,9.26,9.23,9.26,9.247,11,6
1627048807,9.26,9.26,9.21,9.24,9.225,16,4
1627048808,9.24,9.26,9.21,9.21,9.233,33,8
1627048809,9.26,9.26,9.23,9.26,9.25,15,7
1627048810,9.21,9.26,9.21,9.26,9.222,8,6
1627048811,9.22,9.26,9.21,9.22,9.25,13,9
1627048812,9.25,9.26,9.21,9.22,9.244,9,7
1627048813,9.23,9.24,9.21,9.24,9.227,15,6
1627048814,9.25,9.28,9.25,9.28,9.263,28,16
1627048815,9.3,9.3,9.28,9.28,9.289,3,2
1627048816,9.29,9.29,9.28,9.29,9.287,1,1
1627048817,9.28,9.33,9.28,9.28,9.286,19,9
1627048818,9.31,9.31,9.31,9.31,9.31,1,1
1627048819,9.29,9.34,9.28,9.34,9.292,27,15
1627048820,9.34,9.34,9.31,9.31,9.328,5,2
1627048821,9.29,9.29,9.28,9.29,9.288,1,1
1627048822,9.29,9.29,9.29,9.29,9.29,3,3
1627048823,9.29,9.29,9.29,9.29,9.29,0,0
1627048824,9.29,9.3,9.29,9.29,9.29,2,2
1627048825,9.31,9.31,9.3,9.3,9.305,3,2
1627048826,9.3,9.31,9.3,9.3,9.3,0,0
1627048827,9.3,9.3,9.29,9.3,9.298,23,9
1627048828,9.3,9.3,9.29,9.3,9.3,0,0
1627048829,9.3,9.33,9.29,9.33,9.304,19,9
1627048830,9.33,9.33,9.32,9.33,9.326,3,1
1627048831,9.32,9.32,9.28,9.28,9.297,40,8
1627048832,9.28,9.33,9.28,9.32,9.297,6,3
1627048833,9.3,9.33,9.3,9.33,9.317,23,7
1627048834,9.33,9.33,9.33,9.33,9.33,0,0
1627048835,9.33,9.34,9.33,9.33,9.331,5,4
1627048836,9.33,9.34,9.33,9.34,9.331,32,4
1627048837,9.33,9.34,9.33,9.33,9.33,1,1
1627048838,9.33,9.33,9.33,9.33,9.33,6,3
1627048839,9.3,9.31,9.3,9.3,9.305,12,7
1627048840,9.3,9.31,9.3,9.31,9.305,2,2
1627048841,9.31,9.31,9.3,9.31,9.31,6,6
1627048842,9.31,9.33,9.31,9.31,9.324,15,7
1627048843,9.33,9.38,9.33,9.37,9.341,20,15
1627048844,9.38,9.4,9.38,9.4,9.398,19,3
1627048845,9.34,9.35,9.34,9.34,9.34,20,1
1627048846,9.35,9.35,9.34,9.35,9.346,1,1
1627048847,9.35,9.35,9.34,9.35,9.35,0,0
1627048848,9.35,9.35,9.34,9.35,9.348,2,1
1627048849,9.38,9.39,9.34,9.34,9.36,18,9
1627048850,9.34,9.35,9.34,9.34,9.34,0,0
1627048851,9.35,9.35,9.34,9.35,9.348,1,1
1627048852,9.39,9.4,9.39,9.39,9.395,3,1
1627048853,9.39,9.4,9.39,9.39,9.39,0,0
1627048854,9.39,9.4,9.39,9.39,9.39,0,0
1627048855,9.39,9.4,9.39,9.39,9.39,0,0
1627048856,9.39,9.4,9.39,9.39,9.39,0,0
1627048857,9.39,9.4,9.39,9.39,9.39,0,0
1627048858,9.38,9.39,9.38,9.38,9.381,4,1
1627048859,9.38,9.39,9.38,9.38,9.38,0,0
1627048860,9.39,9.39,9.38,9.38,9.385,2,2
1627048861,9.38,9.39,9.38,9.38,9.38,23,3
1627048862,9.39,9.39,9.38,9.39,9.388,1,1
1627048863,9.38,9.38,9.38,9.38,9.38,6,5
1627048864,9.39,9.39,9.38,9.38,9.388,5,2
1627048865,9.38,9.39,9.38,9.38,9.38,0,0
1627048866,9.38,9.39,9.38,9.38,9.38,0,0
1627048867,9.38,9.39,9.38,9.39,9.385,41,6
1627048868,9.39,9.39,9.38,9.39,9.39,0,0
1627048869,9.39,9.39,9.38,9.39,9.39,0,0
1627048870,9.39,9.39,9.38,9.38,9.386,8,3
1627048871,9.38,9.38,9.35,9.35,9.363,15,3
1627048872,9.35,9.35,9.34,9.34,9.345,3,2
1627048873,9.34,9.34,9.33,9.34,9.337,3,3
1627048874,9.33,9.34,9.33,9.34,9.334,8,2
1627048875,9.33,9.33,9.28,9.3,9.299,52,33
1627048876,9.29,9.29,9.27,9.27,9.28,3,3
1627048877,9.27,9.28,9.27,9.28,9.275,2,2
1627048878,9.27,9.28,9.27,9.27,9.27,5,1
1627048879,9.28,9.28,9.27,9.27,9.273,4,2
1627048880,9.27,9.28,9.27,9.27,9.27,0,0
1627048881,9.28,9.28,9.27,9.28,9.279,1,1
1627048882,9.27,9.28,9.27,9.27,9.27,1,1
1627048883,9.27,9.28,9.27,9.27,9.27,0,0
1627048884,9.3,9.34,9.21,9.34,9.293,45,16
1627048885,9.34,9.34,9.34,9.34,9.34,1,1
1627048886,9.22,9.22,9.22,9.22,9.22,2,2
1627048887,9.22,9.22,9.22,9.22,9.22,0,0
1627048888,9.24,9.24,9.22,9.22,9.233,2,2
1627048889,9.24,9.25,9.24,9.24,9.241,4,1
1627048890,9.22,9.22,9.21,9.22,9.216,1,1
1627048891,9.26,9.32,9.26,9.31,9.289,10,6
1627048892,9.27,9.28,9.27,9.27,9.27,2,2
1627048893,9.28,9.28,9.27,9.28,9.278,2,1
1627048894,9.28,9.28,9.27,9.28,9.28,0,0
1627048895,9.3,9.3,9.29,9.29,9.294,4,3
1627048896,9.29,9.29,9.29,9.29,9.29,0,0
1627048897,9.3,9.3,9.3,9.3,9.3,2,1
1627048898,9.27,9.27,9.27,9.27,9.27,4,3
1627048899,9.27,9.27,9.27,9.27,9.27,0,0
1627048900,9.28,9.28,9.25,9.26,9.259,22,16
1627048901,9.29,9.32,9.25,9.25,9.279,11,8
1627048902,9.26,9.26,9.25,9.25,9.252,10,2
1627048903,9.26,9.26,9.26,9.26,9.26,1,1
1627048904,9.26,9.26,9.23,9.26,9.252,7,6
1627048905,9.25,9.26,9.25,9.25,9.251,2,1
1627048906,9.25,9.26,9.25,9.25,9.25,0,0
1627048907,9.27,9.27,9.21,9.21,9.226,48,19
1627048908,9.25,9.28,9.23,9.28,9.264,11,7
1627048909,9.28,9.28,9.28,9.28,9.28,0,0
1627048910,9.24,9.25,9.24,9.24,9.244,5,1
1627048911,9.22,9.22,9.21,9.22,9.219,4,1
1627048912,9.22,9.25,9.21,9.24,9.236,15,2
1627048913,9.25,9.28,9.24,9.28,9.269,4,2
1627048914,9.26,9.26,9.25,9.26,9.258,5,1
1627048915,9.24,9.25,9.21,9.25,9.23,49,26
1627048916,9.23,9.24,9.23,9.24,9.237,2,2
1627048917,9.23,9.24,9.23,9.23,9.23,5,1
1627048918,9.27,9.27,9.26,9.27,9.265,5,1
1627048919,9.24,9.24,9.23,9.24,9.237,1,1
1627048920,9.24,9.24,9.23,9.24,9.24,0,0
1627048921,9.24,9.24,9.23,9.24,9.24,0,0
1627048922,9.25,9.25,9.21,9.21,9.219,11,4
1627048923,9.24,9.24,9.24,9.24,9.24,1,1
1627048924,9.22,9.25,9.22,9.24,9.233,4,4
1627048925,9.24,9.24,9.24,9.24,9.24,0,0
1627048926,9.24,9.24,9.24,9.24,9.24,0,0
1627048927,9.24,9.24,9.24,9.24,9.24,0,0
1627048928,9.22,9.23,9.21,9.22,9.22,8,3
1627048929,9.22,9.23,9.22,9.22,9.22,0,0
1627048930,9.22,9.23,9.22,9.22,9.22,0,0
1627048931,9.22,9.23,9.22,9.22,9.22,0,0
1627048932,9.23,9.23,9.21,9.21,9.212,20,4
1627048933,9.2,9.2,9.14,9.16,9.174,49,17
1627048934,9.16,9.17,9.14,9.15,9.15,28,25
1627048935,9.15,9.15,9.13,9.14,9.136,30,30
1627048936,9.14,9.2,9.13,9.17,9.17,21,6
1627048937,9.17,9.18,9.17,9.17,9.173,5,1
1627048938,9.13,9.14,9.13,9.14,9.138,4,4
1627048939,9.19,9.19,9.19,9.19,9.19,1,1
1627048940,9.14,9.14,9.13,9.14,9.139,3,1
1627048941,9.14,9.16,9.14,9.15,9.15,27,8
1627048942,9.16,9.17,9.16,9.16,9.162,9,2
1627048943,9.18,9.18,9.16,9.16,9.171,3,2
1627048944,9.17,9.17,9.15,9.16,9.16,9,6
1627048945,9.18,9.22,9.17,9.22,9.209,49,10
1627048946,9.16,9.21,9.15,9.2,9.154,26,15
1627048947,9.16,9.16,9.15,9.16,9.159,3,3
1627048948,9.16,9.16,9.15,9.16,9.159,7,5
1627048949,9.16,9.16,9.16,9.16,9.16,0,0
1627048950,9.22,9.22,9.18,9.18,9.205,4,2
1627048951,9.16,9.18,9.16,9.18,9.165,7,3
1627048952,9.16,9.18,9.16,9.18,9.173,36,3
1627048953,9.18,9.18,9.18,9.18,9.18,2,1
1627048954,9.16,9.16,9.15,9.15,9.157,38,10
1627048955,9.17,9.17,9.16,9.17,9.165,1,1
1627048956,9.16,9.16,9.14,9.14,9.148,21,12
1627048957,9.17,9.18,9.15,9.17,9.172,40,15
1627048958,9.19,9.19,9.16,9.17,9.175,11,4
1627048959,9.18,9.19,9.18,9.19,9.183,3,2
1627048960,9.19,9.19,9.19,9.19,9.19,1,1
1627048961,9.16,9.17,9.16,9.16,9.16,4,1
1627048962,9.16,9.17,9.16,9.16,9.16,0,0
1627048963,9.16,9.17,9.16,9.16,9.16,0,0
1627048964,9.18,9.18,9.18,9.18,9.18,1,1
1627048965,9.21,9.22,9.18,9.22,9.204,3,3
1627048966,9.22,9.22,9.22,9.22,9.22,0,0
1627048967,9.22,9.24,9.2,9.24,9.225,6,5
1627048968,9.21,9.21,9.21,9.21,9.21,3,3
