date,open,high,low,close,average,volume,count
1635427800,13.65,13.65,13.65,13.65,13.65,0,0
1635427801,13.65,13.65,13.65,13.65,13.65,0,0
1635427802,13.65,13.65,13.65,13.65,13.65,0,0
1635427803,13.65,13.65,13.65,13.65,13.65,0,0
1635427804,13.65,13.65,13.65,13.65,13.65,0,0
1635427805,13.65,13.65,13.65,13.65,13.65,0,0
1635427806,13.65,13.65,13.65,13.65,13.65,0,0
1635427807,13.65,13.65,13.65,13.65,13.65,0,0
1635427808,13.65,13.65,13.65,13.65,13.65,0,0
1635427809,13.65,13.65,13.65,13.65,13.65,0,0
1635427810,13.65,13.65,13.65,13.65,13.65,0,0
1635427811,13.65,13.65,13.65,13.65,13.65,0,0
1635427812,13.82,13.83,13.7,13.83,13.8,66,27
1635427813,13.83,13.83,13.83,13.83,13.83,0,0
1635427814,13.83,13.83,13.83,13.83,13.83,0,0
1635427815,13.83,13.83,13.83,13.83,13.83,0,0
1635427816,13.83,13.83,13.83,13.83,13.83,0,0
1635427817,13.83,13.83,13.83,13.83,13.83,0,0
1635427818,13.83,13.83,13.83,13.83,13.83,0,0
1635427819,13.83,13.83,13.83,13.83,13.83,0,0
1635427820,13.83,13.83,13.83,13.83,13.83,0,0
1635427821,13.83,13.83,13.83,13.83,13.83,0,0
1635427822,13.83,13.83,13.83,13.83,13.83,0,0
1635427823,13.83,13.83,13.83,13.83,13.83,0,0
1635427824,13.83,13.83,13.83,13.83,13.83,0,0
1635427825,13.83,13.83,13.83,13.83,13.83,0,0
1635427826,13.75,13.75,13.75,13.75,13.75,2,2
1635427827,13.75,13.75,13.75,13.75,13.75,0,0
1635427828,13.75,13.75,13.75,13.75,13.75,0,0
1635427829,13.75,13.75,13.75,13.75,13.75,0,0
1635427830,13.75,13.75,13.75,13.75,13.75,0,0
1635427831,13.75,13.75,13.75,13.75,13.75,0,0
1635427832,13.75,13.75,13.75,13.75,13.75,0,0
1635427833,13.75,13.75,13.75,13.75,13.75,0,0
1635427834,13.75,13.75,13.75,13.75,13.75,0,0
1635427835,13.75,13.75,13.75,13.75,13.75,0,0
1635427836,13.75,13.75,13.75,13.75,13.75,0,0
1635427837,13.75,13.75,13.75,13.75,13.75,0,0
1635427838,13.75,13.75,13.74,13.75,13.745,1,1
1635427839,13.75,13.75,13.74,13.75,13.75,0,0
1635427840,13.75,13.75,13.74,13.75,13.75,0,0
1635427841,13.75,13.75,13.74,13.75,13.75,0,0
1635427842,13.82,13.82,13.82,13.82,13.82,5,1
1635427843,13.82,13.82,13.82,13.82,13.82,0,0
1635427844,13.82,13.82,13.82,13.82,13.82,0,0
1635427845,13.82,13.82,13.82,13.82,13.82,0,0
1635427846,13.83,13.83,13.83,13.83,13.83,1,1
1635427847,13.83,13.83,13.83,13.83,13.83,0,0
1635427848,13.88,13.88,13.88,13.88,13.88,2,1
1635427849,13.88,13.88,13.88,13.88,13.88,0,0
1635427850,13.88,13.88,13.88,13.88,13.88,0,0
1635427851,13.88,13.88,13.88,13.88,13.88,0,0
1635427852,13.88,13.88,13.88,13.88,13.88,0,0
1635427853,13.83,13.83,13.8,13.8,13.807,4,2
1635427854,13.8,13.8,13.8,13.8,13.8,0,0
1635427855,13.8,13.8,13.8,13.8,13.8,0,0
1635427856,13.86,13.86,13.86,13.86,13.86,2,1
1635427857,13.81,13.81,13.8,13.81,13.805,1,1
1635427858,13.81,13.81,13.8,13.81,13.81,0,0
1635427859,13.81,13.81,13.8,13.81,13.81,0,0
