date,open,high,low,close,average,volume,count
1640250600,11.88,11.88,11.88,11.88,11.88,1,1
1640250900,11.87,11.87,11.87,11.87,11.87,18,5
1640251200,11.87,11.87,11.87,11.87,11.87,0,0
1640251500,11.87,11.87,11.87,11.87,11.87,0,0
1640251800,11.87,11.87,11.87,11.87,11.87,0,0
1640252100,11.87,11.87,11.87,11.87,11.87,0,0
1640252400,12.03,12.03,11.95,11.95,12.003,3,2
1640252700,11.95,11.95,11.95,11.95,11.95,0,0
1640253000,11.95,11.95,11.95,11.95,11.95,0,0
1640253300,11.95,11.95,11.95,11.95,11.95,0,0
1640253600,11.95,11.95,11.95,11.95,11.95,0,0
1640253900,11.95,11.95,11.95,11.95,11.95,0,0
1640254200,11.95,11.95,11.95,11.95,11.95,0,0
1640254500,11.95,11.95,11.95,11.95,11.95,0,0
1640254800,11.95,11.95,11.95,11.95,11.95,0,0
1640255100,11.95,11.95,11.95,11.95,11.95,0,0
1640255400,11.95,11.95,11.95,11.95,11.95,0,0
1640255700,11.95,11.95,11.95,11.95,11.95,0,0
1640256000,11.95,11.95,11.95,11.95,11.95,0,0
1640256300,11.95,11.95,11.95,11.95,11.95,0,0
1640256600,11.95,11.95,11.95,11.95,11.95,0,0
1640256900,11.99,12.0,11.99,12.0,11.998,4,4
1640257200,12.0,12.0,12.0,12.0,12.0,0,0
1640257500,12.0,12.0,12.0,12.0,12.0,5,2
1640257800,12.0,12.0,12.0,12.0,12.0,0,0
1640258100,12.0,12.0,12.0,12.0,12.0,0,0
1640258400,12.0,12.0,12.0,12.0,12.0,0,0
1640258700,12.0,12.0,12.0,12.0,12.0,0,0
1640259000,12.0,12.0,12.0,12.0,12.0,0,0
1640259300,12.0,12.0,12.0,12.0,12.0,0,0
1640259600,12.0,12.0,12.0,12.0,12.0,0,0
1640259900,12.0,12.0,12.0,12.0,12.0,0,0
1640260200,12.0,12.0,12.0,12.0,12.0,0,0
1640260500,12.0,12.0,12.0,12.0,12.0,0,0
1640260800,12.0,12.0,12.0,12.0,12.0,0,0
1640261100,12.0,12.0,12.0,12.0,12.0,0,0
1640261400,12.0,12.0,12.0,12.0,12.0,0,0
1640261700,12.01,12.01,12.01,12.01,12.01,2,2
1640262000,12.01,12.01,12.01,12.01,12.01,0,0
1640262300,12.01,12.01,12.01,12.01,12.01,0,0
1640262600,12.01,12.01,12.01,12.01,12.01,0,0
1640262900,12.01,12.01,12.01,12.01,12.01,0,0
1640263200,12.01,12.01,12.01,12.01,12.01,0,0
1640263500,12.01,12.01,12.01,12.01,12.01,0,0
1640263800,12.01,12.01,12.01,12.01,12.01,0,0
1640264100,12.01,12.01,12.01,12.01,12.01,0,0
1640264400,11.95,11.95,11.95,11.95,11.95,1,1
1640264700,12.05,12.05,12.05,12.05,12.05,1,1
1640265000,12.05,12.05,12.05,12.05,12.05,0,0
1640265300,12.1,12.1,12.1,12.1,12.1,1,1
1640265600,11.95,11.99,11.95,11.98,11.978,4,4
1640265900,11.96,11.97,11.96,11.97,11.964,3,3
1640266200,11.97,11.97,11.97,11.97,11.97,0,0
1640266500,11.95,11.95,11.93,11.93,11.94,2,2
1640266800,11.93,11.93,11.93,11.93,11.93,1,1
1640267100,11.93,11.93,11.93,11.93,11.93,0,0
