date,open,high,low,close,average,volume,count
1625644800,54.81,55.15,54.81,55.15,55.1,9,3
1625644805,55.15,55.15,55.15,55.15,55.15,0,0
1625644810,55.15,55.15,55.15,55.15,55.15,0,0
1625644815,55.15,55.15,55.15,55.15,55.15,0,0
1625644820,55.49,55.49,55.49,55.49,55.49,1,1
1625644825,55.5,55.5,55.5,55.5,55.5,9,2
1625644830,55.5,55.5,55.5,55.5,55.5,0,0
1625644835,55.5,55.5,55.5,55.5,55.5,5,2
1625644840,55.5,55.5,55.5,55.5,55.5,0,0
1625644845,55.5,55.5,55.5,55.5,55.5,7,1
1625644850,55.5,55.5,55.5,55.5,55.5,2,2
1625644855,55.5,55.5,55.5,55.5,55.5,0,0
1625644860,55.66,55.66,55.66,55.66,55.66,1,1
1625644865,55.66,55.66,55.66,55.66,55.66,0,0
1625644870,55.66,55.66,55.66,55.66,55.66,0,0
1625644875,55.66,55.66,55.66,55.66,55.66,0,0
1625644880,55.66,55.66,55.66,55.66,55.66,0,0
1625644885,55.6,55.6,55.5,55.5,55.56,5,2
1625644890,55.5,55.5,55.5,55.5,55.5,0,0
1625644895,55.5,55.5,55.5,55.5,55.5,2,1
1625644900,55.5,55.5,55.5,55.5,55.5,0,0
1625644905,55.5,55.5,55.5,55.5,55.5,0,0
1625644910,55.5,55.5,55.5,55.5,55.5,0,0
1625644915,55.5,55.5,55.5,55.5,55.5,8,5
1625644920,55.49,55.51,55.49,55.5,55.5,5,5
1625644925,55.5,55.6,55.5,55.6,55.54,5,2
1625644930,55.6,55.6,55.6,55.6,55.6,0,0
1625644935,55.85,55.9,55.85,55.9,55.878,14,7
1625644940,55.9,55.9,55.9,55.9,55.9,0,0
1625644945,55.9,55.9,55.9,55.9,55.9,0,0
1625644950,55.9,55.9,55.9,55.9,55.9,0,0
1625644955,55.9,55.9,55.9,55.9,55.9,0,0
1625644960,55.9,56.5,55.9,56.5,56.413,7,3
1625644965,56.5,56.5,56.5,56.5,56.5,0,0
1625644970,55.9,55.9,55.9,55.9,55.9,1,1
1625644975,55.85,55.85,55.85,55.85,55.85,2,1
1625644980,55.95,55.95,55.85,55.85,55.89,5,2
1625644985,55.85,55.85,55.85,55.85,55.85,0,0
1625644990,55.85,55.85,55.85,55.85,55.85,0,0
1625644995,55.85,55.85,55.85,55.85,55.85,0,0
1625645000,55.85,55.85,55.85,55.85,55.85,0,0
1625645005,55.85,55.85,55.85,55.85,55.85,0,0
1625645010,55.85,55.85,55.85,55.85,55.85,0,0
1625645015,55.85,55.85,55.85,55.85,55.85,0,0
1625645020,56.0,56.0,56.0,56.0,56.0,19,2
1625645025,56.0,56.0,56.0,56.0,56.0,0,0
1625645030,56.0,56.0,56.0,56.0,56.0,0,0
1625645035,56.49,56.5,56.49,56.5,56.498,4,2
1625645040,56.5,56.5,56.5,56.5,56.5,0,0
1625645045,56.5,56.5,56.5,56.5,56.5,0,0
1625645050,56.5,56.5,56.5,56.5,56.5,0,0
1625645055,56.5,56.5,56.5,56.5,56.5,0,0
1625645060,56.5,56.5,56.5,56.5,56.5,0,0
1625645065,56.5,56.5,56.5,56.5,56.5,0,0
1625645070,56.5,56.5,56.5,56.5,56.5,0,0
1625645075,56.5,56.5,56.5,56.5,56.5,0,0
1625645080,56.49,56.49,56.49,56.49,56.49,1,1
1625645085,56.5,56.5,56.5,56.5,56.5,1,1
1625645090,56.7,56.7,56.7,56.7,56.7,5,1
1625645095,56.7,56.7,56.7,56.7,56.7,0,0
1625645100,56.8,56.8,56.8,56.8,56.8,2,1
1625645105,56.8,56.8,56.8,56.8,56.8,0,0
1625645110,56.8,56.8,56.8,56.8,56.8,1,1
1625645115,56.89,56.89,56.89,56.89,56.89,1,1
1625645120,56.7,56.7,56.7,56.7,56.7,10,3
1625645125,56.7,56.7,56.7,56.7,56.7,0,0
1625645130,56.5,56.64,56.5,56.64,56.563,2,2
1625645135,56.7,56.7,56.47,56.67,56.649,9,3
1625645140,56.67,56.67,56.67,56.67,56.67,0,0
1625645145,56.67,56.67,56.67,56.67,56.67,0,0
1625645150,56.67,56.67,56.67,56.67,56.67,0,0
1625645155,56.67,56.67,56.67,56.67,56.67,0,0
1625645160,56.77,56.77,56.77,56.77,56.77,1,1
1625645165,56.7,56.7,56.7,56.7,56.7,1,1
1625645170,56.7,56.7,56.7,56.7,56.7,0,0
1625645175,56.7,56.7,56.7,56.7,56.7,0,0
1625645180,56.7,56.7,56.7,56.7,56.7,0,0
1625645185,56.7,56.7,56.7,56.7,56.7,0,0
1625645190,56.7,56.7,56.7,56.7,56.7,0,0
1625645195,56.79,56.79,56.79,56.79,56.79,1,1
1625645200,56.79,56.79,56.79,56.79,56.79,0,0
1625645205,56.79,56.79,56.79,56.79,56.79,0,0
1625645210,56.79,56.79,56.79,56.79,56.79,0,0
1625645215,56.7,56.7,56.7,56.7,56.7,1,1
1625645220,56.7,56.7,56.7,56.7,56.7,0,0
1625645225,56.7,56.7,56.7,56.7,56.7,0,0
1625645230,56.7,56.7,56.7,56.7,56.7,0,0
1625645235,56.7,56.7,56.7,56.7,56.7,2,1
1625645240,56.7,56.7,56.7,56.7,56.7,2,1
1625645245,56.69,56.7,56.69,56.7,56.698,4,2
1625645250,56.7,56.7,56.7,56.7,56.7,0,0
1625645255,56.7,56.7,56.7,56.7,56.7,0,0
1625645260,56.7,56.7,56.7,56.7,56.7,0,0
1625645265,56.7,56.7,56.7,56.7,56.7,0,0
1625645270,56.7,56.7,56.7,56.7,56.7,0,0
1625645275,56.7,56.7,56.7,56.7,56.7,0,0
1625645280,56.7,56.7,56.7,56.7,56.7,0,0
1625645285,56.7,56.7,56.7,56.7,56.7,0,0
1625645290,56.7,56.7,56.7,56.7,56.7,0,0
1625645295,56.7,56.7,56.7,56.7,56.7,0,0
1625645300,56.7,56.7,56.7,56.7,56.7,0,0
1625645305,56.7,56.7,56.7,56.7,56.7,0,0
1625645310,56.7,56.7,56.7,56.7,56.7,0,0
1625645315,56.7,56.7,56.7,56.7,56.7,0,0
1625645320,56.7,56.7,56.7,56.7,56.7,0,0
1625645325,56.7,56.7,56.7,56.7,56.7,0,0
1625645330,56.7,56.7,56.7,56.7,56.7,0,0
1625645335,56.7,56.7,56.7,56.7,56.7,0,0
1625645340,56.7,56.7,56.7,56.7,56.7,0,0
1625645345,56.8,56.8,56.8,56.8,56.8,2,1
1625645350,56.85,56.85,56.85,56.85,56.85,2,1
1625645355,56.85,56.85,56.85,56.85,56.85,0,0
1625645360,56.84,56.84,56.84,56.84,56.84,1,1
1625645365,56.84,56.84,56.84,56.84,56.84,0,0
1625645370,56.84,56.84,56.84,56.84,56.84,0,0
1625645375,56.84,56.84,56.84,56.84,56.84,0,0
1625645380,56.84,56.84,56.84,56.84,56.84,0,0
1625645385,56.8,56.8,56.8,56.8,56.8,1,1
1625645390,56.8,56.8,56.8,56.8,56.8,0,0
1625645395,56.8,56.8,56.8,56.8,56.8,0,0
1625645400,56.8,56.8,56.8,56.8,56.8,0,0
1625645405,56.8,56.8,56.8,56.8,56.8,0,0
1625645410,56.8,56.8,56.8,56.8,56.8,0,0
1625645415,56.79,56.8,56.79,56.8,56.795,3,2
1625645420,56.8,56.8,56.8,56.8,56.8,0,0
1625645425,56.8,56.8,56.8,56.8,56.8,0,0
1625645430,56.84,56.9,56.8,56.8,56.825,11,4
1625645435,56.8,56.8,56.8,56.8,56.8,0,0
1625645440,56.8,56.8,56.8,56.8,56.8,0,0
1625645445,56.8,56.8,56.8,56.8,56.8,0,0
1625645450,56.8,56.8,56.8,56.8,56.8,0,0
1625645455,56.8,56.8,56.8,56.8,56.8,0,0
1625645460,56.8,56.8,56.8,56.8,56.8,0,0
1625645465,56.8,56.8,56.8,56.8,56.8,0,0
1625645470,56.8,56.8,56.8,56.8,56.8,0,0
1625645475,56.8,56.8,56.8,56.8,56.8,0,0
1625645480,56.8,56.8,56.8,56.8,56.8,0,0
1625645485,56.8,56.8,56.8,56.8,56.8,0,0
1625645490,56.79,56.79,56.79,56.79,56.79,1,1
1625645495,56.79,56.79,56.79,56.79,56.79,0,0
1625645500,56.79,56.79,56.79,56.79,56.79,0,0
1625645505,56.79,56.79,56.79,56.79,56.79,0,0
1625645510,56.79,56.79,56.79,56.79,56.79,0,0
1625645515,56.79,56.79,56.79,56.79,56.79,0,0
1625645520,56.79,56.79,56.79,56.79,56.79,0,0
1625645525,56.79,56.79,56.79,56.79,56.79,0,0
1625645530,56.79,56.79,56.79,56.79,56.79,0,0
1625645535,56.79,56.79,56.79,56.79,56.79,0,0
1625645540,56.79,56.79,56.79,56.79,56.79,0,0
1625645545,56.79,56.79,56.79,56.79,56.79,0,0
1625645550,56.79,56.79,56.79,56.79,56.79,0,0
1625645555,56.79,56.79,56.79,56.79,56.79,0,0
1625645560,56.79,56.79,56.79,56.79,56.79,0,0
1625645565,56.79,56.79,56.79,56.79,56.79,0,0
1625645570,56.79,56.79,56.79,56.79,56.79,0,0
1625645575,56.79,56.79,56.79,56.79,56.79,0,0
1625645580,56.75,56.79,56.75,56.79,56.77,7,5
1625645585,56.8,56.8,56.8,56.8,56.8,2,2
1625645590,56.8,56.8,56.8,56.8,56.8,0,0
1625645595,56.8,56.8,56.8,56.8,56.8,0,0
1625645600,56.8,56.8,56.8,56.8,56.8,0,0
1625645605,56.9,56.9,56.9,56.9,56.9,2,2
1625645610,56.9,56.9,56.9,56.9,56.9,10,2
1625645615,56.82,56.82,56.82,56.82,56.82,12,1
1625645620,56.82,56.82,56.82,56.82,56.82,0,0
1625645625,56.82,56.82,56.82,56.82,56.82,0,0
1625645630,56.82,56.82,56.82,56.82,56.82,0,0
1625645635,56.82,56.82,56.82,56.82,56.82,0,0
1625645640,56.82,56.82,56.82,56.82,56.82,0,0
1625645645,56.82,56.82,56.82,56.82,56.82,0,0
1625645650,56.79,56.79,56.79,56.79,56.79,1,1
1625645655,56.79,56.79,56.79,56.79,56.79,0,0
1625645660,56.79,56.79,56.79,56.79,56.79,0,0
1625645665,56.79,56.79,56.79,56.79,56.79,0,0
1625645670,56.78,56.8,56.78,56.8,56.795,10,3
1625645675,56.95,56.95,56.95,56.95,56.95,3,2
1625645680,56.95,56.95,56.95,56.95,56.95,0,0
1625645685,56.95,56.95,56.95,56.95,56.95,0,0
1625645690,56.95,56.95,56.95,56.95,56.95,0,0
1625645695,56.95,56.95,56.95,56.95,56.95,0,0
1625645700,56.78,56.78,56.78,56.78,56.78,3,2
1625645705,56.78,56.78,56.78,56.78,56.78,0,0
1625645710,56.78,56.84,56.78,56.84,56.823,12,4
1625645715,56.84,56.84,56.84,56.84,56.84,0,0
1625645720,56.84,56.84,56.84,56.84,56.84,0,0
1625645725,56.84,56.84,56.84,56.84,56.84,0,0
1625645730,56.84,56.84,56.84,56.84,56.84,0,0
1625645735,56.84,56.84,56.84,56.84,56.84,0,0
1625645740,56.84,56.84,56.84,56.84,56.84,9,1
1625645745,56.84,56.84,56.84,56.84,56.84,0,0
1625645750,56.84,56.84,56.84,56.84,56.84,0,0
1625645755,56.84,56.84,56.84,56.84,56.84,0,0
1625645760,56.84,56.84,56.84,56.84,56.84,0,0
1625645765,56.84,56.84,56.84,56.84,56.84,0,0
1625645770,56.83,56.84,56.83,56.84,56.837,3,2
1625645775,56.84,56.84,56.84,56.84,56.84,0,0
1625645780,56.84,56.84,56.84,56.84,56.84,0,0
1625645785,56.95,56.95,56.95,56.95,56.95,1,1
1625645790,56.95,57.0,56.95,56.99,56.957,27,6
1625645795,56.8,56.95,56.8,56.95,56.828,25,3
1625645800,56.95,56.95,56.95,56.95,56.95,4,1
1625645805,56.95,56.95,56.95,56.95,56.95,0,0
1625645810,56.94,56.95,56.94,56.95,56.948,6,3
1625645815,56.95,56.96,56.95,56.96,56.953,3,2
1625645820,57.0,57.1,56.79,56.8,56.967,53,10
1625645825,56.8,56.8,56.8,56.8,56.8,0,0
1625645830,56.79,56.8,56.79,56.8,56.799,7,2
