date,open,high,low,close,average,volume,count
1625126400,55.8,55.8,55.8,55.8,55.8,2,1
1625126700,55.8,55.8,55.75,55.75,55.789,9,3
1625127000,55.54,55.54,55.51,55.51,55.525,2,2
1625127300,55.54,55.54,55.52,55.52,55.525,3,3
1625127600,55.53,55.53,55.51,55.53,55.522,5,5
1625127900,55.53,55.53,55.53,55.53,55.53,0,0
1625128200,55.53,55.53,55.53,55.53,55.53,0,0
1625128500,55.58,55.58,55.52,55.53,55.534,4,4
1625128800,55.53,55.53,55.5,55.5,55.509,14,10
1625129100,55.33,55.33,55.29,55.29,55.31,4,3
1625129400,55.21,55.21,55.2,55.2,55.206,2,2
1625129700,55.21,55.21,55.21,55.21,55.21,4,3
1625130000,55.21,55.21,55.21,55.21,55.21,0,0
1625130300,55.24,55.24,55.24,55.24,55.24,1,1
1625130600,55.24,55.24,55.24,55.24,55.24,0,0
1625130900,55.24,55.24,55.24,55.24,55.24,1,1
1625131200,55.24,55.24,55.24,55.24,55.24,0,0
1625131500,55.23,55.23,54.8,54.8,55.068,19,16
1625131800,54.8,54.8,54.8,54.8,54.8,0,0
1625132100,54.8,54.8,54.8,54.8,54.8,0,0
1625132400,54.86,54.86,54.86,54.86,54.86,2,1
1625132700,54.87,54.87,54.85,54.85,54.866,8,6
1625133000,54.7,54.7,54.65,54.65,54.662,10,8
1625133300,54.66,54.66,54.66,54.66,54.66,1,1
1625133600,54.65,54.65,54.65,54.65,54.65,2,1
1625133900,54.65,54.65,54.65,54.65,54.65,0,0
1625134200,54.65,54.65,54.65,54.65,54.65,0,0
1625134500,54.65,54.65,54.65,54.65,54.65,0,0
1625134800,54.28,54.28,54.28,54.28,54.28,2,2
1625135100,54.28,54.28,54.28,54.28,54.28,0,0
1625135400,54.31,54.32,54.31,54.31,54.313,6,5
1625135700,54.32,54.5,54.27,54.5,54.338,27,19
1625136000,54.7,54.71,54.7,54.7,54.701,10,5
1625136300,54.74,54.8,54.74,54.8,54.783,7,4
1625136600,54.8,54.8,54.8,54.8,54.8,0,0
1625136900,55.4,55.5,55.18,55.37,55.397,15,8
1625137200,54.81,54.83,54.8,54.81,54.802,43,12
1625137500,54.81,54.81,54.81,54.81,54.81,0,0
1625137800,54.81,54.81,54.81,54.81,54.81,0,0
1625138100,55.12,55.21,55.12,55.21,55.169,7,3
1625138400,55.22,55.22,55.22,55.22,55.22,2,1
1625138700,55.05,55.06,55.05,55.05,55.051,20,5
1625139000,55.05,55.05,55.05,55.05,55.05,0,0
1625139300,54.9,54.91,54.84,54.84,54.89,12,6
1625139600,54.84,54.84,54.84,54.84,54.84,0,0
1625139900,54.84,54.84,54.84,54.84,54.84,0,0
1625140200,55.2,55.2,55.17,55.17,55.192,6,5
1625140500,55.14,55.14,55.14,55.14,55.14,3,3
1625140800,55.01,55.02,54.9,54.9,54.908,13,3
1625141100,54.9,54.9,54.9,54.9,54.9,0,0
1625141400,54.92,54.92,54.81,54.85,54.84,22,8
1625141700,54.85,54.85,54.85,54.85,54.85,0,0
1625142000,54.85,54.85,54.85,54.85,54.85,0,0
1625142300,54.85,54.86,54.85,54.85,54.853,2,1
1625142600,55.18,55.18,54.76,54.76,54.831,29,7
1625142900,54.76,54.87,54.76,54.87,54.804,10,6
1625143200,54.84,54.84,54.79,54.79,54.81,3,3
1625143500,54.79,54.79,54.79,54.79,54.79,0,0
1625143800,54.84,54.84,54.84,54.84,54.84,1,1
1625144100,54.88,55.0,54.88,55.0,54.94,2,2
1625144400,54.98,54.98,54.97,54.97,54.972,9,2
1625144700,54.98,54.98,54.97,54.97,54.973,3,3
1625145000,54.98,55.19,54.98,55.18,55.046,28,12
1625145300,55.19,55.19,55.18,55.18,55.183,11,3
1625145600,55.15,55.15,55.0,55.0,55.072,5,3
1625145900,55.19,55.19,55.0,55.0,55.026,8,6
1625146200,55.13,55.5,54.3,54.32,55.104,838,373
1625146500,54.66,55.05,53.94,54.64,54.358,600,278
1625146800,54.75,54.96,54.36,54.51,54.562,400,244
1625147100,54.65,54.66,53.59,53.99,54.046,644,247
1625147400,53.87,54.0,52.1,52.15,52.947,2003,673
1625147700,52.18,52.57,51.21,52.26,51.971,1419,687
1625148000,52.22,52.54,51.9,52.08,52.156,473,225
1625148300,52.06,52.85,51.96,52.6,52.474,723,356
1625148600,52.53,52.65,52.38,52.51,52.504,251,141
1625148900,52.48,52.58,51.61,51.75,51.932,661,264
1625149200,51.73,52.17,51.64,52.16,51.814,552,259
1625149500,52.09,52.16,51.66,51.98,51.919,353,163
1625149800,51.88,52.16,51.88,52.09,52.0,172,92
1625150100,52.11,52.64,52.1,52.34,52.449,296,132
1625150400,52.35,52.49,52.14,52.39,52.331,225,90
1625150700,52.34,52.89,52.12,52.6,52.635,375,119
1625151000,52.59,52.86,52.5,52.66,52.601,176,95
1625151300,52.74,52.74,52.25,52.34,52.539,139,56
1625151600,52.26,52.74,52.26,52.68,52.629,171,81
1625151900,52.68,52.71,52.39,52.46,52.589,102,42
1625152200,52.41,52.43,51.91,52.14,52.193,223,80
1625152500,52.15,52.26,51.88,51.9,52.045,115,74
1625152800,52.0,52.0,51.43,51.54,51.724,414,153
1625153100,51.6,51.88,51.53,51.63,51.667,173,110
1625153400,51.82,52.11,51.62,52.0,51.984,170,95
1625153700,52.11,52.25,52.01,52.12,52.127,192,84
1625154000,52.21,52.43,52.19,52.43,52.323,220,87
1625154300,52.31,52.5,52.23,52.32,52.377,183,69
1625154600,52.46,52.9,52.46,52.81,52.741,172,105
1625154900,52.8,52.96,52.71,52.84,52.844,106,52
1625155200,52.8,52.8,52.42,52.43,52.626,76,40
1625155500,52.46,52.55,52.31,52.37,52.448,113,84
1625155800,52.39,52.61,52.39,52.6,52.448,315,117
1625156100,52.61,52.61,52.36,52.4,52.468,121,44
1625156400,52.39,52.6,52.27,52.6,52.34,224,69
1625156700,52.6,52.71,52.56,52.61,52.61,45,28
1625157000,52.61,52.74,52.54,52.73,52.638,62,42
1625157300,52.66,52.74,52.39,52.39,52.576,76,49
1625157600,52.48,52.6,52.47,52.57,52.524,54,33
1625157900,52.52,52.63,52.49,52.59,52.557,76,46
1625158200,52.62,52.78,52.4,52.43,52.638,189,79
1625158500,52.43,52.51,52.25,52.25,52.348,34,21
1625158800,52.28,52.32,52.22,52.27,52.267,112,49
1625159100,52.22,52.41,52.1,52.38,52.21,112,58
