date,open,high,low,close,average,volume,count
1629986400,29.69,29.7,29.68,29.7,29.691,48,19
1629986401,29.71,29.72,29.69,29.71,29.71,41,19
1629986402,29.71,29.74,29.71,29.73,29.72,97,25
1629986403,29.73,29.73,29.72,29.72,29.729,8,3
1629986404,29.72,29.72,29.72,29.72,29.72,17,3
1629986405,29.71,29.71,29.66,29.66,29.691,21,19
1629986406,29.66,29.66,29.66,29.66,29.66,0,0
1629986407,29.65,29.66,29.64,29.64,29.652,37,14
1629986408,29.64,29.64,29.64,29.64,29.64,0,0
1629986409,29.64,29.64,29.64,29.64,29.64,0,0
1629986410,29.64,29.64,29.64,29.64,29.64,0,0
1629986411,29.64,29.64,29.63,29.63,29.632,5,5
1629986412,29.62,29.62,29.62,29.62,29.62,1,1
1629986413,29.61,29.62,29.6,29.6,29.615,55,8
1629986414,29.6,29.6,29.59,29.6,29.595,1,1
1629986415,29.6,29.6,29.6,29.6,29.6,4,4
1629986416,29.6,29.6,29.6,29.6,29.6,0,0
1629986417,29.61,29.61,29.6,29.61,29.607,20,8
1629986418,29.62,29.64,29.62,29.64,29.632,4,3
1629986419,29.64,29.64,29.63,29.64,29.64,0,0
1629986420,29.62,29.63,29.62,29.62,29.622,6,4
1629986421,29.62,29.63,29.62,29.62,29.62,0,0
1629986422,29.63,29.64,29.63,29.64,29.632,3,2
1629986423,29.64,29.64,29.63,29.64,29.64,0,0
1629986424,29.64,29.64,29.63,29.64,29.64,0,0
1629986425,29.63,29.63,29.63,29.63,29.63,4,2
1629986426,29.63,29.63,29.63,29.63,29.63,1,1
1629986427,29.63,29.64,29.63,29.64,29.638,8,7
1629986428,29.65,29.65,29.65,29.65,29.65,26,13
1629986429,29.65,29.66,29.64,29.64,29.644,8,6
1629986430,29.64,29.64,29.64,29.64,29.64,0,0
1629986431,29.64,29.64,29.64,29.64,29.64,0,0
1629986432,29.64,29.64,29.64,29.64,29.64,1,1
1629986433,29.63,29.63,29.6,29.61,29.613,9,9
1629986434,29.61,29.61,29.59,29.59,29.591,11,2
1629986435,29.59,29.6,29.59,29.59,29.59,0,0
1629986436,29.62,29.62,29.61,29.62,29.62,33,2
1629986437,29.62,29.62,29.61,29.62,29.62,0,0
1629986438,29.62,29.62,29.62,29.62,29.62,15,1
1629986439,29.61,29.61,29.6,29.61,29.605,1,1
1629986440,29.59,29.61,29.58,29.59,29.591,13,12
1629986441,29.59,29.59,29.58,29.59,29.59,0,0
1629986442,29.61,29.61,29.6,29.61,29.605,1,1
1629986443,29.61,29.61,29.6,29.61,29.61,0,0
1629986444,29.6,29.61,29.6,29.6,29.6,62,2
1629986445,29.6,29.61,29.6,29.6,29.6,0,0
1629986446,29.6,29.6,29.6,29.6,29.6,2,1
1629986447,29.6,29.6,29.6,29.6,29.6,1,1
1629986448,29.59,29.59,29.59,29.59,29.59,8,6
1629986449,29.59,29.6,29.59,29.6,29.596,4,2
1629986450,29.6,29.6,29.59,29.6,29.595,1,1
1629986451,29.6,29.6,29.59,29.6,29.6,0,0
1629986452,29.59,29.6,29.59,29.6,29.593,2,2
1629986453,29.59,29.6,29.59,29.6,29.594,5,3
1629986454,29.6,29.6,29.59,29.6,29.598,24,18
1629986455,29.6,29.6,29.6,29.6,29.6,18,12
1629986456,29.6,29.6,29.6,29.6,29.6,0,0
1629986457,29.61,29.61,29.6,29.61,29.605,1,1
1629986458,29.61,29.61,29.61,29.61,29.61,2,2
1629986459,29.62,29.64,29.61,29.64,29.636,22,4
1629986460,29.61,29.64,29.61,29.64,29.619,14,3
1629986461,29.63,29.63,29.62,29.63,29.625,4,1
1629986462,29.63,29.63,29.62,29.63,29.63,0,0
1629986463,29.63,29.63,29.62,29.62,29.621,20,2
1629986464,29.63,29.63,29.63,29.63,29.63,5,5
1629986465,29.63,29.63,29.63,29.63,29.63,0,0
1629986466,29.64,29.64,29.63,29.64,29.639,4,1
1629986467,29.63,29.63,29.63,29.63,29.63,6,1
1629986468,29.63,29.65,29.63,29.65,29.642,10,9
1629986469,29.65,29.65,29.65,29.65,29.65,0,0
1629986470,29.66,29.66,29.65,29.66,29.66,1,1
1629986471,29.66,29.66,29.65,29.66,29.657,5,1
1629986472,29.66,29.66,29.64,29.64,29.648,2,2
1629986473,29.64,29.65,29.64,29.64,29.64,0,0
1629986474,29.64,29.65,29.64,29.64,29.64,0,0
1629986475,29.64,29.65,29.64,29.64,29.64,0,0
1629986476,29.65,29.65,29.64,29.65,29.65,8,4
1629986477,29.65,29.65,29.64,29.65,29.65,0,0
1629986478,29.64,29.65,29.64,29.65,29.645,11,3
1629986479,29.65,29.65,29.65,29.65,29.65,0,0
1629986480,29.65,29.65,29.65,29.65,29.65,0,0
1629986481,29.65,29.65,29.65,29.65,29.65,0,0
1629986482,29.66,29.66,29.65,29.66,29.66,1,1
1629986483,29.66,29.66,29.66,29.66,29.66,5,5
1629986484,29.66,29.66,29.66,29.66,29.66,0,0
1629986485,29.67,29.67,29.66,29.67,29.669,1,1
1629986486,29.67,29.67,29.66,29.67,29.67,0,0
1629986487,29.65,29.66,29.65,29.66,29.652,16,14
1629986488,29.66,29.66,29.65,29.66,29.66,0,0
1629986489,29.65,29.65,29.63,29.64,29.643,18,17
1629986490,29.64,29.64,29.64,29.64,29.64,0,0
1629986491,29.64,29.64,29.63,29.64,29.635,18,3
1629986492,29.62,29.63,29.62,29.62,29.623,4,4
1629986493,29.62,29.62,29.62,29.62,29.62,1,1
1629986494,29.62,29.62,29.62,29.62,29.62,3,3
1629986495,29.62,29.62,29.61,29.62,29.616,10,8
1629986496,29.62,29.63,29.62,29.63,29.623,2,2
1629986497,29.63,29.63,29.62,29.63,29.63,0,0
1629986498,29.63,29.64,29.63,29.64,29.631,17,15
1629986499,29.64,29.64,29.64,29.64,29.64,5,5
1629986500,29.64,29.64,29.64,29.64,29.64,1,1
1629986501,29.64,29.64,29.64,29.64,29.64,0,0
1629986502,29.65,29.65,29.65,29.65,29.65,5,1
1629986503,29.65,29.65,29.65,29.65,29.65,0,0
1629986504,29.65,29.65,29.65,29.65,29.65,0,0
1629986505,29.65,29.65,29.65,29.65,29.65,0,0
1629986506,29.66,29.66,29.66,29.66,29.66,1,1
1629986507,29.67,29.67,29.66,29.67,29.67,4,1
1629986508,29.67,29.67,29.67,29.67,29.67,3,3
1629986509,29.68,29.7,29.68,29.7,29.688,3,2
1629986510,29.69,29.69,29.69,29.69,29.69,3,1
1629986511,29.7,29.7,29.7,29.7,29.7,1,1
1629986512,29.7,29.71,29.7,29.71,29.704,13,5
1629986513,29.71,29.71,29.7,29.71,29.707,10,5
1629986514,29.71,29.71,29.7,29.7,29.703,6,4
1629986515,29.71,29.71,29.71,29.71,29.71,3,3
1629986516,29.71,29.71,29.71,29.71,29.71,0,0
1629986517,29.72,29.72,29.71,29.72,29.719,78,12
1629986518,29.71,29.72,29.71,29.71,29.717,17,8
1629986519,29.73,29.73,29.72,29.73,29.725,10,1
1629986520,29.72,29.73,29.72,29.72,29.72,1,1
1629986521,29.73,29.74,29.73,29.74,29.735,15,9
1629986522,29.74,29.75,29.73,29.73,29.734,21,3
1629986523,29.73,29.74,29.73,29.73,29.73,0,0
1629986524,29.75,29.75,29.74,29.75,29.749,42,4
1629986525,29.75,29.75,29.74,29.75,29.75,0,0
1629986526,29.74,29.75,29.74,29.75,29.744,10,5
1629986527,29.74,29.76,29.74,29.75,29.744,36,11
1629986528,29.75,29.76,29.75,29.75,29.75,0,0
1629986529,29.75,29.76,29.75,29.75,29.75,0,0
1629986530,29.76,29.76,29.76,29.76,29.76,6,2
1629986531,29.76,29.76,29.75,29.76,29.755,2,2
1629986532,29.76,29.76,29.75,29.75,29.752,14,4
1629986533,29.76,29.76,29.75,29.76,29.752,99,33
1629986534,29.76,29.76,29.75,29.76,29.757,2,2
1629986535,29.75,29.75,29.72,29.75,29.743,18,13
1629986536,29.75,29.75,29.75,29.75,29.75,0,0
1629986537,29.71,29.72,29.71,29.71,29.71,10,1
1629986538,29.71,29.72,29.71,29.71,29.71,0,0
1629986539,29.73,29.73,29.71,29.71,29.716,22,3
1629986540,29.72,29.72,29.69,29.69,29.704,18,13
1629986541,29.69,29.69,29.69,29.69,29.69,2,1
1629986542,29.69,29.69,29.68,29.69,29.688,21,2
1629986543,29.7,29.7,29.69,29.69,29.695,20,2
1629986544,29.7,29.7,29.7,29.7,29.7,12,9
1629986545,29.7,29.7,29.7,29.7,29.7,0,0
1629986546,29.71,29.71,29.7,29.71,29.71,2,1
1629986547,29.71,29.71,29.7,29.71,29.71,0,0
1629986548,29.71,29.71,29.7,29.71,29.71,0,0
1629986549,29.69,29.7,29.68,29.69,29.691,11,7
1629986550,29.67,29.67,29.67,29.67,29.67,2,2
1629986551,29.66,29.66,29.65,29.65,29.657,4,4
1629986552,29.65,29.66,29.65,29.66,29.659,6,6
1629986553,29.66,29.66,29.66,29.66,29.66,0,0
1629986554,29.67,29.67,29.66,29.67,29.666,6,1
1629986555,29.67,29.67,29.66,29.67,29.67,0,0
1629986556,29.67,29.67,29.66,29.67,29.67,0,0
1629986557,29.67,29.67,29.66,29.67,29.67,0,0
1629986558,29.66,29.67,29.66,29.67,29.667,3,2
1629986559,29.66,29.67,29.66,29.66,29.66,7,1
1629986560,29.66,29.7,29.66,29.7,29.675,21,18
1629986561,29.7,29.7,29.7,29.7,29.7,0,0
1629986562,29.7,29.7,29.7,29.7,29.7,0,0
1629986563,29.7,29.71,29.69,29.69,29.697,9,4
1629986564,29.68,29.69,29.68,29.68,29.681,1,1
1629986565,29.68,29.69,29.68,29.68,29.68,0,0
1629986566,29.68,29.69,29.68,29.68,29.68,0,0
1629986567,29.69,29.7,29.69,29.7,29.7,41,3
1629986568,29.69,29.71,29.69,29.71,29.708,44,8
1629986569,29.71,29.71,29.7,29.71,29.706,15,13
1629986570,29.71,29.71,29.7,29.71,29.705,7,2
1629986571,29.71,29.71,29.7,29.71,29.705,1,1
1629986572,29.71,29.71,29.69,29.7,29.699,13,12
1629986573,29.69,29.69,29.68,29.69,29.685,1,1
1629986574,29.69,29.69,29.68,29.69,29.688,3,3
1629986575,29.69,29.69,29.69,29.69,29.69,1,1
1629986576,29.69,29.69,29.69,29.69,29.69,0,0
1629986577,29.68,29.69,29.68,29.69,29.683,2,2
1629986578,29.68,29.68,29.67,29.68,29.675,1,1
1629986579,29.68,29.68,29.67,29.68,29.68,0,0
1629986580,29.68,29.7,29.68,29.7,29.684,10,8
1629986581,29.7,29.71,29.69,29.71,29.703,23,17
1629986582,29.71,29.71,29.7,29.71,29.706,20,3
1629986583,29.71,29.71,29.7,29.71,29.705,2,2
1629986584,29.7,29.7,29.69,29.69,29.696,11,10
1629986585,29.68,29.69,29.68,29.69,29.688,4,2
1629986586,29.7,29.7,29.69,29.7,29.7,35,2
1629986587,29.7,29.7,29.69,29.7,29.7,0,0
1629986588,29.69,29.69,29.68,29.69,29.688,11,2
1629986589,29.68,29.68,29.67,29.67,29.678,8,8
1629986590,29.66,29.66,29.65,29.66,29.659,5,1
1629986591,29.66,29.66,29.65,29.66,29.66,0,0
1629986592,29.66,29.67,29.66,29.66,29.662,1,1
1629986593,29.67,29.67,29.66,29.67,29.665,4,1
1629986594,29.68,29.68,29.67,29.68,29.68,1,1
1629986595,29.67,29.68,29.66,29.67,29.671,6,2
1629986596,29.67,29.68,29.67,29.67,29.67,0,0
1629986597,29.67,29.68,29.67,29.67,29.67,0,0
1629986598,29.67,29.67,29.66,29.67,29.665,1,1
1629986599,29.67,29.67,29.66,29.67,29.67,0,0
1629986600,29.67,29.67,29.66,29.67,29.67,0,0
1629986601,29.67,29.67,29.66,29.67,29.67,0,0
1629986602,29.67,29.67,29.66,29.67,29.67,0,0
1629986603,29.65,29.65,29.65,29.65,29.65,8,6
1629986604,29.65,29.66,29.65,29.65,29.655,51,2
1629986605,29.66,29.66,29.65,29.66,29.66,6,6
1629986606,29.66,29.66,29.66,29.66,29.66,2,2
1629986607,29.66,29.66,29.66,29.66,29.66,0,0
1629986608,29.65,29.66,29.65,29.66,29.653,6,6
1629986609,29.65,29.65,29.65,29.65,29.65,23,8
1629986610,29.66,29.66,29.65,29.65,29.655,3,2
1629986611,29.65,29.65,29.65,29.65,29.65,0,0
1629986612,29.65,29.65,29.65,29.65,29.65,0,0
1629986613,29.65,29.66,29.61,29.62,29.638,75,40
1629986614,29.62,29.62,29.6,29.6,29.601,17,10
1629986615,29.62,29.62,29.62,29.62,29.62,3,1
1629986616,29.62,29.62,29.62,29.62,29.62,0,0
1629986617,29.61,29.64,29.6,29.64,29.613,12,2
1629986618,29.62,29.63,29.61,29.63,29.62,9,8
1629986619,29.63,29.63,29.62,29.63,29.63,0,0
1629986620,29.62,29.64,29.62,29.64,29.639,34,28
1629986621,29.65,29.65,29.64,29.65,29.65,2,1
1629986622,29.65,29.67,29.65,29.67,29.659,31,22
1629986623,29.67,29.7,29.66,29.7,29.69,19,10
1629986624,29.7,29.72,29.7,29.72,29.707,99,37
1629986625,29.73,29.73,29.72,29.73,29.73,3,3
1629986626,29.73,29.73,29.72,29.73,29.73,0,0
1629986627,29.72,29.72,29.71,29.72,29.72,5,1
1629986628,29.72,29.72,29.71,29.72,29.72,0,0
1629986629,29.69,29.69,29.68,29.68,29.689,9,5
1629986630,29.7,29.74,29.69,29.73,29.73,104,35
1629986631,29.73,29.73,29.72,29.73,29.73,0,0
1629986632,29.71,29.71,29.7,29.71,29.702,21,4
1629986633,29.73,29.79,29.72,29.79,29.778,323,67
1629986634,29.78,29.79,29.78,29.78,29.78,25,3
1629986635,29.79,29.79,29.78,29.78,29.781,6,4
1629986636,29.79,29.79,29.78,29.78,29.786,35,26
1629986637,29.79,29.79,29.78,29.79,29.787,2,2
1629986638,29.79,29.79,29.78,29.79,29.79,0,0
1629986639,29.79,29.79,29.78,29.79,29.785,3,2
1629986640,29.79,29.81,29.78,29.8,29.793,189,57
1629986641,29.81,29.82,29.81,29.82,29.819,14,9
1629986642,29.82,29.82,29.8,29.82,29.818,13,4
1629986643,29.8,29.81,29.8,29.8,29.805,8,1
1629986644,29.8,29.81,29.8,29.8,29.8,0,0
1629986645,29.8,29.81,29.8,29.8,29.805,2,1
1629986646,29.8,29.81,29.8,29.8,29.8,0,0
1629986647,29.8,29.81,29.8,29.8,29.8,0,0
1629986648,29.82,29.82,29.8,29.8,29.815,16,11
1629986649,29.8,29.81,29.8,29.8,29.8,36,2
1629986650,29.8,29.81,29.79,29.79,29.798,18,13
1629986651,29.8,29.8,29.8,29.8,29.8,2,1
1629986652,29.78,29.78,29.77,29.77,29.775,11,10
1629986653,29.74,29.76,29.74,29.74,29.757,19,6
1629986654,29.77,29.77,29.74,29.76,29.758,4,3
1629986655,29.76,29.76,29.75,29.76,29.755,1,1
1629986656,29.77,29.77,29.75,29.76,29.758,7,2
1629986657,29.76,29.77,29.76,29.76,29.762,1,1
1629986658,29.76,29.77,29.76,29.76,29.76,0,0
1629986659,29.74,29.74,29.74,29.74,29.74,3,1
1629986660,29.75,29.76,29.74,29.76,29.758,10,10
1629986661,29.77,29.79,29.77,29.79,29.778,16,14
1629986662,29.79,29.79,29.79,29.79,29.79,0,0
1629986663,29.8,29.8,29.79,29.8,29.795,3,2
1629986664,29.8,29.8,29.79,29.8,29.8,0,0
1629986665,29.8,29.8,29.79,29.8,29.8,0,0
1629986666,29.81,29.81,29.8,29.81,29.81,10,2
1629986667,29.8,29.8,29.79,29.8,29.795,4,2
1629986668,29.8,29.81,29.78,29.8,29.8,37,9
1629986669,29.8,29.81,29.79,29.8,29.804,8,8
1629986670,29.8,29.81,29.78,29.79,29.797,19,14
1629986671,29.79,29.8,29.78,29.8,29.786,17,11
1629986672,29.79,29.8,29.78,29.78,29.796,44,8
1629986673,29.79,29.79,29.77,29.77,29.778,11,8
1629986674,29.77,29.77,29.77,29.77,29.77,0,0
1629986675,29.77,29.77,29.77,29.77,29.77,0,0
