date,open,high,low,close,average,volume,count
1625732100,5.8,5.9,5.8,5.9,5.85,4,2
1625732400,5.8,5.8,5.8,5.8,5.8,7,1
1625732700,5.8,5.8,5.8,5.8,5.8,0,0
1625733000,5.8,5.8,5.8,5.8,5.8,0,0
1625733300,5.79,5.79,5.79,5.79,5.79,1,1
1625733600,5.79,5.79,5.79,5.79,5.79,0,0
1625733900,5.79,5.79,5.79,5.79,5.79,0,0
1625734200,5.79,5.79,5.79,5.79,5.79,0,0
1625734500,5.75,5.75,5.75,5.75,5.75,1,1
1625734800,5.66,5.67,5.65,5.65,5.658,7,5
1625735100,5.65,5.65,5.65,5.65,5.65,0,0
1625735400,5.65,5.65,5.65,5.65,5.65,1,1
1625735700,5.65,5.65,5.65,5.65,5.65,0,0
1625736000,5.65,5.65,5.65,5.65,5.65,0,0
1625736300,5.65,5.65,5.65,5.65,5.65,0,0
1625736600,5.65,5.65,5.65,5.65,5.65,0,0
1625736900,5.65,5.65,5.65,5.65,5.65,0,0
1625737200,5.65,5.65,5.65,5.65,5.65,0,0
1625737500,5.74,5.74,5.74,5.74,5.74,2,1
1625737800,5.74,5.74,5.74,5.74,5.74,0,0
1625738100,5.74,5.74,5.74,5.74,5.74,0,0
1625738400,5.71,5.71,5.7,5.7,5.704,2,2
1625738700,5.7,5.7,5.7,5.7,5.7,3,1
1625739000,5.7,5.7,5.7,5.7,5.7,8,2
1625739300,5.7,5.7,5.7,5.7,5.7,0,0
1625739600,5.7,5.7,5.7,5.7,5.7,0,0
1625739900,5.7,5.7,5.7,5.7,5.7,0,0
1625740200,5.7,5.7,5.7,5.7,5.7,0,0
1625740500,5.7,5.7,5.7,5.7,5.7,0,0
1625740800,5.7,5.7,5.7,5.7,5.7,0,0
1625741100,5.7,5.7,5.7,5.7,5.7,0,0
1625741400,5.7,5.7,5.7,5.7,5.7,0,0
1625741700,5.7,5.7,5.7,5.7,5.7,0,0
1625742000,5.73,5.73,5.71,5.73,5.723,3,3
1625742300,5.73,5.73,5.73,5.73,5.73,1,1
1625742600,5.73,5.73,5.73,5.73,5.73,0,0
1625742900,5.73,5.73,5.73,5.73,5.73,0,0
1625743200,5.73,5.73,5.73,5.73,5.73,0,0
1625743500,5.73,5.73,5.73,5.73,5.73,2,2
1625743800,5.73,5.73,5.73,5.73,5.73,0,0
1625744100,5.84,6.02,5.84,6.02,5.915,37,10
1625744400,6.27,6.27,6.27,6.27,6.27,1,1
1625744700,6.09,6.22,6.04,6.19,6.143,76,20
1625745000,6.15,6.26,6.15,6.16,6.16,26,8
1625745300,6.14,6.5,6.14,6.5,6.386,90,30
1625745600,6.5,6.59,5.72,6.59,6.487,181,44
1625745900,6.58,7.87,6.58,7.87,7.236,1132,341
1625746200,7.86,7.86,6.85,6.92,7.253,837,286
1625746500,6.91,7.15,6.88,6.9,6.986,702,185
1625746800,6.9,6.97,6.02,6.02,6.527,452,115
1625747100,6.05,6.48,4.56,4.98,5.27,4594,1093
1625747400,5.02,5.33,4.99,5.22,5.133,629,244
1625747700,5.26,5.39,5.15,5.25,5.258,487,144
1625748000,5.29,5.29,5.03,5.19,5.179,252,52
1625748300,5.14,5.19,5.0,5.1,5.072,190,59
1625748600,5.12,5.12,5.03,5.08,5.09,82,24
1625748900,5.12,5.19,5.1,5.19,5.144,99,27
1625749200,5.21,5.22,5.15,5.17,5.181,119,22
1625749500,5.16,5.2,5.15,5.15,5.164,46,12
1625749800,5.18,5.2,5.1,5.15,5.145,56,17
1625750100,5.13,5.17,5.05,5.09,5.098,84,21
1625750400,5.09,5.09,5.01,5.03,5.063,77,23
1625750700,5.1,5.1,5.04,5.04,5.067,11,4
1625751000,5.05,5.27,4.95,5.06,5.046,2200,311
1625751300,5.02,5.09,4.93,5.0,5.018,501,130
1625751600,5.0,5.08,4.97,5.05,5.02,518,87
1625751900,5.11,5.2,5.1,5.2,5.153,424,124
1625752200,5.19,5.39,5.17,5.32,5.275,541,199
