date,open,high,low,close,average,volume,count
1626854475,55.83,55.83,55.83,55.83,55.83,5,2
1626854480,55.83,55.83,55.83,55.83,55.83,0,0
1626854485,55.83,55.83,55.83,55.83,55.83,0,0
1626854490,55.83,55.83,55.83,55.83,55.83,0,0
1626854495,55.83,55.83,55.83,55.83,55.83,0,0
1626854500,55.83,55.83,55.83,55.83,55.83,0,0
1626854505,55.83,55.83,55.83,55.83,55.83,0,0
1626854510,55.83,55.83,55.83,55.83,55.83,0,0
1626854515,55.83,55.83,55.83,55.83,55.83,0,0
1626854520,55.83,55.83,55.83,55.83,55.83,0,0
1626854525,55.83,55.83,55.83,55.83,55.83,0,0
1626854530,55.83,55.83,55.83,55.83,55.83,0,0
1626854535,55.83,55.83,55.83,55.83,55.83,0,0
1626854540,55.83,55.83,55.83,55.83,55.83,0,0
1626854545,55.83,55.83,55.83,55.83,55.83,0,0
1626854550,55.83,55.83,55.83,55.83,55.83,0,0
1626854555,55.83,55.83,55.83,55.83,55.83,0,0
1626854560,55.83,55.83,55.83,55.83,55.83,0,0
1626854565,55.83,55.83,55.83,55.83,55.83,0,0
1626854570,55.83,55.83,55.83,55.83,55.83,0,0
1626854575,55.83,55.83,55.83,55.83,55.83,0,0
1626854580,55.83,55.83,55.83,55.83,55.83,0,0
1626854585,56.44,56.44,56.44,56.44,56.44,1,1
1626854590,56.44,56.44,56.44,56.44,56.44,0,0
1626854595,56.44,56.44,56.44,56.44,56.44,0,0
1626854600,56.44,56.44,56.44,56.44,56.44,0,0
1626854605,56.44,56.44,56.44,56.44,56.44,0,0
1626854610,56.44,56.44,56.44,56.44,56.44,0,0
1626854615,56.44,56.44,56.44,56.44,56.44,0,0
1626854620,56.44,56.44,56.44,56.44,56.44,0,0
1626854625,56.44,56.44,56.44,56.44,56.44,0,0
1626854630,56.44,56.44,56.44,56.44,56.44,0,0
1626854635,56.44,56.44,56.44,56.44,56.44,0,0
1626854640,56.44,56.44,56.44,56.44,56.44,0,0
1626854645,56.4,56.4,56.4,56.4,56.4,1,1
1626854650,56.4,56.4,56.4,56.4,56.4,0,0
1626854655,56.4,56.4,56.4,56.4,56.4,0,0
1626854660,56.4,56.4,56.4,56.4,56.4,0,0
1626854665,56.4,56.4,56.4,56.4,56.4,0,0
1626854670,56.4,56.4,56.4,56.4,56.4,0,0
1626854675,56.4,56.4,56.4,56.4,56.4,0,0
1626854680,56.4,56.4,56.4,56.4,56.4,0,0
1626854685,56.4,56.4,56.4,56.4,56.4,0,0
1626854690,56.4,56.4,56.4,56.4,56.4,0,0
1626854695,56.4,56.4,56.4,56.4,56.4,0,0
1626854700,56.4,56.4,56.4,56.4,56.4,0,0
1626854705,56.4,56.4,56.4,56.4,56.4,0,0
1626854710,56.4,56.4,56.4,56.4,56.4,0,0
1626854715,56.4,56.4,56.4,56.4,56.4,0,0
1626854720,56.4,56.4,56.4,56.4,56.4,0,0
1626854725,56.4,56.4,56.4,56.4,56.4,0,0
1626854730,56.4,56.4,56.4,56.4,56.4,0,0
1626854735,56.4,56.4,56.4,56.4,56.4,0,0
1626854740,56.4,56.4,56.4,56.4,56.4,0,0
1626854745,56.4,56.4,56.4,56.4,56.4,0,0
1626854750,56.4,56.4,56.4,56.4,56.4,0,0
1626854755,56.4,56.4,56.4,56.4,56.4,0,0
1626854760,56.4,56.4,56.4,56.4,56.4,0,0
1626854765,56.4,56.4,56.4,56.4,56.4,0,0
1626854770,56.4,56.4,56.4,56.4,56.4,0,0
1626854775,56.4,56.4,56.4,56.4,56.4,0,0
1626854780,56.4,56.4,56.4,56.4,56.4,0,0
1626854785,56.4,56.4,56.4,56.4,56.4,0,0
1626854790,56.4,56.4,56.4,56.4,56.4,0,0
1626854795,56.4,56.4,56.4,56.4,56.4,0,0
1626854800,56.4,56.4,56.4,56.4,56.4,0,0
1626854805,56.4,56.4,56.4,56.4,56.4,0,0
1626854810,56.4,56.4,56.4,56.4,56.4,0,0
1626854815,56.4,56.4,56.4,56.4,56.4,0,0
1626854820,56.4,56.4,56.4,56.4,56.4,0,0
1626854825,56.4,56.4,56.4,56.4,56.4,0,0
1626854830,56.4,56.4,56.4,56.4,56.4,0,0
1626854835,56.4,56.4,56.4,56.4,56.4,0,0
