date,open,high,low,close,average,volume,count
1654243985,43.2,43.2,43.2,43.2,43.2,1,1
1654243990,43.2,43.2,43.2,43.2,43.2,0,0
1654243995,43.2,43.2,43.2,43.2,43.2,0,0
1654244000,43.2,43.2,43.2,43.2,43.2,0,0
1654244005,43.2,43.2,43.2,43.2,43.2,0,0
1654244010,43.2,43.2,43.2,43.2,43.2,0,0
1654244015,43.2,43.2,43.2,43.2,43.2,0,0
1654244020,43.2,43.2,43.2,43.2,43.2,0,0
1654244025,43.2,43.2,43.2,43.2,43.2,0,0
1654244030,43.2,43.2,43.2,43.2,43.2,0,0
1654244035,43.2,43.2,43.2,43.2,43.2,0,0
1654244040,43.2,43.2,43.2,43.2,43.2,0,0
1654244045,43.2,43.2,43.2,43.2,43.2,0,0
1654244050,43.2,43.2,43.2,43.2,43.2,0,0
1654244055,43.2,43.2,43.2,43.2,43.2,0,0
1654244060,43.2,43.2,43.2,43.2,43.2,0,0
1654244065,43.2,43.2,43.2,43.2,43.2,0,0
1654244070,43.2,43.2,43.2,43.2,43.2,0,0
1654244075,43.2,43.2,43.2,43.2,43.2,0,0
1654244080,43.2,43.2,43.2,43.2,43.2,0,0
1654244085,43.2,43.2,43.2,43.2,43.2,0,0
1654244090,43.2,43.2,43.2,43.2,43.2,0,0
1654244095,43.2,43.2,43.2,43.2,43.2,0,0
1654244100,43.2,43.2,43.2,43.2,43.2,0,0
1654244105,43.2,43.2,43.2,43.2,43.2,0,0
1654244110,43.2,43.2,43.2,43.2,43.2,0,0
1654244115,43.2,43.2,43.2,43.2,43.2,0,0
1654244120,43.2,43.2,43.2,43.2,43.2,0,0
1654244125,43.2,43.2,43.2,43.2,43.2,0,0
1654244130,43.2,43.2,43.2,43.2,43.2,0,0
1654244135,43.2,43.2,43.2,43.2,43.2,0,0
1654244140,43.2,43.2,43.2,43.2,43.2,0,0
1654244145,43.2,43.2,43.2,43.2,43.2,0,0
1654244150,43.2,43.2,43.2,43.2,43.2,0,0
1654244155,43.2,43.2,43.2,43.2,43.2,0,0
1654244160,43.2,43.2,43.2,43.2,43.2,0,0
1654244165,43.2,43.2,43.2,43.2,43.2,0,0
1654244170,43.2,43.2,43.2,43.2,43.2,0,0
1654244175,43.2,43.2,43.2,43.2,43.2,0,0
1654244180,43.2,43.2,43.2,43.2,43.2,0,0
1654244185,43.2,43.2,43.2,43.2,43.2,0,0
1654244190,43.2,43.2,43.2,43.2,43.2,0,0
1654244195,43.2,43.2,43.2,43.2,43.2,0,0
