date,open,high,low,close,average,volume,count
1654608600,45.31,45.37,45.3,45.31,45.325,7,7
1654608601,45.31,45.36,45.3,45.3,45.314,35,31
1654608602,45.3,45.33,45.25,45.3,45.298,65,51
1654608603,45.29,45.3,45.23,45.23,45.274,7,7
1654608604,45.26,45.3,45.18,45.18,45.294,74,13
1654608605,45.28,45.32,45.26,45.32,45.275,10,8
1654608606,45.19,45.25,45.06,45.13,45.198,1794,43
1654608607,45.1,45.14,45.03,45.03,45.08,26,18
1654608608,45.02,45.06,45.0,45.0,45.006,66,37
1654608609,45.0,45.04,45.0,45.0,45.015,25,15
1654608610,45.04,45.04,45.01,45.01,45.026,2,2
1654608611,45.03,45.03,44.88,44.9,44.988,28,23
1654608612,44.89,44.89,44.79,44.84,44.85,377,32
1654608613,44.67,45.14,44.67,44.88,44.94,119,56
1654608614,44.87,44.91,44.71,44.84,44.836,31,17
1654608615,44.89,44.89,44.76,44.82,44.814,22,13
1654608616,44.85,44.87,44.76,44.87,44.842,14,13
1654608617,44.82,44.92,44.82,44.9,44.892,5,3
1654608618,44.81,44.94,44.8,44.94,44.919,128,21
1654608619,44.93,44.99,44.9,44.92,44.935,48,21
1654608620,44.91,44.99,44.9,44.99,44.928,35,9
1654608621,44.94,44.99,44.94,44.99,44.957,11,7
1654608622,44.99,44.99,44.9,44.9,44.959,16,3
1654608623,44.94,44.95,44.94,44.94,44.942,2,1
1654608624,44.92,45.04,44.91,44.93,44.969,27,17
1654608625,44.91,45.1,44.91,45.03,45.013,25,18
1654608626,45.04,45.04,44.91,45.04,44.967,35,8
1654608627,44.95,45.2,44.94,45.19,45.125,15,4
1654608628,45.08,45.08,44.99,44.99,45.014,25,11
1654608629,45.05,45.06,44.94,44.94,44.987,57,13
1654608630,44.92,45.35,44.92,45.17,45.171,141,70
1654608631,45.28,45.32,45.16,45.16,45.242,3,3
1654608632,45.16,45.29,45.08,45.18,45.183,32,5
1654608633,45.16,45.34,45.16,45.21,45.228,22,7
1654608634,45.21,45.35,45.21,45.35,45.316,15,9
1654608635,45.39,45.39,45.39,45.39,45.39,1,1
1654608636,45.32,45.38,45.32,45.33,45.354,40,4
1654608637,45.27,45.36,45.27,45.35,45.32,12,2
1654608638,45.33,45.35,45.26,45.29,45.303,18,9
1654608639,45.31,45.32,45.31,45.31,45.314,1,1
1654608640,45.3,45.3,45.29,45.3,45.295,3,1
1654608641,45.19,45.34,45.19,45.29,45.245,12,5
1654608642,45.2,45.2,45.2,45.2,45.2,7,1
1654608643,45.3,45.39,45.3,45.35,45.347,18,4
1654608644,45.32,45.32,45.31,45.32,45.315,1,1
1654608645,45.38,45.38,45.25,45.26,45.318,22,10
1654608646,45.32,45.35,45.25,45.25,45.328,28,3
1654608647,45.24,45.35,45.24,45.31,45.298,15,5
1654608648,45.31,45.31,45.31,45.31,45.31,0,0
1654608649,45.39,45.39,45.31,45.39,45.374,5,3
1654608650,45.3,45.3,45.3,45.3,45.3,2,1
1654608651,45.27,45.39,45.27,45.39,45.387,145,12
1654608652,45.28,45.28,45.2,45.2,45.251,5,5
1654608653,45.28,45.5,45.28,45.42,45.393,96,50
1654608654,45.33,45.43,45.33,45.43,45.332,105,6
1654608655,45.31,45.41,45.31,45.39,45.391,15,4
