date,open,high,low,close,average,volume,count
1642671860,13.87,13.87,13.87,13.87,13.87,10,2
1642671865,13.87,13.87,13.87,13.87,13.87,0,0
1642671870,13.87,13.87,13.87,13.87,13.87,0,0
1642671875,13.87,13.87,13.87,13.87,13.87,0,0
1642671880,13.87,13.87,13.87,13.87,13.87,0,0
1642671885,13.87,13.87,13.87,13.87,13.87,0,0
1642671890,13.87,13.87,13.87,13.87,13.87,0,0
1642671895,13.87,13.87,13.87,13.87,13.87,0,0
1642671900,13.87,13.87,13.87,13.87,13.87,0,0
1642671905,13.87,13.87,13.87,13.87,13.87,0,0
1642671910,13.87,13.87,13.87,13.87,13.87,0,0
1642671915,13.87,13.87,13.87,13.87,13.87,0,0
1642671920,13.87,13.87,13.87,13.87,13.87,0,0
1642671925,13.87,13.87,13.87,13.87,13.87,0,0
1642671930,13.87,13.87,13.87,13.87,13.87,0,0
1642671935,13.87,13.87,13.87,13.87,13.87,0,0
1642671940,13.87,13.87,13.87,13.87,13.87,0,0
1642671945,13.87,13.87,13.87,13.87,13.87,0,0
1642671950,13.87,13.87,13.87,13.87,13.87,0,0
1642671955,13.87,13.87,13.87,13.87,13.87,0,0
1642671960,13.87,13.87,13.87,13.87,13.87,0,0
1642671965,13.87,13.87,13.87,13.87,13.87,0,0
1642671970,13.87,13.87,13.87,13.87,13.87,0,0
1642671975,13.87,13.87,13.87,13.87,13.87,0,0
1642671980,13.87,13.87,13.87,13.87,13.87,0,0
1642671985,13.87,13.87,13.87,13.87,13.87,0,0
1642671990,13.87,13.87,13.87,13.87,13.87,0,0
1642671995,13.87,13.87,13.87,13.87,13.87,0,0
1642672000,13.87,13.87,13.87,13.87,13.87,0,0
1642672005,13.87,13.87,13.87,13.87,13.87,0,0
1642672010,13.87,13.87,13.87,13.87,13.87,0,0
1642672015,13.87,13.87,13.87,13.87,13.87,0,0
1642672020,13.87,13.87,13.87,13.87,13.87,0,0
1642672025,13.87,13.87,13.87,13.87,13.87,0,0
1642672030,13.87,13.87,13.87,13.87,13.87,0,0
1642672035,13.87,13.87,13.87,13.87,13.87,0,0
1642672040,13.87,13.87,13.87,13.87,13.87,0,0
1642672045,13.87,13.87,13.87,13.87,13.87,0,0
1642672050,13.87,13.87,13.87,13.87,13.87,0,0
1642672055,13.87,13.87,13.87,13.87,13.87,0,0
1642672060,13.87,13.87,13.87,13.87,13.87,0,0
1642672065,13.87,13.87,13.87,13.87,13.87,0,0
1642672070,13.87,13.87,13.87,13.87,13.87,0,0
1642672075,13.87,13.87,13.87,13.87,13.87,0,0
1642672080,13.87,13.87,13.87,13.87,13.87,0,0
1642672085,13.87,13.87,13.87,13.87,13.87,0,0
1642672090,13.87,13.87,13.87,13.87,13.87,0,0
1642672095,13.87,13.87,13.87,13.87,13.87,0,0
1642672100,13.87,13.87,13.87,13.87,13.87,0,0
1642672105,13.87,13.87,13.87,13.87,13.87,0,0
1642672110,13.87,13.87,13.87,13.87,13.87,0,0
1642672115,13.87,13.87,13.87,13.87,13.87,0,0
1642672120,13.87,13.87,13.87,13.87,13.87,0,0
1642672125,13.87,13.87,13.87,13.87,13.87,0,0
1642672130,13.87,13.87,13.87,13.87,13.87,0,0
1642672135,13.87,13.87,13.87,13.87,13.87,0,0
1642672140,13.87,13.87,13.87,13.87,13.87,0,0
1642672145,13.87,13.87,13.87,13.87,13.87,0,0
1642672150,13.87,13.87,13.87,13.87,13.87,0,0
1642672155,13.87,13.87,13.87,13.87,13.87,0,0
1642672160,13.87,13.87,13.87,13.87,13.87,0,0
1642672165,13.87,13.87,13.87,13.87,13.87,0,0
1642672170,13.87,13.87,13.87,13.87,13.87,0,0
1642672175,13.87,13.87,13.87,13.87,13.87,0,0
1642672180,13.87,13.87,13.87,13.87,13.87,0,0
1642672185,13.87,13.87,13.87,13.87,13.87,0,0
1642672190,13.87,13.87,13.87,13.87,13.87,0,0
1642672195,13.87,13.87,13.87,13.87,13.87,0,0
1642672200,13.87,13.87,13.87,13.87,13.87,0,0
1642672205,13.87,13.87,13.87,13.87,13.87,0,0
1642672210,13.87,13.87,13.87,13.87,13.87,0,0
1642672215,13.87,13.87,13.87,13.87,13.87,0,0
1642672220,13.87,13.87,13.87,13.87,13.87,0,0
1642672225,13.87,13.87,13.87,13.87,13.87,0,0
1642672230,13.87,13.87,13.87,13.87,13.87,0,0
1642672235,13.87,13.87,13.87,13.87,13.87,0,0
1642672240,13.87,13.87,13.87,13.87,13.87,0,0
1642672245,13.87,13.87,13.87,13.87,13.87,0,0
1642672250,13.87,13.87,13.87,13.87,13.87,0,0
1642672255,13.87,13.87,13.87,13.87,13.87,0,0
1642672260,13.87,13.87,13.87,13.87,13.87,0,0
1642672265,13.87,13.87,13.87,13.87,13.87,0,0
1642672270,13.87,13.87,13.87,13.87,13.87,0,0
1642672275,13.87,13.87,13.87,13.87,13.87,0,0
1642672280,13.87,13.87,13.87,13.87,13.87,0,0
1642672285,13.87,13.87,13.87,13.87,13.87,0,0
1642672290,13.87,13.87,13.87,13.87,13.87,0,0
1642672295,13.87,13.87,13.87,13.87,13.87,0,0
1642672300,13.87,13.87,13.87,13.87,13.87,0,0
1642672305,13.87,13.87,13.87,13.87,13.87,0,0
1642672310,13.87,13.87,13.87,13.87,13.87,0,0
1642672315,13.87,13.87,13.87,13.87,13.87,0,0
1642672320,13.87,13.87,13.87,13.87,13.87,0,0
1642672325,13.87,13.87,13.87,13.87,13.87,0,0
1642672330,13.87,13.87,13.87,13.87,13.87,0,0
1642672335,13.87,13.87,13.87,13.87,13.87,0,0
1642672340,13.87,13.87,13.87,13.87,13.87,0,0
1642672345,13.87,13.87,13.87,13.87,13.87,0,0
1642672350,13.87,13.87,13.87,13.87,13.87,0,0
1642672355,13.87,13.87,13.87,13.87,13.87,0,0
