date,open,high,low,close,average,volume,count
20210723,17.98,18.06,17.3,17.46,17.535,19772,9713
20210726,17.3,18.1,17.04,17.65,17.666,21642,11012
20210727,17.69,17.9,16.86,17.19,17.152,24518,13095
20210728,17.38,18.6,17.23,18.55,18.171,31345,14097
20210729,18.35,18.88,18.12,18.12,18.54,24512,12279
20210730,18.12,18.82,18.01,18.4,18.494,17751,9015
20210802,18.65,18.88,18.11,18.38,18.397,14470,7222
20210803,18.1,18.39,17.4,17.6,17.657,25702,12399
20210804,17.75,18.42,17.5,17.95,18.046,22350,10002
20210805,18.1,18.39,17.78,18.25,18.181,17339,8765
20210806,18.25,18.64,18.05,18.12,18.231,17027,8306
20210809,18.3,18.8,17.68,18.67,18.425,26652,11642
20210810,18.74,18.98,18.05,18.44,18.398,17257,8058
20210811,18.65,18.66,17.65,18.05,18.083,29390,14029
20210812,18.45,18.55,17.15,17.59,17.598,58486,26500
20210813,17.53,17.78,16.5,17.09,16.954,61363,26953
20210816,17.0,17.58,16.76,17.21,17.16,36905,19771
20210817,17.2,17.2,15.67,16.0,16.16,56415,24550
20210818,16.3,16.45,15.56,15.75,15.931,48401,24885
20210819,15.65,16.07,14.81,15.08,15.148,54414,24955
20210820,15.1,15.88,14.42,15.75,15.295,58819,25979
20210823,15.78,16.8,15.78,16.65,16.484,47715,21805
20210824,16.68,17.44,16.5,17.11,17.174,30217,14390
20210825,16.79,17.45,16.79,17.04,17.209,22574,10667
20210826,17.04,17.62,16.89,16.96,17.186,22980,11263
20210827,17.33,17.48,16.94,17.25,17.262,18834,8526
20210830,17.69,17.7,16.4,16.63,16.678,29169,12575
20210831,16.91,17.67,16.6,17.45,17.296,25207,9710
20210901,17.4,17.66,17.13,17.15,17.407,17945,10063
20210902,17.1,17.77,17.0,17.49,17.479,18820,8630
20210903,17.5,17.6,16.97,17.27,17.208,15165,7065
20210907,17.28,17.75,17.01,17.35,17.405,22032,9603
20210908,17.38,17.5,16.23,16.52,16.533,31870,15850
20210909,16.58,16.95,16.16,16.88,16.724,16270,8444
20210910,16.87,17.03,16.35,16.59,16.652,14620,7622
20210913,16.5,16.8,16.11,16.48,16.522,13768,7450
20210914,16.41,16.79,16.27,16.5,16.539,15518,8030
20210915,16.6,16.75,16.21,16.34,16.341,18204,8648
20210916,16.26,17.13,15.96,16.82,16.617,31568,12621
20210917,16.78,17.09,16.45,17.07,16.942,42443,12716
20210920,16.4,16.8,16.2,16.35,16.495,21138,11263
20210921,16.61,17.4,16.53,16.92,16.96,21927,8909
20210922,17.01,17.23,16.8,16.91,16.99,14154,5550
20210923,17.1,17.58,16.78,17.37,17.3,29363,11951
20210924,17.25,17.3,16.65,16.85,16.871,19452,9003
20210927,16.84,17.91,16.77,17.41,17.549,32039,13722
20210928,17.27,17.58,16.15,16.22,16.493,29482,12370
20210929,16.42,16.55,15.51,15.72,15.801,25315,11128
20210930,15.75,15.89,15.46,15.63,15.69,14696,6588
20211001,15.61,15.92,15.05,15.36,15.354,18401,8800
20211004,15.26,15.36,14.4,14.9,14.701,30109,13954
20211005,15.0,15.25,14.55,15.19,15.022,15989,6575
20211006,14.93,15.26,14.77,14.94,15.009,12691,5197
20211007,15.3,15.48,14.8,15.25,15.22,11870,5300
20211008,15.18,15.32,14.94,14.99,15.091,8142,3579
20211011,14.94,15.33,14.63,15.0,14.998,14057,6583
20211012,14.98,15.81,14.94,15.55,15.507,25038,11299
20211013,15.68,16.45,15.65,16.0,16.114,23040,10753
20211014,16.02,16.28,15.86,15.95,16.022,12296,5028
20211015,16.13,16.2,15.45,15.5,15.703,18180,7686
20211018,15.5,15.65,15.32,15.58,15.491,11170,5098
20211019,15.5,15.95,15.25,15.95,15.586,13572,6082
20211020,15.75,16.21,15.49,16.02,15.948,13975,4964
20211021,15.79,16.59,15.79,16.11,16.294,13621,5982
20211022,16.16,16.33,15.45,15.74,15.699,14394,7270
20211025,15.47,16.48,15.47,16.35,16.142,19241,8285
20211026,16.18,17.69,16.11,16.25,16.844,47990,20393
20211027,16.27,16.74,15.7,15.85,16.128,19810,8725
20211028,15.82,16.66,15.55,16.45,16.323,20584,10219
20211029,16.38,16.79,16.08,16.6,16.477,15258,7120
20211101,16.61,17.48,16.41,17.4,17.212,27932,11399
20211102,17.5,17.68,16.86,17.27,17.186,15502,6611
20211103,17.3,17.82,17.02,17.78,17.483,24108,10544
20211104,17.61,17.9,16.71,16.8,17.009,25071,10945
20211105,16.9,17.77,16.65,16.82,17.093,29718,12276
20211108,16.82,18.06,16.65,17.5,17.672,41300,17868
20211109,17.49,30.0,17.36,20.16,21.956,591581,204579
20211110,20.37,21.6,18.78,19.23,19.466,111868,42386
20211111,19.49,21.21,19.2,19.4,19.915,104621,39215
20211112,20.01,20.16,18.8,19.63,19.422,64146,24322
20211115,19.64,22.2,19.47,21.81,21.399,132281,45103
20211116,21.84,22.21,19.81,20.81,20.482,87558,32939
20211117,20.99,21.15,19.82,19.99,20.368,39779,15553
20211118,20.05,20.68,18.96,19.32,19.554,58332,22195
20211119,18.8,19.95,18.8,19.11,19.361,39236,16289
20211122,19.37,20.2,18.28,18.28,19.255,47622,18069
20211123,18.1,18.75,17.61,17.8,18.052,43663,17921
20211124,18.01,18.2,17.36,18.0,17.914,20290,8721
20211126,17.0,17.81,16.53,17.55,17.454,18975,7956
20211129,17.7,18.0,16.68,16.9,17.008,34088,13115
20211130,17.0,17.0,15.95,16.3,16.357,37297,13314
20211201,16.62,16.92,15.6,15.7,16.02,38459,16560
20211202,15.72,16.17,15.15,15.65,15.561,35811,16958
20211203,16.0,16.0,14.23,14.53,14.57,53475,22173
