date,open,high,low,close,average,volume,count
1635433200,41.34,41.34,41.34,41.34,41.34,2,1
1635433201,41.34,41.34,41.34,41.34,41.34,0,0
1635433202,41.34,41.34,41.34,41.34,41.34,0,0
1635433203,41.34,41.34,41.34,41.34,41.34,0,0
1635433204,41.37,41.37,41.37,41.37,41.37,1,1
1635433205,41.36,41.36,41.36,41.36,41.36,1,1
1635433206,41.38,41.38,41.34,41.34,41.359,2,2
1635433207,41.34,41.34,41.34,41.34,41.34,0,0
1635433208,41.34,41.34,41.34,41.34,41.34,0,0
1635433209,41.4,41.4,41.34,41.34,41.35,22,8
1635433210,41.34,41.34,41.34,41.34,41.34,2,2
1635433211,41.34,41.35,41.34,41.34,41.34,5,1
1635433212,41.34,41.34,41.34,41.34,41.34,2,1
1635433213,41.34,41.34,41.34,41.34,41.34,0,0
1635433214,41.34,41.34,41.34,41.34,41.34,0,0
1635433215,41.36,41.36,41.35,41.36,41.357,1,1
1635433216,41.36,41.36,41.35,41.36,41.36,0,0
1635433217,41.36,41.36,41.35,41.36,41.36,0,0
1635433218,41.38,41.42,41.38,41.41,41.399,19,18
1635433219,41.41,41.41,41.4,41.41,41.41,0,0
1635433220,41.41,41.41,41.4,41.41,41.41,0,0
1635433221,41.34,41.34,41.34,41.34,41.34,7,7
1635433222,41.34,41.34,41.34,41.34,41.34,0,0
1635433223,41.32,41.32,41.31,41.32,41.315,1,1
1635433224,41.32,41.32,41.31,41.32,41.32,0,0
1635433225,41.32,41.32,41.31,41.32,41.32,0,0
1635433226,41.29,41.3,41.29,41.29,41.29,2,2
1635433227,41.31,41.31,41.29,41.29,41.298,8,3
1635433228,41.33,41.33,41.3,41.32,41.318,16,12
1635433229,41.31,41.31,41.31,41.31,41.31,10,1
1635433230,41.31,41.31,41.31,41.31,41.31,0,0
1635433231,41.31,41.31,41.31,41.31,41.31,0,0
1635433232,41.33,41.33,41.32,41.33,41.328,2,2
1635433233,41.34,41.36,41.33,41.36,41.339,8,3
1635433234,41.38,41.41,41.37,41.41,41.394,8,4
1635433235,41.37,41.37,41.26,41.29,41.301,41,15
1635433236,41.29,41.29,41.29,41.29,41.29,0,0
1635433237,41.34,41.34,41.34,41.34,41.34,1,1
1635433238,41.26,41.27,41.26,41.26,41.26,5,1
1635433239,41.34,41.34,41.34,41.34,41.34,2,1
1635433240,41.34,41.34,41.34,41.34,41.34,0,0
1635433241,41.33,41.33,41.33,41.33,41.33,5,1
1635433242,41.33,41.33,41.33,41.33,41.33,0,0
1635433243,41.33,41.33,41.33,41.33,41.33,0,0
1635433244,41.33,41.33,41.33,41.33,41.33,0,0
1635433245,41.35,41.35,41.35,41.35,41.35,3,3
1635433246,41.35,41.35,41.35,41.35,41.35,0,0
1635433247,41.34,41.35,41.34,41.35,41.345,2,2
1635433248,41.35,41.35,41.35,41.35,41.35,0,0
1635433249,41.35,41.35,41.35,41.35,41.35,0,0
1635433250,41.36,41.36,41.34,41.34,41.354,21,2
1635433251,41.37,41.37,41.36,41.37,41.365,3,1
1635433252,41.37,41.37,41.36,41.37,41.37,0,0
1635433253,41.34,41.34,41.34,41.34,41.34,1,1
1635433254,41.34,41.34,41.34,41.34,41.34,0,0
1635433255,41.34,41.34,41.34,41.34,41.34,0,0
