date,open,high,low,close,average,volume,count
1635165300,34.4,34.4,34.0,34.4,34.047,102,25
1635165600,34.4,34.4,34.4,34.4,34.4,0,0
1635165900,34.05,34.13,34.05,34.13,34.078,2,2
1635166200,34.13,34.13,34.13,34.13,34.13,2,2
1635166500,34.11,34.16,34.1,34.1,34.111,23,9
1635166800,34.1,34.1,34.1,34.1,34.1,1,1
1635167100,34.1,34.1,34.1,34.1,34.1,0,0
1635167400,34.1,34.1,34.1,34.1,34.1,0,0
1635167700,34.35,34.35,34.35,34.35,34.35,6,2
1635168000,35.1,35.1,35.1,35.1,35.1,1,1
1635168300,35.1,35.1,35.1,35.1,35.1,0,0
1635168600,34.35,34.97,34.35,34.68,34.512,418,111
1635168900,34.72,35.34,34.71,35.09,35.09,654,195
1635169200,35.13,35.26,34.68,35.18,35.023,217,84
1635169500,35.15,35.49,35.08,35.24,35.299,914,397
1635169800,35.24,35.65,35.17,35.51,35.463,233,134
1635170100,35.52,35.86,35.44,35.78,35.675,480,203
1635170400,35.75,35.91,35.61,35.87,35.792,276,161
1635170700,35.8,36.06,35.8,35.88,35.938,519,211
1635171000,35.88,36.14,35.87,36.07,36.035,234,147
1635171300,36.05,36.15,35.91,35.97,36.021,304,141
1635171600,35.95,36.05,35.84,35.93,35.943,172,102
1635171900,35.95,35.95,35.56,35.59,35.765,369,194
1635172200,35.59,35.89,35.5,35.87,35.666,471,252
1635172500,35.88,35.9,35.63,35.65,35.759,196,140
1635172800,35.67,35.7,35.53,35.54,35.626,91,71
1635173100,35.55,35.65,35.53,35.65,35.568,81,55
1635173400,35.67,35.68,35.56,35.65,35.621,58,47
1635173700,35.65,35.76,35.56,35.64,35.671,68,58
1635174000,35.62,35.66,35.51,35.53,35.583,82,74
1635174300,35.56,35.58,35.5,35.5,35.535,94,51
1635174600,35.52,35.64,35.43,35.45,35.527,112,79
1635174900,35.41,35.53,35.32,35.46,35.397,148,104
1635175200,35.44,35.6,35.44,35.55,35.52,99,56
1635175500,35.53,35.55,35.46,35.52,35.501,71,58
1635175800,35.52,35.53,35.33,35.44,35.414,283,137
1635176100,35.44,35.49,35.38,35.44,35.445,76,47
1635176400,35.44,35.72,35.41,35.69,35.608,115,61
1635176700,35.73,35.89,35.73,35.89,35.825,143,90
1635177000,35.94,35.97,35.86,35.9,35.925,142,75
1635177300,35.92,35.96,35.84,35.9,35.901,121,75
1635177600,35.93,36.11,35.88,36.11,35.982,177,109
1635177900,36.1,36.19,36.07,36.16,36.161,479,213
1635178200,36.16,36.18,35.95,35.96,36.048,134,97
1635178500,35.96,36.1,35.96,36.02,36.051,134,79
1635178800,36.0,36.0,35.91,35.93,35.96,61,34
1635179100,35.92,35.98,35.89,35.97,35.944,71,58
1635179400,35.97,36.06,35.97,36.05,36.031,108,67
1635179700,36.06,36.08,35.97,36.0,36.03,70,57
1635180000,35.98,36.05,35.96,36.01,36.007,90,69
1635180300,36.03,36.04,35.84,35.84,35.941,140,89
1635180600,35.84,35.93,35.79,35.88,35.847,146,110
1635180900,35.91,35.91,35.77,35.77,35.819,147,95
1635181200,35.79,35.83,35.75,35.83,35.792,85,48
1635181500,35.81,35.81,35.7,35.76,35.754,113,75
1635181800,35.77,35.82,35.72,35.77,35.774,101,71
1635182100,35.71,35.71,35.6,35.65,35.642,101,58
1635182400,35.62,35.64,35.55,35.57,35.582,67,43
