date,open,high,low,close,average,volume,count
1632470400,25.42,25.42,25.42,25.42,25.42,1,1
1632470405,25.42,25.42,25.42,25.42,25.42,0,0
1632470410,25.42,25.42,25.42,25.42,25.42,0,0
1632470415,25.42,25.42,25.42,25.42,25.42,0,0
1632470420,25.42,25.42,25.42,25.42,25.42,0,0
1632470425,25.42,25.42,25.42,25.42,25.42,0,0
1632470430,25.42,25.42,25.42,25.42,25.42,0,0
1632470435,25.39,25.39,25.39,25.39,25.39,17,4
1632470440,25.39,25.39,25.39,25.39,25.39,3,2
1632470445,25.39,25.39,25.39,25.39,25.39,2,1
1632470450,25.39,25.39,25.39,25.39,25.39,0,0
1632470455,25.39,25.39,25.39,25.39,25.39,0,0
1632470460,25.39,25.39,25.39,25.39,25.39,0,0
1632470465,25.39,25.39,25.39,25.39,25.39,0,0
1632470470,25.39,25.39,25.39,25.39,25.39,0,0
1632470475,25.39,25.39,25.39,25.39,25.39,0,0
1632470480,25.39,25.39,25.39,25.39,25.39,0,0
1632470485,25.39,25.39,25.39,25.39,25.39,0,0
1632470490,25.39,25.39,25.39,25.39,25.39,5,1
1632470495,25.39,25.39,25.39,25.39,25.39,0,0
1632470500,25.39,25.39,25.39,25.39,25.39,0,0
1632470505,25.49,25.49,25.49,25.49,25.49,7,3
1632470510,25.49,25.49,25.49,25.49,25.49,0,0
1632470515,25.49,25.49,25.49,25.49,25.49,0,0
1632470520,25.49,25.49,25.49,25.49,25.49,0,0
1632470525,25.49,25.49,25.49,25.49,25.49,0,0
1632470530,25.49,25.49,25.49,25.49,25.49,0,0
1632470535,25.49,25.49,25.49,25.49,25.49,0,0
1632470540,25.49,25.49,25.49,25.49,25.49,0,0
1632470545,25.49,25.49,25.49,25.49,25.49,0,0
1632470550,25.49,25.49,25.49,25.49,25.49,0,0
1632470555,25.49,25.49,25.49,25.49,25.49,0,0
1632470560,25.49,25.49,25.49,25.49,25.49,0,0
1632470565,25.49,25.49,25.49,25.49,25.49,2,1
1632470570,25.49,25.49,25.49,25.49,25.49,0,0
1632470575,25.49,25.49,25.49,25.49,25.49,0,0
1632470580,25.49,25.49,25.49,25.49,25.49,1,1
1632470585,25.49,25.49,25.49,25.49,25.49,0,0
1632470590,25.49,25.49,25.49,25.49,25.49,0,0
1632470595,25.49,25.49,25.49,25.49,25.49,0,0
1632470600,25.49,25.49,25.49,25.49,25.49,0,0
1632470605,25.49,25.49,25.49,25.49,25.49,0,0
1632470610,25.49,25.49,25.49,25.49,25.49,0,0
1632470615,25.5,25.51,25.5,25.51,25.506,2,2
1632470620,25.51,25.51,25.51,25.51,25.51,0,0
1632470625,25.51,25.51,25.51,25.51,25.51,0,0
1632470630,25.51,25.51,25.51,25.51,25.51,0,0
1632470635,25.54,25.54,25.53,25.53,25.535,11,2
1632470640,25.53,25.53,25.53,25.53,25.53,0,0
1632470645,25.53,25.53,25.53,25.53,25.53,0,0
1632470650,25.53,25.53,25.53,25.53,25.53,0,0
1632470655,25.53,25.53,25.53,25.53,25.53,0,0
1632470660,25.53,25.53,25.53,25.53,25.53,0,0
1632470665,25.53,25.53,25.53,25.53,25.53,0,0
1632470670,25.53,25.53,25.53,25.53,25.53,0,0
1632470675,25.53,25.53,25.53,25.53,25.53,0,0
1632470680,25.53,25.53,25.53,25.53,25.53,0,0
1632470685,25.53,25.53,25.53,25.53,25.53,0,0
1632470690,25.53,25.53,25.53,25.53,25.53,0,0
1632470695,25.53,25.53,25.53,25.53,25.53,0,0
1632470700,25.61,25.61,25.61,25.61,25.61,1,1
1632470705,25.63,25.63,25.63,25.63,25.63,1,1
1632470710,25.63,25.63,25.63,25.63,25.63,0,0
1632470715,25.63,25.65,25.63,25.65,25.646,6,2
1632470720,25.65,25.65,25.65,25.65,25.65,0,0
1632470725,25.65,25.65,25.65,25.65,25.65,0,0
1632470730,25.65,25.65,25.65,25.65,25.65,0,0
1632470735,25.65,25.65,25.65,25.65,25.65,0,0
