date,open,high,low,close,average,volume,count
1637593200,54.58,54.61,54.58,54.59,54.591,24,14
1637593201,54.61,54.61,54.6,54.61,54.609,98,11
1637593202,54.61,54.66,54.6,54.64,54.625,132,44
1637593203,54.6,54.66,54.59,54.64,54.631,136,34
1637593204,54.67,54.74,54.61,54.74,54.669,102,33
1637593205,54.75,54.77,54.69,54.76,54.752,545,40
1637593206,54.76,54.77,54.73,54.77,54.752,54,19
1637593207,54.76,54.8,54.74,54.77,54.775,240,37
1637593208,54.8,54.93,54.77,54.91,54.845,259,62
1637593209,54.91,54.97,54.9,54.97,54.946,265,62
1637593210,54.95,55.0,54.94,55.0,54.979,194,79
1637593211,55.0,55.0,54.91,55.0,54.99,431,138
1637593212,55.0,55.0,54.95,54.98,54.976,45,20
1637593213,54.99,55.03,54.93,54.94,54.987,313,101
1637593214,54.95,55.02,54.94,55.0,54.972,124,30
1637593215,54.98,55.02,54.98,55.0,55.003,168,43
1637593216,54.97,55.02,54.96,54.98,54.995,180,42
1637593217,55.02,55.02,54.98,54.98,55.011,63,30
1637593218,55.0,55.17,55.0,55.14,55.085,395,137
1637593219,55.1,55.22,55.09,55.2,55.186,647,170
1637593220,55.17,55.22,55.15,55.2,55.189,183,56
1637593221,55.18,55.34,55.18,55.22,55.247,792,212
1637593222,55.22,55.29,55.19,55.29,55.229,123,54
1637593223,55.23,55.32,55.23,55.3,55.271,285,90
1637593224,55.29,55.33,55.25,55.29,55.286,61,22
1637593225,55.28,55.3,55.23,55.26,55.281,219,34
1637593226,55.26,55.27,55.22,55.24,55.238,44,19
1637593227,55.2,55.28,55.2,55.24,55.223,175,36
1637593228,55.25,55.28,55.23,55.25,55.247,102,35
1637593229,55.26,55.29,55.23,55.29,55.26,157,40
1637593230,55.29,55.29,55.19,55.21,55.239,333,88
1637593231,55.23,55.25,55.18,55.18,55.202,172,29
1637593232,55.23,55.23,55.19,55.19,55.218,89,13
1637593233,55.23,55.25,55.2,55.24,55.241,89,14
1637593234,55.23,55.3,55.23,55.29,55.272,140,22
1637593235,55.27,55.34,55.27,55.32,55.3,135,32
1637593236,55.32,55.34,55.29,55.33,55.334,94,23
1637593237,55.33,55.37,55.33,55.36,55.352,113,49
1637593238,55.37,55.4,55.36,55.38,55.384,169,75
1637593239,55.35,55.4,55.35,55.37,55.392,251,96
1637593240,55.38,55.39,55.29,55.3,55.328,273,81
1637593241,55.29,55.4,55.28,55.36,55.342,363,93
1637593242,55.35,55.4,55.26,55.27,55.318,107,34
1637593243,55.26,55.31,55.25,55.27,55.265,96,37
1637593244,55.28,55.32,55.28,55.3,55.302,76,19
1637593245,55.29,55.32,55.28,55.3,55.287,69,16
1637593246,55.31,55.35,55.3,55.31,55.31,90,24
1637593247,55.31,55.31,55.27,55.29,55.288,66,29
1637593248,55.29,55.32,55.27,55.27,55.284,137,40
1637593249,55.3,55.37,55.3,55.34,55.345,71,17
1637593250,55.31,55.38,55.31,55.37,55.348,39,12
1637593251,55.35,55.38,55.35,55.37,55.36,54,18
1637593252,55.37,55.38,55.32,55.32,55.359,42,25
1637593253,55.32,55.35,55.3,55.33,55.323,156,53
1637593254,55.33,55.34,55.3,55.32,55.32,95,16
1637593255,55.32,55.33,55.26,55.26,55.286,135,38
1637593256,55.28,55.3,55.2,55.27,55.25,200,59
1637593257,55.27,55.31,55.2,55.26,55.243,224,65
1637593258,55.23,55.28,55.05,55.23,55.216,530,152
1637593259,55.28,55.33,55.24,55.31,55.302,35,23
1637593260,55.29,55.33,55.29,55.29,55.294,75,15
1637593261,55.29,55.34,55.29,55.33,55.307,33,14
1637593262,55.34,55.34,55.3,55.32,55.311,54,20
1637593263,55.3,55.33,55.3,55.31,55.315,118,25
1637593264,55.3,55.35,55.3,55.34,55.314,102,38
1637593265,55.35,55.4,55.33,55.4,55.382,124,48
1637593266,55.38,55.4,55.35,55.4,55.377,147,36
1637593267,55.39,55.48,55.38,55.48,55.435,239,89
1637593268,55.48,55.84,55.47,55.71,55.569,1871,413
1637593269,55.68,55.73,55.62,55.64,55.665,298,78
1637593270,55.62,55.68,55.54,55.59,55.574,240,79
1637593271,55.6,55.66,55.54,55.64,55.595,174,60
1637593272,55.6,55.66,55.6,55.63,55.633,136,33
1637593273,55.63,55.67,55.61,55.67,55.634,154,46
1637593274,55.66,55.69,55.65,55.66,55.672,186,65
1637593275,55.66,55.69,55.63,55.69,55.662,88,34
1637593276,55.67,55.68,55.64,55.64,55.667,129,34
1637593277,55.62,55.69,55.62,55.65,55.653,331,59
1637593278,55.62,55.7,55.62,55.69,55.67,86,44
1637593279,55.7,55.7,55.68,55.68,55.695,99,53
1637593280,55.69,55.7,55.68,55.69,55.687,141,30
1637593281,55.68,55.73,55.65,55.7,55.672,219,39
1637593282,55.7,55.73,55.65,55.71,55.703,114,48
1637593283,55.7,55.74,55.69,55.7,55.71,132,45
1637593284,55.7,55.72,55.69,55.71,55.706,160,38
1637593285,55.72,55.72,55.7,55.71,55.707,207,99
1637593286,55.7,55.7,55.65,55.69,55.668,173,77
1637593287,55.69,55.72,55.67,55.71,55.691,97,42
1637593288,55.71,55.72,55.68,55.69,55.703,39,27
1637593289,55.69,55.75,55.69,55.71,55.727,125,52
1637593290,55.73,55.75,55.7,55.71,55.711,90,23
1637593291,55.73,55.77,55.71,55.75,55.748,101,50
1637593292,55.77,55.77,55.73,55.75,55.759,34,12
1637593293,55.75,55.78,55.74,55.77,55.766,157,58
1637593294,55.77,55.86,55.77,55.84,55.813,231,97
1637593295,55.83,55.86,55.77,55.82,55.825,215,31
1637593296,55.81,55.81,55.74,55.74,55.777,154,67
1637593297,55.77,55.8,55.76,55.78,55.783,168,49
1637593298,55.79,55.83,55.78,55.79,55.801,83,38
1637593299,55.82,55.82,55.78,55.81,55.798,56,21
1637593300,55.79,55.8,55.76,55.76,55.782,90,45
1637593301,55.77,55.78,55.74,55.74,55.759,158,58
1637593302,55.76,55.77,55.73,55.75,55.75,53,23
1637593303,55.75,55.77,55.73,55.73,55.742,176,55
1637593304,55.73,55.79,55.73,55.76,55.757,85,43
1637593305,55.78,55.79,55.73,55.77,55.774,171,68
1637593306,55.79,55.8,55.77,55.78,55.782,82,15
1637593307,55.77,55.8,55.71,55.73,55.748,220,44
1637593308,55.73,55.77,55.71,55.71,55.732,61,21
1637593309,55.73,55.77,55.71,55.72,55.74,98,42
1637593310,55.74,55.77,55.72,55.75,55.749,85,44
1637593311,55.77,55.78,55.76,55.78,55.774,15,12
1637593312,55.78,55.79,55.77,55.79,55.781,33,9
1637593313,55.79,55.79,55.75,55.76,55.768,41,26
1637593314,55.75,55.77,55.72,55.72,55.743,58,23
1637593315,55.74,55.77,55.72,55.72,55.742,54,18
1637593316,55.74,55.78,55.73,55.78,55.744,102,37
1637593317,55.78,55.79,55.74,55.78,55.773,106,42
1637593318,55.77,55.78,55.75,55.77,55.762,43,22
1637593319,55.77,55.8,55.76,55.8,55.774,34,12
1637593320,55.79,55.82,55.77,55.81,55.8,113,34
1637593321,55.82,55.85,55.8,55.83,55.819,79,30
1637593322,55.82,55.84,55.8,55.84,55.806,247,42
1637593323,55.84,55.86,55.82,55.85,55.839,206,25
1637593324,55.85,55.88,55.84,55.88,55.859,43,17
1637593325,55.88,55.89,55.85,55.88,55.871,101,36
1637593326,55.88,55.9,55.87,55.89,55.888,235,73
1637593327,55.88,55.89,55.86,55.89,55.869,159,34
1637593328,55.89,55.9,55.86,55.86,55.874,217,68
1637593329,55.85,55.89,55.83,55.85,55.848,71,27
1637593330,55.83,55.88,55.82,55.85,55.846,96,39
