date,open,high,low,close,average,volume,count
1637312400,46.6,47.0,46.59,47.0,46.755,164,71
1637312460,47.28,47.35,47.1,47.19,47.238,55,31
1637312520,47.21,47.98,47.16,47.92,47.552,227,86
1637312580,47.9,48.5,47.9,48.29,48.254,337,176
1637312640,48.29,48.4,48.0,48.02,48.231,131,75
1637312700,48.13,48.3,48.13,48.14,48.193,79,43
1637312760,48.19,48.3,48.02,48.18,48.206,133,60
1637312820,48.14,48.14,48.0,48.01,48.009,46,20
1637312880,48.01,48.02,47.5,47.5,47.879,42,30
1637312940,47.45,47.5,47.33,47.33,47.433,55,33
1637313000,47.28,48.0,47.28,47.52,47.501,106,41
1637313060,47.59,47.78,47.5,47.5,47.619,57,26
1637313120,47.59,47.7,47.59,47.7,47.638,51,13
1637313180,47.7,47.9,47.69,47.9,47.795,25,13
1637313240,47.96,47.96,47.84,47.92,47.905,31,20
1637313300,47.95,48.01,47.84,48.01,47.917,82,44
1637313360,48.01,48.08,48.01,48.08,48.05,16,10
1637313420,48.13,48.2,48.13,48.2,48.188,26,12
1637313480,48.2,48.27,48.2,48.21,48.246,100,47
1637313540,48.21,48.25,48.16,48.18,48.206,48,30
1637313600,48.19,48.19,48.16,48.16,48.181,18,9
1637313660,48.15,48.15,48.13,48.15,48.145,13,11
1637313720,48.18,48.19,48.15,48.18,48.181,35,18
1637313780,48.23,48.25,47.96,48.1,48.105,40,20
1637313840,47.98,47.98,47.88,47.92,47.902,11,7
1637313900,48.0,48.09,48.0,48.09,48.045,12,4
1637313960,48.1,48.1,47.98,48.0,48.002,81,19
1637314020,48.1,48.11,48.08,48.11,48.087,21,6
1637314080,48.1,48.11,48.0,48.01,48.064,21,10
1637314140,48.0,48.08,48.0,48.08,48.011,7,2
1637314200,48.1,48.3,48.1,48.3,48.216,63,37
1637314260,48.37,48.4,48.28,48.32,48.338,52,22
1637314320,48.32,48.43,48.3,48.3,48.379,111,32
1637314380,48.35,48.47,48.28,48.45,48.355,135,34
1637314440,48.45,48.45,48.39,48.43,48.42,28,18
1637314500,48.42,48.43,48.27,48.27,48.366,41,15
1637314560,48.3,48.3,48.2,48.2,48.265,7,4
1637314620,48.27,48.27,48.27,48.27,48.27,1,1
1637314680,48.25,48.27,48.0,48.0,48.069,68,36
1637314740,48.01,48.07,47.8,47.94,47.985,104,31
1637314800,47.97,47.97,47.9,47.9,47.926,6,4
1637314860,47.9,47.93,47.8,47.83,47.863,15,10
1637314920,47.82,47.85,47.82,47.85,47.832,11,7
1637314980,47.86,47.93,47.85,47.91,47.877,29,17
1637315040,47.93,47.97,47.91,47.97,47.93,10,5
1637315100,47.95,47.95,47.88,47.88,47.904,15,12
1637315160,47.87,47.87,47.77,47.77,47.818,18,15
1637315220,47.75,47.75,47.62,47.62,47.695,9,7
1637315280,47.6,47.69,47.6,47.64,47.629,23,17
1637315340,47.64,47.67,47.55,47.57,47.601,69,47
1637315400,47.64,47.64,47.58,47.58,47.608,25,14
1637315460,47.62,47.77,47.6,47.77,47.662,31,12
1637315520,47.64,47.75,47.6,47.73,47.711,10,8
1637315580,47.7,47.73,47.65,47.65,47.685,7,6
1637315640,47.65,47.65,47.62,47.62,47.64,8,6
1637315700,47.62,47.62,47.6,47.6,47.607,7,5
1637315760,47.6,47.63,47.59,47.6,47.603,15,9
1637315820,47.52,47.53,47.47,47.48,47.51,57,34
1637315880,47.45,47.45,47.4,47.4,47.409,11,8
1637315940,47.37,47.41,47.37,47.37,47.386,23,16
1637316000,47.4,47.4,47.35,47.35,47.378,19,16
1637316060,47.34,47.34,47.33,47.33,47.332,5,4
1637316120,47.34,47.34,47.29,47.3,47.307,25,16
1637316180,47.35,47.45,47.34,47.44,47.392,12,9
1637316240,47.41,47.41,47.41,47.41,47.41,3,2
1637316300,47.4,47.43,47.36,47.36,47.385,7,5
1637316360,47.36,47.36,47.36,47.36,47.36,0,0
1637316420,47.35,47.35,47.35,47.35,47.35,1,1
1637316480,47.32,47.32,47.07,47.07,47.216,11,8
1637316540,47.05,47.05,46.78,46.81,46.974,122,51
1637316600,46.8,46.8,46.73,46.73,46.766,21,18
1637316660,46.7,46.75,46.61,46.61,46.671,87,44
1637316720,46.61,46.61,46.2,46.2,46.472,143,61
1637316780,46.2,46.46,46.17,46.46,46.297,91,43
1637316840,46.5,46.67,46.5,46.57,46.577,28,19
1637316900,46.53,46.54,46.45,46.45,46.503,50,21
1637316960,46.38,46.54,46.38,46.54,46.46,21,16
1637317020,46.53,46.66,46.5,46.63,46.556,38,23
1637317080,46.68,46.74,46.67,46.67,46.679,10,5
1637317140,46.67,46.67,46.67,46.67,46.67,0,0
1637317200,46.75,46.75,46.63,46.75,46.714,6,5
1637317260,46.76,47.08,46.76,47.08,46.948,77,29
1637317320,47.06,47.18,47.05,47.05,47.105,47,23
1637317380,47.0,47.0,46.88,46.88,46.928,7,5
1637317440,46.86,46.86,46.85,46.86,46.854,5,4
1637317500,46.82,46.82,46.8,46.81,46.809,13,10
