date,open,high,low,close,average,volume,count
1637917200,48.5,50.0,46.54,48.44,48.095,1765,749
1637918100,48.43,48.56,47.8,48.1,48.204,395,184
1637919000,48.04,48.2,47.85,48.15,48.051,558,198
1637919900,48.14,48.44,48.06,48.41,48.287,410,155
1637920800,48.42,48.93,48.42,48.57,48.649,549,179
1637921700,48.56,48.94,48.56,48.93,48.77,191,79
1637922600,48.94,49.18,48.33,48.37,48.759,243,136
1637923500,48.4,48.89,48.4,48.81,48.643,334,131
1637924400,48.8,48.86,48.4,48.8,48.635,219,113
1637925300,48.77,48.77,48.4,48.51,48.551,268,102
1637926200,48.51,48.6,48.35,48.39,48.452,338,95
1637927100,48.32,48.75,48.2,48.2,48.472,479,171
1637928000,48.18,49.63,48.15,49.55,48.994,1817,608
1637928900,49.55,49.56,48.99,49.35,49.28,1301,394
1637929800,49.35,49.87,49.35,49.6,49.6,620,274
1637930700,49.62,49.79,49.37,49.6,49.591,598,188
1637931600,49.12,49.8,48.2,49.53,49.34,3589,827
1637932500,49.53,49.55,49.1,49.19,49.351,1364,380
1637933400,49.2,49.25,48.52,48.73,48.856,2298,636
1637934300,48.74,49.4,48.65,49.34,49.004,1711,472
1637935200,49.33,49.35,48.81,49.15,49.074,1635,476
1637936100,49.14,49.5,48.91,49.5,49.117,1239,464
1637937000,49.45,51.37,49.41,50.29,50.529,51223,14581
1637937900,50.28,50.87,49.85,50.62,50.308,28919,8705
1637938800,50.64,51.18,50.44,50.6,50.845,23302,7642
1637939700,50.6,50.89,50.17,50.74,50.527,22384,7324
1637940600,50.74,51.0,50.46,50.56,50.756,16625,4769
1637941500,50.55,51.13,50.36,50.93,50.764,18262,4759
1637942400,50.92,51.03,50.53,50.56,50.805,10646,3741
1637943300,50.56,50.63,49.92,50.44,50.186,25286,7901
1637944200,50.43,50.92,50.36,50.67,50.646,15065,4016
1637945100,50.67,51.65,50.66,51.45,51.059,16773,5122
1637946000,51.42,51.98,51.35,51.51,51.66,19396,6861
1637946900,51.51,52.27,51.44,52.23,51.887,16654,5150
1637947800,52.26,52.37,51.67,51.98,52.08,14646,4917
1637948700,51.97,52.14,51.03,51.71,51.579,21106,7633
1637949600,51.72,51.88,51.3,51.4,51.623,2350,224
1637950500,51.41,51.6,51.36,51.4,51.423,584,119
1637951400,51.4,51.45,51.33,51.4,51.388,335,83
1637952300,51.37,51.4,51.3,51.3,51.354,325,77
1637953200,51.3,51.33,51.21,51.25,51.265,209,56
1637954100,51.25,51.25,51.2,51.2,51.225,74,33
1637955000,51.22,51.22,51.12,51.12,51.189,236,60
1637955900,51.12,51.21,51.1,51.21,51.143,188,42
1637956800,51.19,51.21,51.14,51.15,51.169,56,21
1637957700,51.15,51.2,51.12,51.13,51.147,108,31
1637958600,51.12,51.19,51.12,51.14,51.138,99,29
1637959500,51.14,51.2,51.03,51.04,51.098,166,53
1637960400,51.03,51.15,51.0,51.01,51.036,124,36
1637961300,51.0,51.07,51.0,51.0,51.01,78,23
1637962200,51.0,51.01,50.95,50.95,50.966,88,32
1637963100,50.98,51.03,50.95,50.95,50.984,31,17
1638176400,51.2,52.53,50.5,51.89,51.965,1195,369
1638177300,51.9,52.3,51.83,52.03,52.034,376,131
1638178200,52.03,52.28,52.0,52.2,52.045,286,164
1638179100,52.26,52.33,52.12,52.24,52.243,161,76
1638180000,52.24,52.52,51.99,52.01,52.318,327,136
1638180900,52.03,52.21,51.98,52.21,52.06,44,32
1638181800,52.22,52.23,52.12,52.15,52.179,60,36
1638182700,52.1,52.12,51.95,52.1,52.045,145,66
1638183600,52.06,52.2,52.0,52.0,52.106,169,59
1638184500,52.01,52.01,51.87,51.94,51.917,85,39
1638185400,51.9,51.9,51.6,51.71,51.778,251,70
1638186300,51.74,51.75,51.5,51.67,51.583,187,73
1638187200,51.67,51.83,51.25,51.27,51.565,436,174
1638188100,51.27,51.4,51.15,51.31,51.268,240,140
1638189000,51.32,51.68,51.32,51.68,51.603,271,86
1638189900,51.7,51.75,51.49,51.66,51.613,290,92
1638190800,51.75,51.83,51.16,51.39,51.473,1488,345
1638191700,51.36,51.7,51.36,51.57,51.578,455,116
1638192600,51.55,51.62,51.4,51.62,51.525,522,167
1638193500,51.62,52.0,51.57,51.88,51.755,1514,302
1638194400,51.9,52.02,51.86,51.96,51.956,857,301
1638195300,51.96,52.39,51.94,52.03,52.153,2673,716
1638196200,52.03,53.1,50.71,51.42,51.618,58625,17017
1638197100,51.44,53.02,51.05,52.95,52.018,42279,11745
1638198000,52.98,53.6,52.59,52.94,53.131,66630,18390
1638198900,52.94,53.0,52.15,52.5,52.498,37975,11645
1638199800,52.53,52.9,51.75,51.96,52.284,31655,9211
1638200700,51.99,52.35,51.82,52.22,52.076,18690,5747
1638201600,52.23,52.84,52.1,52.53,52.561,17042,5068
1638202500,52.54,53.26,52.41,52.8,52.803,21491,6239
1638203400,52.78,53.25,52.6,53.1,52.954,17022,5028
1638204300,53.12,53.6,52.93,53.38,53.316,25386,7338
1638205200,53.39,53.71,53.11,53.54,53.444,20480,5813
1638206100,53.54,54.24,53.51,54.22,53.881,33128,8902
1638207000,54.2,54.53,54.01,54.37,54.304,31420,9430
1638207900,54.37,54.85,54.27,54.45,54.563,27000,7929
1638208800,54.44,54.89,54.33,54.47,54.649,20989,6341
1638209700,54.47,54.56,53.66,53.99,54.004,21613,6802
1638210600,54.0,54.19,53.7,54.03,53.976,12535,4066
1638211500,54.02,54.4,53.87,54.35,54.158,13622,3789
1638212400,54.36,54.43,54.06,54.15,54.219,7881,2654
1638213300,54.17,54.29,53.68,54.0,53.952,11455,3893
1638214200,54.0,54.28,53.86,54.21,54.064,9067,2864
1638215100,54.22,54.43,54.05,54.35,54.228,9991,3104
1638216000,54.38,54.73,54.16,54.67,54.468,17318,4938
1638216900,54.66,55.16,54.47,55.12,54.789,27576,7543
1638217800,55.12,55.33,54.75,54.9,55.033,29114,8425
1638218700,54.91,55.23,54.7,55.06,55.079,29264,9963
1638219600,55.05,55.09,54.83,54.9,55.044,3930,189
1638220500,54.85,54.9,54.77,54.8,54.818,544,149
1638221400,54.8,54.97,54.8,54.96,54.881,557,130
1638222300,54.94,54.95,54.8,54.85,54.873,247,90
1638223200,54.85,54.87,54.81,54.81,54.823,119,36
1638224100,54.84,54.85,54.81,54.81,54.825,124,44
1638225000,54.81,54.81,54.76,54.8,54.781,166,50
1638225900,54.76,54.83,54.75,54.76,54.775,121,39
1638226800,54.8,54.85,54.76,54.84,54.801,235,40
1638227700,54.84,54.85,54.77,54.85,54.814,69,26
1638228600,54.85,54.85,54.78,54.84,54.805,130,38
1638229500,54.84,54.85,54.79,54.84,54.814,136,32
1638230400,54.84,54.85,54.77,54.77,54.789,96,22
1638231300,54.82,54.88,54.78,54.81,54.826,111,23
1638232200,54.78,54.82,54.75,54.82,54.794,339,65
1638233100,54.81,54.99,54.76,54.97,54.845,190,64
1638262800,53.7,54.17,52.78,53.72,53.619,573,286
1638263700,53.74,53.98,53.7,53.86,53.837,192,105
1638264600,53.85,53.85,53.71,53.83,53.774,99,42
1638265500,53.83,54.34,53.83,54.15,54.035,116,63
1638266400,54.2,54.2,53.85,53.96,54.057,115,49
1638267300,53.98,53.98,53.73,53.83,53.85,107,51
1638268200,53.8,54.0,53.8,53.95,53.903,75,46
1638269100,53.95,53.99,53.9,53.95,53.948,58,22
1638270000,53.92,53.92,53.84,53.9,53.883,50,23
1638270900,53.8,54.1,53.8,54.1,53.949,84,43
1638271800,54.03,54.4,54.03,54.39,54.172,91,41
1638272700,54.4,54.4,54.2,54.24,54.316,81,49
1638273600,54.23,54.39,54.05,54.31,54.279,305,108
1638274500,54.32,54.6,54.3,54.5,54.459,220,80
1638275400,54.52,54.52,54.21,54.35,54.356,154,65
1638276300,54.33,54.33,53.81,54.03,54.009,819,273
1638277200,54.45,54.61,53.82,53.82,54.145,1633,374
1638278100,53.86,54.08,53.83,53.95,53.957,266,130
1638279000,53.95,54.01,53.86,53.97,53.938,470,193
1638279900,53.99,54.4,53.97,54.29,54.15,771,241
1638280800,54.3,54.35,53.9,54.24,54.113,1492,400
1638281700,54.2,54.5,54.08,54.43,54.248,1148,338
1638282600,54.43,56.08,54.12,56.08,55.113,72080,19777
1638283500,56.03,56.7,55.48,56.28,56.149,61296,17658
1638284400,56.31,56.63,55.23,55.45,55.913,42967,12622
1638285300,55.43,55.62,54.67,55.24,55.097,32112,9128
1638286200,55.28,55.77,54.39,54.44,55.171,31506,9392
