date,open,high,low,close,average,volume,count
1656316800,41.4,41.4,40.17,40.46,40.585,96,33
1656316860,40.49,40.49,40.4,40.4,40.455,9,3
1656316920,40.3,40.34,40.29,40.29,40.302,273,23
1656316980,40.29,40.33,40.26,40.31,40.3,121,21
1656317040,40.33,40.33,40.28,40.29,40.296,69,18
1656317100,40.29,40.39,40.28,40.38,40.329,61,18
1656317160,40.34,40.34,40.31,40.31,40.316,8,5
1656317220,40.33,40.37,40.33,40.37,40.346,4,3
1656317280,40.39,40.39,40.37,40.37,40.379,9,4
1656317340,40.32,40.32,40.32,40.32,40.32,3,2
1656317400,40.32,40.32,40.27,40.27,40.303,53,15
1656317460,40.28,40.28,40.26,40.26,40.264,33,10
1656317520,40.25,40.25,40.14,40.15,40.237,458,30
1656317580,40.15,40.16,40.1,40.1,40.123,22,8
1656317640,40.1,40.1,40.07,40.07,40.078,5,3
1656317700,40.01,40.01,39.82,39.89,39.943,82,26
1656317760,39.89,40.0,39.89,40.0,39.97,34,15
1656317820,39.95,39.96,39.92,39.92,39.937,6,5
1656317880,39.95,39.95,39.95,39.95,39.95,1,1
1656317940,39.98,40.0,39.98,40.0,39.987,6,5
1656318000,40.0,40.0,39.99,40.0,39.999,13,5
1656318060,40.09,40.27,40.09,40.27,40.124,27,8
1656318120,40.27,40.27,40.27,40.27,40.27,0,0
1656318180,40.17,40.18,40.15,40.15,40.164,7,5
1656318240,40.15,40.15,40.15,40.15,40.15,0,0
1656318300,40.06,40.06,40.05,40.05,40.055,2,2
1656318360,40.05,40.05,40.05,40.05,40.05,0,0
1656318420,40.05,40.05,40.05,40.05,40.05,0,0
1656318480,40.1,40.1,40.1,40.1,40.1,3,2
1656318540,40.1,40.1,40.1,40.1,40.1,0,0
1656318600,40.17,40.17,40.17,40.17,40.17,5,4
1656318660,40.14,40.14,40.14,40.14,40.14,1,1
1656318720,40.14,40.14,40.14,40.14,40.14,0,0
1656318780,40.14,40.14,40.14,40.14,40.14,0,0
1656318840,40.08,40.08,40.08,40.08,40.08,7,2
1656318900,40.11,40.11,40.07,40.1,40.087,16,6
1656318960,40.07,40.07,40.01,40.01,40.069,207,8
1656319020,40.01,40.01,40.01,40.01,40.01,0,0
1656319080,40.06,40.06,40.06,40.06,40.06,1,1
1656319140,39.99,40.04,39.99,40.0,40.014,5,4
1656319200,39.95,39.99,39.9,39.9,39.951,28,9
1656319260,39.94,39.94,39.94,39.94,39.94,102,2
1656319320,39.98,39.98,39.98,39.98,39.98,5,2
1656319380,39.98,39.98,39.98,39.98,39.98,0,0
1656319440,39.97,39.97,39.95,39.95,39.959,5,2
1656319500,39.95,39.95,39.95,39.95,39.95,0,0
1656319560,39.94,39.94,39.94,39.94,39.94,2,1
1656319620,39.94,39.98,39.94,39.98,39.952,8,2
1656319680,39.98,39.98,39.98,39.98,39.98,10,2
1656319740,39.98,39.98,39.98,39.98,39.98,0,0
1656319800,39.98,39.98,39.98,39.98,39.98,0,0
1656319860,39.98,39.98,39.98,39.98,39.98,0,0
1656319920,39.98,39.98,39.98,39.98,39.98,0,0
1656319980,39.98,39.98,39.98,39.98,39.98,0,0
1656320040,39.97,39.97,39.97,39.97,39.97,1,1
1656320100,39.97,39.97,39.97,39.97,39.97,0,0
1656320160,39.97,39.97,39.97,39.97,39.97,0,0
1656320220,39.96,39.98,39.96,39.98,39.964,9,4
