date,open,high,low,close,average,volume,count
1663853400,24.41,24.47,24.34,24.46,24.411,2141,94
1663853401,24.48,24.48,24.39,24.41,24.431,129,77
1663853402,24.41,24.41,24.38,24.41,24.399,87,44
1663853403,24.39,24.45,24.38,24.44,24.415,262,131
1663853404,24.45,24.45,24.4,24.43,24.43,170,72
1663853405,24.42,24.44,24.4,24.4,24.415,185,121
1663853406,24.41,24.43,24.39,24.41,24.411,86,60
1663853407,24.41,24.41,24.35,24.37,24.378,59,49
1663853408,24.39,24.41,24.36,24.39,24.386,80,55
1663853409,24.4,24.4,24.38,24.38,24.389,21,15
1663853410,24.39,24.4,24.37,24.37,24.384,40,22
1663853411,24.38,24.42,24.37,24.41,24.395,72,46
1663853412,24.43,24.46,24.42,24.45,24.448,25,20
1663853413,24.44,24.53,24.44,24.52,24.503,123,58
1663853414,24.53,24.64,24.53,24.53,24.576,507,219
1663853415,24.52,24.56,24.44,24.44,24.471,60,49
1663853416,24.48,24.48,24.43,24.43,24.442,82,57
1663853417,24.45,24.46,24.43,24.45,24.444,23,21
1663853418,24.44,24.47,24.42,24.46,24.453,29,21
1663853419,24.46,24.46,24.45,24.46,24.456,6,6
1663853420,24.45,24.56,24.45,24.54,24.516,17,11
1663853421,24.5,24.54,24.47,24.48,24.508,40,22
1663853422,24.51,24.55,24.48,24.55,24.521,28,18
1663853423,24.54,24.55,24.48,24.5,24.519,155,61
1663853424,24.53,24.53,24.48,24.48,24.499,44,29
1663853425,24.49,24.53,24.49,24.52,24.513,16,15
1663853426,24.5,24.5,24.49,24.49,24.493,10,5
1663853427,24.49,24.53,24.48,24.52,24.496,87,49
1663853428,24.5,24.55,24.5,24.53,24.533,120,54
1663853429,24.52,24.52,24.5,24.5,24.51,16,13
1663853430,24.5,24.51,24.5,24.5,24.503,17,9
1663853431,24.51,24.51,24.5,24.51,24.504,7,7
1663853432,24.5,24.55,24.49,24.52,24.516,89,52
1663853433,24.52,24.56,24.52,24.55,24.55,74,22
1663853434,24.54,24.7,24.54,24.68,24.657,256,89
1663853435,24.68,24.75,24.68,24.72,24.722,153,85
1663853436,24.75,24.8,24.74,24.76,24.774,218,87
1663853437,24.75,24.76,24.74,24.76,24.751,57,32
1663853438,24.75,24.8,24.75,24.78,24.782,111,56
1663853439,24.79,24.79,24.76,24.77,24.774,192,100
1663853440,24.77,24.83,24.75,24.79,24.785,163,82
1663853441,24.84,24.88,24.84,24.86,24.853,72,44
1663853442,24.85,24.85,24.82,24.83,24.84,19,19
1663853443,24.82,24.84,24.81,24.84,24.824,85,43
1663853444,24.84,24.87,24.83,24.83,24.847,19,11
1663853445,24.85,24.88,24.85,24.86,24.867,36,20
1663853446,24.86,24.92,24.85,24.91,24.894,68,26
1663853447,24.92,24.93,24.88,24.9,24.908,87,56
1663853448,24.87,24.93,24.86,24.9,24.903,88,47
1663853449,24.91,24.94,24.88,24.93,24.926,138,38
1663853450,24.92,24.93,24.88,24.91,24.895,74,45
1663853451,24.91,24.99,24.91,24.99,24.956,102,58
1663853452,24.98,24.99,24.97,24.98,24.98,16,7
1663853453,24.99,25.07,24.98,25.03,25.012,364,142
1663853454,25.03,25.1,25.02,25.08,25.076,162,61
1663853455,25.09,25.13,25.09,25.11,25.111,300,103
1663853456,25.1,25.14,25.1,25.1,25.122,131,68
1663853457,25.1,25.11,25.08,25.11,25.094,140,58
1663853458,25.12,25.12,25.05,25.05,25.092,106,52
1663853459,25.04,25.07,25.01,25.07,25.031,87,40
1663853460,25.08,25.08,25.03,25.05,25.057,51,30
1663853461,25.05,25.18,25.04,25.17,25.114,124,51
1663853462,25.18,25.25,25.17,25.2,25.202,214,108
1663853463,25.2,25.21,25.17,25.2,25.188,132,55
1663853464,25.21,25.22,25.17,25.18,25.185,122,48
1663853465,25.17,25.2,25.15,25.15,25.175,97,58
1663853466,25.15,25.16,25.11,25.11,25.141,95,55
1663853467,25.1,25.11,24.98,25.02,25.034,105,63
1663853468,24.99,25.01,24.94,24.99,24.985,133,41
1663853469,24.97,24.99,24.94,24.95,24.973,60,28
1663853470,24.94,24.98,24.94,24.97,24.953,119,41
1663853471,24.97,24.97,24.94,24.96,24.956,48,37
1663853472,24.96,24.97,24.93,24.93,24.944,27,20
1663853473,24.93,24.96,24.92,24.93,24.937,88,50
1663853474,24.94,24.95,24.89,24.89,24.916,121,47
1663853475,24.91,24.93,24.89,24.92,24.909,37,19
1663853476,24.93,24.95,24.91,24.94,24.929,48,23
1663853477,24.96,24.96,24.9,24.91,24.916,34,9
1663853478,24.92,24.95,24.9,24.95,24.924,53,18
1663853479,24.96,24.97,24.93,24.96,24.955,39,20
1663853480,24.94,24.97,24.93,24.94,24.948,48,27
1663853481,24.94,24.94,24.93,24.93,24.933,36,12
1663853482,24.93,24.94,24.93,24.93,24.937,24,5
1663853483,24.94,24.94,24.93,24.93,24.936,15,4
1663853484,24.94,24.95,24.93,24.95,24.94,37,15
1663853485,24.95,25.05,24.94,25.05,24.977,84,34
1663853486,25.05,25.08,25.03,25.05,25.058,168,65
1663853487,25.03,25.04,25.02,25.04,25.027,61,29
1663853488,25.02,25.06,25.02,25.04,25.038,13,9
