date,open,high,low,close,average,volume,count
1662710400,26.18,26.45,26.18,26.45,26.393,203,85
1662711300,26.41,26.51,26.4,26.5,26.453,66,20
1662712200,26.51,26.52,26.45,26.52,26.493,17,10
1662713100,26.5,26.6,26.5,26.59,26.572,62,12
1662714000,26.62,26.62,26.6,26.6,26.619,21,4
1662714900,26.6,26.61,26.6,26.61,26.602,7,4
1662715800,26.62,26.62,26.6,26.6,26.601,63,19
1662716700,26.61,26.61,26.6,26.6,26.6,92,53
1662717600,26.61,26.61,26.6,26.6,26.601,129,44
1662718500,26.61,26.61,26.6,26.6,26.602,39,10
1662719400,26.62,26.62,26.62,26.62,26.62,8,3
1662720300,26.64,26.66,26.64,26.65,26.651,10,8
1662721200,26.61,26.62,26.61,26.61,26.618,12,7
1662722100,26.61,26.66,26.61,26.61,26.618,33,13
1662723000,26.62,26.63,26.6,26.6,26.618,41,14
1662723900,26.63,26.63,26.6,26.6,26.605,72,28
1662724800,26.65,26.66,26.6,26.6,26.603,161,43
1662725700,26.62,26.63,26.6,26.62,26.615,68,21
1662726600,26.6,26.62,26.59,26.6,26.601,155,39
1662727500,26.61,26.61,26.6,26.6,26.602,14,7
1662728400,26.6,26.77,26.6,26.7,26.667,115,47
1662729300,26.71,26.72,26.65,26.7,26.696,82,16
1662730200,26.76,27.23,26.61,26.9,26.871,7678,3037
1662731100,26.89,27.0,26.78,26.83,26.887,4295,2501
1662732000,26.82,26.9,26.49,26.53,26.672,5647,3585
1662732900,26.53,26.67,26.48,26.58,26.541,3006,1923
1662733800,26.58,26.69,26.57,26.61,26.643,3668,2148
1662734700,26.61,26.69,26.49,26.51,26.585,6017,2852
1662735600,26.5,26.59,26.49,26.59,26.521,4008,2079
1662736500,26.59,26.69,26.53,26.57,26.586,1348,908
1662737400,26.57,26.6,26.51,26.53,26.549,1436,911
1662738300,26.54,26.57,26.49,26.51,26.53,1238,802
1662739200,26.5,26.54,26.49,26.51,26.512,1296,853
1662740100,26.5,26.65,26.44,26.63,26.526,1761,1124
1662741000,26.63,26.63,26.53,26.55,26.59,1079,698
1662741900,26.55,26.59,26.52,26.57,26.553,1237,743
1662742800,26.57,26.58,26.5,26.53,26.529,1072,680
1662743700,26.53,26.54,26.51,26.52,26.526,643,429
1662744600,26.53,26.53,26.49,26.51,26.507,988,537
1662745500,26.5,26.51,26.41,26.44,26.46,1093,638
1662746400,26.43,26.43,26.35,26.42,26.383,1449,943
1662747300,26.42,26.44,26.22,26.26,26.326,2090,1143
1662748200,26.26,26.33,26.25,26.3,26.285,1053,652
1662749100,26.3,26.36,26.27,26.36,26.305,920,567
1662750000,26.36,26.41,26.35,26.41,26.374,1281,689
1662750900,26.41,26.43,26.37,26.38,26.409,1050,599
1662751800,26.39,26.39,26.28,26.38,26.356,2503,1244
1662752700,26.38,26.38,26.25,26.34,26.298,5432,2859
1662753600,26.33,26.33,26.33,26.33,26.33,2434,15
1662754500,26.33,26.34,26.26,26.26,26.33,296,3
1662755400,26.33,26.33,26.33,26.33,26.33,187,1
1662756300,26.35,26.35,26.34,26.35,26.349,4,2
1662757200,26.35,26.35,26.35,26.35,26.35,0,0
1662758100,26.35,26.35,26.35,26.35,26.35,8,1
1662759000,26.35,26.35,26.35,26.35,26.35,0,0
1662759900,26.35,26.35,26.35,26.35,26.35,0,0
1662760800,26.35,26.35,26.35,26.35,26.35,0,0
1662761700,26.3,26.3,26.3,26.3,26.3,4,1
1662762600,26.3,26.3,26.25,26.25,26.265,3,2
1662763500,26.35,26.43,26.3,26.43,26.365,6,4
1662764400,26.37,26.37,26.37,26.37,26.37,5,4
1662765300,26.37,26.37,26.37,26.37,26.37,4,4
1662766200,26.37,26.37,26.37,26.37,26.37,0,0
1662767100,26.43,26.43,26.43,26.43,26.43,1,1
1662978600,26.61,26.65,26.61,26.65,26.649,38,5
1662979500,26.65,26.65,26.65,26.65,26.65,0,0
1662980400,26.6,26.6,26.6,26.6,26.6,2,1
1662981300,26.53,26.82,26.53,26.82,26.656,79,25
1662982200,26.82,26.82,26.82,26.82,26.82,0,0
1662983100,26.67,26.85,26.67,26.85,26.737,29,14
1662984000,26.52,26.77,26.52,26.76,26.619,140,12
1662984900,26.75,26.76,26.7,26.74,26.749,92,11
1662985800,26.72,26.97,26.7,26.9,26.833,72,38
1662986700,26.8,27.06,26.8,27.06,26.996,18,10
1662987600,27.07,27.08,26.97,26.99,27.03,129,53
1662988500,26.98,27.14,26.81,26.97,27.026,156,56
1662989400,26.72,26.8,25.52,25.53,26.168,7442,3330
1662990300,25.52,25.77,25.42,25.63,25.592,6674,3539
1662991200,25.64,25.85,25.44,25.48,25.638,4103,2007
1662992100,25.49,25.69,25.45,25.53,25.54,5006,2353
1662993000,25.54,25.66,25.49,25.59,25.555,3912,1993
1662993900,25.59,25.74,25.5,25.55,25.603,4203,1964
1662994800,25.56,25.58,25.48,25.58,25.536,2757,1598
1662995700,25.59,25.67,25.52,25.65,25.577,1870,1035
1662996600,25.66,25.69,25.53,25.54,25.625,2146,1075
1662997500,25.55,25.58,25.45,25.47,25.506,2440,1374
1662998400,25.47,25.47,25.25,25.26,25.349,5051,2263
1662999300,25.25,25.44,25.25,25.39,25.379,3245,1263
1663000200,25.39,25.47,25.31,25.36,25.392,2851,1461
1663001100,25.37,25.41,25.29,25.35,25.345,1904,1095
1663002000,25.36,25.57,25.3,25.55,25.483,1698,846
1663002900,25.55,25.65,25.54,25.61,25.578,1853,829
1663003800,25.6,25.81,25.58,25.79,25.719,1715,825
1663004700,25.79,26.02,25.77,25.97,25.913,4314,1682
1663005600,25.97,26.0,25.84,25.95,25.929,2305,1022
1663006500,25.94,25.94,25.74,25.79,25.795,2568,926
1663007400,25.79,25.8,25.68,25.74,25.735,1566,890
1663008300,25.73,25.88,25.72,25.82,25.826,1318,679
1663009200,25.81,25.9,25.79,25.88,25.848,847,520
1663010100,25.88,25.92,25.87,25.89,25.895,1001,586
1663011000,25.89,25.99,25.84,25.98,25.917,2057,1116
1663011900,25.97,26.07,25.9,26.06,26.019,6719,3332
1663012800,26.06,26.09,26.01,26.06,26.061,2865,37
1663013700,26.04,26.35,26.04,26.31,26.234,225,86
1663014600,26.36,26.45,26.06,26.2,26.343,817,56
1663015500,26.23,26.3,26.21,26.21,26.288,70,7
1663016400,26.28,26.3,26.28,26.3,26.294,14,6
1663017300,26.3,26.3,26.3,26.3,26.3,0,0
1663018200,26.21,26.22,26.2,26.2,26.213,8,4
1663019100,26.22,26.25,26.2,26.2,26.216,45,10
1663020000,26.25,26.25,26.14,26.14,26.149,107,8
1663020900,26.25,26.25,26.25,26.25,26.25,9,3
1663021800,26.25,26.25,26.25,26.25,26.25,4,2
1663022700,26.24,26.24,26.19,26.19,26.203,5,3
1663023600,26.22,26.26,26.2,26.2,26.253,49,11
1663024500,26.25,26.25,26.15,26.15,26.186,14,2
1663025400,26.25,26.25,26.25,26.25,26.25,2,1
1663026300,26.23,26.23,26.2,26.2,26.216,2,2
1663056000,26.13,26.33,26.13,26.29,26.266,83,54
1663056900,26.29,26.29,26.29,26.29,26.29,0,0
1663057800,26.32,26.32,26.32,26.32,26.32,1,1
1663058700,26.29,26.29,26.28,26.28,26.285,4,2
1663059600,26.25,26.25,26.24,26.24,26.241,27,6
1663060500,26.23,26.24,26.23,26.24,26.235,14,8
1663061400,26.29,26.29,26.28,26.28,26.283,6,3
1663062300,26.24,26.24,26.24,26.24,26.24,3,2
1663063200,26.22,26.26,26.22,26.26,26.227,8,3
1663064100,26.25,26.28,26.25,26.28,26.274,15,7
1663065000,26.28,26.33,26.27,26.32,26.304,20,10
1663065900,26.32,26.32,26.31,26.32,26.319,37,7
1663066800,26.29,26.3,26.28,26.28,26.297,40,17
1663067700,26.27,26.3,26.23,26.28,26.262,20,7
1663068600,26.28,26.28,26.2,26.28,26.263,39,14
1663069500,26.25,26.25,26.21,26.21,26.226,2,2
1663070400,26.24,26.29,26.2,26.25,26.237,118,18
1663071300,26.24,26.3,26.22,26.29,26.248,159,47
1663072200,26.28,26.28,25.45,25.66,25.761,449,152
1663073100,25.69,25.74,25.45,25.48,25.519,253,58
1663074000,25.5,25.58,25.45,25.52,25.49,218,65
1663074900,25.46,25.49,25.2,25.49,25.381,443,167
1663075800,25.48,25.83,25.25,25.46,25.612,9670,4816
1663076700,25.45,26.09,25.45,26.07,25.821,5501,3225
1663077600,26.06,27.11,25.83,27.1,26.552,10776,4906
1663078500,27.1,27.49,26.95,27.48,27.178,16394,6129
1663079400,27.48,27.72,27.33,27.64,27.535,19458,6489
1663080300,27.64,28.07,27.51,27.78,27.823,18096,6404
1663081200,27.77,27.92,27.33,27.36,27.577,8237,3372
1663082100,27.36,27.37,26.84,26.85,27.05,8738,3342
1663083000,26.85,27.15,26.75,27.1,26.898,8404,2422
1663083900,27.1,27.24,26.99,27.2,27.104,3587,1546
1663084800,27.19,27.32,27.08,27.25,27.187,4125,1411
1663085700,27.26,27.52,27.19,27.5,27.362,3555,1679
1663086600,27.5,27.55,27.26,27.35,27.424,2240,1072
1663087500,27.35,27.35,27.1,27.11,27.253,1592,921
1663088400,27.11,27.18,27.02,27.14,27.119,1556,892
1663089300,27.14,27.27,27.0,27.21,27.153,2696,1470
1663090200,27.2,27.21,27.06,27.09,27.12,1419,793
1663091100,27.08,27.1,27.0,27.04,27.044,1207,684
1663092000,27.04,27.09,26.98,27.01,27.025,2405,1054
1663092900,27.02,27.08,26.9,26.93,26.99,2004,1041
1663093800,26.94,26.98,26.85,26.88,26.93,1309,707
1663094700,26.88,26.92,26.82,26.87,26.863,1667,931
1663095600,26.88,26.93,26.84,26.86,26.874,1205,730
1663096500,26.87,26.93,26.84,26.85,26.879,1453,971
1663097400,26.84,26.92,26.75,26.86,26.837,4353,2239
1663098300,26.86,26.87,26.78,26.81,26.827,7132,3915
1663099200,26.8,26.84,26.8,26.81,26.8,2684,12
1663100100,26.88,26.99,26.87,26.99,26.919,41,10
1663101000,26.86,26.86,26.8,26.8,26.803,106,13
1663101900,26.79,26.82,26.77,26.82,26.78,6,4
1663102800,26.77,26.83,26.76,26.76,26.805,8,3
1663103700,26.76,26.76,26.76,26.76,26.76,0,0
1663104600,26.8,26.8,26.8,26.8,26.8,10,1
1663105500,26.8,26.8,26.8,26.8,26.8,0,0
1663106400,26.8,26.84,26.77,26.82,26.802,6,5
1663107300,26.82,26.9,26.82,26.9,26.855,8,6
1663108200,26.9,26.9,26.9,26.9,26.9,1,1
1663109100,26.9,26.9,26.9,26.9,26.9,0,0
1663110000,26.9,26.9,26.9,26.9,26.9,1,1
1663110900,26.86,26.89,26.86,26.89,26.877,2,2
1663111800,26.92,26.98,26.92,26.98,26.946,16,9
1663112700,26.9,26.98,26.84,26.84,26.933,23,10
1663142400,27.03,27.05,26.97,27.03,27.04,45,8
1663143300,27.0,27.27,27.0,27.06,27.11,197,72
1663144200,27.09,27.12,27.05,27.08,27.11,59,13
1663145100,27.05,27.05,26.9,26.98,27.011,22,7
1663146000,27.01,27.01,26.94,26.94,26.979,18,5
1663146900,26.97,27.0,26.9,26.9,26.943,29,12
1663147800,26.92,26.93,26.9,26.92,26.916,81,21
1663148700,26.94,26.95,26.94,26.95,26.946,13,7
1663149600,26.94,26.95,26.94,26.95,26.945,2,2
1663150500,26.95,26.95,26.94,26.94,26.949,10,3
1663151400,26.96,26.96,26.96,26.96,26.96,5,1
1663152300,26.95,26.97,26.95,26.97,26.966,11,4
1663153200,26.91,26.94,26.91,26.93,26.918,25,12
1663154100,26.92,26.92,26.81,26.81,26.875,36,14
1663155000,26.81,26.87,26.81,26.87,26.858,17,5
1663155900,26.84,26.84,26.56,26.58,26.7,100,37
1663156800,26.9,26.97,26.15,26.48,26.703,583,118
1663157700,26.45,26.6,26.44,26.57,26.492,171,45
1663158600,26.58,26.79,26.56,26.79,26.66,82,36
1663159500,26.79,26.91,26.5,26.8,26.789,674,166
1663160400,26.84,27.09,26.64,26.84,26.907,259,54
1663161300,26.84,26.9,26.73,26.9,26.842,15,9
1663162200,26.85,27.03,26.09,26.25,26.512,9447,4610
1663163100,26.25,26.49,25.93,26.01,26.142,7709,4061
1663164000,26.01,26.37,25.9,26.33,26.17,3898,2444
1663164900,26.33,26.44,26.02,26.03,26.262,3022,1828
1663165800,26.03,26.5,25.99,26.48,26.192,3705,2137
1663166700,26.49,26.55,26.42,26.48,26.485,2213,1135
1663167600,26.49,26.71,26.4,26.58,26.598,2237,1245
1663168500,26.59,26.77,26.5,26.67,26.635,1641,928
1663169400,26.68,26.75,26.6,26.73,26.685,1083,547
1663170300,26.73,26.87,26.73,26.81,26.811,1084,590
1663171200,26.81,26.83,26.65,26.67,26.722,1257,834
1663172100,26.67,26.67,26.57,26.6,26.624,1497,898
1663173000,26.6,26.66,26.57,26.66,26.609,1335,813
1663173900,26.66,26.71,26.61,26.66,26.648,1482,855
1663174800,26.66,26.71,26.63,26.68,26.663,883,558
1663175700,26.68,26.72,26.63,26.64,26.671,785,518
1663176600,26.64,26.69,26.59,26.68,26.645,833,493
1663177500,26.68,26.69,26.43,26.5,26.587,1500,579
1663178400,26.51,26.52,26.42,26.46,26.466,528,395
1663179300,26.48,26.51,26.44,26.49,26.475,694,484
1663180200,26.5,26.6,26.5,26.55,26.552,732,464
1663181100,26.55,26.61,26.52,26.55,26.56,670,454
1663182000,26.55,26.59,26.51,26.54,26.557,816,560
1663182900,26.54,26.7,26.5,26.65,26.623,2507,1331
1663183800,26.66,26.69,26.54,26.64,26.624,2572,1602
1663184700,26.64,26.75,26.63,26.68,26.688,7820,4105
1663185600,26.67,26.67,26.6,26.67,26.67,6101,13
1663186500,26.67,26.67,26.67,26.67,26.67,32,2
1663187400,26.73,26.73,26.73,26.73,26.73,1,1
1663188300,26.7,26.73,26.7,26.73,26.72,15,6
1663189200,26.71,26.71,26.7,26.7,26.709,19,5
1663190100,26.7,26.7,26.7,26.7,26.7,0,0
1663191000,26.64,26.64,26.64,26.64,26.64,4,1
1663191900,26.64,26.64,26.64,26.64,26.64,0,0
1663192800,26.65,26.67,26.65,26.67,26.665,5,2
1663193700,26.67,26.67,26.67,26.67,26.67,0,0
1663194600,26.67,26.67,26.67,26.67,26.67,0,0
1663195500,26.67,26.67,26.67,26.67,26.67,0,0
1663196400,26.67,26.67,26.67,26.67,26.67,0,0
1663197300,26.75,26.75,26.75,26.75,26.75,3,2
1663198200,26.75,26.75,26.75,26.75,26.75,0,0
1663199100,26.76,26.8,26.76,26.8,26.773,3,2
1663228800,26.6,26.6,26.39,26.39,26.453,9,8
1663229700,26.39,26.39,26.39,26.39,26.39,2,1
1663230600,26.31,26.31,26.31,26.31,26.31,11,4
1663231500,26.24,26.31,26.24,26.31,26.308,44,4
1663232400,26.34,26.39,26.34,26.39,26.355,4,2
1663233300,26.39,26.39,26.39,26.39,26.39,0,0
1663234200,26.38,26.39,26.38,26.39,26.387,3,3
1663235100,26.39,26.39,26.39,26.39,26.39,0,0
1663236000,26.39,26.39,26.39,26.39,26.39,0,0
1663236900,26.39,26.39,26.39,26.39,26.39,0,0
1663237800,26.29,26.29,26.28,26.28,26.286,22,6
1663238700,26.21,26.21,26.2,26.2,26.205,3,2
1663239600,26.3,26.3,26.3,26.3,26.3,2,1
1663240500,26.32,26.32,26.32,26.32,26.32,1,1
1663241400,26.31,26.32,26.31,26.31,26.311,7,5
1663242300,26.31,26.31,26.31,26.31,26.31,0,0
1663243200,26.48,26.48,26.22,26.26,26.273,39,11
1663244100,26.32,26.32,26.26,26.28,26.282,12,3
1663245000,26.27,26.35,26.27,26.35,26.299,10,9
1663245900,26.36,26.38,26.36,26.38,26.365,3,2
1663246800,26.37,26.37,26.21,26.22,26.259,40,15
1663247700,26.23,26.24,26.07,26.07,26.144,134,72
1663248600,26.07,26.38,26.01,26.2,26.222,4155,1727
1663249500,26.19,26.53,26.14,26.47,26.359,2495,1365
1663250400,26.47,26.72,26.37,26.71,26.505,3122,1318
1663251300,26.71,26.76,26.2,26.2,26.531,4272,2167
1663252200,26.2,26.23,26.04,26.2,26.134,2945,1009
1663253100,26.21,26.22,26.01,26.05,26.075,2296,956
1663254000,26.05,26.14,26.02,26.1,26.102,962,555
1663254900,26.09,26.22,26.06,26.2,26.141,809,461
1663255800,26.21,26.25,26.15,26.17,26.203,564,391
1663256700,26.17,26.23,26.13,26.2,26.178,922,539
1663257600,26.2,26.21,26.1,26.1,26.134,538,382
1663258500,26.1,26.15,26.06,26.08,26.104,682,391
1663259400,26.08,26.12,26.01,26.02,26.065,1194,485
1663260300,26.02,26.03,25.9,25.91,25.968,1360,527
1663261200,25.92,26.06,25.91,25.97,26.0,896,393
1663262100,25.98,26.04,25.96,26.02,26.002,567,354
1663263000,26.01,26.01,25.91,25.95,25.942,644,372
1663263900,25.95,25.98,25.9,25.94,25.931,484,269
1663264800,25.93,25.93,25.78,25.92,25.864,1142,606
1663265700,25.92,25.92,25.84,25.88,25.875,530,359
1663266600,25.87,25.91,25.83,25.87,25.865,426,314
1663267500,25.87,25.93,25.78,25.82,25.868,1111,773
1663268400,25.83,25.9,25.74,25.76,25.828,797,467
1663269300,25.76,25.78,25.68,25.71,25.743,1261,673
1663270200,25.71,25.82,25.69,25.82,25.766,1192,799
1663271100,25.81,25.84,25.76,25.82,25.796,3876,2409
1663272000,25.81,25.81,25.81,25.81,25.81,2726,7
1663272900,25.81,25.81,25.81,25.81,25.81,0,0
1663273800,25.81,25.86,25.81,25.86,25.816,15,3
1663274700,25.84,25.84,25.84,25.84,25.84,1,1
1663275600,25.76,25.77,25.59,25.59,25.656,207,20
1663276500,25.56,25.56,25.27,25.32,25.465,115,53
1663277400,25.39,25.4,25.39,25.4,25.396,9,4
1663278300,25.5,25.5,25.47,25.47,25.49,3,2
1663279200,25.49,25.49,25.43,25.43,25.442,6,4
1663280100,25.58,25.81,25.47,25.55,25.806,1863,8
1663281000,25.59,25.59,25.59,25.59,25.59,6,4
1663281900,25.59,25.59,25.48,25.48,25.561,7,2
1663282800,25.48,25.48,25.48,25.48,25.48,0,0
1663283700,25.48,25.48,25.48,25.48,25.48,0,0
1663284600,25.48,25.48,25.48,25.48,25.48,0,0
1663285500,25.6,25.72,25.6,25.72,25.702,6,2
1663315200,25.29,25.32,25.19,25.26,25.223,125,50
1663316100,25.26,25.3,25.21,25.21,25.256,24,9
1663317000,25.2,25.2,25.12,25.12,25.185,5,4
1663317900,25.12,25.12,25.12,25.12,25.12,0,0
1663318800,25.19,25.23,25.19,25.23,25.205,22,4
1663319700,25.29,25.29,25.29,25.29,25.29,1,1
1663320600,25.28,25.33,25.28,25.33,25.293,13,6
1663321500,25.31,25.31,25.23,25.23,25.296,24,6
1663322400,25.23,25.23,25.23,25.23,25.23,0,0
1663323300,25.23,25.23,25.23,25.23,25.23,0,0
1663324200,25.23,25.23,25.23,25.23,25.23,0,0
1663325100,25.25,25.31,25.25,25.31,25.291,6,6
1663326000,25.32,25.37,25.3,25.3,25.321,20,11
1663326900,25.28,25.3,25.28,25.3,25.29,5,3
1663327800,25.31,25.31,25.31,25.31,25.31,4,3
1663328700,25.33,25.48,25.33,25.42,25.446,65,29
1663329600,25.38,25.45,25.3,25.44,25.373,45,22
1663330500,25.42,25.46,25.36,25.36,25.404,63,25
1663331400,25.32,25.32,25.25,25.29,25.285,28,28
1663332300,25.3,25.3,25.23,25.23,25.259,17,13
1663333200,25.25,25.25,25.14,25.18,25.189,128,72
1663334100,25.16,25.16,25.01,25.01,25.09,409,70
1663335000,25.05,25.09,24.5,24.51,24.706,8062,3456
1663335900,24.51,24.79,24.45,24.48,24.588,5527,3017
1663336800,24.49,24.74,24.4,24.66,24.581,4590,2559
1663337700,24.66,24.7,24.49,24.59,24.582,2561,1671
1663338600,24.59,24.82,24.52,24.54,24.635,3257,1980
1663339500,24.54,24.64,24.25,24.27,24.446,3800,2431
1663340400,24.26,24.32,24.04,24.05,24.172,4450,2480
1663341300,24.04,24.08,23.84,23.86,23.956,4892,2268
1663342200,23.85,23.95,23.77,23.85,23.858,4121,2192
1663343100,23.84,24.03,23.82,23.97,23.93,3259,1798
1663344000,23.96,24.04,23.92,24.04,23.977,2348,1247
1663344900,24.04,24.04,23.91,23.95,23.963,2139,1323
1663345800,23.95,23.98,23.87,23.88,23.924,2194,1305
1663346700,23.88,23.88,23.7,23.75,23.783,2395,1411
1663347600,23.75,23.79,23.7,23.79,23.748,1903,1036
1663348500,23.78,23.91,23.77,23.85,23.828,2114,1008
1663349400,23.85,23.89,23.78,23.78,23.831,2836,1452
1663350300,23.77,23.83,23.74,23.79,23.782,1790,973
1663351200,23.78,23.84,23.76,23.83,23.792,1358,940
1663352100,23.83,23.95,23.77,23.94,23.851,1939,1156
1663353000,23.93,23.94,23.83,23.89,23.883,1707,972
1663353900,23.88,23.97,23.87,23.89,23.918,1949,1091
1663354800,23.89,24.02,23.89,23.97,23.968,1821,1077
1663355700,23.97,24.05,23.91,23.98,23.984,2449,1533
1663356600,23.98,24.15,23.94,24.13,24.036,4315,2431
1663357500,24.14,24.15,23.99,24.07,24.074,10032,6112
1663358400,24.06,24.09,24.0,24.09,24.09,15379,23
1663359300,24.11,24.13,24.09,24.1,24.11,17,9
1663360200,24.05,24.09,24.04,24.09,24.044,148,10
1663361100,24.15,24.15,24.09,24.09,24.103,6,5
1663362000,24.1,24.14,24.1,24.14,24.129,5,5
1663362900,24.09,24.1,24.09,24.1,24.097,8,5
1663363800,24.1,24.15,24.1,24.15,24.138,4,2
1663364700,24.15,24.15,24.15,24.15,24.15,0,0
1663365600,24.1,24.1,24.02,24.02,24.068,13,6
1663366500,24.1,24.1,24.09,24.09,24.098,11,3
1663367400,24.15,24.15,24.15,24.15,24.15,28,4
1663368300,24.15,24.15,24.15,24.15,24.15,0,0
1663369200,24.18,24.19,24.18,24.19,24.185,2,2
1663370100,24.19,24.19,24.19,24.19,24.19,4,2
1663371000,24.15,24.15,24.11,24.11,24.14,7,4
1663371900,24.2,24.2,24.2,24.2,24.2,1,1
1663574400,24.25,25.5,23.89,23.89,24.358,71,30
1663575300,23.9,23.9,23.77,23.83,23.855,57,19
1663576200,23.85,23.92,23.85,23.92,23.903,19,6
1663577100,23.91,23.91,23.9,23.9,23.906,27,5
1663578000,23.84,23.84,23.84,23.84,23.84,3,2
