date,open,high,low,close,average,volume,count
1631192700,5.15,5.16,5.15,5.15,5.152,3,2
1631193000,5.15,5.15,5.15,5.15,5.15,0,0
1631193300,5.15,5.15,5.15,5.15,5.15,0,0
1631193600,5.15,5.15,5.15,5.15,5.15,0,0
1631193900,5.15,5.15,5.15,5.15,5.15,0,0
1631194200,5.28,5.36,5.28,5.36,5.317,75,9
1631194500,5.35,5.37,5.35,5.36,5.354,18,16
1631194800,5.39,5.42,5.39,5.42,5.407,86,28
1631195100,5.42,5.42,5.42,5.42,5.42,0,0
1631195400,5.37,5.4,5.37,5.4,5.397,46,4
1631195700,5.41,5.41,5.41,5.41,5.41,2,2
1631196000,5.38,5.42,5.38,5.42,5.399,9,2
1631196300,5.39,5.39,5.38,5.38,5.385,6,2
1631196600,5.38,5.38,5.38,5.38,5.38,0,0
1631196900,5.4,5.43,5.4,5.43,5.424,23,14
1631197200,5.43,5.43,5.43,5.43,5.43,0,0
1631197500,5.43,5.44,5.43,5.44,5.438,14,5
1631197800,5.43,5.43,5.43,5.43,5.43,24,4
1631198100,5.43,5.48,5.43,5.48,5.464,53,22
1631198400,5.43,5.47,5.43,5.46,5.444,7,5
1631198700,5.46,5.48,5.46,5.48,5.475,8,4
1631199000,5.48,5.48,5.48,5.48,5.48,0,0
1631199300,5.48,5.48,5.48,5.48,5.48,0,0
1631199600,5.49,5.51,5.49,5.5,5.499,64,31
1631199900,5.5,5.56,5.5,5.56,5.536,87,17
1631200200,5.52,5.56,5.5,5.52,5.517,60,12
1631200500,5.54,5.54,5.54,5.54,5.54,1,1
1631200800,5.54,5.54,5.54,5.54,5.54,0,0
1631201100,5.52,5.52,5.5,5.5,5.512,26,5
1631201400,5.5,5.5,5.5,5.5,5.5,0,0
1631201700,5.5,5.5,5.5,5.5,5.5,0,0
1631202000,5.53,5.53,5.51,5.53,5.513,26,18
1631202300,5.52,5.52,5.52,5.52,5.52,1,1
1631202600,5.52,5.52,5.52,5.52,5.52,3,3
1631202900,5.53,5.53,5.52,5.52,5.525,2,2
1631203200,5.51,5.53,5.5,5.51,5.522,16,4
1631203500,5.5,5.51,5.5,5.5,5.5,10,2
1631203800,5.51,5.53,5.5,5.53,5.523,7,2
1631204100,5.5,5.52,5.5,5.51,5.508,21,11
1631204400,5.52,5.52,5.51,5.52,5.515,1,1
1631204700,5.52,5.52,5.52,5.52,5.52,0,0
1631205000,5.52,5.52,5.52,5.52,5.52,0,0
1631205300,5.52,5.53,5.52,5.53,5.526,9,5
1631205600,5.52,5.52,5.52,5.52,5.52,1,1
1631205900,5.54,5.54,5.53,5.54,5.535,7,1
1631206200,5.52,5.55,5.51,5.55,5.54,28,8
1631206500,5.55,5.55,5.55,5.55,5.55,0,0
1631206800,5.55,5.55,5.54,5.55,5.547,5,1
1631207100,5.55,5.55,5.55,5.55,5.55,0,0
1631207400,5.54,5.54,5.54,5.54,5.54,2,2
1631207700,5.54,5.55,5.52,5.52,5.539,20,4
1631208000,5.54,5.54,5.53,5.54,5.538,3,1
1631208300,5.53,5.54,5.52,5.53,5.525,51,8
1631208600,5.52,5.54,5.52,5.53,5.53,13,10
1631208900,5.53,5.53,5.52,5.53,5.525,11,3
1631209200,5.53,5.53,5.49,5.5,5.505,22,12
1631209500,5.48,5.51,5.48,5.5,5.494,12,3
1631209800,5.51,5.51,5.5,5.51,5.509,5,1
1631210100,5.51,5.51,5.51,5.51,5.51,9,6
1631210400,5.52,5.54,5.52,5.53,5.532,26,14
1631210700,5.53,5.53,5.52,5.53,5.525,1,1
1631211000,5.53,5.53,5.53,5.53,5.53,0,0
1631211300,5.53,5.54,5.52,5.54,5.532,30,16
1631211600,5.52,5.54,5.52,5.54,5.527,11,2
1631211900,5.51,5.57,5.51,5.57,5.547,41,10
1631212200,5.58,5.58,5.56,5.56,5.568,15,7
1631212500,5.56,5.56,5.56,5.56,5.56,2,1
1631212800,5.54,5.55,5.54,5.54,5.545,4,1
1631213100,5.54,5.54,5.53,5.53,5.535,2,2
1631213400,5.53,5.55,5.53,5.54,5.537,3,2
1631213700,5.54,5.54,5.54,5.54,5.54,0,0
1631214000,5.55,5.59,5.55,5.56,5.563,138,22
1631214300,5.57,5.59,5.57,5.59,5.576,3,2
1631214600,5.57,5.59,5.57,5.58,5.575,11,5
1631214900,5.57,5.57,5.56,5.57,5.568,1,1
1631215200,5.57,5.59,5.57,5.58,5.578,25,10
1631215500,5.58,5.59,5.57,5.58,5.583,13,4
1631215800,5.58,5.59,5.58,5.58,5.585,30,22
1631216100,5.58,5.58,5.57,5.58,5.575,113,20
1631216400,5.57,5.57,5.51,5.56,5.522,162,43
1631216700,5.56,5.56,5.54,5.54,5.555,38,10
1631217000,5.54,5.55,5.51,5.51,5.529,14,13
1631217300,5.51,5.54,5.51,5.54,5.534,197,43
1631217600,5.55,5.56,5.55,5.56,5.555,9,2
1631217900,5.56,5.56,5.49,5.56,5.532,25,3
1631218200,5.56,5.56,5.55,5.56,5.56,1,1
1631218500,5.56,5.56,5.56,5.56,5.56,0,0
1631218800,5.6,5.6,5.59,5.6,5.6,2,2
1631219100,5.6,5.6,5.6,5.6,5.6,0,0
1631219400,5.6,5.6,5.6,5.6,5.6,0,0
1631219700,5.6,5.6,5.6,5.6,5.6,0,0
1631220000,5.6,5.6,5.6,5.6,5.6,0,0
1631220300,5.6,5.6,5.6,5.6,5.6,0,0
1631220600,5.6,5.6,5.6,5.6,5.6,0,0
1631220900,5.6,5.6,5.6,5.6,5.6,0,0
1631221200,5.6,5.6,5.6,5.6,5.6,4,1
1631221500,5.6,5.6,5.6,5.6,5.6,0,0
1631221800,5.6,5.6,5.6,5.6,5.6,0,0
1631222100,5.6,5.6,5.6,5.6,5.6,0,0
1631222400,5.6,5.6,5.6,5.6,5.6,0,0
1631222700,5.6,5.6,5.6,5.6,5.6,0,0
1631223000,5.6,5.6,5.6,5.6,5.6,0,0
1631223300,5.6,5.6,5.6,5.6,5.6,0,0
1631223600,5.6,5.6,5.6,5.6,5.6,0,0
1631223900,5.6,5.6,5.6,5.6,5.6,0,0
1631224200,5.6,5.6,5.6,5.6,5.6,0,0
1631224500,5.6,5.6,5.6,5.6,5.6,0,0
1631224800,5.6,5.6,5.6,5.6,5.6,0,0
1631225100,5.6,5.6,5.6,5.6,5.6,0,0
1631225400,5.6,5.6,5.6,5.6,5.6,0,0
1631225700,5.6,5.6,5.6,5.6,5.6,1,1
1631226000,5.6,5.6,5.6,5.6,5.6,0,0
1631226300,5.6,5.6,5.6,5.6,5.6,0,0
1631226600,5.6,5.6,5.6,5.6,5.6,0,0
1631226900,5.6,5.6,5.6,5.6,5.6,0,0
1631227200,5.6,5.6,5.6,5.6,5.6,0,0
1631227500,5.6,5.6,5.6,5.6,5.6,0,0
1631227800,5.6,5.6,5.6,5.6,5.6,0,0
1631228100,5.6,5.6,5.6,5.6,5.6,0,0
1631228400,5.6,5.6,5.6,5.6,5.6,0,0
1631228700,5.6,5.6,5.6,5.6,5.6,0,0
1631229000,5.6,5.6,5.6,5.6,5.6,0,0
1631229300,5.6,5.6,5.6,5.6,5.6,0,0
1631229600,5.6,5.6,5.6,5.6,5.6,0,0
1631229900,5.6,5.6,5.6,5.6,5.6,0,0
1631230200,5.6,5.6,5.6,5.6,5.6,0,0
1631230500,5.6,5.6,5.6,5.6,5.6,0,0
1631230800,5.6,5.6,5.6,5.6,5.6,0,0
1631231100,5.6,5.6,5.6,5.6,5.6,0,0
1631231400,5.6,5.6,5.6,5.6,5.6,0,0
1631231700,5.6,5.6,5.6,5.6,5.6,0,0
1631262600,5.69,5.7,5.69,5.7,5.699,9,2
1631262900,5.7,5.7,5.7,5.7,5.7,0,0
1631263200,5.7,5.7,5.7,5.7,5.7,0,0
1631263500,5.7,5.7,5.7,5.7,5.7,0,0
1631263800,5.7,5.7,5.7,5.7,5.7,0,0
1631264100,5.7,5.7,5.7,5.7,5.7,0,0
1631264400,5.7,5.7,5.7,5.7,5.7,0,0
1631264700,5.7,5.7,5.7,5.7,5.7,0,0
1631265000,5.7,5.7,5.7,5.7,5.7,0,0
1631265300,5.7,5.7,5.7,5.7,5.7,0,0
1631265600,5.7,5.7,5.7,5.7,5.7,0,0
1631265900,5.7,5.7,5.7,5.7,5.7,0,0
1631266200,5.7,5.7,5.7,5.7,5.7,0,0
1631266500,5.7,5.7,5.7,5.7,5.7,0,0
1631266800,5.7,5.7,5.7,5.7,5.7,0,0
1631267100,5.7,5.7,5.7,5.7,5.7,0,0
1631267400,5.7,5.7,5.7,5.7,5.7,0,0
1631267700,5.7,5.7,5.7,5.7,5.7,0,0
1631268000,5.7,5.7,5.7,5.7,5.7,0,0
1631268300,5.7,5.7,5.7,5.7,5.7,0,0
1631268600,5.7,5.7,5.7,5.7,5.7,0,0
1631268900,5.7,5.7,5.7,5.7,5.7,0,0
1631269200,5.7,5.7,5.7,5.7,5.7,0,0
1631269500,5.7,5.7,5.7,5.7,5.7,0,0
1631269800,5.7,5.7,5.7,5.7,5.7,0,0
1631270100,5.7,5.7,5.7,5.7,5.7,0,0
1631270400,5.7,5.7,5.7,5.7,5.7,0,0
1631270700,5.7,5.7,5.7,5.7,5.7,0,0
1631271000,5.7,5.7,5.7,5.7,5.7,0,0
1631271300,5.7,5.7,5.7,5.7,5.7,0,0
1631271600,5.7,5.7,5.7,5.7,5.7,0,0
1631271900,5.7,5.7,5.7,5.7,5.7,0,0
1631272200,5.7,5.7,5.7,5.7,5.7,0,0
1631272500,5.7,5.7,5.7,5.7,5.7,0,0
1631272800,5.7,5.7,5.7,5.7,5.7,0,0
1631273100,5.7,5.7,5.7,5.7,5.7,0,0
1631273400,5.7,5.7,5.7,5.7,5.7,0,0
1631273700,5.7,5.7,5.7,5.7,5.7,0,0
1631274000,5.7,5.7,5.7,5.7,5.7,0,0
1631274300,5.7,5.7,5.7,5.7,5.7,0,0
1631274600,5.7,5.7,5.7,5.7,5.7,0,0
1631274900,5.7,5.7,5.7,5.7,5.7,0,0
1631275200,5.6,5.6,5.6,5.6,5.6,1,1
1631275500,5.6,5.6,5.6,5.6,5.6,0,0
1631275800,5.6,5.6,5.6,5.6,5.6,0,0
1631276100,5.6,5.6,5.6,5.6,5.6,0,0
1631276400,5.6,5.6,5.6,5.6,5.6,0,0
1631276700,5.6,5.6,5.6,5.6,5.6,0,0
1631277000,5.6,5.6,5.6,5.6,5.6,0,0
1631277300,5.6,5.6,5.6,5.6,5.6,0,0
1631277600,5.6,5.6,5.6,5.6,5.6,0,0
1631277900,5.6,5.6,5.6,5.6,5.6,0,0
1631278200,5.6,5.6,5.6,5.6,5.6,0,0
1631278500,5.6,5.6,5.6,5.6,5.6,0,0
1631278800,5.6,5.6,5.6,5.6,5.6,0,0
1631279100,5.55,5.56,5.55,5.55,5.55,10,1
1631279400,5.55,5.55,5.55,5.55,5.55,0,0
1631279700,5.55,5.55,5.55,5.55,5.55,0,0
1631280000,5.55,5.55,5.55,5.55,5.55,0,0
1631280300,5.55,5.55,5.55,5.55,5.55,0,0
1631280600,5.6,5.6,5.5,5.58,5.562,95,21
1631280900,5.55,5.56,5.51,5.51,5.545,41,8
1631281200,5.55,5.55,5.55,5.55,5.55,1,1
1631281500,5.54,5.54,5.53,5.54,5.535,1,1
1631281800,5.51,5.51,5.5,5.5,5.504,7,4
1631282100,5.48,5.5,5.48,5.5,5.496,61,4
1631282400,5.5,5.5,5.5,5.5,5.5,0,0
1631282700,5.5,5.5,5.49,5.5,5.499,16,6
1631283000,5.52,5.52,5.52,5.52,5.52,3,1
1631283300,5.5,5.51,5.5,5.5,5.506,17,6
1631283600,5.5,5.5,5.49,5.5,5.495,3,2
1631283900,5.49,5.49,5.49,5.49,5.49,2,1
1631284200,5.49,5.49,5.45,5.46,5.482,30,12
1631284500,5.52,5.56,5.52,5.56,5.546,16,8
1631284800,5.53,5.53,5.51,5.52,5.523,16,8
1631285100,5.52,5.53,5.51,5.52,5.513,26,4
1631285400,5.55,5.55,5.55,5.55,5.55,3,2
1631285700,5.54,5.55,5.54,5.55,5.548,16,4
1631286000,5.54,5.55,5.54,5.54,5.545,1,1
1631286300,5.55,5.55,5.55,5.55,5.55,14,8
1631286600,5.55,5.56,5.55,5.55,5.552,7,2
