date,open,high,low,close,average,volume,count
1631712600,8.57,8.57,8.57,8.57,8.57,9,2
1631712601,8.57,8.62,8.57,8.57,8.575,13,6
1631712602,8.57,8.6,8.57,8.57,8.57,630,5
1631712603,8.6,8.64,8.57,8.63,8.616,32,15
1631712604,8.63,8.63,8.57,8.57,8.589,90,4
1631712605,8.61,8.62,8.61,8.61,8.614,1,1
1631712606,8.63,8.63,8.63,8.63,8.63,1,1
1631712607,8.6,8.6,8.57,8.58,8.594,19,2
1631712608,8.57,8.62,8.57,8.62,8.599,10,9
1631712609,8.62,8.62,8.62,8.62,8.62,0,0
1631712610,8.62,8.62,8.62,8.62,8.62,0,0
1631712611,8.62,8.62,8.61,8.62,8.615,22,2
1631712612,8.59,8.59,8.59,8.59,8.59,1,1
1631712613,8.59,8.63,8.57,8.57,8.584,47,21
1631712614,8.57,8.57,8.57,8.57,8.57,37,5
1631712615,8.57,8.57,8.57,8.57,8.57,4,2
1631712616,8.57,8.57,8.57,8.57,8.57,7,2
1631712617,8.57,8.57,8.57,8.57,8.57,11,4
1631712618,8.57,8.57,8.57,8.57,8.57,3,2
1631712619,8.57,8.57,8.57,8.57,8.57,0,0
1631712620,8.57,8.57,8.57,8.57,8.57,22,10
1631712621,8.57,8.66,8.57,8.66,8.632,42,20
1631712622,8.67,8.7,8.6,8.69,8.64,161,23
1631712623,8.69,8.69,8.68,8.68,8.684,2,2
1631712624,8.67,8.7,8.67,8.7,8.691,40,22
1631712625,8.72,8.74,8.7,8.71,8.726,44,16
1631712626,8.73,8.73,8.73,8.73,8.73,4,2
1631712627,8.73,8.76,8.71,8.72,8.747,56,25
1631712628,8.75,8.83,8.75,8.83,8.789,232,81
1631712629,8.83,8.93,8.81,8.93,8.85,298,90
1631712630,8.93,8.93,8.91,8.93,8.922,119,22
1631712631,8.92,8.92,8.84,8.91,8.887,55,35
1631712632,8.85,8.88,8.73,8.74,8.806,22,15
1631712633,8.79,8.84,8.73,8.74,8.756,15,11
1631712634,8.74,8.81,8.73,8.73,8.737,58,14
1631712635,8.73,8.74,8.73,8.73,8.73,27,6
1631712636,8.67,8.68,8.67,8.67,8.671,6,3
1631712637,8.67,8.68,8.67,8.67,8.673,18,12
1631712638,8.67,8.68,8.66,8.66,8.672,56,16
1631712639,8.62,8.67,8.61,8.61,8.633,19,10
1631712640,8.61,8.62,8.61,8.61,8.612,5,1
1631712641,8.61,8.67,8.61,8.67,8.638,22,15
1631712642,8.63,8.63,8.61,8.61,8.615,24,12
1631712643,8.62,8.65,8.62,8.65,8.635,2,2
1631712644,8.62,8.65,8.61,8.65,8.615,36,18
1631712645,8.61,8.65,8.61,8.61,8.624,13,10
1631712646,8.61,8.61,8.6,8.61,8.604,56,20
1631712647,8.6,8.62,8.6,8.6,8.602,42,11
1631712648,8.57,8.59,8.57,8.57,8.573,6,6
1631712649,8.57,8.6,8.57,8.57,8.571,33,8
1631712650,8.57,8.57,8.57,8.57,8.57,5,2
1631712651,8.57,8.57,8.57,8.57,8.57,33,8
1631712652,8.59,8.59,8.58,8.58,8.582,35,5
1631712653,8.6,8.6,8.58,8.58,8.592,28,6
1631712654,8.57,8.59,8.55,8.59,8.562,18,11
1631712655,8.54,8.58,8.53,8.53,8.539,65,19
1631712656,8.54,8.58,8.53,8.53,8.544,23,6
1631712657,8.52,8.55,8.5,8.5,8.516,27,17
1631712658,8.51,8.52,8.5,8.5,8.504,18,6
1631712659,8.5,8.5,8.5,8.5,8.5,46,5
1631712660,8.5,8.5,8.48,8.48,8.5,74,25
1631712661,8.47,8.47,8.43,8.43,8.454,46,19
1631712662,8.43,8.46,8.43,8.45,8.455,125,12
1631712663,8.46,8.46,8.4,8.4,8.421,108,32
1631712664,8.4,8.42,8.4,8.4,8.403,51,5
1631712665,8.4,8.42,8.4,8.4,8.402,56,22
1631712666,8.4,8.41,8.39,8.41,8.397,12,8
1631712667,8.46,8.46,8.41,8.43,8.459,205,10
1631712668,8.46,8.57,8.45,8.52,8.48,564,40
1631712669,8.56,8.57,8.52,8.54,8.555,58,17
1631712670,8.57,8.6,8.55,8.55,8.564,49,17
1631712671,8.57,8.57,8.5,8.5,8.533,8,6
1631712672,8.54,8.54,8.5,8.5,8.504,50,13
1631712673,8.5,8.5,8.5,8.5,8.5,0,0
1631712674,8.57,8.57,8.52,8.52,8.545,20,2
1631712675,8.52,8.52,8.52,8.52,8.52,5,1
1631712676,8.54,8.54,8.52,8.54,8.525,7,3
1631712677,8.52,8.52,8.52,8.52,8.52,10,1
1631712678,8.52,8.52,8.52,8.52,8.52,0,0
1631712679,8.52,8.52,8.52,8.52,8.52,2,1
1631712680,8.55,8.55,8.52,8.52,8.538,6,4
1631712681,8.52,8.52,8.52,8.52,8.52,5,1
1631712682,8.55,8.77,8.55,8.77,8.666,472,85
1631712683,8.75,8.78,8.63,8.63,8.696,41,14
